author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,viewer
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
,,,,,,,https://i.joylada.net/banner/share.jpg,,,,
rabbitnie,# ลานฆาตกรรม | เขตอาถรรพ์,,"พบกับเรื่องราวความลับที่ยังไม่ถูกเปิดเผย เล่าต่อจาก ""ดอกไม้ราตรี"" -- เนื้อหาเหมือนหนังสือ 'กลิ่นดอกไม้ราตรี ไม่เลือนรางไป' --",,จบ,,https://i.joylada.net/9732511/writer/5cff64aa3a75d60001bb95b5/cover-bb9cb2d9-71e3-4875-b088-f7262652f817.jpg/thumbnail,,,กลิ่นดอกไม้ราตรี ไม่เลือนรางไป,146.3M จอย
🍠มันหวาน🍠,# ถนนสีชมพู | ฟีลกู๊ดคาเฟ่,,ลูกสาวคนเล็กของนอริชและอองฟอง(Business Love),,,,https://i.joylada.net/10509838/writer/5ecfec3a840ffe0001583854/cover-696d1ded-dc4f-4afd-a7a0-5c16b455545c.jpg/thumbnail,,,Princess of sexy แผนรักสยบใจของยัยเซ็กซี่ตัวร้าย,214.5M จอย
ผลส้ม สีชมพู 🌸🌸,# ถนนสีชมพู | ทะเลสีเทา,,ธิลล์ ลูกชายคนโตของ “ธาม ♥️ ลลิน” (จากเรื่อง หยุดหัวใจ นายแบดบอย),,จบ,,https://i.joylada.net/9436649/writer/5c6b7f2405780300014dab75/cover-8f79822e-aa1e-4fb1-9b9d-aec3bf8f0b97.jpg/thumbnail,,"#ทายาทนายแบดบอย,#ธิลล์,#ฮันวา,#ลูกธามลลิน,#ผลส้มสีชมพู",ทายาทนายแบดบอย (ธิลล์❤️ฮันวา),30.2M จอย
