,author,category,commentCount,favouriteCount,ratingCount,title,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,countRetweet,countFav,ratingNoTweet_q,ratingHashReview_q,ratingFav_q,ratingRT_q,ratingLike_q,ratingComment_q,ratingView_q,ratingAdd2Fav_q,rq1_3,total1_3
3860,ซิงซิง ใครไม่ซิงเราซิง,นิยาย Boy Love Lovely Room,67087,38943,11082.0,ชายาข้า ใครบังอาจหาญกล้ามาแตะ!!!,6007803,,,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,6124915.0
29694,กามเทพร้อยมุก,นิยาย Boy Love Lovely Room,41747,29903,7077.0,เหนือมังกร เคียงบัลลังก์(สนพ.บ้านวายบุ๊ค),3903986,เหนือมังกรเคียงบัลลังก์,,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,3982713.0
18068,กระต่ายสีเงิน,นิยาย Boy Love Lovely Room,21283,40185,6423.0,เกิดใหม่ทั้งทีมีแค่นี้?,2707444,เกิดใหม่ทั้งทีมีแค่นี้,,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,2775335.0
28371,ละลิ,นิยาย Boy Love Lovely Room,16005,40913,6425.0,ตัวนิดของคุณใหญ่ | BL-Omegaverse,1684507,ตัวนิดของคุณใหญ่,,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,4.8,1747850.0
25733,ฟ้ามุ่ย.,นิยาย Boy Love Lovely Room,13860,22990,4627.0,คุณพฤกษ์รวยมาก - BL (สนพ.Onederwhy),1326360,คุณพฤกษ์รวยมาก,,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,1367837.0
37612,wickedwish_,นิยาย Boy Love Lovely Room,16166,22590,4319.0,(omegaverse) daylight destiny #ไม่รักป๊าหรือม๊า,654709,,ไม่รักป๊าหรือม๊า,945,10,11,5806,2959,4.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,697784.0
24282,schesire,นิยาย Boy Love Lovely Room,9572,17648,2775.0,我的王妃很漂亮！ชายาข้างามยิ่งนัก,1324392,ชายาข้างามยิ่งนัก,,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,3.8,1354387.0
27243,Rosesarin_,นิยาย Boy Love Lovely Room,6598,13858,2128.0,ไม้เรียวสีขาวกับเสื้อกาวน์เปื้อนชอล์ก > Mpreg&lt;,1222925,,,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,3.2,1245509.0
18877,Rain-at-Rose,นิยาย Boy Love Lovely Room,11022,9106,1432.0,"สามีนอกสมรส [Omegaverse , Mpreg]",952849,สามีนอกสมรส,,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,974409.0
7321,Taowouannoii,นิยาย Boy Love Lovely Room,5854,13164,1820.0,"[Pre - order เล่ม 1]ฮ่องเต้เหตุใดท่านจึงงดงามเช่นนี้ [Mpreg,จีนโบราณ]",917776,,,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,938614.0
18079,จะชิปจนกว่าจะสิ้นแสง,นิยาย Boy Love Lovely Room,7316,7866,1488.0,(นิยายแปลจีน) Cannon Fodder Cheat System - ระบบโกงชะตาตาย,845973,,,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,2.8,862643.0
36472,littlebbear96,นิยาย Boy Love Lovely Room,5418,15327,2441.0,#อุบายกินรา [YAOI] (สนพ. Hermit),289159,,อุบายกินรา,268,5,14,1784,1220,5.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.5,312345.0
16708,Poydswat.,นิยาย Boy Love Lovely Room,5469,7654,1381.0,[Omegaverse] Never Ωmega in the army (#โอเมก้าตาบอด),571103,,โอเมก้าตาบอด,34,8,5,516,870,1.25,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,585607.0
32835,middaySUN,นิยาย Boy Love Lovely Room,2284,4467,857.0,ผู้ชายที่เจอในแอปหาคู่คนนั้นรักจริงใช่ไหม (สนพ.พันแสง),406216,ผู้ชายที่เจอในแอปหาคู่คนนั้นรักจริงใช่ไหม,,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,413824.0
36627,Darin,นิยาย Boy Love Lovely Room,1870,3736,628.0,ฝนหลงฤดู,90658,,,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,96892.0
4869,BTAWA,นิยาย Boy Love Lovely Room,810,2038,482.0,"เกิดใหม่อีกครั้งก็ยังห้าวไม่เลิก(yaoi,3p)",50572,,,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,53902.0
41120,วาฬกลิ้ง,นิยาย Boy Love Lovely Room,766,1580,261.0,คุณสราญหาคู่,36710,คุณสราญหาคู่,,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,39317.0
19660,เจาจื๊อ,นิยาย Boy Love Lovely Room,245,913,119.0,#ผมไหว้ล่ะพี่ปี [Yaoi],16129,,ผมไหว้ล่ะพี่ปี,61,2,1,264,406,2.5,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17406.0
