,author,category,commentCount,favouriteCount,ratingCount,title,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,countRetweet,countFav,ratingNoTweet_q,ratingHashReview_q,ratingFav_q,ratingRT_q,ratingLike_q,ratingComment_q,ratingView_q,ratingAdd2Fav_q,rq1_1,total1_1
6,Jaylerqz,????? Boy Love Secret Room,33058,43788,8182,???????????????? : ( Mpreg ),3228236,????????????????,,1031,7,5,7463,7170,5,4,4,4,3,3,3,4,3,3228236
14,wickedwish_,????? Boy Love Lovely Room,49555,61242,16294,(omegaverse) midnight fortune #???????????????,5691482,,???????????????,80,8,5,2954,2766,3,4,2,3,5,5,5,5,5,5691482
10,Cinzano 505,????? Boy Love Secret Room,24876,31974,6110,UNKNOWN LOVER #??????????????,2177987,,??????????????,1231,7,2,18110,11813,5,1,5,5,2,3,2,2,2,2177987
0,Jaylerqz,????? Boy Love Lovely Room,22809,30887,8109,I\'ll give you the world #???????? (??????),3787353,,????????,37,0,1,9286,9671,2,1,4,4,3,2,4,2,4,3787353
4,White Demon,????? Boy Love Lovely Room,45474,50417,13552,????????????????? (ebook),4937046,?????????????????,,26,3,3,560,793,1,2,1,1,5,4,4,5,4,4937046
1,oiimaps,????? Boy Love Lovely Room,38644,50962,11639,#???????? (omegaverse),3484456,,????????,100,3,4,20131,20290,4,4,5,5,4,4,3,5,3,3484456
2,?????? ???????????????,????? Boy Love Lovely Room,67087,38943,11082,??????? ?????????????????????!!!,6007803,,,0,0,0,0,0,0,0,0,0,4,5,5,3,5,6007803
9,????,????? Boy Love Lovely Room,16005,40913,6425,???????????????? | BL-Omegaverse,1684507,????????????????,,0,0,0,0,0,0,0,0,0,2,1,2,4,2,1684507
12,littlebbear96,????? Boy Love Lovely Room,5418,15327,2441,#?????????? [YAOI] (???. Hermit),289159,,??????????,268,5,14,1784,1220,4,5,1,1,1,1,1,1,1,289159
7,????,????? Boy Love Secret Room,16852,24932,5218,METANOIA #???????? [Omegaverse ?],1389025,,????????,59,9,3,2402,3209,2,2,3,2,1,2,1,1,1,1389025
3,D-Dindin,????? Boy Love Lovely Room,99260,41926,15410,??????????????????????? (???.????),7550855,???????????????????????,,36,1,2,2177,1533,1,1,2,2,5,5,5,4,5,7550855
5,Avery pie,????? Boy Love Lovely Room,8156,14488,2952,[END]Deep Ocean #???????????? (YAOI),1596233,,????????????,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1596233
13,??????,????? Boy Love Lovely Room,27269,39654,9878,Cutie Pie ???????????????????,2655776,???????????????????,,0,0,0,0,0,0,0,0,0,4,3,2,3,2,2655776
11,?????????????,????? Boy Love Lovely Room,41747,29903,7077,?????????? ?????????????(???.???????????),3903986,???????????????????????,,0,0,0,0,0,0,0,0,0,3,4,4,2,4,3903986
8,?????????????,????? Boy Love Lovely Room,21283,40185,6423,???????????????????????,2707444,??????????????????????,,0,0,0,0,0,0,0,0,0,2,2,3,3,3,2707444
