,author,category,commentCount,favouriteCount,ratingCount,title,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,countRetweet,countFav,ratingNoTweet_q,ratingHashReview_q,ratingFav_q,ratingRT_q,ratingLike_q,ratingComment_q,ratingView_q,ratingAdd2Fav_q,rq2_23,total2_23
1,oiimaps,นิยาย Boy Love Lovely Room,38644,50962,11639,#ก็จะดื้อ (omegaverse),3484456,,ก็จะดื้อ,100,3,4,20131,20290,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.3,3626126
14,wickedwish_,นิยาย Boy Love Lovely Room,49555,61242,16294,(omegaverse) midnight fortune #อย่าบอกป๊านะม๊า,5691482,,อย่าบอกป๊านะม๊า,80,8,5,2954,2766,3.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,4.1,5824298
6,Jaylerqz,นิยาย Boy Love Secret Room,33058,43788,8182,รัตติจันทร์พันกร : ( Mpreg ),3228236,รัตติจันทร์พันกร,,1031,7,5,7463,7170,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.6,3327902
3,D-Dindin,นิยาย Boy Love Lovely Room,99260,41926,15410,องค์ชายสามช่างไม่เอาไหน (สนพ.ฟาไฉ),7550855,องค์ชายสามช่างไม่เอาไหน,,36,1,2,2177,1533,1.0,1.0,2.0,2.0,5.0,5.0,5.0,4.0,3.4,7711163
4,White Demon,นิยาย Boy Love Lovely Room,45474,50417,13552,มหาลัยครึ่งมนุษย์ (ebook),4937046,มหาลัยครึ่งมนุษย์,,26,3,3,560,793,1.0,2.0,1.0,1.0,5.0,4.0,4.0,5.0,3.1,5047845
0,Jaylerqz,นิยาย Boy Love Lovely Room,22809,30887,8109,I\'ll give you the world #เมกาโลมา (รีไรท์),3787353,,เมกาโลมา,37,0,1,9286,9671,2.0,1.0,4.0,4.0,3.0,2.0,4.0,2.0,2.9,3868116
10,Cinzano 505,นิยาย Boy Love Secret Room,24876,31974,6110,UNKNOWN LOVER #เขาชื่ออันวาร์,2177987,,เขาชื่ออันวาร์,1231,7,2,18110,11813,5.0,1.0,5.0,5.0,2.0,3.0,2.0,2.0,2.9,2270872
2,ซิงซิง ใครไม่ซิงเราซิง,นิยาย Boy Love Lovely Room,67087,38943,11082,ชายาข้า ใครบังอาจหาญกล้ามาแตะ!!!,6007803,,,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,3.0,2.4,6124915
11,กามเทพร้อยมุก,นิยาย Boy Love Lovely Room,41747,29903,7077,เหนือมังกร เคียงบัลลังก์(สนพ.บ้านวายบุ๊ค),3903986,เหนือมังกรเคียงบัลลังก์,,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,2.0,1.9,3982713
13,แบมแบม,นิยาย Boy Love Lovely Room,27269,39654,9878,Cutie Pie นิ่งเฮียก็หาว่าซื่อ,2655776,นิ่งเฮียก็หาว่าซื่อ,,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,1.7,2732577
7,นทกร,นิยาย Boy Love Secret Room,16852,24932,5218,METANOIA #อรุณรุ่ง [Omegaverse Ω],1389025,,อรุณรุ่ง,59,9,3,2402,3209,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.7,1441641
12,littlebbear96,นิยาย Boy Love Lovely Room,5418,15327,2441,#อุบายกินรา [YAOI] (สนพ. Hermit),289159,,อุบายกินรา,268,5,14,1784,1220,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,315363
8,กระต่ายสีเงิน,นิยาย Boy Love Lovely Room,21283,40185,6423,เกิดใหม่ทั้งทีมีแค่นี้?,2707444,เกิดใหม่ทั้งทีมีแค่นี้,,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,1.4,2775335
9,ละลิ,นิยาย Boy Love Lovely Room,16005,40913,6425,ตัวนิดของคุณใหญ่ | BL-Omegaverse,1684507,ตัวนิดของคุณใหญ่,,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,1.3,1747850
5,Avery pie,นิยาย Boy Love Lovely Room,8156,14488,2952,[END]Deep Ocean #ฉลามคลั่งรัก (YAOI),1596233,,ฉลามคลั่งรัก,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1621829
