No,Title,Category,View_R,Like_R,Rating,Author,Picture
0,องค์ชายสามช่างไม่เอาไหน (สนพ.ฟาไฉ),นิยาย Boy Love Lovely Room,7550855,15410,5,D-Dindin,https://cdn.readawrite.com/articles/813/812472/thumbnail/small.gif
1,(omegaverse) midnight fortune #อย่าบอกป๊านะม๊า,นิยาย Boy Love Lovely Room,5691482,16294,5,wickedwish_,https://cdn.readawrite.com/articles/1592/1591120/thumbnail/small.gif
2,ชายาข้า ใครบังอาจหาญกล้ามาแตะ!!!,นิยาย Boy Love Lovely Room,6007803,11082,3.8,ซิงซิง ใครไม่ซิงเราซิง,https://cdn.readawrite.com/articles/1380/1379148/thumbnail/small.gif
3,มหาลัยครึ่งมนุษย์ (ebook),นิยาย Boy Love Lovely Room,4937046,13552,5,White Demon,https://cdn.readawrite.com/articles/876/875085/thumbnail/small.gif
4,#ก็จะดื้อ (omegaverse),นิยาย Boy Love Lovely Room,3484456,11639,5,oiimaps,https://cdn.readawrite.com/articles/1477/1476298/thumbnail/small.gif
5,สามี ข้าจะปกป้องท่านเอง!(สนพ.บ้านวายบุ๊ค),นิยาย Boy Love Lovely Room,5065783,10884,3.8,กามเทพร้อยมุก,https://cdn.readawrite.com/articles/673/672979/thumbnail/small.gif
6,รัตติจันทร์พันกร : ( Mpreg ),นิยาย Boy Love Secret Room,3228236,8182,5,Jaylerqz,https://cdn.readawrite.com/articles/1931/1930872/thumbnail/small.gif
7,Naughty Babe ดื้อเฮียก็หาว่าซน,นิยาย Boy Love Lovely Room,2401753,9197,5,แบมแบม,https://cdn.readawrite.com/articles/1932/1931486/thumbnail/small.gif
8,เหนือมังกร เคียงบัลลังก์(สนพ.บ้านวายบุ๊ค),นิยาย Boy Love Lovely Room,3903986,7077,3.8,กามเทพร้อยมุก,https://cdn.readawrite.com/articles/889/888886/thumbnail/small.gif
9,คุณชาย...บิดาท่านกำลังจะถูกกิน,นิยาย Boy Love Lovely Room,2718344,9741,3.8,minikikaboo,https://cdn.readawrite.com/articles/916/915141/thumbnail/small.gif
