,author,category,commentCount,favouriteCount,ratingCount,title,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,countRetweet,countFav,ratingNoTweet_q,ratingHashReview_q,ratingFav_q,ratingRT_q,ratingLike_q,ratingComment_q,ratingView_q,ratingAdd2Fav_q,rq2_33,total2_33
37612,wickedwish_,????? Boy Love Lovely Room,16166,22590,4319,(omegaverse) daylight destiny #????????????????,654709,,????????????????,945,10,11,5806,2959,4,3,5,5,4,5,3,4,4.1,707505
36472,littlebbear96,????? Boy Love Lovely Room,5418,15327,2441,#?????????? [YAOI] (???. Hermit),289159,,??????????,268,5,14,1784,1220,5,4,4,4,3,2,2,3,3.4,315631
3860,?????? ???????????????,????? Boy Love Lovely Room,67087,38943,11082,??????? ?????????????????????!!!,6007803,,,0,0,0,0,0,0,0,0,0,5,5,5,5,2.5,6124915
29694,?????????????,????? Boy Love Lovely Room,41747,29903,7077,?????????? ?????????????(???.???????????),3903986,???????????????????????,,0,0,0,0,0,0,0,0,0,5,5,5,5,2.5,3982713
18068,?????????????,????? Boy Love Lovely Room,21283,40185,6423,???????????????????????,2707444,??????????????????????,,0,0,0,0,0,0,0,0,0,5,5,5,5,2.5,2775335
28371,????,????? Boy Love Lovely Room,16005,40913,6425,???????????????? | BL-Omegaverse,1684507,????????????????,,0,0,0,0,0,0,0,0,0,5,4,5,5,2.4,1747850
16708,Poydswat.,????? Boy Love Lovely Room,5469,7654,1381,[Omegaverse] Never ?mega in the army (#????????????),571103,,????????????,34,8,5,516,870,1.25,5,2,2,2,2,2,2,2.3,587032
25733,???????.,????? Boy Love Lovely Room,13860,22990,4627,?????????????? - BL (???.Onederwhy),1326360,??????????????,,0,0,0,0,0,0,0,0,0,4,4,4,4,2,1367837
24282,schesire,????? Boy Love Lovely Room,9572,17648,2775,?????????????????????????,1324392,?????????????????,,0,0,0,0,0,0,0,0,0,4,3,4,4,1.9,1354387
27243,Rosesarin_,????? Boy Love Lovely Room,6598,13858,2128,????????????????????????????????????? > Mpreg&lt;,1222925,,,0,0,0,0,0,0,0,0,0,3,3,4,3,1.6,1245509
18877,Rain-at-Rose,????? Boy Love Lovely Room,11022,9106,1432,"??????????? [Omegaverse , Mpreg]",952849,???????????,,0,0,0,0,0,0,0,0,0,2,4,3,3,1.5,974409
7321,Taowouannoii,????? Boy Love Lovely Room,5854,13164,1820,"[Pre - order ???? 1]???????????????????????????????? [Mpreg,????????]",917776,,,0,0,0,0,0,0,0,0,0,3,3,3,3,1.5,938614
18079,????????????????????,????? Boy Love Lovely Room,7316,7866,1488,(???????????) Cannon Fodder Cheat System - ??????????????,845973,,,0,0,0,0,0,0,0,0,0,3,3,3,2,1.4,862643
19660,???????,????? Boy Love Lovely Room,245,913,119,#?????????????? [Yaoi],16129,,??????????????,61,2,1,264,406,2.5,2.5,1,1,1,1,1,1,1.4,18138
32835,middaySUN,????? Boy Love Lovely Room,2284,4467,857,????????????????????????????????????????? (???.??????),406216,?????????????????????????????????????????,,0,0,0,0,0,0,0,0,0,2,2,2,2,1,413824
36627,Darin,????? Boy Love Lovely Room,1870,3736,628,????????,90658,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,96892
4869,BTAWA,????? Boy Love Lovely Room,810,2038,482,"????????????????????????????????(yaoi,3p)",50572,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,53902
41120,????????,????? Boy Love Lovely Room,766,1580,261,????????????,36710,????????????,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,39317
