,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
0,Shadowkane,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,ภารกิจที่ยาก อันตราย เฉียดตายเพียงใดนั้นหากส่งผ่านมาถึงชายผู้นี้ สายลับจารชนผู้เปี่ยมไปด้วยฝีมือ พรส,0,จบ,2.0,https://cdn.readawrite.com/articles/455/454765/thumbnail/small.gif,0.0,,Boiling point ภารกิจทะลุจุดเดือด,https://www.readawrite.com/a/1zal8a,106,,,,,,0.0,0.0,1.25,2.0,1.0,1.4,1.0,1.0,1.1,1.1,1.4,1.4
1,BlueLights,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,5,เขากลับมาล้างแค้น เขากลับมาท่วงคืน เขากลับมายิ่งใหญ่ นี้คือ........การกลับมาของราชันย์ ,0,จบ,4.0,https://cdn.readawrite.com/articles/886/885003/thumbnail/small.gif,2.0,"นิยายแฟนตาซี,เวทมนตร์,ผจญภัย,สัตว์ประหลาด,นิยายโรแมนติก,ย้อนเวลา,เจาะเวลา",การกลับมาของราชันย์,https://www.readawrite.com/a/1zkmfs,184,,,,,,0.0,0.0,2.5,2.0,1.0,1.8,1.1,1.1,1.4,1.4,1.8,1.8
2,Kornwar,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,2,จักรวรรดิ์ดีแพรนได้นำกองทัพเข้าบุกดาวเคราะห์M78 นครแห่งแสงบ้านเกิดของเหล่านักรบอุตร้าพิทักษ์จักรวาลแ,7,จบ,3.0,https://cdn.readawrite.com/articles/889/888560/thumbnail/small.gif,0.0,"นิยายแฟนตาซี,นิยายรัก,ลึกลับ,สงคราม,ครอบครัว,แอ็คชั่น,ต่อสู้,สัตว์ประหลาด,พลังวิเศษ,ผจญภัย",THE LAST ULTRAMAN ( ウルトラマン ) ภาค อุลตร้าแมนคนสุดท้าย,https://www.readawrite.com/a/1zkpcf,2008,,,,,,0.0,0.0,1.25,4.0,3.0,2.8,1.6,1.8,2.1,2.3,2.8,2.9
3,โหย่งเหิงหมิงซิง,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,6.0,กายเป็นพลังวิญญาณบริสุทธิ์ แก่นจิตวิญญาณเป็นผลึกหยินหยางต้นกำเนิด มีเสี้ยวจิตวิญญาณจ้าวสรรพสิ่ง ใช้ท,28,จบ,5.0,https://cdn.readawrite.com/articles/67/66718/thumbnail/small.gif,2.0,"นิยายแฟนตาซี,นิยายจีน,จอมยุทธ์,ทะลุมิติ,นิยายจีนโบราณ",เฉิงหลิง ทายาทจ้าวสรรพสิ่ง : ภาคปฐมบทกำเนิดทายาทจ้าวสรรพสิ่ง,https://www.readawrite.com/a/1z1jg8,2663,,,,,,0.0,0.0,2.5,4.0,4.0,3.5,2.1,2.3,2.6,2.8,3.5,3.6
4,ASS LAST,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,12,เมื่อวิญญาณของเทพยุทธ์ผู้หนึ่งที่อยู่บนจุดสูงสุของโลกเทพอสูรได้ทำลายการบ่มเพาะของตัวเองเพื่อลงมาเกิด,20,จบ,11.0,https://cdn.readawrite.com/articles/180/179899/thumbnail/small.gif,10.0,"จอมยุทธ์,นิยายแฟนตาซี,นิยายจีน,นิยายจีนโบราณ,พลังวิญญาณ,ของวิเศษ,ทักษะยุทธ์,กระบี่,ลมปราณ,อสูร,ปีศาจ,มังกร,พระเจ้า,เทพอสูร,ยาวิเศษ,สมุนไพร,ทะลุมิติ",โลกเทพอสูร (The Demi-Gods world),https://www.readawrite.com/a/1z46ty,4327,,,,,,0.0,0.0,5.0,5.0,4.0,4.7,2.8,3.0,3.5,3.7,4.7,4.7
5,Rapperwrite,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,2,บู๊ ดิบ โหด เถื่อน สะเทือนเลื่อนลั่นทั้งเกาะเลย เป็นนิยายแนวมาเฟียเรื่องแรกของเรา ใครชอบแนวนี้ก็เชิญ,15,จบ,38.0,https://cdn.readawrite.com/articles/256/255414/thumbnail/small.gif,2.0,รบพุ่งกันจนเกาะเถื่อนสะเทือน,Black theater เหล่ายอดจารชน คนพันธ์ุเดือด,https://www.readawrite.com/a/1z5xhj,3575,,,,,,0.0,0.0,2.5,5.0,4.0,3.8,2.3,2.5,2.9,3.1,3.8,3.9
6,เลย์,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,5,hihi ดีจ้า^^ มาเเนะนำตำกัน ข้าชื่อเลม่อน อายุ12-13^^มาๆเข้าเรื่อง คือนิยายอันนี้จะอัพทุกวันอังคาร-ศุ,1,จบ,4.0,https://cdn.readawrite.com/articles/638/637163/thumbnail/small.gif,2.0,"นิยายแฟนตาซี,จอมยุทธ์,ปริศนา",คุณหนูเย็นชากับเวทย์มนต์ลึกลับ,https://www.readawrite.com/a/2zeu4n,551,,,,,,0.0,0.0,2.5,3.0,1.0,2.2,1.3,1.4,1.6,1.7,2.2,2.2
7,หยางซิน,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,เมื่อต้องตื่นขึ้นมาในร่างหลวงจีนน้อยในสถานที่ที่ไม่รู้จัก โลกที่เต็มไปด้วยค่ายพรรค สำนัก ชาวยุทธ์ แล,0,จบ,3.0,https://cdn.readawrite.com/articles/794/793389/thumbnail/small.gif,0.0,"จอมยุทธ์,นิยายจีน,กำลังภายใน,ทะลุมิติ,เจาะเวลา",สะท้านภพ สยบปฐพี,https://www.readawrite.com/a/2zihn9,274,,,,,,0.0,0.0,1.25,3.0,1.0,1.8,1.0,1.2,1.3,1.4,1.8,1.8
8,จื่อหลิน,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,4,กงล้อแห่งชะตาชีวิตได้เริ่มขับเคลื่อน ชะตาลิขิตที่แม้แต่สรวงสวรรค์ยังมิอาจล่วงรู้ เรื่องราวของเด็กชาย,15,จบ,14.0,https://cdn.readawrite.com/articles/1108/1107090/thumbnail/small.gif,3.0,"จอมยุทธ์,นิยายจีนโบราณ,กำลังภายใน,นิยายโรแมนติก,นิยายจีน,ผจญภัย,ดราม่า",ย้อนเวลาท่องยุทธภพ2,https://www.readawrite.com/a/2zpsq5,393,,,,,,0.0,0.0,3.75,3.0,4.0,3.6,2.2,2.3,2.7,2.8,3.6,3.6
9,THE KISS,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,5,ไป๋อันกับเรื่องวุ่นๆของเขา,5,จบ,3.0,https://cdn.readawrite.com/articles/1147/1146318/thumbnail/small.gif,2.0,"กำลังภายใน,นิยายแฟนตาซี,นิยายจีน,ผจญภัย,จอมยุทธ์,นิยายจีนโบราณ",หอพฤกษาทมิฬ,https://www.readawrite.com/a/2zqpqx,217,,,,,,0.0,0.0,2.5,2.0,3.0,2.5,1.5,1.6,1.9,2.0,2.5,2.5
10,N-Net,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,1,เอริณ เด็กหญิงกำพร้าที่รอดพ้นความตายจากแก๊งค้ามนุษย์ แต่เหตุกราณ์บางอย่างผลิกผันให้ตัวเธอต้องกลับเข้,1,จบ,6.0,https://cdn.readawrite.com/articles/1173/1172387/thumbnail/small.gif,0.0,,A-ris ปฎิบัติการล่าจลาจล,https://www.readawrite.com/a/2zrc1r,180,,,,,,0.0,0.0,1.25,2.0,1.0,1.4,1.0,1.0,1.1,1.1,1.4,1.4
11,บุรุษชุดแดง,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,7,หลงซานเด็กหนุ่มที่เกิดมาพร้อมพรสวรรค์ที่เหนือผู้คน แต่โชคชะตาเล่นตลก ตระกูลถูกฆ่าล้างอย่างไม่เป็นธรร,42,จบ,10.0,https://cdn.readawrite.com/articles/1446/1445574/thumbnail/small.gif,6.0,"จอมยุทธ์,นิยายจีนโบราณ,นิยายจีน,กำลังภายใน,ต่อสู้,ผจญภัย,นิยายแฟนตาซี",กำเนิดเทพเหนือสวรรค์,https://www.readawrite.com/a/2zxp24,1621,,,,,,0.0,0.0,3.75,4.0,5.0,4.2,2.6,2.7,3.2,3.4,4.2,4.3
12,Linmy,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,"""เมื่อไหร่กันเคราะห์กรรมนี้จะจบสิ้น สวรรค์ท่านใยรังแกข้านัก"" เมื่อเซียนน้อยตกสวรรค์ กลายเป็นเบ้สหายค",19,จบ,4.0,https://cdn.readawrite.com/articles/250/249612/thumbnail/small.gif,0.0,,ลิขิตฟ้า ชะตาอำพราง,https://www.readawrite.com/a/2z5sqr,1223,,,,,,0.0,0.0,1.25,4.0,4.0,3.1,1.8,2.0,2.3,2.5,3.1,3.2
13,Lancelot_XV,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,7,เรื่องราวของชายหนุ่มผู้มีชะตาพลิกผัน จากชนชั้นสูงผู้สุขสบายสู่เส้นทางนักล่าขาจรที่ต้องเริ่มสร้างตัวเ,34,จบ,70.0,https://cdn.readawrite.com/articles/226/225668/thumbnail/small.gif,4.0,"นิยายแฟนตาซี,ตลก",The Road Lightning - เส้นทางอสนีบาต,https://www.readawrite.com/a/2z597n,6294,,,,,,0.0,0.0,3.75,5.0,4.0,4.2,2.6,2.7,3.2,3.4,4.2,4.3
14,dwad,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,dawdaw,0,จบ,1.0,https://cdn.readawrite.com/articles/286/285613/thumbnail/small.gif,0.0,พญานาค,edawdwad,https://www.readawrite.com/a/2z6n5d,143,,,,,,0.0,0.0,1.25,2.0,1.0,1.4,1.0,1.0,1.1,1.1,1.4,1.4
15,ชาวบ้านlv1000,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,จิตใจคนเรานั้นสามารถเปลียนเป็น อาวุธ ตางๆได้ และถ้ามันถูกทำลาย คนคนนั้นจะเหลือแต่ความว่างเปล่า และคน,2,จบ,0.0,https://cdn.readawrite.com/articles/311/310194/thumbnail/small.gif,0.0,"ดราม่า,นิยายแฟนตาซี,นิยายโรแมนติก,ปริศนา,ตลก",mind memory รูปลักษณ์ของจิตใจ,https://www.readawrite.com/a/2z787o,91,,,,,,0.0,0.0,1.25,2.0,2.0,1.8,1.0,1.1,1.3,1.4,1.8,1.8
16,Sakuna2380,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,ยุคที่รกร้างและแห้งแล้ง สัตว์อสูร ปีศาจ เทพเจ้าและเจ้าแห่งเผ่าพันธุ์ทั้งหมดอยู่เหนือปีศาจ และสวรรค์ ,3,จบ,0.0,https://cdn.readawrite.com/articles/374/373310/thumbnail/small.gif,0.0,,Rise of Humanity#จอมราชันย์กระบี่เทพมังกรฟ้า!!!,https://www.readawrite.com/a/2z8oq0,1161,,,,,,0.0,0.0,1.25,4.0,2.0,2.4,1.4,1.6,1.8,2.0,2.4,2.5
17,torki,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,18,ลูกที่เกิดจากเทพและมารซึ่งเป็นเรื่องต้องห้าม ต้องถูกส่งไปโลกเบื้องล่าง ความมันจึงบังเกิด,60,จบ,277.0,https://cdn.readawrite.com/articles/409/408882/thumbnail/small.gif,14.0,,เทพมารตกสวรรค์,https://www.readawrite.com/a/2z9irc,12305,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
18,Aoobin,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,2.0,GOD (เทพเซียน) คือเกมส์ออนไลน์ที่ได้รับความนิยมมาก จนทำให้เกิดการจัดแข่งขันเป็นแบบ E-Sport เซียน ชาย,5,จบ,0.0,https://cdn.readawrite.com/articles/454/453811/thumbnail/small.gif,2.0,"เกมออนไลน์,นิยายวาย,ฮาเร็ม,สงคราม,ต่อสู้",GOD เทพเซียนสงครามออนไลน์,https://www.readawrite.com/a/3zakg1,410,,,,,,0.0,0.0,2.5,3.0,3.0,2.8,1.7,1.8,2.1,2.2,2.8,2.9
19,หมีเผือกสายกวน,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,4, ความรักะหว่างนักฆ่าซึ่งเป็นครึ่งปีศาจ แล้วมาลวงหญิงผู้หนึ่งให้รักและสุดท้ายจะเป็นอย่างไรนั้นมาติดตา,6,จบ,1.0,https://cdn.readawrite.com/articles/531/530635/thumbnail/small.gif,2.0,,รักนักหายนะมาเยือน,https://www.readawrite.com/a/3zcd60,1325,,,,,,0.0,0.0,2.5,4.0,3.0,3.2,1.9,2.1,2.4,2.5,3.2,3.2
20,Devil knight ,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,4,ตราประทับนิรันดร์กาล มันซ้อนพลังอันน่ากลัวเเละยังมีพลังอันไร้ขีดจำกัดให้เเก่ผู้ครอบครอง,18,จบ,13.0,https://cdn.readawrite.com/articles/770/769691/thumbnail/small.gif,3.0,,The seal immortals ตราประทับนิรันดร์กาล,https://www.readawrite.com/a/3zhxb6,884,,,,,,0.0,0.0,3.75,4.0,4.0,3.9,2.4,2.5,2.9,3.1,3.9,3.9
21,ไม่มีสายเมื่อลงมือทำ,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,เมื่อเธอต้องกลายมาเป็นมาเฟียโดยคนเป็นพ่อที่พึ่งเสียไปสั่งเสียเธอจึงกลายเป็นมาเฟียแทนโดยในแต่ละวันจะม,0,จบ,2.0,https://cdn.readawrite.com/articles/771/770115/thumbnail/small.gif,0.0,,มาเฟียร้ายป้ายแดง,https://www.readawrite.com/a/3zhxna,70,,,,,,0.0,0.0,1.25,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.1,1.1
