,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
0,หอมพันลี้,นิยายรักจีนโบราณ,31,เธอหญิงสาวที่หน้าตาสะสวยดูดีไปหมดทุกอย่างไม่มีที่ติกลับถูกหักอกจากผู้ชายที่เธอคบหาดูใจทุกๆคนแต่โชคชะ,88.0,จบ,9.0,https://cdn.readawrite.com/articles/469/468743/thumbnail/small.gif,16.0,นิยายจีนโบราณ,ลิขิตฟ้าย้อนเวลามาพบรัก,https://www.readawrite.com/a/1zawmn,5441,,,,,,0.0,0.0,3.0,3.0,3.0,3.0,1.8,1.9,2.2,2.4,3.0,3.0
1,เพลงมีนา,นิยายรักจีนโบราณ,17,เพราะการหายไปของ 'ไข่มุกน้ำตาจันทรา' ทำให้กัวจื่อหรานได้พบกับหลินอวี้เจิน เขาต้องตามหาไข่มุกล้ำค่ากล,63.0,จบ,30.0,https://cdn.readawrite.com/articles/435/434542/thumbnail/small.gif,15.0,"นิยายรัก,นิยายจีนโบราณ,ย้อนยุค,18+",จันทราพร่างพราว เหมันต์หวนคืน,https://www.readawrite.com/a/1za4ph,11355,,,,,,0.0,0.0,3.0,4.0,3.0,3.3,2.0,2.1,2.5,2.7,3.3,3.4
2,เถียนเถียน,นิยายรักจีนโบราณ,20,การตายของเจ้าจันทร์ สาวน้อยวัย 19 ปี เหตุเกิดเพราะไม้จิ้มฟันแท้ๆ คิดแล้วช่างน่าอเนจอนาถใจ กระทั่งผีด,133.0,จบ,2.0,https://cdn.readawrite.com/articles/440/439322/thumbnail/small.gif,14.0,,มู่หรงเยว่ พระจันทร์ในดวงใจ,https://www.readawrite.com/a/1za8m2,4247,,,,,,0.0,0.0,3.0,3.0,4.0,3.3,2.0,2.1,2.5,2.6,3.3,3.3
3,Lovelyz_PCY,นิยายรักจีนโบราณ,11,“1 ร่าง 2 วิญญาณ ทิวาบุรุษ ราตรีสตรี กลางวันมืดดับ กลางคืนไร้แสงจันทร์และดาว 1 ร่างกลายเป็น 2&,48.0,จบ,19.0,https://cdn.readawrite.com/articles/592/591588/thumbnail/small.gif,6.0,"Lovelyz_PCY,นิยายรักข้ามกาลเวลา,นิยายจีนโบราณ,นิยายโรแมนติก,นิยายรัก",เยว่ชิง จอมใจอ๋องต้องสาป,https://www.readawrite.com/a/1zdrwi,6433,,,,,,0.0,0.0,2.0,3.0,3.0,2.7,1.6,1.7,2.0,2.1,2.7,2.7
4,Mr.HorkHak,นิยายรักจีนโบราณ,13,เงินตรา สุรา นารี สิ่งเหล่านี้คือกิเลส แต่ข้าเป็นนักพรต ข้าไม่ใช่นักบวช แล้วเหตุใดข้าจึงต้องห้ามใจกั,47.0,จบ,46.0,https://cdn.readawrite.com/articles/660/659953/thumbnail/small.gif,13.0,"นิยายจีน,กำลังภายใน,นิยายจีนโบราณ,ผจญภัย",นักพรตแดนทมิฬ,https://www.readawrite.com/a/1zfdps,7875,,,,,,0.0,0.0,3.0,3.0,3.0,3.0,1.8,1.9,2.2,2.4,3.0,3.0
5,ดั่งโบตั๋นร่วงโรยรา,นิยายรักจีนโบราณ,2,โปรย * พรหมลิขิตเป็นเรื่องบังเอิญ หรือใครกำหนดไว้ จึงทำให้คนสองคนอยู่ห่างไกลคนละขอบฟ้ากับต้องมาพบเจอ,16.0,จบ,0.0,https://cdn.readawrite.com/articles/713/712638/thumbnail/small.gif,2.0,"นิยายรักข้ามกาลเวลา,นิยายจีนโบราณ",ลิขิตรักชะตาข้ามภพ,https://www.readawrite.com/a/1zglq3,1146,,,,,,0.0,0.0,1.0,2.0,2.0,1.7,1.0,1.1,1.2,1.3,1.7,1.7
6,Lily,นิยายรักจีนโบราณ,26,ข้าเป็นตัวร้ายแล้วอย่างไร ข้าเป็นคนดีแล้วอย่างไร พวกเจ้าอย่ามายุ่งกับข้านักจะได้ไหม!,43.0,จบ,6.0,https://cdn.readawrite.com/articles/693/692747/thumbnail/small.gif,8.0,"นิยายจีนโบราณ,Boy Love/Yaoi",ข้าคือตัวร้าย,https://www.readawrite.com/a/1zg5hr,2099,,,,,,0.0,0.0,2.0,3.0,2.0,2.3,1.4,1.5,1.8,1.9,2.3,2.4
7,ไม่อาจจางหาย,นิยายรักจีนโบราณ,3,ชีวิตกูนี้ก็ ขนาดกระโดดตึกจะฆ่าตัวตาย ดันไปเกิดในโลกยุคโบราณซะงั้น T-T,7.0,จบ,1.0,https://cdn.readawrite.com/articles/811/810613/thumbnail/small.gif,3.0,"นิยายจีนโบราณ,นิยายจีน,นิยายรัก,นิยายโรแมนติก,ย้อนยุค,นิยายรักข้ามกาลเวลา,ดราม่า",ลิขิตรักเบญจมาศขาว 白菊花,https://www.readawrite.com/a/1zivpd,343,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,juliejoon,นิยายรักจีนโบราณ,127,จากสาวน้อยที่ชีวิตแสนเรียบง่ายต้องมาพลิกผันสู่วังวนของความรักความแค้น สองอย่างนี้จะปะปนเข้าด้วยกันจา,130.0,จบ,31.0,https://cdn.readawrite.com/articles/920/919540/thumbnail/small.gif,32.0,"นิยายจีนโบราณ,นิยายรัก,ย้อนยุค,นิยายจีน,แต่งงาน,หวาน",สลับรักสลับดวงใจ,https://www.readawrite.com/a/1zlfmk,19563,,,,,,0.0,0.0,4.0,4.0,4.0,4.0,2.4,2.5,3.0,3.1,4.0,4.0
9,SP.parn🖤🥀,นิยายรักจีนโบราณ,2,ยังจดจำไว้ในใจ,1.0,จบ,1.0,https://cdn.readawrite.com/articles/1063/1062356/thumbnail/small.gif,2.0,,ยังจดจำไม่เคยลืม,https://www.readawrite.com/a/1zor81,877,,,,,,0.0,0.0,1.0,2.0,1.0,1.3,1.0,1.0,1.0,1.1,1.3,1.4
