,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
0,ROSE TEA,วรรณกรรม/ดราม่า/เสียดสีสังคม,3,แด่เหล่าเมล็ดพืชที่กำลังเหนื่อยล้า เรื่องนี้เป็นเรื่องสั้นแนวสัญลักษณ์ที่เขียนออกมาจากความเหนื่อยล้า,3.0,จบ,1.0,https://cdn.readawrite.com/articles/786/785610/thumbnail/small.gif,3.0,"เรื่องสั้น,เมล็ดพืช,ความฝัน",ความฝันของเมล็ดพืช,https://www.readawrite.com/a/1zibb0,706,,,,,,0.0,0.0,3.75,4.0,2.5,3.4,2.0,2.2,2.6,2.7,3.4,3.4
1,Lemon May,วรรณกรรม/ดราม่า/เสียดสีสังคม,14,"""ที่แย่คือซีกฟรีตเป็นพวกขี้หวงและชอบสะสม เขาจะไม่ปล่อยใครคนนั้นไปง่ายๆ""",22.0,จบ,10.0,https://cdn.readawrite.com/articles/1090/1089181/thumbnail/small.gif,8.0,"Boy Love/Yaoi,18+,นิยายรัก,นิยายแฟนตาซี,นิยายวาย,แมว,ปีศาจ,noncon,พลังวิเศษ,เลือด,รุนแรง,ลักพาตัว,หวง",Tell Me,https://www.readawrite.com/a/1zpe4g,1518,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
2,นํ้า​หนึ่ง​ชู​เมือง​,วรรณกรรม/ดราม่า/เสียดสีสังคม,5,การ​ิน ปริศนา​คดี​อาถรรพ์​ตอน​เสียง​จากความ​ตาย​,1.0,จบ,1.0,https://cdn.readawrite.com/articles/1139/1138254/thumbnail/small.gif,2.0,,การิน​ปริศนา​คดี​อาถรรพ์​ตอน​1,https://www.readawrite.com/a/1zqj6j,105,,,,,,0.0,0.0,2.5,2.0,1.25,1.9,1.2,1.2,1.4,1.5,1.9,1.9
3,P.E.A.C.E,วรรณกรรม/ดราม่า/เสียดสีสังคม,4,“ตลอดไปเลยไหม” ตลอดไป ข้ามองหน้าพระจันทร์ที่สว่างเรืองรองเหมือนรับรู้ได้ถึงคำสัญญาของข้า,0.0,จบ,1.0,https://cdn.readawrite.com/articles/1198/1197484/thumbnail/small.gif,3.0,,เรื่องเล่าของแมวสามสี,https://www.readawrite.com/a/1zrwit,454,,,,,,0.0,0.0,3.75,4.0,1.25,3.0,1.8,1.9,2.2,2.4,3.0,3.0
4,เขียนบนภูเขา,วรรณกรรม/ดราม่า/เสียดสีสังคม,0,โลกที่ถูกสร้างขึ้นโดยพระเจ้า โดยมี 10 เผ่าพันธุ์อาศัย ด้วยความแตกต่างทางเผ่าพันธุ์ พวกเขาจึงเปรียบเท,0.0,จบ,2.0,https://cdn.readawrite.com/articles/1220/1219575/thumbnail/small.gif,0.0,"ดราม่า,สังคม,นิยายแฟนตาซี,เสียดสี,แอ็คชั่น,ต่อสู้,ชีวิต",Under One Above All อยู่ใต้เพียงหนึ่ง เหนือคนนับแสน,https://www.readawrite.com/a/1zsfk0,83,,,,,,0.0,0.0,1.25,2.0,1.25,1.5,1.0,1.0,1.1,1.2,1.5,1.5
5,ตกกะปิ,วรรณกรรม/ดราม่า/เสียดสีสังคม,3.0,...,1.0,จบ,1.0,https://cdn.readawrite.com/articles/1273/1272567/thumbnail/small.gif,3.0,,solo,https://www.readawrite.com/a/1ztnt2,150,,,,,,0.0,0.0,3.75,3.0,1.25,2.7,1.6,1.7,2.0,2.1,2.7,2.6
6,9samud,วรรณกรรม/ดราม่า/เสียดสีสังคม,0.0,ชีวิตคนเรา... มันจะตกต่ำได้แค่ไหนน้ะ ความเห็นแก่ตัว โลภ และ หลง. มันทำลายชีวิตคนมาเยอะแล้วหนา,0.0,จบ,1.0,https://cdn.readawrite.com/articles/1252/1251114/thumbnail/small.gif,0.0,"ชีวิต,ปรัชญา,Boy Love/Yaoi,ดราม่า",หมู่เมฆ และ หมู่ดาว,https://www.readawrite.com/a/1zt6b4,49,,,,,,0.0,0.0,1.25,1.0,1.25,1.2,1.0,1.0,1.0,1.0,1.2,1.2
7,เกษมศานต์,วรรณกรรม/ดราม่า/เสียดสีสังคม,1,เรื่องสั้นชองชีวิตหนึ่งบนเกาะใหญ่กลางทะเล,1.0,จบ,1.0,https://cdn.readawrite.com/articles/1406/1405836/thumbnail/small.gif,1.0,"สังคม,ครอบครัว,เสียดสี,ชีวิต,เรื่องสั้น,ตอนเดียว,จบ,สืบสวน,ทะเล",หาดท้ายเกาะ,https://www.readawrite.com/a/1zwrlq,465,,,,,,0.0,0.0,1.25,4.0,1.25,2.2,1.3,1.4,1.6,1.8,2.2,2.3
8,ปานข้าว,วรรณกรรม/ดราม่า/เสียดสีสังคม,1,เมื่อวานฉันได้ไปเจอพี่ที่ฉันแอบชอบมานานมากพี่เค้าชื่อตาร์ฉันคุยกับพี่เค้าไปมาพี่เค้าก็บอกว่าเป็นแฟนก,1.0,จบ,0.0,https://cdn.readawrite.com/articles/151/150085/thumbnail/small.gif,1.0,,รักที่แสนห่วย,https://www.readawrite.com/a/1z3hi5,165,,,,,,0.0,0.0,1.25,3.0,1.25,1.8,1.1,1.2,1.4,1.5,1.8,1.9
9,มุกดาวไล,วรรณกรรม/ดราม่า/เสียดสีสังคม,3,โชคชะตาสร้างให้เกิดมาพร้อมกับความบกพร่องทางสติปัญญา ซึ่งไม่เหนือบ่ากว่าแรงในการพัฒนาผู้คนประเภทนี้ ใ,4.0,จบ,0.0,https://cdn.readawrite.com/articles/151/150365/thumbnail/small.gif,1.0,,จุดต่ำสุดของมนุษย์หรือไร,https://www.readawrite.com/a/1z3hq5,195,,,,,,0.0,0.0,1.25,3.0,3.75,2.7,1.6,1.8,2.0,2.2,2.7,2.8
