,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
0,ไอซ์แบร์,นิยายแฟนตาซี/Sci-Fi/ไลท์โนเวล,0,เรื่องราวของหนุ่มสาวกลุ่มหนึ่งที่ถูกเล่าผ่านช่วงชีวิตที่กำลังก้าวเข้าสู่วัยรุ่น พวกเขาต้องก้าวข้ามไป,0.0,จบ,5.0,https://cdn.readawrite.com/articles/456/455621/thumbnail/small.gif,0.0,,ปรัมปราของความรักและคราบเลือด (Myth of Love and Blood),https://www.readawrite.com/a/1zalwq,154,,,,,,0.0,0.0,1.25,3.0,1.25,1.8,1.1,1.2,1.4,1.5,1.8,1.9
1,ทหมารหมี,นิยายแฟนตาซี/Sci-Fi/ไลท์โนเวล,8,นักฆ่าผู้ถูกเรียกว่าอสรพิษหมอก ที่สังหารผู้คนบริสุทธิ์จนนับไม่ถ้วน เเต่ตอนนี้เขากลับใจได้เเละได้ ย้อ,20.0,จบ,3.0,https://cdn.readawrite.com/articles/458/457583/thumbnail/small.gif,5.0,ผจญภัย,ฮาเร็มของมหาวายร้าย,https://www.readawrite.com/a/1zanis,768,,,,,,0.0,0.0,3.75,4.0,3.75,3.8,2.3,2.4,2.9,3.0,3.8,3.8
2,AKA NO,นิยายแฟนตาซี/Sci-Fi/ไลท์โนเวล,0,ชีวิตที่มาจากอวกาศจะไม่ถูกทำลายโดยง่ายดาย สุดท้ายเขาคนนั้นจะยังคงมีความหมา,1.0,จบ,14.0,https://cdn.readawrite.com/articles/580/579471/thumbnail/small.gif,0.0,"ต่างโลก,แบคทีเรีย,อาร์เคีย,อวกาศ,เห็ดรา,ไคจู,โรงเรียน,ปีศาจ,เอเลี่ยน",world legacy -the rise of lifeform,https://www.readawrite.com/a/1zdi1b,206,,,,,,0.0,0.0,1.25,3.0,1.25,1.8,1.1,1.2,1.4,1.5,1.8,1.9
3,9/0,นิยายแฟนตาซี/Sci-Fi/ไลท์โนเวล,0,การเดินทางของเด็กชายที่ชื่อ โอลิเวอร์ ,0.0,จบ,0.0,https://cdn.readawrite.com/articles/619/618190/thumbnail/small.gif,0.0,,โอลิเวอร์,https://www.readawrite.com/a/1zeemk,22,,,,,,0.0,0.0,1.25,1.0,1.25,1.2,1.0,1.0,1.0,1.0,1.2,1.2
4,รรรรรร,นิยายแฟนตาซี/Sci-Fi/ไลท์โนเวล,13,เขาเป็นแวมไพร์ ที่ได้รับมอบหมายให้มาทำภารกิจที่โลกมนุษย์ และเธอที่เป็นนักวิทยาศาสตร์ มุ่งมั่นจะทำงาน,25.0,จบ,9.0,https://cdn.readawrite.com/articles/674/673649/thumbnail/small.gif,8.0,"นิยายแฟนตาซี,นิยายโรแมนติก,สงคราม",แวมไพร์​ มาเฟีย​ [Vampire Mafia]​,https://www.readawrite.com/a/1zfow4,1117,,,,,,0.0,0.0,5.0,4.0,3.75,4.2,2.6,2.7,3.2,3.3,4.2,4.2
5,TaoAlien,นิยายแฟนตาซี/Sci-Fi/ไลท์โนเวล,30,หน้าที่ของพี่ชายที่แสนดีคือหาแฟนดีๆให้น้องสาวสุดที่รัก ผู้ชายสมัยนี้มันไว้ใจไม่ได้ ทางเลือกสุดท้ายคื,57.0,จบ,0.0,https://cdn.readawrite.com/articles/722/721241/thumbnail/small.gif,20.0,"sunnee,yibo,yisunstory,yisun",what\'s love• สอนรักโรบอท,https://www.readawrite.com/a/1zgsqv,1270,,,,,,0.0,0.0,5.0,4.0,5.0,4.7,2.8,2.9,3.5,3.6,4.7,4.6
6,L@zywriter,นิยายแฟนตาซี/Sci-Fi/ไลท์โนเวล,164,หลังจากที่เสียชีวิตลงด้วยอุบัติเหต ผมก็ถูกนำตัวมายังโลกอีกใบที่มีชื่อว่า อัลเดีย เพื่อให้กลายเป็นผู้,304.0,จบ,148.0,https://cdn.readawrite.com/articles/698/697481/thumbnail/small.gif,82.0,"นิยายแฟนตาซี,ผจญภัย,ต่างโลก,ยูริ,ฮาเร็ม",[Yuri] Magic Craft Master,https://www.readawrite.com/a/1zg9d1,39891,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
7,Gnongi,นิยายแฟนตาซี/Sci-Fi/ไลท์โนเวล,233,คุณเชื่อในเรื่องแวมไพร์มั้ย? ft.minv ,477.0,จบ,22.0,https://cdn.readawrite.com/articles/749/748333/thumbnail/small.gif,136.0,"kookga,BTS",Black Blood #kookga,https://www.readawrite.com/a/1zhfux,15089,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
8,หนูซึน,นิยายแฟนตาซี/Sci-Fi/ไลท์โนเวล,1,เหตุวิปลาสโกลาหลผันแปรเปลี่ยนโชคชะตา…สร้างผู้แข็งแกร่งยืนหยัดเพียงหนึ่งเดียว,1.0,จบ,0.0,https://cdn.readawrite.com/articles/759/758369/thumbnail/small.gif,1.0,"นิยายแฟนตาซี,Fanfiction แฟนฟิคชั่น,ตลก,นิยายโรแมนติก,น่ารัก",เห่ระบำร่ายรำอสุรา,https://www.readawrite.com/a/1zho2o,35,,,,,,0.0,0.0,1.25,1.0,1.25,1.2,1.0,1.0,1.0,1.0,1.2,1.2
9,unipha,นิยายแฟนตาซี/Sci-Fi/ไลท์โนเวล,0,"เอวาน ""คุณคิดว่าฉันอายุเท่าไหร่ละ"" ไตรภพ ""เธอจะแก่จนเป็นทวดผมแล้วมันจะทำไม"" ",0.0,จบ,1.0,https://cdn.readawrite.com/articles/734/733659/thumbnail/small.gif,0.0,"แฟนตาซี,ปีศาจ",คณึงหา,https://www.readawrite.com/a/1zh3vo,46,,,,,,0.0,0.0,1.25,1.0,1.25,1.2,1.0,1.0,1.0,1.0,1.2,1.2
