,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
0,secretblack,นิยาย Girl Love/ Yuri,40,ฉันจะทำทุกวิถีทางเพื่อให้เธอนั้นหันมารักฉัน,121.0,จบ,21.0,https://cdn.readawrite.com/articles/465/464588/thumbnail/small.gif,25.0,"18+,Girl Love/Yuri,นิยายรัก",จนกว่าเธอจะรักฉัน,https://www.readawrite.com/a/1zat8x,11908,,,,,,0.0,0.0,3.0,4.0,3.0,3.3,2.0,2.1,2.5,2.7,3.3,3.4
1,Bunmankong,นิยาย Girl Love/ Yuri,196,คนที่เคยใช้ชีวิตเพียงคนเดียวในเมืองหลวง คนที่ไม่เคยสนโลกนอกจากตัวเอง คนที่ไม่เคยคิดที่จะมีรัก เพราะเ,190.0,จบ,33.0,https://cdn.readawrite.com/articles/468/467707/thumbnail/small.gif,73.0,,คืนรักสู่ท้องถิ่น,https://www.readawrite.com/a/1zavs2,52550,,,,,,0.0,0.0,4.0,5.0,4.0,4.3,2.6,2.8,3.2,3.4,4.3,4.4
2,เด็กนรก,นิยาย Girl Love/ Yuri,497,น้ำหวาน สาวสวยที่พร้อมด้วยทุกอย่าง เป็นที่หมายปองของทุกคน แต่คนที่ได้ใจเธอดันเป็น 'ต้นแก้ว' ผู้หญิงแ,427.0,จบ,10.0,https://cdn.readawrite.com/articles/467/466755/thumbnail/small.gif,156.0,"Girl Love/Yuri,18+,ดราม่า,นิยายรัก,ตลก,นิยายโรแมนติก",แสบนักรักซะเลย,https://www.readawrite.com/a/1zav0u,78750,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
3,pharanee,นิยาย Girl Love/ Yuri,163,เรื่องราวความรักของ อารียา สถาปนิกสาวที่แอบรักแอบดูแลเพื่อนข้างบ้านของตัวเองอย่าง แววดาว มาเนิ่นนาน ,188.0,จบ,31.0,https://cdn.readawrite.com/articles/432/431683/thumbnail/small.gif,67.0,"Girl Love/Yuri,Romantic,นิยายโรแมนติก,แอบรัก,เพื่อนสนิท,เพื่อน,18+,ละมุน,ดราม่า,หญิงรักหญิง,Yuri,นิยายรัก",Please,https://www.readawrite.com/a/1za2ds,43845,,,,,,0.0,0.0,4.0,5.0,4.0,4.3,2.6,2.8,3.2,3.4,4.3,4.4
4,แซลม่อน,นิยาย Girl Love/ Yuri,362,"I LOVE YOUR SISTER , NOT YOU",308.0,จบ,28.0,https://cdn.readawrite.com/articles/438/437350/thumbnail/small.gif,109.0,"teachlove,รักต้องสอน,แซลม่อน,นิยายรัก,นิยายโรแมนติก,Girl Love/Yuri",TEACH LOVE #รักต้องสอน,https://www.readawrite.com/a/1za70p,64212,,รักต้องสอน,,,,0.0,0.0,5.0,5.0,4.0,4.7,2.8,3.0,3.5,3.7,4.7,4.7
5,REDWING,นิยาย Girl Love/ Yuri,44,อัศวินสาวเฟรย่าผู้ผิดหวังในรักทุกเรื่องราวที่ผ่านมาล้วนเป็นละครฉากใหญ่ของจักรพรรดินีชาร์ลอตต์ เมื่อด,127.0,จบ,8.0,https://cdn.readawrite.com/articles/486/485517/thumbnail/small.gif,26.0,"แก้แค้น,Girl Love/Yuri",เปลวเพลิงแค้นแห่งอาณาจักรไกอาดิกัส : Enraged fire of the Gaiathegus,https://www.readawrite.com/a/1zbbbw,4636,,,,,,0.0,0.0,3.0,3.0,3.0,3.0,1.8,1.9,2.2,2.4,3.0,3.0
6,คนไร้เงา,นิยาย Girl Love/ Yuri,0.0,"""ในคืนนี้ เงียบเหงาจัง ฉันจะผ่านคืนนี้ได้อย่างไร"" และเธอจะผ่านคนนี้ไปพร้อมฉันมั้ย",4.0,จบ,0.0,https://cdn.readawrite.com/articles/513/512822/thumbnail/small.gif,0.0,,คืนนั้น,https://www.readawrite.com/a/1zbxm2,457,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,Sky,นิยาย Girl Love/ Yuri,20,อ่อยเก่ง: นิยาย Girl Love/ Yuri,87.0,จบ,5.0,https://cdn.readawrite.com/articles/603/602864/thumbnail/small.gif,12.0,"Girl Love/Yuri,18+",อ่อยเก่ง,https://www.readawrite.com/a/1ze24o,4143,,,,,,0.0,0.0,3.0,3.0,3.0,3.0,1.8,1.9,2.2,2.4,3.0,3.0
8,หมาน้อยในเงาจันทร์,นิยาย Girl Love/ Yuri,135,"ถึงฉันจะถูกคนอื่นมองว่ามาหลอกใช้เธอก็ตามแต่มีสิ่งนึกที่ฉันอยากพูดกับเธอคือ ""รักเธอนะ...รักตั้งแต่เมื",323.0,จบ,15.0,https://cdn.readawrite.com/articles/671/670533/thumbnail/small.gif,72.0,,ถึงจะร้าย...ฉันก็รักเธอน่ะ,https://www.readawrite.com/a/1zfmd3,37470,,,,,,0.0,0.0,4.0,4.0,4.0,4.0,2.4,2.5,3.0,3.1,4.0,4.0
9,mheenao,นิยาย Girl Love/ Yuri,0,Girl go ahead n start raining ,3.0,จบ,0.0,https://cdn.readawrite.com/articles/723/722336/thumbnail/small.gif,0.0,"Girl Love/Yuri,นิยายรัก,นิยายโรแมนติก,โรงเรียน,ตลก,Yuri,ดนตรี,ฤดูฝน",If You Were the Rain,https://www.readawrite.com/a/1zgtn6,102,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
