,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-13 04:00:12,#กี่หมื่นฟ้า,Kanthik12516890,"FB: Kanthika Homa
IG: Kanthika_1998
อากาเซ่💚
สาววาย♥️
รักทุกด้อม🥰🥀",5,"ตัวดื้อ🥰
#กี่หมื่นฟ้า #หมื่นฟ้าที่รัก", /กี่หมื่นฟ้า/หมื่นฟ้าที่รัก,0,1,Kanthik12516890,"FB: Kanthika Homa
IG: Kanthika_1998
อากาเซ่💚
สาววาย♥️
รักทุกด้อม🥰🥀"
1,1,2021-03-13 02:25:56,#กี่หมื่นฟ้า,MagicMalody,Perth❤❤❤❤,38,"เธรดรวมอภิมหามหึมาผัวทิพย์คัดมาแบบว่า ตัวบอสทั้งนั้น

#เมกาโลมา ผัวทุกสถาบัน
#คุณติอร่อยที่สุด ผัวแห่งชาติ
#พี่นาวาต้องฟังผม ผัวเด็ก
#พี่หินคนห่าม ผัวนักดนตรี
#นับเก้ารัก ผัวบราค่อน
#หวนกลิ่นรัก ผัวไมโครเวฟ
#สามหกสิบแปด ผัวหรือพ่อ
#ก็จะดื้อ ผัวสปอยเก่ง
#กี่หมื่นฟ้า ผัวอบอุ่น", /เมกาโลมา/คุณติอร่อยที่สุด/พี่นาวาต้องฟังผม,7628,7517,99Benyapa,เธอยังคงงดงาม ฉันยังคงรักเธอ 🥀
2,2,2021-03-12 22:58:39,#กี่หมื่นฟ้า,nongrakmaii,.,0,"รวมอภิมหาผัวในเด็กดี
ผัวเด็ก #เจ้าของน่านฟ้า
ผัวรวย #โจฮันนอร์ธ
ผัวนักแข่ง #อชิราพ่ายพายุ
ผัวเทพ #อาการเป็นยังไงไหนบอกหมอ 
ผัวแบดบอย #อาทิตย์ดาวตก
ผัวไมโครเวฟ #กี่หมื่นฟ้า 
ผัวเตาผิง #ใกล้แค่พันลี้ 
ผัวซกมก #รักรสนมจืด
ผัวอินเตอร์ #เจตนามาร์แน่
ผัวแก่มั้ยนะ #สามหกสิบแปด", /เจ้าของน่านฟ้า/โจฮันนอร์ธ/อชิราพ่ายพายุ/อาการเป็นยังไงไหนบอกหมอ,2201,2021,MST11_,"𝑊𝐸 𝐴𝑅𝐸 𝑂𝑁𝐸 𝐸𝑋𝑂 – 
nihilism 🕊💖"
3,3,2021-03-12 19:33:27,#กี่หมื่นฟ้า,_332611,,0,2. #กี่หมื่นฟ้า นิยายฟีลกู้ดดด เป็นเรื่องแรกที่ยอมจ่าย เป็นเรื่องที่อ่านวนเยอะสุด คือไม่รู้จะอวยยังไง อ่านกี่ครั้งก็ใจฟู อบอุ่นหัวใจมากจริงๆ อ่านแล้วยิ้มเหมือนคนบ้า (1/3), /กี่หมื่นฟ้า,0,0,_332611,
4,4,2021-03-12 15:22:24,#กี่หมื่นฟ้า,seemeowxx,sɴsᴅ | ᴇxᴏ | ᴍᴀʀᴋʟᴇᴇ | ᴊᴇɴɴɪᴇ | ɢᴅ | ʜᴀɴʙɪɴ | ᴛᴀᴇʜʏᴜɴɢ ʏᴏᴏɴɢɪ |,53,"#กี่หมื่นฟ้า
https://t.co/CTvvmdsQFb", /กี่หมื่นฟ้า,0,0,seemeowxx,sɴsᴅ | ᴇxᴏ | ᴍᴀʀᴋʟᴇᴇ | ᴊᴇɴɴɪᴇ | ɢᴅ | ʜᴀɴʙɪɴ | ᴛᴀᴇʜʏᴜɴɢ ʏᴏᴏɴɢɪ |
5,7,2021-03-12 07:01:22,#กี่หมื่นฟ้า,Kanthik12516890,"FB: Kanthika Homa
IG: Kanthika_1998
อากาเซ่💚
สาววาย♥️
รักทุกด้อม🥰🥀",5,"ที่รักโว้ยอะไรคือการเมาแล้วอ้อนให้พี่หอมหัว...แล้วยังไงอีพี่ก็หอมจริง แล้วอะไรคือการที่บอกให้น้องสระผมด้วยหัวเริ่มเหม็นแล้วหมื้มมมมมมม  
#กี่หมื่นฟ้า #หมื่นฟ้าที่รัก", /กี่หมื่นฟ้า/หมื่นฟ้าที่รัก,0,1,Kanthik12516890,"FB: Kanthika Homa
IG: Kanthika_1998
อากาเซ่💚
สาววาย♥️
รักทุกด้อม🥰🥀"
6,9,2021-03-11 23:51:41,#กี่หมื่นฟ้า,mynewcoco,ความสุขที่เหลืออยู่ในชีวิตนี้คือเมนกับแมวเท่านั้น,19,"แนะนำนิยายแนว feel good งับบบ
- เรื่องแรก #นาทีที่ข้ามฟ้า
- เรื่อง2 #ปลื้มคนโปรด
- เรื่อง3 #กี่หมื่นฟ้า
- เรื่อง4 #เหนือขอบคลื่น
ทุกเรื่องคือน่ารักมากอ่านแล้วเขินตามสุดๆไปเลยยย ;-;  #แนะนํานิยายวาย https://t.co/5mvDkPu3PH", /นาทีที่ข้ามฟ้า/ปลื้มคนโปรด/กี่หมื่นฟ้า,1448,1382,megniii,ᴇ x ᴏ - ʙᴀᴇᴋʜʏᴜɴ ☺︎︎ — ɴᴄᴛᴢᴇɴ ॱଳ͘ ｜𝐲𝐢𝐧𝐰𝐚𝐫’ • 𝙙𝙖𝙮 6 ♡︎ ᴋᴇᴜᴍᴋᴇᴜᴍ
7,11,2021-03-11 18:14:44,#กี่หมื่นฟ้า,TM_440,🐷🐼🐯🐨🐿️🦁🤖🦊🐰🦙🐺🐮,4,"เธรด แนะนำนิยายวายที่อ่านแล้วชอบมาก
1 #นับเก้ารัก
2 #เราชื่อชายา
3 #ต้นฟ้าไต้ฝุ่น
4 #เด็กเสี่ยอิทธิพล
5 #เดือนครึ่งเสี้ยว
6 #จ้าวของแชมเปญ 
7 #ไนน์อย่ายั่ว
8 #นาทีที่ข้ามฟ้า
9 #ก่อสร้างดีที่สุด
10 #ฟองฟางครามสมุทร
11 #กี่หมื่นฟ้า
12 #เสือจะกินคิทแคท
13 #ปลื้มคนโปรด
14 #คว้าเดือน", /นับเก้ารัก/เราชื่อชายา/ต้นฟ้าไต้ฝุ่น/เด็กเสี่ยอิทธิพล/เดือนครึ่งเสี้ยว,56,70,__nook__00,2000 #harukyu @treasuremembers รีวิว #RV_nook00
8,17,2021-03-11 10:01:33,#กี่หมื่นฟ้า,mie_papah,ot7 forever 💘,19,"นิยายที่สุดๆในปี2019
#ต้นฟ้าไต้ฝุ่น (น้ำตาไหลที่สาธารณะ55)
#โจฮันนอร์ธ (ตามอ่านตลอดหลายรอบ)
#อาทิตย์ดาวตก (เลยมาจนปีนี้555)
#ภูมิแพ้ฝุ่น (ไอ้หมาภูมิดือมาก)
#ไนน์อย่ายั่ว (น้อนหายไป)
#กี่หมื่นฟ้า (อ้อนสุด)
#ป๋าบีน้องเกล (เขินตัวแตก)
#อาคเนย์ (น้ำตาตก)
#ไล่ฆ่าล่ารัก(อย่าทำน้อง) 1)", /ต้นฟ้าไต้ฝุ่น/โจฮันนอร์ธ/อาทิตย์ดาวตก,443,426,aei_aerng,"รีวิว #มูมูแจกทิพย์ 
หนูอยากเอามัมหมีไปทิ้งที่ถังขยะเหมือนเดิม"
9,22,2021-03-10 16:19:02,#กี่หมื่นฟ้า,BubbleB08,"CALL ME❤️ : B U B B L E -B
🤘แรงกระเพื่อมดีดีของเจ้าแก้มและพี่หมี🤘
#เจ้าแก้มก้อน  
#ไขมันของเจ้าแก้มก้อน
#โอห์มไง 
MY BLUE💙
support @FlukeNatouch @ohmthitiwat",155,"#กี่หมื่นฟ้า
#ใกล้แค่พันลี้
#ปลาวาฬของคุณผีเสื้อของผม 

คิดถึง คุณ คนไหน ก็หยิบคนนั้น
อ่านก่อนนอน ก็ฝันดี

สุดท้ายวันนี้ คิดถึง คุณ ใกล้ ใจ ... https://t.co/7Jd9kKiBNY", /กี่หมื่นฟ้า/ใกล้แค่พันลี้/ปลาวาฬของคุณผีเสื้อของผม,0,0,BubbleB08,"CALL ME❤️ : B U B B L E -B
🤘แรงกระเพื่อมดีดีของเจ้าแก้มและพี่หมี🤘
#เจ้าแก้มก้อน  
#ไขมันของเจ้าแก้มก้อน
#โอห์มไง 
MY BLUE💙
support @FlukeNatouch @ohmthitiwat"
