,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-05 11:05:53,#ก็จะดุ,krksnaaaaa,ISTJ-T | とびっ子 | Hey!Say!JUMP | 山田涼介 | ゆとやま | KHR | 1827 | HQ!! | みかんば | 乙棘 | 肖战 | 博君一肖 | #チェリまほ | @akasoeiji | 赤楚衛二,52,"“คณิตครับ พี่มีอะไรอยากถาม”
“ว่า?”

#ก็จะดุ

 https://t.co/kR8LklhGlG", /ก็จะดุ,227,160,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
1,1,2021-03-05 10:43:19,#ก็จะดุ,krksnaaaaa,ISTJ-T | とびっ子 | Hey!Say!JUMP | 山田涼介 | ゆとやま | KHR | 1827 | HQ!! | みかんば | 乙棘 | 肖战 | 博君一肖 | #チェリまほ | @akasoeiji | 赤楚衛二,52,"คณิตโบกมือบ๊ายบายให้พี่ชาย

#ก็จะดุ https://t.co/mOqD0Rtbsb", /ก็จะดุ,31,53,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
2,2,2021-03-05 10:33:30,#ก็จะดุ,krksnaaaaa,ISTJ-T | とびっ子 | Hey!Say!JUMP | 山田涼介 | ゆとやま | KHR | 1827 | HQ!! | みかんば | 乙棘 | 肖战 | 博君一肖 | #チェリまほ | @akasoeiji | 赤楚衛二,52,"คณิตร้องเพลงแรป
สิ่งที่มัมหมีคณิตเห็น :

#ก็จะดุ
 https://t.co/MYh7MlsVnW", /ก็จะดุ,140,123,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
3,3,2021-03-05 10:33:07,#ก็จะดุ,krksnaaaaa,ISTJ-T | とびっ子 | Hey!Say!JUMP | 山田涼介 | ゆとやま | KHR | 1827 | HQ!! | みかんば | 乙棘 | 肖战 | 博君一肖 | #チェリまほ | @akasoeiji | 赤楚衛二,52,"คณิต                                           พี่คนนั้น

#ก็จะดุ https://t.co/9FfGiijXQB", /ก็จะดุ,224,96,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
4,4,2021-03-05 10:32:55,#ก็จะดุ,krksnaaaaa,ISTJ-T | とびっ子 | Hey!Say!JUMP | 山田涼介 | ゆとやま | KHR | 1827 | HQ!! | みかんば | 乙棘 | 肖战 | 博君一肖 | #チェリまほ | @akasoeiji | 赤楚衛二,52,"คณิต                        คณิตเหมือนกันแต่แพ้เกม

#ก็จะดุ https://t.co/WgPeORlM5t", /ก็จะดุ,222,222,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
5,5,2021-03-04 19:52:28,#ก็จะดุ,iharukyuu,02 | anime | haruto junkyu @treasuremembers,567,รีรัน หาเจอในเครื่องพอดี คือเป็นรูปที่เอเนอร์จี้ #ก็จะดุ มากๆ 5555555555555555555555555555555555555 https://t.co/7iWCBk0QvW, /ก็จะดุ,51,61,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
6,6,2021-03-04 11:21:37,#ก็จะดุ,krksnaaaaa,ISTJ-T | とびっ子 | Hey!Say!JUMP | 山田涼介 | ゆとやま | KHR | 1827 | HQ!! | みかんば | 乙棘 | 肖战 | 博君一肖 | #チェリまほ | @akasoeiji | 赤楚衛二,52,ความแฟนของพิคณิตคือแรงมาก #ก็จะดุ มาแค่คำโปรย หน้าอิพี่ชายยังไม่โผล่ คอมเมนต์พุ่งไปเกือบเก้าร้อย ตะนิดเป็นเหม็นๆ แฝดพี่ในความฮอต ก็แค่สูง180กว่า ไหล่กว้าง ทำอาหารเก่งถักเปียเป็น ชอบทำความสะอาดบ้าน เอาใจใส่ เห้อ ก็แค่นี้เอง https://t.co/nPq5K7wCpK, /ก็จะดุ,229,337,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
7,7,2021-03-04 11:14:36,#ก็จะดุ,krksnaaaaa,ISTJ-T | とびっ子 | Hey!Say!JUMP | 山田涼介 | ゆとやま | KHR | 1827 | HQ!! | みかんば | 乙棘 | 肖战 | 博君一肖 | #チェリまほ | @akasoeiji | 赤楚衛二,52,"คณิต                               คณิตอีกเหมือนกัน

#ก็จะดุ https://t.co/nIgwE6aUC3", /ก็จะดุ,446,367,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
8,11,2021-03-04 08:04:47,#ก็จะดุ,krksnaaaaa,ISTJ-T | とびっ子 | Hey!Say!JUMP | 山田涼介 | ゆとやま | KHR | 1827 | HQ!! | みかんば | 乙棘 | 肖战 | 博君一肖 | #チェリまほ | @akasoeiji | 赤楚衛二,52,"พี่ชาย                                            คณิต
#ก็จะดุ https://t.co/z2j7psOxz3", /ก็จะดุ,109,36,i_hate_garlics,"Thailand = 𝙉𝙤 𝘗𝘳𝘪𝘷𝘢𝘤𝘺 𝙉𝙤 𝘚𝘦𝘤𝘶𝘳𝘪𝘵𝘺 𝙉𝙤 𝘋𝘦𝘮𝘰𝘤𝘳𝘢𝘤𝘺 
『 ชาติ ศาสนา ทามาโมะ โนะ มาเอะ 』องเมียวจิ 🌸
✨👀 คุรพิ่ส่องหาอานัยเบ๋อ❓ไยบะ、ไฮคิว"
9,54,2021-03-03 10:15:58,#ก็จะดุ,MiLd_SoOo,#หยิ่นวอร์ #มิวกลัฟ #บุ๋นเปรม,54,"101.#ฤดูเหมันต์
102.#อาทิตย์ดาวตก
103.#ก็จะดื้อ
104.#ก็จะดุ
105.#อัคนีวาริช 
106.#แค่เผลอหลับคาสตรีมเองนะครับ 
107.#โตแล้วไม่เป็นน้อง
108.#คุณนักวาดครับรับรักผมเถอะ
109.#พี่บอกอใจดี
110.#ไรท์ครับรับรักผมหน่อย", /ฤดูเหมันต์/อาทิตย์ดาวตก/ก็จะดื้อ/ก็จะดุ/อัคนีวาริช/แค่เผลอหลับคาสตรีมเองนะครับ,9,5,soxzxz,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
