,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-25 14:12:33,#ครึ่งชีวิตของผม,nadia25841,🏰 ♡¹𝙾𝚂𝙷♔ ゜♡𝙱𝙱𝙷♯×𝙿𝙲𝚈♬♡‥ゞ『“𝙴𝚇𝙾”』 🎠,86,"กิจกรรมแจกหนังสือ #ครึ่งชีวิตของผม 3 เล่ม!!!
อ่านกติกาได้เลยที่บทความคับบบ 

👉 https://t.co/q0HV2Zbj8P

มาร่วมสนุกกันเยอะๆ นะค้า 🤍
#นิยายวาย https://t.co/IwK9lOHDxR", /ครึ่งชีวิตของผม,20,5,19august___,เป็นติ่ง เป็นมนุดเงินเดือน ♡
1,1,2021-02-25 14:11:54,#ครึ่งชีวิตของผม,nadia25841,🏰 ♡¹𝙾𝚂𝙷♔ ゜♡𝙱𝙱𝙷♯×𝙿𝙲𝚈♬♡‥ゞ『“𝙴𝚇𝙾”』 🎠,86,@19august___ #ครึ่งชีวิตของผม เอาจริงๆเลยคือ ชอบทั้งดิมและกันต์เลย 555555 เลือกยากจัง เพราะต่างคนต่างมีความแตกต่างในตัวเองที่พออยู่ด้วยกันแล้วทำให้เรื่องนี้ลงตัว 👍🏻🥺 ถ้าเลือกคงเป็นกันต์ เพราะชีวิตของกันต์คล้ายกับบางคนที่เรารู้จักแล้วมาปรึกษาปัญหากับเรา ซึ่งถ้าเป็นกันต์มาเล่าเราคงพูดเหมือนกัน, /ครึ่งชีวิตของผม,0,0,19august___,เป็นติ่ง เป็นมนุดเงินเดือน ♡
2,2,2021-02-24 11:02:17,#ครึ่งชีวิตของผม,nnnn__x,𝗶𝘀𝗳𝗷 | 𝟵𝟬'𝘀 𝗸𝗶𝗱𝘀 | 𝗮𝗹𝗰𝗵𝗮𝗻 𝘆𝗲𝗼𝗹𝗺𝗮𝗲 ♡,739,"OTHER HALF #ครึ่งชีวิตของผม 
[จบแล้ว]

TIMEVERSE ⏰

รีวิวแผ่น 3 คับ 💕

RAW : https://t.co/caHndjuoil
DD : https://t.co/mwIY09DZeJ
TBL : https://t.co/Mox9RMJrjP

#นานามารีวิว #นิยายวาย #แนะนำนิยายวาย #รีวิวนิยายวาย #แนะนำนิยายวายจบแล้ว https://t.co/08wRt8I2l3", /ครึ่งชีวิตของผม,2,5,nanamareview,"รีวิว,บ่นขิงข่าเกี่ยวกับนิยายวาย/มังงะวาย        
ขับเคลื่อนด้วยความว่างล้วนๆ 
รีวิวอยู่ใน❤, #นานามารีวิว

พิมพ์ผิดขออภัย นิ้วอ้วน 🤣"
3,3,2021-02-24 11:00:47,#ครึ่งชีวิตของผม,19august___,เป็นติ่ง เป็นมนุดเงินเดือน ♡,452,@19august___ เราชอบกันต์ค่ะ น่ารักมากๆเลย ชอบนิยายเรื่องนี้ที่ใช้ภาษาดี อ่านเข้าใจง่าย เนื้อเรื่องก็สนุก ส่วนตัวชอบอ่านแนวเวิร์สอยู่แล้วได้มาอ่านแบบนี้ก็แปลกแนวไม่ซ้ำใครดีค่ะ สนุกมากๆเลย อ่านแล้วหยุดไมได้ แนะนำๆเลย #ครึ่งชีวิตของผม, ,1,1,Lily_linrada 19august___,"รีวิว,บ่นขิงข่าเกี่ยวกับนิยายวาย/มังงะวาย        
ขับเคลื่อนด้วยความว่างล้วนๆ 
รีวิวอยู่ใน❤, #นานามารีวิว

พิมพ์ผิดขออภัย นิ้วอ้วน 🤣"
4,4,2021-02-24 11:00:43,#ครึ่งชีวิตของผม,19august___,เป็นติ่ง เป็นมนุดเงินเดือน ♡,452,@19august___ สารภาพค่ะว่าเพิ่งอ่านไปแค่ตอนเดียว(ไม่มีเวลาว่างอ่านน่ะค่ะ)รู้สึกชอบตัวละครดิมค่ะ ดูเป็นคนที่กวนโอ๊ยแต่พึ่งพาได้ ประทับใจเรื่องนี้เพราะเป็นเวิร์สที่ไม่เคยอ่านมาก่อนและเป็นเวิร์สที่น่าสนใจมากๆค่ะ ชอบการบรรยายด้วยค่ะอ่านง่ายดีค่ะ ถ้ามีเวลาอ่านต่อจะอ่านให้จบเลยค่ะ #ครึ่งชีวิตของผม, ,1,1,yuuu_samasang 19august___,"รีวิว,บ่นขิงข่าเกี่ยวกับนิยายวาย/มังงะวาย        
ขับเคลื่อนด้วยความว่างล้วนๆ 
รีวิวอยู่ใน❤, #นานามารีวิว

พิมพ์ผิดขออภัย นิ้วอ้วน 🤣"
5,5,2021-02-24 11:00:42,#ครึ่งชีวิตของผม,19august___,เป็นติ่ง เป็นมนุดเงินเดือน ♡,452,@19august___ เราชอบตัวละครกันต์มากๆ เอ็นดู55 เอาดีดีพึ่งอ่านไปไม่กี่ตอนแต่ดำเนินเรื่องได้ดีมาก ชอบการที่ดำเนินเรื่องที่เลขมากๆๆ 50ก็คือคู่ พึ่งเคยเห็นเลย พี่แทนสมควรได้รับความรักดีดี แล้วมันเป็นความรักที่อบอุ่นมากๆๆๆๆ ติดตามผลงานนะคะ(ไม่ได้พิมพ์งงใช่ไหมนะ55) #ครึ่งชีวิตของผม, ,1,1,YOONGI_YG1 19august___,"รีวิว,บ่นขิงข่าเกี่ยวกับนิยายวาย/มังงะวาย        
ขับเคลื่อนด้วยความว่างล้วนๆ 
รีวิวอยู่ใน❤, #นานามารีวิว

พิมพ์ผิดขออภัย นิ้วอ้วน 🤣"
6,8,2021-02-23 14:09:47,#ครึ่งชีวิตของผม,tennism1230,เป็นติ่ง แอครอง,80,"📢แจ้งข่าว รอบไปรษณีย์ งานหนังสือ

สวัสดีค่ะ หนังสือทุกเรื่องรวมถึงเรื่องใหม่ #ครึ่งชีวิตของผม #รอคุณออนไลน์ เล่มต้น และ เล่มกลาง (รอบของแถมครบเหมือนในงาน) พร้อมส่ง จะเริ่มเปิดจำหน่ายในเว็บวันจันทร์ที่ 19/10 นะคะ โดยจะโพสรายละเอียดอีกทีก่อนเปิดเว็บค่ะ 

ขอบคุณค่า", /ครึ่งชีวิตของผม/รอคุณออนไลน์,35,18,BodhiPublishing,‘พอดี พับลิชชิ่ง’ รับสมัครนักแปล รวมถึงรับเสนอแนะแนวที่อยากอ่านทุกชาติค่า หากสงสัยสอบถามได้ที่ bodhinovels@gmail.com
7,9,2021-02-23 14:09:41,#ครึ่งชีวิตของผม,tennism1230,เป็นติ่ง แอครอง,80,"📢งานหนังสือพร้อมส่งรอบไปรษณีย์📢

เปิดให้กดทาง https://t.co/pkHNAf3rjT วันนี้ เวลา 13.00 น. เป็นต้นไป จนถึง 31 ตุลาคม 2020 ระยะเวลาจัดส่ง ภายใน 3-5 วันหลังได้รับการยืนยันยอดเงิน โดยจัดส่งเป็นรอบๆ พร้อมกันค่ะ #รอคุณออนไลน์ #ฝ่าบาทอย่ากวนสิ #ครึ่งชีวิตของผม https://t.co/y9XXRQI4dy", ,39,17,BodhiPublishing,‘พอดี พับลิชชิ่ง’ รับสมัครนักแปล รวมถึงรับเสนอแนะแนวที่อยากอ่านทุกชาติค่า หากสงสัยสอบถามได้ที่ bodhinovels@gmail.com
8,16,2021-02-22 10:31:41,#ครึ่งชีวิตของผม,Galaxyy_fonfonn,"𝐸𝑣𝑒𝑟𝑦𝑡𝑖𝑚𝑒 𝐼 𝑠𝑒𝑒 𝑦𝑜𝑢 , 𝐼 𝑓𝑎𝑙𝑙 𝑖𝑛 𝑙𝑜𝑣𝑒 𝑎𝑙𝑙 𝑜𝑣𝑒𝑟 𝑎𝑔𝑎𝑖𝑛 🌻🌞
𝐸𝑋𝑂 𝑎𝑛𝑑 𝑁𝐶𝑇 , 𝑌𝑜𝑢 𝑎𝑟𝑒 𝑚𝑦 𝑠𝑢𝑛𝑠ℎ𝑖𝑛𝑒",65,"แบ่งกันค่ะ
#นมตราหมีดีที่สุด 
#รอน้องสิบแปดบวก 
#น้องคนดีมีรอยสัก 
#พี่เขาบุกโลกของผม 
#ฉลามไม่กินเนื้อ
#ครึ่งชีวิตของผม
#พนักงานดูแลเตียง
#ห้องลับห้องรัก 
#ว่าไงน้องหมวย 
#แฟนพรากบังคับ 
#พี่เล้งแซ่บมาก 
#ภูเปา
#เพื่อนกล่อมนอน 
#เสมอเส้นขอบฟ้า 
#กี่หมื่นฟ้า
#เรื่องของหนูนิ่ม", /นมตราหมีดีที่สุด/รอน้องสิบแปดบวก/น้องคนดีมีรอยสัก/พี่เขาบุกโลกของผม/ฉลามไม่กินเนื้อ/ครึ่งชีวิตของผม,75,113,tasmark7,"🍒🍓🍭support for got7🍑🍄🍬 #markbam♥
สายวาย ~สายดราม่า~ฟิวกู้ด~
ครอบครัวปลาใหญ่🦈🐬🐳
อยากได้ผัวแบบสิงห์ใหญ่ 😉"
9,26,2021-02-20 08:21:38,#ครึ่งชีวิตของผม,ohsehnnxot9,,0,"178. Other Half #ครึ่งชีวิตของผม เพิ่งเคยอ่าน #timeverse เรื่องแรก แปลกใหม่ดี
เมื่อคนทุกคนมีตัวเลขติดตัวบางคน 1 บางคน 100 เลขจะลดหรือเพิ่มขึ้น ถ้าหากถึง 100 หรือ ลดลงเหลือ 0 เท่ากับตาย แต่มุกคนมีคู่ชีวิต ถ้าหาเจอตัวเลขจะหยุดอยู่ที่ 50 เหมือนแทนคุณกับกันต์ พระนายของเรื่อง https://t.co/Y85k16O2zw", /ครึ่งชีวิตของผม/timeverse,2,2,bunomania,รัก..หลินฮั่นโจว 🐰🥕ปกติเป็นติ่งเกาหลีแบบฟลูไทม์ แต่โดนเจ้ากาตุ่ยวินตกไปเต็มๆ จากแค่พอฟินฟิน กลายเป็นอินกับวินไบร์ท
