,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-13 10:24:11,#คืนรักธิมา,nykntdd,,5,สารภาพว่าเรื่องนี้เปลี่ยนพล็อต  จริงๆดราม่ากว่านี้เยอะมากกกกก แต่คิดไปคิดมา ไม่เอาดีกว่า เขียนไม่ลง สงสารน้องไทม์ เรารักน้องมากไปอะ 55555555  #คืนรักธิมา, ,11,24,Melenalikely,#วิวาห์อามันต์ #ไป๋ไม่ได้รัก #ที่ไม่รัก #หวาฬรัก #คุณขอแค่รัก #คืนรักธิมา #แฟนนักอ่านเงา #ขอรักแค่คุณ #เวฬาหยุดรัก #สาปดาว #แอบลักษณ์ #แอบยักษ์ #แฟนหมอแมน
1,1,2021-03-13 10:12:21,#คืนรักธิมา,kktu_kkk,I'm from the hell but I'm in love Tewa,29,"[Mpreg] Endless Time #คืนรักธิมา 

อัพตอนที่ 21

มาต่อแล้วนะคะ

#นิยายวาย #แนะนำนิยายวาย 

https://t.co/pBeoxVr4Bl", /คืนรักธิมา/นิยายวาย/แนะนำนิยายวาย,45,32,Melenalikely,#วิวาห์อามันต์ #ไป๋ไม่ได้รัก #ที่ไม่รัก #หวาฬรัก #คุณขอแค่รัก #คืนรักธิมา #แฟนนักอ่านเงา #ขอรักแค่คุณ #เวฬาหยุดรัก #สาปดาว #แอบลักษณ์ #แอบยักษ์ #แฟนหมอแมน
2,4,2021-03-13 08:55:29,#คืนรักธิมา,1st2Bam,"ชีวิตไม่ยาก แต่กูยุ่งยาก
|||
ชาติ เสรีศาสนา ประชาชน",81,ชั้นไม่เคยไว้ใจนักเขียนเลย 5555555555 ไม่คิดว่าเรื่องจะง่ายด้วย แต่ก็ 20 ตอนผ่านไปแล้วเนาะ พอเถอะเค้าบ่าไหวแล้ว #คืนรักธิมา, /คืนรักธิมา,2,2,kimwigi2,4 ยอดกุมาร #กองดองของเมลอน
3,7,2021-03-13 08:23:03,#คืนรักธิมา,Lazy_girL03,,5,"หึ้ยยยย​ แม่มา  (รึป่าว? )
รับมือดีๆนะลุงแบรด มาต่อเร็วๆนะคะ​ ติดมากเรื่องนี้​ 
#คืนรักธิมา", /คืนรักธิมา,0,0,Lazy_girL03,
4,18,2021-03-13 02:46:35,#คืนรักธิมา,Kwangkies,Kyuhyun​ XZYB,122,หวานได้2ตอน​ คุณวามาแล้ว​ สู้ๆนะลุงแบ​รด​ #คืนรักธิมา, /คืนรักธิมา,0,0,Kwangkies,Kyuhyun​ XZYB
5,23,2021-03-12 18:41:38,#คืนรักธิมา,yumyumyumpeach,2️⃣9️⃣▶️🔂/ปีใหม่แล้วเลิกประสาทแดก/ 𝐒𝐩𝐨𝐭𝐢𝐟𝐲 𝐋𝐨𝐯𝐞𝐫,129,(Mpreg) Endless Time #คืนรักธิมา ตอนที่ 21  #readAwrite #Melenalike #Melena_Hollyk  #คืนรักธิมา #Boy love / Yaoi / ชายรักชาย ##yaoi #ชายชาย #ชxช #นิยายวาย #นิยายชายชาย #BL #Mpreg #เวฬาหยุดรัก https://t.co/EvlhW0m8lC คุณวาแน่ๆ, /คืนรักธิมา/readAwrite/Melenalike/Melena_Hollyk/คืนรักธิมา/Boy/yaoi/ชายชาย/ชxช/นิยายวาย/นิยายชายชาย/BL/Mpreg/เวฬาหยุดรัก,0,1,yumyumyumpeach,2️⃣9️⃣▶️🔂/ปีใหม่แล้วเลิกประสาทแดก/ 𝐒𝐩𝐨𝐭𝐢𝐟𝐲 𝐋𝐨𝐯𝐞𝐫
6,28,2021-03-12 17:57:04,#คืนรักธิมา,nam_gtl,"exo  OT9. #kai 🙋
EXO-L ❤ forever",7,"โอ้ออออออ พอมีใจให้กันอะไรมันก็ดูหวานไปหมด แต่ว่าคุณวามาแล้วแน่นอน
ลุงคะเตรียมรับมือค่ะ ลุงต้องสู้เพื่อน้องและยัยหนูนะค่ะ 
#คืนรักธิมา", /คืนรักธิมา,0,0,nam_gtl,"exo  OT9. #kai 🙋
EXO-L ❤ forever"
7,29,2021-03-12 17:36:42,#คืนรักธิมา,boysoverthemoon,ALL PHOTO / ALL VIDEO in Likes 💕,633,โอ้โหหหหหหหหหหห เจ้าไทม์!!!! ตอนฟาดกับอดีตเก่า ๆ ของลุงแกได้นัมเบอร์วันมาก!!!! แต่เดี๋ยวค่ะ!!! นี่อาจจะเป็นสภาวะของภูเขาไฟกำลังจะประทุ ยังวางใจมั่ยดั๊ยยยยยยย เง้ออออออ #คืนรักธิมา, /คืนรักธิมา,0,0,boysoverthemoon,ALL PHOTO / ALL VIDEO in Likes 💕
8,31,2021-03-12 17:35:40,#คืนรักธิมา,paksaklh,Bookaholic | นัก(หัด)เขียน ✒️torin #torinswriting | RT ⚠️🔞NSFW🔞⚠️ | #ห้องหนังสือของเหรียนเอ๋อร์ | BTS | Haikyuu!! |,82,ค้างมากกกก ลุงแบรดเจอของหนักแน่นอนตอนต่อไป เอาใจช่วยน้าาา #คืนรักธิมา, /คืนรักธิมา,0,0,paksaklh,Bookaholic | นัก(หัด)เขียน ✒️torin #torinswriting | RT ⚠️🔞NSFW🔞⚠️ | #ห้องหนังสือของเหรียนเอ๋อร์ | BTS | Haikyuu!! |
9,38,2021-03-12 06:44:13,#คืนรักธิมา,1st2Bam,"ชีวิตไม่ยาก แต่กูยุ่งยาก
|||
ชาติ เสรีศาสนา ประชาชน",81,"ความอบอุ่นที่น่ากลัว 
Me:ระแวง🧐 #คืนรักธิมา", /คืนรักธิมา,1,0,bajachi2812,เป้าหมายในชีวิต คือ รวย
10,39,2021-03-12 03:00:45,#คืนรักธิมา,khunlotsa,"#คนใจน้อยขี้น้อยใจ
#เป้าหมายของชีวิตคือดูเเลพ่อกับเเม่ให้สบาย
แฟนคลับ #MyBlue #เจ้าแก้มก้อน #สมุนเจ้าป่า
*ติ่งนิยายวาย/คู่เกย์
*BLSupport
#คลังของล็อต",67,#คืนรักธิมา หวานกันจนคนอ่านหวั่นใจกันเลยทีเดียว🤩🤩, /คืนรักธิมา,0,0,khunlotsa,"#คนใจน้อยขี้น้อยใจ
#เป้าหมายของชีวิตคือดูเเลพ่อกับเเม่ให้สบาย
แฟนคลับ #MyBlue #เจ้าแก้มก้อน #สมุนเจ้าป่า
*ติ่งนิยายวาย/คู่เกย์
*BLSupport
#คลังของล็อต"
11,40,2021-03-12 01:32:16,#คืนรักธิมา,baekhyunee_four,"We Are One 엑소사랑하자 #อัพเดตJula #ReviewJula 
IG: Baekhyunee_four
Line: @215yvgya",202,เขียนต่อกันค่ะ #คืนรักธิมา, /คืนรักธิมา,10,32,Melenalikely,#วิวาห์อามันต์ #ไป๋ไม่ได้รัก #ที่ไม่รัก #หวาฬรัก #คุณขอแค่รัก #คืนรักธิมา #แฟนนักอ่านเงา #ขอรักแค่คุณ #เวฬาหยุดรัก #สาปดาว #แอบลักษณ์ #แอบยักษ์ #แฟนหมอแมน
12,41,2021-03-11 16:10:55,#คืนรักธิมา,RecommendAllFic,(⚠สำคัญ : ฟอลก่อนแล้วแท็กฟิค/นิยาย) #readAwrite #เด็กดี #นิยายวาย #แฟนฟิค #แนะนำนิยายวาย,5464,"[Mpreg] Endless Time #คืนรักธิมา

อัพตอนที่ 20 

#นิยายวาย #นิยายวายแนะนำ

https://t.co/phmCWSbIEz", /คืนรักธิมา/นิยายวาย/นิยายวายแนะนำ,37,36,Melenalikely,#วิวาห์อามันต์ #ไป๋ไม่ได้รัก #ที่ไม่รัก #หวาฬรัก #คุณขอแค่รัก #คืนรักธิมา #แฟนนักอ่านเงา #ขอรักแค่คุณ #เวฬาหยุดรัก #สาปดาว #แอบลักษณ์ #แอบยักษ์ #แฟนหมอแมน
13,44,2021-03-11 15:29:25,#คืนรักธิมา,khunlotsa,"#คนใจน้อยขี้น้อยใจ
#เป้าหมายของชีวิตคือดูเเลพ่อกับเเม่ให้สบาย
แฟนคลับ #MyBlue #เจ้าแก้มก้อน #สมุนเจ้าป่า
*ติ่งนิยายวาย/คู่เกย์
*BLSupport
#คลังของล็อต",67,#คืนรักธิมา บันทึกไว้ ตอน20 ฉันอ่านแล้วเขินมาก กรี๊ดจนแม่มองหน้า//ขอหวานๆอีกสักตอนสอวตอนนะคะให้พอกระชุ่มกระชวยก็ยังดี คิกคิก//เป็นกำลังใจให้คุณไรท์นะคะ, /คืนรักธิมา,0,0,khunlotsa,"#คนใจน้อยขี้น้อยใจ
#เป้าหมายของชีวิตคือดูเเลพ่อกับเเม่ให้สบาย
แฟนคลับ #MyBlue #เจ้าแก้มก้อน #สมุนเจ้าป่า
*ติ่งนิยายวาย/คู่เกย์
*BLSupport
#คลังของล็อต"
14,52,2021-03-11 12:51:24,#คืนรักธิมา,orndinaryme,HappY EverY Single DaY 🦁💚❤️🐰,74,กรี๊ดดดดดด กราบขอบคุณคุณนข. สำหรับตอนนี้ค่ะ เพิ่งจะได้ยิ้มเขิลครั้งแรก!  เค้าจะรักกันแล้ว นี่ว่าพ่ออาวัจจิต้องมีจิกคามองแน่ๆ แต่เดาใจคุณวาไม่ออก แต่คิดว่าคุณวาอาจจะอึ้ง แต่รู้ว่าแบรดดีมาก ดูแลน้องไทม์ได้แน่ๆ พ่ออาวัจจะเป็นคุณตาแล้ว! #คืนรักธิมา, /คืนรักธิมา,0,0,orndinaryme,HappY EverY Single DaY 🦁💚❤️🐰
15,53,2021-03-11 11:59:27,#คืนรักธิมา,Kwangkies,Kyuhyun​ XZYB,122,คืนนี้จะมามั้ยจ้ะ​ #คืนรักธิมา, /คืนรักธิมา,0,0,Kwangkies,Kyuhyun​ XZYB
16,54,2021-03-11 05:44:07,#คืนรักธิมา,Lazy_girL03,,5,"""พ่อของลูกในท้องเธอ""  อ่อยยยย​ อันนี้เขินมากกกกก​ ลุงแกก็แซ่บใช่ย่อยนะน้องไทม์ก็ไม่เบา​ เค้าจูบกันอีกแล้ว​ &gt;.&lt;
นี่คิดว่าถ้าวัจจีรู้เรื่องมีหวังบ้านบึ้ม​ เผลอเรียกสินสอดเป็นธุรกิจของมิสเตอร์คอนเนอร์​ หมดตัวแน่ลุง​ 55555
#คืนรักธิมา", /คืนรักธิมา,0,0,Lazy_girL03,
17,55,2021-03-11 05:40:38,#คืนรักธิมา,kimwigi2,4 ยอดกุมาร #กองดองของเมลอน,81,เขียนนิยายกันค่ะคืนนี้ #คืนรักธิมา, /คืนรักธิมา,4,26,Melenalikely,#วิวาห์อามันต์ #ไป๋ไม่ได้รัก #ที่ไม่รัก #หวาฬรัก #คุณขอแค่รัก #คืนรักธิมา #แฟนนักอ่านเงา #ขอรักแค่คุณ #เวฬาหยุดรัก #สาปดาว #แอบลักษณ์ #แอบยักษ์ #แฟนหมอแมน
18,58,2021-03-11 04:55:52,#คืนรักธิมา,yumyumyumpeach,2️⃣9️⃣▶️🔂/ปีใหม่แล้วเลิกประสาทแดก/ 𝐒𝐩𝐨𝐭𝐢𝐟𝐲 𝐋𝐨𝐯𝐞𝐫,129,(Mpreg) Endless Time #คืนรักธิมา ตอนที่ 20  #readAwrite #Melenalike #Melena_Hollyk  #คืนรักธิมา #Boy love / Yaoi / ชายรักชาย ##yaoi #ชายชาย #ชxช #นิยายวาย #นิยายชายชาย #BL #Mpreg #เวฬาหยุดรัก https://t.co/CnP0Sz00PV, /คืนรักธิมา/readAwrite/Melenalike/Melena_Hollyk/คืนรักธิมา/Boy/yaoi/ชายชาย/ชxช/นิยายวาย/นิยายชายชาย/BL/Mpreg/เวฬาหยุดรัก,0,0,yumyumyumpeach,2️⃣9️⃣▶️🔂/ปีใหม่แล้วเลิกประสาทแดก/ 𝐒𝐩𝐨𝐭𝐢𝐟𝐲 𝐋𝐨𝐯𝐞𝐫
19,59,2021-03-11 03:17:14,#คืนรักธิมา,LittleHyun04,,1,ละเนี่ยพอเริ่มใจตรงกันมันก็มาแรงทั้งสองเลย อร่อยเลยล่ะสิอาหารมื้อนี้ ไม่รู้ต้องระวังความหวานหรือเผ็ดร้อนดีนะ #คืนรักธิมา, /คืนรักธิมา,0,0,LittleHyun04,
20,60,2021-03-11 03:17:14,#คืนรักธิมา,LittleHyun04,,1,"คุณแบรดได้ทีก็รุกแรงเลยนะ เดี๋ยวทำคะแนนไม่ทันเวลาสินะ ว่างแผนเที่ยวครั้งนี้อย่างดีเลย 😏 
น้องไทม์หนูก็ช่วยใจเย็นๆกับเขาหน่อย คุณแบรดเขาแก่แล้ว(พยายามทำตัวเด็กเพื่อเทอ 😆)
 #คืนรักธิมา", /คืนรักธิมา,0,0,LittleHyun04,
21,63,2021-03-11 00:24:59,#คืนรักธิมา,Kwangkies,Kyuhyun​ XZYB,122,งื้ออออออ​ เอาอีกๆๆๆ​ เอาแบบนี้อีก​ #คืนรักธิมา, /คืนรักธิมา,0,0,Kwangkies,Kyuhyun​ XZYB
22,64,2021-03-11 00:01:00,#คืนรักธิมา,paksaklh,Bookaholic | นัก(หัด)เขียน ✒️torin #torinswriting | RT ⚠️🔞NSFW🔞⚠️ | #ห้องหนังสือของเหรียนเอ๋อร์ | BTS | Haikyuu!! |,82,กรี๊ดดดดดด ลุงแบรดดด ใจน้วยแทนน้องไทม์แล้วนะแงงงงง #คืนรักธิมา, /คืนรักธิมา,0,0,paksaklh,Bookaholic | นัก(หัด)เขียน ✒️torin #torinswriting | RT ⚠️🔞NSFW🔞⚠️ | #ห้องหนังสือของเหรียนเอ๋อร์ | BTS | Haikyuu!! |
23,67,2021-03-10 23:12:34,#คืนรักธิมา,kcpskji,♡ #AlwaysStandwithKAI ♡ #평생종인이편 (ˊσ̴̶̷̤ ₋̮̑ σ̴̶̷̤ˋ) ❤︎ 𝐋𝐮𝐜𝐤𝐲 𝐭𝐨 𝐡𝐚𝐯𝐞 𝐲𝐨𝐮 ❤︎ 🐻🧸🌱💛🛴😎🥺🍒🐬| ALL♡#KAI #babyniji88 &siblingsㅂ=ㅂ,3739,น้องไทม์ ลุงแบรดเป็นไข้อยู่ ถ้าหนูไปติดมาแม่จะตี!!! กำลังท้องกำลังไส้ หึ่ยยยยยย #คืนรักธิมา, /คืนรักธิมา,0,1,kcpskji,♡ #AlwaysStandwithKAI ♡ #평생종인이편 (ˊσ̴̶̷̤ ₋̮̑ σ̴̶̷̤ˋ) ❤︎ 𝐋𝐮𝐜𝐤𝐲 𝐭𝐨 𝐡𝐚𝐯𝐞 𝐲𝐨𝐮 ❤︎ 🐻🧸🌱💛🛴😎🥺🍒🐬| ALL♡#KAI #babyniji88 &siblingsㅂ=ㅂ
24,68,2021-03-10 22:26:00,#คืนรักธิมา,nykntdd,,5,#คืนรักธิมา เวอร์ชั่น pm 2.5 (ผ่านกระจก) 😱😱 https://t.co/fi1hEz5Ae4, /คืนรักธิมา,6,24,Melenalikely,#วิวาห์อามันต์ #ไป๋ไม่ได้รัก #ที่ไม่รัก #หวาฬรัก #คุณขอแค่รัก #คืนรักธิมา #แฟนนักอ่านเงา #ขอรักแค่คุณ #เวฬาหยุดรัก #สาปดาว #แอบลักษณ์ #แอบยักษ์ #แฟนหมอแมน
25,69,2021-03-10 20:26:17,#คืนรักธิมา,Apiyj,|| 1998 - || อย่ามายุ่งกุจะชิปไปเรื่อย,30,กว่า20 ตอน ตอนล่าสุดคือฮีลใจสุด #คืนรักธิมา, /คืนรักธิมา,0,0,Apiyj,|| 1998 - || อย่ามายุ่งกุจะชิปไปเรื่อย
26,70,2021-03-10 19:45:38,#คืนรักธิมา,boysoverthemoon,ALL PHOTO / ALL VIDEO in Likes 💕,633,กรี๊ดดดดด คุณลุงไม่แผ่วเลยค่ะ เขินแทนเจ้าหนูไปหมด เจ้าหนูก็เริ่มใจอ่อนแน้วววว แต่คงให้คนอ่านตายใจไปก่อนที่พายุจะมาาาาา กรี๊ดดดด เมตตาคนอ่านด้วยนะคะ 555555+ #คืนรักธิมา, /คืนรักธิมา,0,0,boysoverthemoon,ALL PHOTO / ALL VIDEO in Likes 💕
27,74,2021-03-10 17:09:05,#คืนรักธิมา,m_loeeeeey,"🌹I’m EXO-L, chanbaekchipper, HRKfan and anthophile.",444,อยากให้มาบ่อยๆๆๆๆๆ #คืนรักธิมา, /คืนรักธิมา,0,0,m_loeeeeey,"🌹I’m EXO-L, chanbaekchipper, HRKfan and anthophile."
