,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-05 04:54:13,#คุกทดลองอัลฟ่า,Nllleex,น้องแทน่ารักตลอดกาล,151,#คุกทดลองอัลฟ่า alpha x alpha จากัวร์เป็นอัลฟ่าแฝงenigmaคือสามารถเปลี่ยนอัลฟ่าให้กลายเป็นโอเมก้าได้พล็อตน่าสนใจโทนดาร์กหน่อยๆnc cut–dirty talkเด่นมากrudeสุดfeel like I'm gonna fuck your brains outในแง่นั้น อ่านแล้วต้องร้องขอสวิตช์ปิดความผัว ผัวดิบผัวเถื่อนผัวจ่าฝูงเบาได้เบาหน่อย https://t.co/hpntjcHbYa, /คุกทดลองอัลฟ่า,24,34,mxboringworld,นี่กูแดกข้าวนะไม่ได้แดกหญ้า
1,1,2021-03-01 22:15:15,#คุกทดลองอัลฟ่า,ReiXner2,-ɴᴇᴠᴇʀ ɢᴇᴛ ᴛᴏᴏ ᴀᴛᴛᴀᴄʜᴇᴅ.,98,"pls rt
Heathens ⛓💀
Alpha x Alpha (Omegaverse)
6th —  Update50%

🔗https://t.co/mYWRZQAhuZ
 🏴‍☠️#คุกทดลองอัลฟ่า", /คุกทดลองอัลฟ่า,95,101,nakhunx,https://t.co/d8JwXEfbKe | Personal acc @nakhunx95 dm for work 🖤
2,2,2021-03-01 13:55:15,#คุกทดลองอัลฟ่า,iamyeppinkpink,ใจผ่มมัรก็เป็นหมาเอ๋งๆอยู่วันยังค่ำ🐶,30,งืออออ คิดถึงคุณจากัวร์กับเซเวียสที่สูดด🥺🤏🏻💘 #คุกทดลองอัลฟ่า, /คุกทดลองอัลฟ่า,0,0,iamyeppinkpink,ใจผ่มมัรก็เป็นหมาเอ๋งๆอยู่วันยังค่ำ🐶
3,6,2021-03-01 12:45:36,#คุกทดลองอัลฟ่า,WhatTheTak,✩ ไม่ต้องเก่งทุกอย่างก็ได้ ใช้ชีวิตให้มีความสุขเถอะนะ ✩ โพผัว300% | HRK BTS 𐤀 วนว ꪔ̤̮ ·͜· ☆͙ ๛ ⌗JJK 𖤐ᝰ,269,ดีใจกลีบมาแล้ว ว๊าเกกกกกก แต่ว่าขอกลับไปอ่านใหม่ว่าหมอลุดคือใครนะ555555 #คุกทดลองอัลฟ่า, /คุกทดลองอัลฟ่า,0,0,WhatTheTak,✩ ไม่ต้องเก่งทุกอย่างก็ได้ ใช้ชีวิตให้มีความสุขเถอะนะ ✩ โพผัว300% | HRK BTS 𐤀 วนว ꪔ̤̮ ·͜· ☆͙ ๛ ⌗JJK 𖤐ᝰ
4,9,2021-03-01 12:29:20,#คุกทดลองอัลฟ่า,badboy42802091,ยังรักดวงจันทร์เเบบเราอยู่มั้ย ☹,6,19. อดใจไม่บอกต่อไม่ได้สำหรับเรื่องนี้ เซเวียส(นายเอก)ได้ถูกจำคุกและได้ไปอยู่ในเขตพิเศษที่มีแต่อัลฟ่า เขาถูกทดลองยาบางอย่างแล้วจู่ๆร่างกายเขาก็แปลกไป จนได้เสียกับจากัวร์(พระเอก)ที่เป็นenigma เขาไม่รู้เลยว่าร่างกายเขาได้เปลี่ยนไปแล้ว #รีวิววาย #แนะนํานิยายวาย #คุกทดลองอัลฟ่า https://t.co/J3nLvwtGIq, ,93,150,review_Yfiction,ใช้รีวิวนิยายวาย ทั้งจบไม่จบ กันตัวเองลืม ( ꈍᴗꈍ) DM มาคุยกันได้นะ - หวีดกรีดร้อง - ฝากผลงาน - ฝากรีวิว - แนะนำนิยาย - อื่นๆ #รีวิววาย #นิยายวาย #แนะนำนิยายวาย
5,10,2021-03-01 12:12:15,#คุกทดลองอัลฟ่า,iamnoctnoct,RAW: jjewelleries. 🎖#ต่อยป้ะกว,10,เกือบหนึ่งอาทิตย์.. 🥵 แถมคุณจากัวร์ดูเสพติดเซเวียสน๊าาา #คุกทดลองอัลฟ่า, /คุกทดลองอัลฟ่า,0,0,iamnoctnoct,RAW: jjewelleries. 🎖#ต่อยป้ะกว
6,11,2021-03-01 12:02:00,#คุกทดลองอัลฟ่า,beyourphak,คิดถึงพี่นัด25ชั่วโมงเพราะคิดถึงเกิน,30,"เเบบ พี่นัดกลับมาเเล้วㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 
#คุกทดลองอัลฟ่า", /คุกทดลองอัลฟ่า,2,0,taehyung_ev21,"﹆✧˖° จีมมี่เพื่อนมึงเป็นเหี้ยอะไรอ่ะ · ˚ ༘  ฺ๋ ฺ‧₊
TA3HYUNG : B0TT0M 🥺🤏"
7,14,2021-03-01 11:44:20,#คุกทดลองอัลฟ่า,nakhunx95,@NAKHUNX 🖤,9085,กรี๊ดดดดด กลับมาแล้ว คิดถึงงง;-; #คุกทดลองอัลฟ่า, /คุกทดลองอัลฟ่า,1,0,venicia_wstr,•° 𝔹𝕋𝕊 ❁ 𝕞𝕪 𝕨𝕠𝕣𝕝𝕕 🌏 𝕗𝕥 𝕋𝕏𝕋 °• ᴋᴏᴏᴋᴠ × ᴍɪɴᴠ ғᴛ. ꜱᴏᴏɴɪɴɢ ⌫ | อยากเรียนฮอกวอตส์ ทำงานออสคอร์ป | ɢᴏᴀʟ : มีความสุกซะ จะได้ไม่ดิบ
8,15,2021-03-01 11:44:19,#คุกทดลองอัลฟ่า,nakhunx95,@NAKHUNX 🖤,9085,หนึ่งอาทิตย์ที่... มันต้องมีอะไรเปลี่ยนบ้างแหละน่า 🤔 สถานะอัลฟาอ่า แบบตั้งหนึ่งอาทิตย์!!!! #คุกทดลองอัลฟ่า, /คุกทดลองอัลฟ่า,1,0,IKaraked19,"@BTS_twt are everything 💜
Kim Taehyung 🐯 𐤀 (allv)
' I just wanna be happier. '"
9,0,2021-01-31 15:32:29,#คุกทดลองอัลฟ่า,hana_dollaya,𝙡𝙞𝙛𝙚 𝙜𝙤𝙚𝙨 𝙤𝙣 • 𝙗𝙡𝙪𝙚 𝙣 𝙜𝙧𝙖𝙮,423,จะมีโอกาสได้อ่านอีกไหม เศร้าอ่ะ ชอบมากเลยเรื่องนี้  #คุกทดลองอัลฟ่า, /คุกทดลองอัลฟ่า,0,0,hana_dollaya,𝙡𝙞𝙛𝙚 𝙜𝙤𝙚𝙨 𝙤𝙣 • 𝙗𝙡𝙪𝙚 𝙣 𝙜𝙧𝙖𝙮
