,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-08 20:22:30,#คุณคืออันดับหนึ่ง,NguiiArai,,11,#คุณคืออันดับหนึ่ง (Omegaverse) นายเอกเป็นราชินีโอเมก้า มีแฟนอยู่คนนึงคบมานานหลายปีแต่ไม่ค่อยมีความสุข โดนนอกใจอยู่บ่อยครั้ง จนทนไม่ไหวทะเลาะกันครั้งใหญ่ก่อนจะเลิกกัน ความบังเอิญเกิดขึ้นในวันเดียวกันนายเอกได้พบกับพระเอก อัลฟ่าตัวโตที่มีบรรยากาศรอบตัวแตกต่างไป(1) #แนะนํานิยายวาย https://t.co/377rUVn1ZG, /คุณคืออันดับหนึ่ง,774,1013,YYonlyyou,นิยายวายคือชีวิต แอคนี้สำหรับหวีดนิยายวายเท่านั้น ความชอบของนิยายแต่ละเรื่องขึ้นอยู่กับตัวบุคคลถ้าเรื่องไหนชอบเยอะจะอวยจนไส้แตก ||รวมรีวิวนิยายวาย||
1,1,2021-03-05 15:21:33,#คุณคืออันดับหนึ่ง,aititun,WRITER : :  aititun​  •_• | on air ~ #คุณคืออันดับหนึ่ง​ ​ #ไออุ่นของฤดูหนาว #ขนมของนายน์,279,1st #คุณคืออันดับหนึ่ง [Omegaverse] 25 x ปีสองปี  #readAwrite #aititun​ #Boy Love/Yaoi #นิยายวาย #18  #Mpreg #omegaverse #คุณคืออันดับหนึ่ง https://t.co/QatCMXQaW3, /คุณคืออันดับหนึ่ง/readAwrite/aititun/Boy/นิยายวาย/Mpreg/omegaverse,2,0,leeonn24,⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ｄｏｎｇｈａｅ ｅｕｎｈｙｕｋ ⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⠀⠀ ⠀
2,4,2021-03-05 09:29:58,#คุณคืออันดับหนึ่ง,aititun,WRITER : :  aititun​  •_• | on air ~ #คุณคืออันดับหนึ่ง​ ​ #ไออุ่นของฤดูหนาว #ขนมของนายน์,279,"มะ​ มาอัปพี่เสือแล้วนะคะ​🥺

#คุณคืออันดับหนึ่ง", /คุณคืออันดับหนึ่ง,2,2,aititun,WRITER : :  aititun​  •_• | on air ~ #คุณคืออันดับหนึ่ง​ ​ #ไออุ่นของฤดูหนาว #ขนมของนายน์
3,0,2021-02-01 00:00:09,#คุณคืออันดับหนึ่ง,leeonn24,⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ｄｏｎｇｈａｅ ｅｕｎｈｙｕｋ ⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⠀⠀ ⠀,222,1st #คุณคืออันดับหนึ่ง [Omegaverse] 20 x เลือก...ความสุข  #readAwrite #aititun​ #Boy Love/Yaoi #นิยายวาย #18  #Mpreg #omegaverse #คุณคืออันดับหนึ่ง https://t.co/quWvOFzBuH, /คุณคืออันดับหนึ่ง/readAwrite/aititun/Boy/นิยายวาย/Mpreg/omegaverse/คุณคืออันดับหนึ่ง,1,1,leeonn24,⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ｄｏｎｇｈａｅ ｅｕｎｈｙｕｋ ⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⠀⠀ ⠀
4,1,2021-01-31 16:32:08,#คุณคืออันดับหนึ่ง,thuntp__,"175 cm.
I can't understand of all your feels, but be strong and stay yourself. I want you feel be fine, I hope you smile. ;-)
บ่นๆ 99.99%",121,เสือ ㅠㅠ นายคือความสุขที่พี่เค้าเลือกนะ ไม่คิดมากสิ #คุณคืออันดับหนึ่ง, /คุณคืออันดับหนึ่ง,0,0,thuntp__,"175 cm.
I can't understand of all your feels, but be strong and stay yourself. I want you feel be fine, I hope you smile. ;-)
บ่นๆ 99.99%"
5,2,2021-01-31 15:11:15,#คุณคืออันดับหนึ่ง,phaphaphi,You’re the only one in the world. ♡ @gulfkanawut🌻| JBJ น้องดงฮัน | #MewGulf | น้อนกุ๊บกั๊บ,126,#คุณคืออันดับหนึ่ง นอแซ่บๆ ราชินิโอเมก้า ยืนหนึ่งในวงการ ถูกแฟนนอกใจเลยขอเลิกแล้ววิ่งออกมาเจอกับพอ พอ.เมะลูกหมา ฐานะยากจน พอพระเอกรู้ว่าช่วยใครไว้ก็ตกใจเพราะนอเป็นดาราดัง นอหวั่นไหวในความธรรมดาแต่อบอุ่นของพอ พอ.ฟีลแบบคิดว่านอ.เกินเอื้อมไป แต่ตอนนี้เป็นแฟนกันแล้ว #แนะนำนิยายวาย https://t.co/viGAfIJQKE, /คุณคืออันดับหนึ่ง,13,30,mdwqx_,design student - @winmetawin @bbrightvc 💙
6,3,2021-01-31 14:21:43,#คุณคืออันดับหนึ่ง,thatmymoomin,,15,@apieceofhrj__ ที่เค้าชอบมี #อย่าบอกป๊านะม๊า #คุณคืออันดับหนึ่ง #อรุณรุ่ง #มหาลัยครึ่งมนุษย์ ประมาณนี้คั้บ ดีทุกเรื่องเลย 🥺💗 สองเรื่องหลังเป็นแฟนตาซีด้วยค่ะ, /อย่าบอกป๊านะม๊า/คุณคืออันดับหนึ่ง/อรุณรุ่ง/มหาลัยครึ่งมนุษย์,3,5,ersteprino99_ apieceofhrj__,design student - @winmetawin @bbrightvc 💙
7,4,2021-01-31 13:15:05,#คุณคืออันดับหนึ่ง,ii_bua,มันคือความห่างไกลที่ไกลที่สุดแล้ว มือใหม่หัดติ่ง #ติ่งสายตาสั้น แต่ชอบแอบมองไกลไกล #ใครไม่กาวเรากาว,65,หน่วงจังเลย อยากให้หันหน้าคุยกัน อย่าคิดแทนกันนะ เดินไปพร้อมๆๆ กัน  #คุณคืออันดับหนึ่ง, /คุณคืออันดับหนึ่ง,0,0,ii_bua,มันคือความห่างไกลที่ไกลที่สุดแล้ว มือใหม่หัดติ่ง #ติ่งสายตาสั้น แต่ชอบแอบมองไกลไกล #ใครไม่กาวเรากาว
8,5,2021-01-31 12:35:30,#คุณคืออันดับหนึ่ง,aititun,WRITER : :  aititun​  •_• | on air ~ #คุณคืออันดับหนึ่ง​ ​ #ไออุ่นของฤดูหนาว,252,มาอัปชาร์ปที่20แล้วน้าาา​ #คุณคืออันดับหนึ่ง, /คุณคืออันดับหนึ่ง,0,1,aititun,WRITER : :  aititun​  •_• | on air ~ #คุณคืออันดับหนึ่ง​ ​ #ไออุ่นของฤดูหนาว
9,8,2021-01-30 15:32:16,#คุณคืออันดับหนึ่ง,leeonn24,⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ｄｏｎｇｈａｅ ｅｕｎｈｙｕｋ ⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⠀⠀ ⠀,222,1st #คุณคืออันดับหนึ่ง [Omegaverse] 19 x ของขวัญ  #readAwrite #aititun​ #Boy Love/Yaoi #นิยายวาย #18  #Mpreg #omegaverse #คุณคืออันดับหนึ่ง https://t.co/cjKPjgseDx, /คุณคืออันดับหนึ่ง/readAwrite/aititun/Boy/นิยายวาย/Mpreg/omegaverse/คุณคืออันดับหนึ่ง,0,0,leeonn24,⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ｄｏｎｇｈａｅ ｅｕｎｈｙｕｋ ⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⠀⠀ ⠀
