,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-25 11:48:39,#คุณติอร่อยที่สุด,Fluffycandyb,"저희는 독재에 맞서싸우고 있습니다!
chanbaek shipper  happiness delight ♡ ★ฮรก★ 
@weareoneEXO #EXO",71,ชั้นผู้ไม่เคยเสียเหรียญให้นิยายเรื่องไหนเลยเพราะความงก แต่ล่าสุดคือยอมเติมเหรียญเพื่ออ่าน #คุณติอร่อยที่สุด พลาดไม่ได้ นิยายน้ำดี, /คุณติอร่อยที่สุด,0,0,Fluffycandyb,"저희는 독재에 맞서싸우고 있습니다!
chanbaek shipper  happiness delight ♡ ★ฮรก★ 
@weareoneEXO #EXO"
1,1,2021-02-25 11:43:16,#คุณติอร่อยที่สุด,nokk_jii,Author —,6165,"คุณติ จาก #คุณติอร่อยที่สุด 
ชาร์ค จาก #ฉลามสิ้นลาย https://t.co/o7r43vKCSD", /คุณติอร่อยที่สุด/ฉลามสิ้นลาย,3,1,ydahh_,𝑰𝑴 𝑱𝑨𝑬𝑩eom 𝑮𝑶𝑻𝟕 -𝑩𝑯 𝑬𝑿𝑶 -𝑾𝒀𝑩 & 𝑿𝒁- 𝑵𝑪𝑻/𝑾𝒂𝒚𝑽 - 𝑶𝒏𝒆𝑫 - 𝑾𝒂𝒏𝒏𝒂𝒐𝒏𝒆 ❤️ #กิ้ฟอเวยะด้า
2,2,2021-02-24 22:00:45,#คุณติอร่อยที่สุด,lanlvlynn,,12,"ปกเซ็ต Marriage&amp;Mpreg ค้าบ :3 
ตอนนี้มี 4 เรื่องฮะ (เพิ่งจบไป 1 🤣)
- My Proposal (ธิติxพลิน) #คุณติอร่อยที่สุด
- Divorce Me (ธฤตxคณิน) #แต่งวันนี้หย่าชาติหน้า
- Marry Me (สหรัฐxปัทมะ)
- Marriage Vows (ศตคุณxวิรัญจน์) #ในกรงทอง https://t.co/quahUzc87v", /คุณติอร่อยที่สุด,1284,989,nigiri_sushi,𓂃𓂃𓊝𓄹𓄺𓂃𓂃 𓈒𓏸 𓆉 𓈒𓏸 𓆉 𓏸𓈒 เขียนแบบสโลว์~ 𓂃𓂃𓂃𓂃𓊝𓄹𓄺𓂃𓂃𓂃 𓈒𓏸 𓆉 𓈒𓏸 𓆉 𓏸𓈒
3,3,2021-02-24 21:47:17,#คุณติอร่อยที่สุด,lanlvlynn,,12,"คุณติ = ผัวทิพย์ ผัวสวรรค์ #คุณติอร่อยที่สุด 
คุณธฤต = ผัวนาโร๊กกกกกก!!! #แต่งวันนี้หย่าชาติหน้า https://t.co/brelOXML2I", /คุณติอร่อยที่สุด/แต่งวันนี้หย่าชาติหน้า,148,53,G_Thichadad,. * . * 🐈 Nudee pen meaw Gusu 🐇 .🌙 * . * ☄️. * * . 🌍* . . * 💫 * . * . .
4,4,2021-02-24 20:24:19,#คุณติอร่อยที่สุด,_xxnuq,แอคนี้เป็นอิแอ๋วประสาทแดกจ้า,219,@PS_taetae ใครชอบอ่านนิยายวาย ฝากเรื่องเหล่านี้ไว้ อย่าลืมหาอ่านนะ สนุกมาก #ดาราจักร #น้าแก้วของโชค #กาเหว่าบ้า #ดิมไลท์ #เสน่หาจันทราลิขิต #คนแปลกหน้าคือคู่ชีวิต #ซ่อนรัก #คุณติอร่อยที่สุด #ใต้เงามังกร #อรุณรุ่ง #รัตติจันทร์พันกร 🤗 ที่เหลือก็ตามอ่านจากนักเขียนเจ้าของเรื่องต่างๆได้เลย, /ดาราจักร/น้าแก้วของโชค/กาเหว่าบ้า/ดิมไลท์,94,136,cherryinrum PS_taetae,. * . * 🐈 Nudee pen meaw Gusu 🐇 .🌙 * . * ☄️. * * . 🌍* . . * 💫 * . * . .
5,5,2021-02-24 09:56:40,#คุณติอร่อยที่สุด,PPLovely251,🦋🌌,157,"เธรดรวมอภิมหามหึมาผัวทิพย์คัดมาแบบว่า ตัวบอสทั้งนั้น

#เมกาโลมา ผัวทุกสถาบัน
#คุณติอร่อยที่สุด ผัวแห่งชาติ
#พี่นาวาต้องฟังผม ผัวเด็ก
#พี่หินคนห่าม ผัวนักดนตรี
#นับเก้ารัก ผัวบราค่อน
#หวนกลิ่นรัก ผัวไมโครเวฟ
#สามหกสิบแปด ผัวหรือพ่อ
#ก็จะดื้อ ผัวสปอยเก่ง
#กี่หมื่นฟ้า ผัวอบอุ่น", /เมกาโลมา/คุณติอร่อยที่สุด/พี่นาวาต้องฟังผม,7562,7451,99Benyapa,เธอยังคงงดงาม ฉันยังคงรักเธอ 🥀
6,8,2021-02-23 07:20:48,#คุณติอร่อยที่สุด,p17229825,,0,"🎉✨10เรื่อง omegaverse ในดวงใจปี2020🎆🎊 แต่ละเรื่องคือรักไม่ไหว ทั้งฟินทั้งแซ่บ  ที่คัดมาคืออ่านซ้ำทุกเรื่อง10/10 #แนะนํานิยายวาย
#เทวดาหลงไค 
#พันธะสีชมพู
#กรุ่นกลิ่นสัตตบงกช
#อรุณรุ่ง
#มังกรซ่อนเพชร
#yourผมเป็นของคุณ
#กระท่อมลวงรัก
#คุณติอร่อยที่สุด
#คุณอัยย์ใจหาย
#ศิลาโกสุม https://t.co/CeU8BUmJbm", ,84,136,MAKUDJI,"#แนะนำนิยายวาย #NCจะเยียวยาทุกสิ่ง🔞 
#ติ่งไม่ใช่กิริยามันคือกรรม💕 #ลูกบอลของคุณบิ๊กกลัฟ แม่เป็นลูกบอลของนู๋⚽ นู๋เป็นลูกชายของแม่"
7,9,2021-02-22 16:31:18,#คุณติอร่อยที่สุด,Beaglejew,잭슨 ❣,19,"ติดมากรอไรท์มาอัพทูกวันนน สนุกทุกเรื่อง ชอบม๊ากกก
1.#พี่เพลิงจะไม่ทน
2.#ระวังโจรปลื้ม 
3.#พี่จะตีนะเนย
4.#คนนั้นของโท
5.#วิศวกรรณโยธา 
6.#ชอบก็Jeeb 
7.#รันย์ไม่เว้นวรรค 
8.#คุณติอร่อยที่สุด
9.#ช่างสักรักคุณครู  
#แนะนำนิยายวาย #นิยายวาย", /พี่เพลิงจะไม่ทน/ระวังโจรปลื้ม/พี่จะตีนะเนย/คนนั้นของโท,207,261,Cschottiii,🎅🏼🌿เราบ่นไปเรื่อยนะคะ
8,10,2021-02-22 16:27:23,#คุณติอร่อยที่สุด,ImLitW,ขายนิยายสนุกๆ ทวีตไปเรื่อย บ้างก็บ่นเรื่องส่วนตัว #มาแชร์โค้ดช้อปปี้ที่ใช้ลดหนังสือกับร้านที่ใช้โค้ดได้เฉยๆนะคะไม่ใช่เจ้าของร้านเด้อ🤣,72,"มือ2 ***มีตำหนิ.มีร่องรอยการอ่าน มีรอยเปื้อนค่ะ
ขาย 580฿ ค่าส่งพัสดุ20 แฟลช40
รอบจองของครบ

มีรูปเพิ่มเติม⬇️⬇️⬇️
 #คุณติอร่อยที่สุด
#นิยายวาย https://t.co/zwodYpKH3t", /คุณติอร่อยที่สุด/นิยายวาย,0,1,ImLitW,ขายนิยายสนุกๆ ทวีตไปเรื่อย บ้างก็บ่นเรื่องส่วนตัว #มาแชร์โค้ดช้อปปี้ที่ใช้ลดหนังสือกับร้านที่ใช้โค้ดได้เฉยๆนะคะไม่ใช่เจ้าของร้านเด้อ🤣
9,11,2021-02-22 14:00:57,#คุณติอร่อยที่สุด,kaikongsasomexo,ขายของสะสมหลายวงเลยค่า | #reviewkkss | #updatekkss | #kkส่งของ | แอคเดียวกับ @sharewithmay,19,"💚 พร้อมส่งนิยายวาย
- คุณติอร่อยที่สุด รอบจองของครบ เล่มพิเศษยังอยู่ในซีล
- 600฿ รวมส่งพัสดุ
#นิยายวาย #นิยายวายแนะนำ #คุณติอร่อยที่สุด #ขายนิยายวายมือสอง #ขายนิยายวาย https://t.co/PPaVH7hU68", /นิยายวาย/นิยายวายแนะนำ/คุณติอร่อยที่สุด/ขายนิยายวายมือสอง/ขายนิยายวาย,0,0,kaikongsasomexo,ขายของสะสมหลายวงเลยค่า | #reviewkkss | #updatekkss | #kkส่งของ | แอคเดียวกับ @sharewithmay
