,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-25 13:28:33,#คุณนิรันดร์,Pmdddddd,อยากให้ประเทศไทยขับเคลื่อนด้วยการนอน,319,คุณค้าาาาา จักรวาลแวมไพร์พีเรียดไทยเล็กๆที่ดีที่สุดค่ะคุณ แบบถาษาดีมากกก อธิบายดีมกาๆๆๆ ต้องไปตามๆฟๆๆ เหนือวายุจบไปสดๆร้อนๆ มาหาคุณนับในยุคปัจจุบันกันฮะ ผมกรี๊ดๆๆ ㅠㅡㅡㅡㅠ #คุณนิรันดร์ #เหนือวายุ #นับอนันต์ #แนะนํานิยายวาย #พิมุมีนิยายมาขาย https://t.co/ojzEkyGVN4, ,19,25,lonelyhold8,"full-time mommeaw, part-time anime addictor ; aka. spoiler"
1,4,2021-02-25 08:18:45,#คุณนิรันดร์,SLiiPLeSS,🌱 All we need is F R E E D ✪ M 🍀,238,#คุณนิรันดร์ เคะควีนกับเมะลูกหมาของเขา ลูกหมาจริงๆเด็กโปรดได้คุณนิรันดร์รับมาเป็นเด็กในบ้าน ส่วนคุณนิรันดร์เป็นแวมไพร์ต้นตระกูลที่แข็งแกร่งที่สุดในพระนคร คือต้องอ่านจริงน้องโปรดแบบเทิดทูนเขามาก ตอนแรกเรียกได้ว่าแทบจะแหงนมองเครื่องบินอะ แบบเด็กมันน่าเอ็นดู๊เอ็นดู!! https://t.co/xuXOoLON4I, /คุณนิรันดร์,3,0,lonelyhold8,"full-time mommeaw, part-time anime addictor ; aka. spoiler"
2,11,2021-02-25 03:38:23,#คุณนิรันดร์,puraaepair,เป็นทาสคุณองซองอู #nielong สามจุดไกลสามจุดใกล้ ปูซานข้างอินชอน,15,เพิ่งได้เริ่มอ่าน #เหนือวายุ แค่ตอนแรกก็ชอบแล้ว คุณคนแต่งยังคงภาษาที่สละสลวยไว้เหมือนเดิม ชอบตั้งแต่อ่าน #คุณนิรันดร์ แล้ว นอกจากภาษาสวยยังบรรยายให้รู้สึกถึงบรรยากาศกรุงเทพสมัยก่อนได้ดี ชอบมาก แล้วพอเรื่องนี้เน้นสืบสวนมากขึ้นยิ่งเข้าทางเลย, /เหนือวายุ/คุณนิรันดร์,3,0,nanni_wk,"#อย่าดุไคฮุน #ficfetish #รักได้ไหมไคฮุน
CUT - https://t.co/nUJWqLFlJx"
3,24,2021-02-25 01:04:39,#คุณนิรันดร์,atthebluesky,stuck for words.,52,"ขายของหน่อย ตอนนี้มีนิยายสามเรื่องนะคะ

#บอสข้างบ้าน ออกงานหนังสือเม.ย. เปิดให้อ่านอยู่ไปลองได้ค่ะ
#เหนือวายุ กำลังจะจบเร็วๆนี้แหละ เซ็นสัญญาไปแล้วแต่ออกมะไหร่ยังไม่รู้ ลองได้เช่นกันค่ะ
#คุณนิรันดร์ ตอนนี้มีอีบุ๊กใน meb ทดลองอ่านในรอร ส่วนเล่มจะรีปรินต์งานเม.ย.นี้ค่ะ https://t.co/Ktdf1gqWI5", /บอสข้างบ้าน/เหนือวายุ,216,210,CC_Cincere,cincere • Multifandom • Fanartist/Writer • do not use my art without permission • ENG TH OK! • for my novels @fromcincere
4,27,2021-02-22 21:49:02,#คุณนิรันดร์,wooretuesday,ถ้าให้ไปกับคุณต่อให้เป็นนรกฉันก็จะไป เขินเหยาเชินมาก ตื่นมาก็เหยาเชิน ก่อนนอนก็เหยาเชิน ยองฮุนโพลูกชายค่ะ สวดทุกวันขอผัวเปนแฮชไม่กะวินวิน พิแทอิลด้วย!,121,ขายค่าา  #คุณนิรันดร์ 290บาทรวมส่งค่ะ สามารถสอบถามหรือดูสภาพเพิ่มเติมได้ใน DM ค่ะ #นิยายวาย #นิยายวายมือสองสภาพดี #นิยายวายมือสอง #ขายนิยายวายมือสอง #ขายนิยายวาย https://t.co/PNti2IOe22, /คุณนิรันดร์/นิยายวาย/นิยายวายมือสองสภาพดี,1,0,Diarydayforme,ขายนิยาย ขายทุกอย่างที่อยากขายค่าา ไม่โกงนะคะ ส่งของ 100%
5,37,2021-02-20 03:55:11,#คุณนิรันดร์,MhaMink1A,เป็นเอ้วขี้ติ่ง ติ่งมันหมดทุกวงการ มัลติแฟนด้อมที่แท้ | KyuMin❤️ChanBeak💘BNyoung💗MinLe💖NielOng💓DoubleB💝YuZhou💕BoZhan💞|,1090,"นิยายดาร์กแฟนตาซีเรื่องของโปรด หนุ่มน้อยผู้ปริณามหมาป่ากับ #คุณนิรันดร์ ผีดูดเลือดต้นตระกูลคนงามแห่งย่านบางรักและความสัมพันธ์หม่นๆท่ามกลางความดำมืดของพระนครในปี 2500 ความสัมพันธ์กรุ่นกลิ่นคาร์เนชันจะลงเอยอย่างไร เชิญหาคำตอบได้ในรูปแบบอีบุ๊กค่ะ

 https://t.co/slcqFO2jWO https://t.co/iZUoUj08RM", /คุณนิรันดร์,62,38,fromcincere,#คุณนิรันดร์ ｜รอตีพิมพ์ #บอสข้างบ้าน | WIP #เหนือวายุ #นับอนันต์
6,42,2021-02-19 14:01:59,#คุณนิรันดร์,SLiiPLeSS,🌱 All we need is F R E E D ✪ M 🍀,238,ขายของวันละนี้ดด #บอสข้างบ้าน จะปิดตอน 28 นี้นะคะ อีกสิบวันถ้วน #เหนือวายุ ก็เหลือบทส่งท้ายแล้ว ส่วน #คุณนิรันดร์ เหงาๆอยู่ใน meb แนะนำให้อันเชิญคุณเขาขึ้นชั้นหนังสือค่ะ เย้ https://t.co/EhQ902dtQS, /บอสข้างบ้าน/เหนือวายุ/คุณนิรันดร์,5,1,fromcincere,#คุณนิรันดร์ ｜รอตีพิมพ์ #บอสข้างบ้าน | WIP #เหนือวายุ #นับอนันต์
7,0,2021-02-05 12:05:28,#คุณนิรันดร์,SLiiPLeSS,🌱 All we need is F R E E D ✪ M 🍀,240,"ใครยังไม่ได้อ่านควรอ่านนะคะ สนุกมากๆดีมากๆ ฮือ อยากให้ทุกคนได้อ่านจริงๆ

#เหนือวายุ [สนพ.Hermit Books] #readAwrite #cincere #เหนือวายุ #Boy Love/Yaoi #นิยายวาย #นิยายวายพีเรียด #มนุษย์หมาป่า #ผีดูดเลือด #นักล่าปีศาจ #คุณนิรันดร์ https://t.co/pII8PdcRoh", /เหนือวายุ/readAwrite/cincere,7,0,kcpskji,♡ #AlwaysStandwithKAI ♡ #평생종인이편 (ˊσ̴̶̷̤ ₋̮̑ σ̴̶̷̤ˋ)  ❤︎ 𝐋𝐮𝐜𝐤𝐲 𝐭𝐨 𝐡𝐚𝐯𝐞 𝐲𝐨𝐮 ❤︎ 🐻🧸🌱💛🛴😎🥺🍒🐬| ALL♡#KAI #babyniji88 &siblingsㅂ=ㅂ
8,2,2021-02-05 03:01:14,#คุณนิรันดร์,meennie_meenny,"● fb : Manlika Meen'zii 
● ig : meennie_meenny
● id : mini.meen",10,"#วายล้วนล้วนรีวิว 
#แนะนํานิยายวาย 

102) #พวยสักทีเถอะ เฟรนโซน
103) #เวฬาหยุดรัก Mpreg 
104) #คุณนิรันดร์ แฟนตาซี พีเรียดไทย 
105) #พระชายา Mpreg จีนโบราณ 
106) #ชากาแฟป๋อจ้าน #ฟิคป๋อจ้าน omega
107) #แม่น้ำลั่วสามพันลี้ จีน 
108) #ดิมไลท์ Mpreg ติดเหรียญโรแมนติกดราม่า", /วายล้วนล้วนรีวิว/แนะนํานิยายวาย/พวยสักทีเถอะ/เวฬาหยุดรัก/คุณนิรันดร์,14,10,fictionyaoi1,แนะนำนิยายวาย #จบแล้วทุกเรื่อง #แนะนำนิยายวาย #วายล้วนล้วนรีวิว |18.11.2019| รีวิวและคะแนนตามความชอบส่วนบุคคล ถ้าอวยเยอะก็คือชอบมาก ขออภัย | ติดต่องานได้ที่ DM
9,3,2021-02-05 02:02:32,#คุณนิรันดร์,ongweloftdanity,"welo ft.danity
wannable
blinkไม่มีโมเม้นก้ชิปได้ด้วยพลังของชิปเป้อออออ❤❤❤❤",1,"#คุณนิรันดร์ แตะๆ 5 ดาวอยู่น้า
ซื้ออีบุ๊กลดจากปก 359 เป็น 329 นะคะ จอยไม่จอยให้รีวิวเป็นหลักฐาน

นิยายดาร์กแฟนตาซีที่เต็มไปด้วยความโกรธและการให้อภัย เรื่องของน้องหมาที่ตกหลุมรักผีดูดเลือดต้นตระกูลแบบถวายชีวิตกับอดีตแสนสับสน ไปดื่มด่ำพระนครปี 2500 กันนะ

https://t.co/slcqFO2jWO https://t.co/ZgtJMSINqV", /คุณนิรันดร์,13,7,fromcincere,FROM CINCERE • #คุณนิรันดร์ ｜รอตีพิมพ์ #บอสข้างบ้าน | WIP #เหนือวายุ
