,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-23 12:10:29,#คุณอัยย์ใจหาย,chaya_zzz,,15,"🌟#ขายนิยายวายแต่ง
🟣Box Set Finders Keepers ประกอบไปด้วย -Finding Cinnamon Bun #คุณอัยย์ใจหาย -Finding White Dahlia #รักเร่คุณเลขา รอบจอง สภาพสะสม ในซีล 
💵ขาย 1000฿ ส่งลงทะเบียน
ใส่กล่อง ห่อหนา แพคดี ส่งทุกวันจันทร์
#นิยายวาย #นิยายวายแปลจีน #ขายนิยายวาย #ขายนิยายวายมือสอง https://t.co/6djlqQIGmi", /ขายนิยายวายแต่ง/คุณอัยย์ใจหาย,2,10,littlejune_p,"🐇•JUNE•💫
📍แจ้งข่าวสารY นิยายY ต่างๆ😳
💬อ่านนิยายแล้วบอกต่อ
😂เราจะถล่มกองดองไปด้วยกัน~☺️
📚นิยายที่สปอยล์👉 #จูนอ่านนิยาย
📣ขายนิยายวายอ่านเอง สภาพดี☺️"
1,1,2021-02-23 07:20:48,#คุณอัยย์ใจหาย,p17229825,,0,"🎉✨10เรื่อง omegaverse ในดวงใจปี2020🎆🎊 แต่ละเรื่องคือรักไม่ไหว ทั้งฟินทั้งแซ่บ  ที่คัดมาคืออ่านซ้ำทุกเรื่อง10/10 #แนะนํานิยายวาย
#เทวดาหลงไค 
#พันธะสีชมพู
#กรุ่นกลิ่นสัตตบงกช
#อรุณรุ่ง
#มังกรซ่อนเพชร
#yourผมเป็นของคุณ
#กระท่อมลวงรัก
#คุณติอร่อยที่สุด
#คุณอัยย์ใจหาย
#ศิลาโกสุม https://t.co/CeU8BUmJbm", ,84,135,MAKUDJI,"#แนะนำนิยายวาย #NCจะเยียวยาทุกสิ่ง🔞 
#ติ่งไม่ใช่กิริยามันคือกรรม💕 #ลูกบอลของคุณบิ๊กกลัฟ แม่เป็นลูกบอลของนู๋⚽ นู๋เป็นลูกชายของแม่"
2,3,2021-02-21 04:57:06,#คุณอัยย์ใจหาย,paeplxy,🐶🐱🐰💚,21,#คุณอัยย์ใจหาย omegaverse เป็นความบังเอิญที่พระเอกกับนายเอกมาเจอกันแถมยังเป็นคู่แห่งโชคชะตา เจอกันครั้งแรกนายเอกก็ฮีทหนักจนพระเอกคุมสติไว้ไม่อยู่เลยมีอะไรกัน กัดคอแถมนอทจนนายเอกท้อง ตื่นมาอีกทีนายเอกก็หนีหายไปพระเอกก็พยายามตามหาทุกวิถีทาง อยากเจอนายเอกอีกครั้ง (1) #แนะนํานิยายวาย https://t.co/kzr9dNyZPQ, /คุณอัยย์ใจหาย,278,300,YYonlyyou,นิยายวายคือชีวิต แอคนี้สำหรับหวีดนิยายวายเท่านั้น ความชอบของนิยายแต่ละเรื่องขึ้นอยู่กับตัวบุคคลถ้าเรื่องไหนชอบเยอะจะอวยจนไส้แตก ||รวมรีวิวนิยายวาย||
3,4,2021-02-17 12:14:08,#คุณอัยย์ใจหาย,NovelsRiri,"นักเขียนนิยายวาย แวะอ่านกันได้นะคะ #นิยายของริริ #เล่ห์ลวงพยัคฆ์ #ปราบซ่า #ขยับเพื่อนเลื่อนเป็นรัก
ร้านค้า https://t.co/U0OHp6SBF1
รีนิยายตัวเองเยอะ!",714,"@somsomreview สุดยอดผัวรักเดียวใจเดียว=คุณติ จาก #คุณติอร่อยที่สุด 
คุณคนดีของเมีย=คุณอัยย์ จาก #คุณอัยย์ใจหาย 
รักเมียเปย์เมียตามใจเมีย=พี่ปราบ จาก #ปราบซ่า", /คุณติอร่อยที่สุด/คุณอัยย์ใจหาย,7,13,bebalabe_ somsomreview,นิยายวายคือชีวิต แอคนี้สำหรับหวีดนิยายวายเท่านั้น ความชอบของนิยายแต่ละเรื่องขึ้นอยู่กับตัวบุคคลถ้าเรื่องไหนชอบเยอะจะอวยจนไส้แตก ||รวมรีวิวนิยายวาย||
4,0,2021-02-06 15:03:44,#คุณอัยย์ใจหาย,ohsehnnxot9,,0,"135) #14วันพักร้อน 
136) #แนบเนียน
137) #พ่ายTH Mpreg 
138) #กลเกมกานต์ Mpreg 
139) #หูแหลมของพี่พาก แฟนตาซี
140) #คุณอัยย์ใจหาย Omega (ติดเหรียญ) 
141) #ขอให้ไม่ใช่รัก โรแมนติก ดราม่า
142) #ฝนตกแล้วเจซ แฟนตาซี 
143) #อย่าเล่นกับอนล 
144) #เจ้าโจร (ติดเหรียญ)", /14วันพักร้อน/แนบเนียน/พ่ายTH/กลเกมกานต์/หูแหลมของพี่พาก,11,7,fictionyaoi1,แนะนำนิยายวาย #จบแล้วทุกเรื่อง #แนะนำนิยายวาย #วายล้วนล้วนรีวิว |18.11.2019| รีวิวและคะแนนตามความชอบส่วนบุคคล ถ้าอวยเยอะก็คือชอบมาก ขออภัย | ติดต่องานได้ที่ DM
5,2,2021-02-06 12:55:13,#คุณอัยย์ใจหาย,CxfZYNxWH6QONxA,,64,#คุณอัยย์ใจหาย omegaverse เป็นความบังเอิญที่พระเอกกับนายเอกมาเจอกันแถมยังเป็นคู่แห่งโชคชะตา เจอกันครั้งแรกนายเอกก็ฮีทหนักจนพระเอกคุมสติไว้ไม่อยู่เลยมีอะไรกัน กัดคอแถมนอทจนนายเอกท้อง ตื่นมาอีกทีนายเอกก็หนีหายไปพระเอกก็พยายามตามหาทุกวิถีทาง อยากเจอนายเอกอีกครั้ง (1) #แนะนํานิยายวาย https://t.co/kzr9dNyZPQ, /คุณอัยย์ใจหาย,277,298,YYonlyyou,นิยายวายคือชีวิต แอคนี้สำหรับหวีดนิยายวายเท่านั้น ความชอบของนิยายแต่ละเรื่องขึ้นอยู่กับตัวบุคคลถ้าเรื่องไหนชอบเยอะจะอวยจนไส้แตก ||รวมรีวิวนิยายวาย||
6,3,2021-02-05 23:55:52,#คุณอัยย์ใจหาย,PLertsansaran,'no one is born ugly. we r just living in a judgmental society.' -kim namjoon,5,"Omegaverse
#เพียงนารา
#โชคชะตาสีชาด
#วิวาห์ในแดนฝัน
#กรุ่นกลิ่นสัตตบงกช
#พันธะกุหลาบ
#พันธะสีชมพู
#พันธะสีน้ำเงิน
#ก็จะดื้อ
#อย่าบอกป๊านะม๊า
#คุณอัยย์ใจหาย
#ภรรยาผมดุมาก
#อัลฟ่าหมาวัด
#มหาลัยครึ่งมนุษย์
#ตั้งครรภ์ให้มังกร
#อัลฟ่าของผมใจร้ายที่สุด

#นิยายวาย #นิยายวายแนะนำ", /เพียงนารา/โชคชะตาสีชาด/วิวาห์ในแดนฝัน/กรุ่นกลิ่นสัตตบงกช/พันธะกุหลาบ/พันธะสีชมพู/พันธะสีน้ำเงิน/ก็จะดื้อ,66,102,Ploykwan99,❥ส่งต่อนิยายวาย ส่วนมากอ่านเก็บเอง สภาพดีงาม 💕✨ ~ มีทั้งมือ 1 มือ 2 น๊า เรื่องที่ว่างดูได้ในสื่อนะคะ
7,4,2021-02-05 12:28:27,#คุณอัยย์ใจหาย,Moto2242,,11,"📕เรื่อง:: #คุณอัยย์ใจหาย #รักเร่คุณเลขา ครบชุด📕
💰ราคา:: 850฿
ดูสภาพก่อนได้ค่ะ
📍จอง/ดูสภาพทักไดเรก,ไลน์🆔
#ขายนิยายวายมือสอง #ฟิคมือสอง #ขายฟิคมือสอง #นิยายวายมือสอง  #นิยายวาย #วายแต่ง #วายแปล #นิยายวายแปล #นิยายวายแต่ง  #yaoi #yaoithai #yaoibook #bookyaoi #ขายนิยายวาย https://t.co/sqGKxWMIDn", /คุณอัยย์ใจหาย/รักเร่คุณเลขา,3,4,jamsai_normal,"🔼รีทวีต/ทวิต🔽
||ตามหา||ขาย||อัพเดตงานวาย
**คำเตือน มีทวิตเล็กน้อยค่ะ**
📍พรีออเดอร์และรีวิวในLIKE
📌ติดต่อไลน์ mynameis_aonn//dm
Ps.ไม่ได้รับเปิดพรีนะคะ"
8,6,2021-02-05 06:15:39,#คุณอัยย์ใจหาย,littlejune_p,"🐇•JUNE•💫
📍แจ้งข่าวสารY นิยายY ต่างๆ😳
💬อ่านนิยายแล้วบอกต่อ
😂เราจะถล่มกองดองไปด้วยกัน~☺️
📚นิยายที่สปอยล์👉 #จูนอ่านนิยาย
📣ขายนิยายวายอ่านเอง สภาพดี☺️",6561,"🌟#ขายนิยายวายแต่ง
🟣Box Set Finders Keepers ประกอบไปด้วย -Finding Cinnamon Bun #คุณอัยย์ใจหาย -Finding White Dahlia #รักเร่คุณเลขา รอบจอง สภาพสะสม ในซีล 
💵ขาย 1000฿ ส่งลงทะเบียน
ใส่กล่อง ห่อหนา แพคดี ส่งทุกวันจันทร์
#นิยายวาย #นิยายวายแปลจีน #ขายนิยายวาย #ขายนิยายวายมือสอง https://t.co/6djlqQIGmi", /ขายนิยายวายแต่ง/คุณอัยย์ใจหาย/รักเร่คุณเลขา/นิยายวาย/นิยายวายแปลจีน/ขายนิยายวาย/ขายนิยายวายมือสอง,0,3,littlejune_p,"🐇•JUNE•💫
📍แจ้งข่าวสารY นิยายY ต่างๆ😳
💬อ่านนิยายแล้วบอกต่อ
😂เราจะถล่มกองดองไปด้วยกัน~☺️
📚นิยายที่สปอยล์👉 #จูนอ่านนิยาย
📣ขายนิยายวายอ่านเอง สภาพดี☺️"
9,9,2021-02-03 10:15:32,#คุณอัยย์ใจหาย,PanPannita_,"ᴛʀᴀᴠᴇʟɪɴɢ, ʀᴇᴀᴅɪɴɢ, ᴇᴀᴛɪɴɢ, ʟᴇᴀʀɴɪɴɢ, ᴅᴀɴᴄɪɴɢ ᴀʀᴇ ᴍᴇ 👩🏽 🇺🇸🇨🇳🇹🇭 @BTS_twt ɪs ᴍʏ ʜᴇᴀʀᴛ 💜 #nitawitherchinesevocab",21,"⚡ ขาย !พร้อมส่ง!  #คุณอัยย์ใจหาย นิยายวายที่อ่านแล้วใจฟูมากกก  ห้ามพลาดเลย เปิดอ่านครั้งเดียว ขอดูรูปเพิ่มเติมได้

🌈 ราคา 390฿  ส่งฟรี
#นิยายวายมือสอง #นิยายวายจบแล้ว #งานหนังสือ63 #ขายนิยายวาย #ตามหานิยายวาย #แนะนํานิยายวาย #รีวิวนิยายวาย #นิยายวายมือสองสภาพดี #นิยายวายแนะนํา https://t.co/9mTUOI6FuY", /คุณอัยย์ใจหาย,3,5,pingting3133,❤ ไม่เคยหมดแพชชั่นในการหวีดผู้ชายหล่อ | ☁️ ปัจจุบัน : เดินวนหลงอยู่ใน กูซู 🇨🇳 | เด็กชมรมปีเตอร์แพนขี่YAMAHA (••เปิดแอดหลุม° ไว้ใช้ยามจำเป็น••)
