,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-24 08:34:16,#คุณเชนเอาแต่ใจ,ninaa_tt,,2,#แทนคุณ #ลูกกาเหว่าบ้า #หลังม่าน #อย่าเล่นกับอนล #นิทานพันดาว #องศาสูญ #ปลาฉลามขึ้นบก #เพราะจีบจึงรัก #วิศวกรรณโยธา #ทินกรทอแสง #ทำนายทายทัพ #เวฬาหยุดรัก #บันทึกจากแดนเหนือ #เจ้ามะลิ #ของหายอยากได้คืน #หักเหลี่ยมรักซาตาน #คนกากของผม #คุณเชนเอาแต่ใจ #นับหนึ่งถึงเสาร์, /แทนคุณ/ลูกกาเหว่าบ้า/หลังม่าน/อย่าเล่นกับอนล/นิทานพันดาว/องศาสูญ/ปลาฉลามขึ้นบก/เพราะจีบจึงรัก/วิศวกรรณโยธา/ทินกรทอแสง/ทำนายทายทัพ/เวฬาหยุดรัก/บันทึกจากแดนเหนือ/เจ้ามะลิ/ของหายอยากได้คืน/หักเหลี่ยมรักซาตาน/คนกากของผม/คุณเชนเอาแต่ใจ/นับหนึ่งถึงเสาร์,0,0,ninaa_tt,
1,1,2021-02-23 22:21:53,#คุณเชนเอาแต่ใจ,meow_mook,คู่ชิบหลักคือ #จินฮวี,35,"พระเอกไทป์ขึ้นอย่างหงส์ลงอย่างหมา

#ดินหมู
#รอยชัง 
#เฟคแฟม 
#กรงกวินทร์
#อาณาเขตรัก
#พันธะกุหลาบ
#ดินเอื้อมเดือน
#รักเราไม่เท่ากัน
 #มังกรซ่อนเพชร 
#ปลาฉลามขึ้นบก
#คุณเชนเอาแต่ใจ 
#อยากเรียกเธอว่าบี๋ 
#เพราะไม่เคยรู้ว่ารัก 
#เพราะรักจึงเปลี่ยนได้ 
#สามีของอาลักษณ์หลวง", /ดินหมู/รอยชัง/เฟคแฟม/กรงกวินทร์/อาณาเขตรัก/พันธะกุหลาบ/ดินเอื้อมเดือน,5835,4801,Hello_Its_MeMe,🌞🌻
2,4,2021-02-22 07:59:53,#คุณเชนเอาแต่ใจ,NSweetDelight,,33,"#.งานที่ชอบที่สุดปี2020 
ต้องเป็นคุณติสินะ..เพราะปีนี้มีเรื่องเดียว 🤧
/เพิ่งสังเกตว่าเขียนปีละเรื่องจริงๆ
ปี 59 #sinsgreed 
ปี 60 #sinsgreed 
ปี 61 #เอ๊ะกลอย #sinsgreed 
ปี 62 #คุณเชนเอาแต่ใจ 
ปี 63 #คุณติอร่อยที่สุด #sinsgreed 
ปี 64 #sinsgreed 
ดูท่าจะมีเรื่องนึง 5 ปีอยู่นา...", ,224,223,nigiri_sushi,𓂃𓂃𓊝𓄹𓄺𓂃𓂃 𓈒𓏸 𓆉 𓈒𓏸 𓆉 𓏸𓈒 เขียนแบบสโลว์~ 𓂃𓂃𓂃𓂃𓊝𓄹𓄺𓂃𓂃𓂃 𓈒𓏸 𓆉 𓈒𓏸 𓆉 𓏸𓈒
3,7,2021-02-20 16:00:21,#คุณเชนเอาแต่ใจ,mwinnb44,,19,"นายเอกร้ายเกินไป พระเอกไม่ชอบ😒
#ร้ายเกินกว่ารัก 
#ร้ายออกฤทธิ์

นายเอกดี แต่พระเอกไม่ชอบ คอยแต่ปากหมาวาจาจาบจ้วงใส่สารพัด เหอะ😏
#ภรรยาที่ดีไม่ได้มีแค่คุณธรรม 
#คุณเชนเอาแต่ใจ 
#กรงรัก 
#ปลาฉลามขึ้นบก 
#เช่นทินกรอ่อนแสง

ใดๆล้วนพระเอกตกม้าตายตอนจบ 555555", /ร้ายเกินกว่ารัก/ร้ายออกฤทธิ์,81,73,HunseI,"♡🐹#유기현🦈♡ #몬스타엑스 ➳20161202~ing🙆‍♀️💕 💙Be w/YOO n MX n #원호 Always💜 ⏳171114🏆♡̆̈ 몬엑들에게 매일 매일 행복하는 게 살아가요.♡̆̈ ★Music,アニメ, 漫画,ドラマ♩📚#นิยายวายDrama #นิยายวายFG ★"
4,0,2021-02-06 14:27:59,#คุณเชนเอาแต่ใจ,phicham29302664,,5,"นิยาย/ฟิค 36เรื่องที่ชอบในปี 2020 (2)

#ในปกครอง
#ประมุขมารท่านงามเกินไปแล้ว
#ทฤษฎีอ่อยเธอ
#พฤติการณ์ที่ตาย
#กรุ่นกลิ่นสัตตบงกช
#ปีศาจในอ้อมกอดรัก
#อชิราพ่ายพายุ
#พี่เลี้ยงตระกูลซู
#ป๋าบีน้องเกล
#คุณเชนเอาแต่ใจ
#รักหนักมาก
#โซลเมทฮุนฮาน
#เหตุใดภรรยาข้าช่างน่าตีนัก", /ในปกครอง/ประมุขมารท่านงามเกินไปแล้ว/ทฤษฎีอ่อยเธอ/พฤติการณ์ที่ตาย,6,4,PPORPORVY,"💙 CNBLUE 🐥 GOT7 🌌 EXO 🏍 WYB 🏙 THREEMANDOWN 🐧 BKPP ||
 🐊🐍 (9397 & 0622) 🌴🍑"
5,1,2021-02-06 11:44:57,#คุณเชนเอาแต่ใจ,Passaicfroggygg,หยุดลิดรอนสิทธิของประชาชน,3,"นายเอกร้ายเกินไป พระเอกไม่ชอบ😒
#ร้ายเกินกว่ารัก 
#ร้ายออกฤทธิ์

นายเอกดี แต่พระเอกไม่ชอบ คอยแต่ปากหมาวาจาจาบจ้วงใส่สารพัด เหอะ😏
#ภรรยาที่ดีไม่ได้มีแค่คุณธรรม 
#คุณเชนเอาแต่ใจ 
#กรงรัก 
#ปลาฉลามขึ้นบก 
#เช่นทินกรอ่อนแสง

ใดๆล้วนพระเอกตกม้าตายตอนจบ 555555", /ร้ายเกินกว่ารัก/ร้ายออกฤทธิ์,79,72,HunseI,"♡🐹#유기현🦈♡ #몬스타엑스 ➳20161202~ing🙆‍♀️💕 💙Be w/YOO n MX n #원호 Always💜 ⏳171114🏆♡̆̈ 몬엑들에게 매일 매일 행복하는 게 살아가요.♡̆̈ ★Music,アニメ, 漫画,ドラマ♩📚#นิยายวายDrama #นิยายวายFG ★"
6,2,2021-02-05 16:29:07,#คุณเชนเอาแต่ใจ,_poonnara,got7 markbam,67,"30. #คุณเชนเอาแต่ใจ พระเอกแก่กว่านายเอก #แนะนํานิยายวาย #รีวิวนิยายวาย (นักเขียนคนนี้นิยายสนุกทุกเรื่อง)

DD//https://t.co/4MVV59JW7e https://t.co/4j5FFPTqis", /คุณเชนเอาแต่ใจ/แนะนํานิยายวาย/รีวิวนิยายวาย,12,35,Gnim_17,นิยายจบแล้ว
7,3,2021-02-05 03:00:59,#คุณเชนเอาแต่ใจ,meennie_meenny,"● fb : Manlika Meen'zii 
● ig : meennie_meenny
● id : mini.meen",10,"#วายล้วนล้วนรีวิว
#แนะนำนิยายวาย 

48 #ของเล่นประจำบ้านโลเวล
49 #คุณเชนเอาแต่ใจ
50 #ล่ามรักอสุรา
51 #เกิดใหม่เป็นซุปตาร์
52 #วิศวกรรณโยธา
53 #ขอรักแค่คุณ
54 #คุณอาเบลล์
55 #อ้อมกอดท้องฟ้า
56 #ดังต้องมนตร์
57 #ดอกไม้ของพีท
58 #ดวงหทัยเจ้าพยัคฆ์
59 #เจตนามาร์แน่
60 #grababite", /วายล้วนล้วนรีวิว/แนะนำนิยายวาย/ของเล่นประจำบ้านโลเวล/คุณเชนเอาแต่ใจ/ล่ามรักอสุรา/เกิดใหม่เป็นซุปตาร์,9,9,fictionyaoi1,แนะนำนิยายวาย #จบแล้วทุกเรื่อง #แนะนำนิยายวาย #วายล้วนล้วนรีวิว |18.11.2019| รีวิวและคะแนนตามความชอบส่วนบุคคล ถ้าอวยเยอะก็คือชอบมาก ขออภัย | ติดต่องานได้ที่ DM
8,4,2021-01-31 14:50:17,#คุณเชนเอาแต่ใจ,hoonydef,♡ คิดถึงอีซึงฮุน♡ (╥﹏╥) winner no.1 - #한승우 #손동표 #주연 #juyeonlover,15,"พระเอกไทป์ขึ้นอย่างหงส์ลงอย่างหมา

#ดินหมู
#รอยชัง 
#เฟคแฟม 
#กรงกวินทร์
#อาณาเขตรัก
#พันธะกุหลาบ
#ดินเอื้อมเดือน
#รักเราไม่เท่ากัน
 #มังกรซ่อนเพชร 
#ปลาฉลามขึ้นบก
#คุณเชนเอาแต่ใจ 
#อยากเรียกเธอว่าบี๋ 
#เพราะไม่เคยรู้ว่ารัก 
#เพราะรักจึงเปลี่ยนได้ 
#สามีของอาลักษณ์หลวง", /ดินหมู/รอยชัง/เฟคแฟม/กรงกวินทร์/อาณาเขตรัก/พันธะกุหลาบ/ดินเอื้อมเดือน,5828,4794,Hello_Its_MeMe,🌞🌻
9,5,2021-01-30 16:13:49,#คุณเชนเอาแต่ใจ,amemeame3,คลั่งรักเทพเจ้าบังทันโซยอนดัน💜 | จองกุกกี้ปุ๊กปิ๊กกุ๊กกุ๊ก🐰| จีมินนี่🐥 | dek61👉🏻dek63 | กินเก่งนะ แต่บ่นเก่งกว่า | บ่นเก่ง ถ้าฟอลก็ระวังรำคาญนะ,5,#คุณเชนเอาแต่ใจ เรื่องนี้นายเอกแก่กว่า เป็นพี่เลี้ยงของพระเอก ใช้ภาษากะทัดรัดแต่บรรยายได้เห็นภาพ👍🏻 อ่านแล้วอิน ชอบตัวละคร มีมิติมาก แรกๆอาจไม่ชอบคุณเชน แต่พออ่านไปก็จะรู้เหตุผล บางตอนหน่วงจนอยากจะร้องไห้ หลังๆนี่น่ารักมาก ทั้งความรักแล้วก็ทั้งสองคน💞 #รีวิวนิยายวาย #แนะนำนิยายวาย https://t.co/v7s0jNEvgt, /คุณเชนเอาแต่ใจ,78,73,honeylemonadely,
