,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-26 02:43:14,#จักรวาลใต้สมุทร,ordinarydecem,หล่อมีธุระ,42,"ท้องฟ้าจำลอง ห้องกว้างทรงครึ่งวงกลมพร่างพรายไปด้วยหมู่ดาวน้อยใหญ่ 
ที่นั่งข้างเขาเป็น 'อรรณพ' คนพิเศษและคนรักเพียงคนเดียวของเขา 
เท่านี้พลังงานชีวิตของ 'ศศิน' ก็ถูกเติมเต็ม
.
การบรรยายและฉายท้องฟ้าจำลองจบลงในเวลาห้าสิบนาที
.
ช่างเป็นห้าสิบนาทีที่มีความหมาย
.
#จักรวาลใต้สมุทร 345฿ https://t.co/juwklno4b5", ,33,21,Lunaspacestore,"""Lunaspace: a place where arts sprout."" | ดูรีวิวที่ #LunaspaceReview | สั่งซื้อหนังสือ/ศิลปินติดต่อวางจำหน่ายผลงาน แอดไลน์ตรงลิงค์ได้เลยค่ะ"
1,1,2021-02-25 19:08:04,#จักรวาลใต้สมุทร,nnsay_p,||| @BTS_twt💜 𝚘𝚝⁷ • 𝙡𝙞𝙛𝙚 𝙜𝙤𝙚𝙨 𝙤𝙣 ☾シ• | ɪɴғᴘ-ᴛ,108,"🌙 AVAILABLE BOOKS:
- #เมื่อความตายทำให้เราพบกัน
- #ก่อนสั่งAction
- #ตะวันในวันรุ่งขึ้น 
- #รักจะปกป้อง
- #ใครสักคนในเราทั้งคู่ 
- #จักรวาลใต้สมุทร 
.
#Lunaspacestore สต็อกพร้อมส่งน้า สั่งแอดไลน์👉 https://t.co/IbyH2ejdzc https://t.co/36j3w93FMy", /เมื่อความตายทำให้เราพบกัน/ก่อนสั่งAction/ตะวันในวันรุ่งขึ้น/รักจะปกป้อง,78,50,Lunaspacestore,"""Lunaspace: a place where arts sprout."" | ดูรีวิวที่ #LunaspaceReview | สั่งซื้อหนังสือ/ศิลปินติดต่อวางจำหน่ายผลงาน แอดไลน์ตรงลิงค์ได้เลยค่ะ"
2,35,2021-02-25 07:36:39,#จักรวาลใต้สมุทร,dkm07_,ㅡ 햇빛,11,#จักรวาลใต้สมุทร #แนะนํานิยายวาย หลงรักเรื่องนี้มากกกกกก เหมาะสำหรับทุกคนเลย อ่านง่ายภาษาสวย หรือถ้าคนที่ชอบตีความ เชื่อมโยงก็แนะนำให้อ่าน ใครเรียนวิทย์ยิ่งอ่านเพลินๆเลยค่ะ อันอันกับคะนิ้งของเขา ทั้งคู่คุยกันน่ารักมาก อ่านแล้วอยากมีความรักขึ้นมาล้านเท่า☁️🌙⭐️🌊🐳🐬 https://t.co/jlJJF4dRPh, /จักรวาลใต้สมุทร/แนะนํานิยายวาย,18,10,Bozhan520530,"不去迎合别人活 才会觉得有意思。สาววายสายรีอย่างบ้าคลั่ง สนับสนุนLGBT+ 🏳️‍🌈【ลัทธิผัวสาว เมะหน้าสวย เคะแมน】 SPN, HP, MDZS, HxH, Allkagami #BJYX 🐢 #DmHp #Hannigram 7824 📚"
3,37,2021-02-25 06:34:47,#จักรวาลใต้สมุทร,Simoeis,Lomenel Artist ❤l TH/ENG l ♥MARVEL l 💡HIGHLIGHT💡l Little Lair with lots of things l ❤ Drawing & Handmade work,132,"StellarMarine #จักรวาลใต้สมุทร 

🌙🌊รูปเล่ม ::
HOMU
https://t.co/RISJ4rlXI5
LUNASPACE
https://t.co/dgbwoz2pro

🌙🌊E-book::
https://t.co/3oIycRCxkw https://t.co/rdtgYHJudq", /จักรวาลใต้สมุทร,15,6,Raccooll,ดูนิยายใน 📍
4,49,2021-02-25 03:22:37,#จักรวาลใต้สมุทร,oiLonlyMTBB,"7 or never , 7 or nothing",24,"#จักรวาลใต้สมุทร จบแล้ว

๏ #นิยายฟิลกู้ล อ่านง่าย เป็นเรื่องราวของคนสองคนที่ใช้ชีวิตเรียบๆ เป็นอ.มหาลัยทั้งคู่ คบกันมาตั้งแต่มหาลัย ความชอบต่างกันแต่เข้ากันได้ มีการเล่าสลับไปมาระหว่างก่อนคบ กับหลังคบกันแล้ว #คือดียยยย์ คืนเดียวก็อ่านจบ 

#รีวิวนิยายวาย
https://t.co/b0tUV8H9cf https://t.co/kU3MbmYj8D", /จักรวาลใต้สมุทร/นิยายฟิลกู้ล,606,674,YaoiNovel,ตามนิยายที่ทวิตไป @yaoinovel_2 | นิยายวายจบในFav.นี้✨ | ทวิตเเต่นิยายที่อ่าน | #Thaiboyslove #รีวิวนิยายวาย #แนะนํานิยายวาย
5,54,2021-02-25 03:12:25,#จักรวาลใต้สมุทร,_iimarchii,"💛| | Bro&Sis: @MTMing93 @CopterCopterx | |💛
แอครวมทุกอย่างที่ฉันชอบเอาไว้แอคเดียวเพราะฉันขี้เกียจสมัครใหม่",849,"#จักรวาลใต้สมุทร #นิยายวาย 
เป็นอะไรที่ลึกซึ้งมาก เปรียบเทียบได้ชัดเจนสุดๆ

'สัตว์ทะเลที่ใกล้สูญพันธ์' 'ปะการัง' สิ่งมีชีวิตใต้ทะเลเหล่านี้ต้องการการดูแล... อรรณนพอยากปกป้องดูแลศศิน = คบกันเป็นแฟน😳ชอบการที่เอาสิ่งที่ตัวเองรักมาบรรยายและอธิบายความรู้สึกที่มีให้กันอ่า หวานมากกกกก https://t.co/pXdSJLfv9a", /จักรวาลใต้สมุทร/นิยายวาย,2,2,Bozhan520530,"不去迎合别人活 才会觉得有意思。สาววายสายรีอย่างบ้าคลั่ง สนับสนุนLGBT+ 🏳️‍🌈【ลัทธิผัวสาว เมะหน้าสวย เคะแมน】 SPN, HP, MDZS, HxH, Allkagami #BJYX 🐢 #DmHp #Hannigram 7824 📚"
6,55,2021-02-25 03:11:03,#จักรวาลใต้สมุทร,parn_HouseGhost,"|TH/Eng| I'm House ghost, nice2meet ya! สถานะ:เร่ร่อน ก่อนเรียกอย่าลืมจุดธูป! | Jujutsu | Genshin | FGO💢รีทวิตแหลกเรื่องการเมือง if don't like pls unfollow!",1346,#จักรวาลใต้สมุทร #นิยายวาย เมฆชั้นต่ำคิวมูลัส อากาศดีมีแดดจัด สามารถกลายสภาพเป็นเมฆฝนได้ ส่วนเซอร์โรคิวมูลัสเป็นเมฆชั้นสูงจะพบเวลาท้องฟ้าโปร่ง 'ทุกสรรพสิ่งมีการเปลี่ยนแปลง' ก้อนเมฆก็เช่นกัน เปลี่ยนไปเรื่อยๆ ชอบการพูดปลอบโยนนี้มาก อ่านแล้วยิ้มเลยอ่ะ เด็กสายวิทย์อย่างเราคือถูกใจ💕 https://t.co/L1YKjS2Slm, /จักรวาลใต้สมุทร/นิยายวาย,2,3,Bozhan520530,"不去迎合别人活 才会觉得有意思。สาววายสายรีอย่างบ้าคลั่ง สนับสนุนLGBT+ 🏳️‍🌈【ลัทธิผัวสาว เมะหน้าสวย เคะแมน】 SPN, HP, MDZS, HxH, Allkagami #BJYX 🐢 #DmHp #Hannigram 7824 📚"
7,65,2021-02-24 12:16:42,#จักรวาลใต้สมุทร,sirindaO,"IGOT7,Lijinators,แฟนน้องเพียว,ติ่งMCU(มาร์เวล),อนิเมะ,ขายของใน @cartoonsales22
รีวิวของใน #รีวิวให้คุณ95 รีวิวหนังสือ #พลอยอ่านแล้ว",274,"""คนหนึ่งหลงใหลในจักรวาล อีกคนคลั่งไคล้โลกใต้มหาสมุทร""
.
— Stellar Marine #จักรวาลใต้สมุทร by Raccool
Genre: นิยายรัก/LGBTQ+
.
345฿ มีสต็อกพร้อมส่ง แอดไลน์ที่ลิงค์เลยน้า https://t.co/tgt6un51lP https://t.co/5eGIyQiEEe", /จักรวาลใต้สมุทร,59,34,Lunaspacestore,"""Lunaspace: a place where arts sprout."" | ดูรีวิวที่ #LunaspaceReview | สั่งซื้อหนังสือ/ศิลปินติดต่อวางจำหน่ายผลงาน แอดไลน์ตรงลิงค์ได้เลยค่ะ"
8,83,2021-02-24 01:38:23,#จักรวาลใต้สมุทร,Bozhan520530,"不去迎合别人活 才会觉得有意思。สาววายสายรีอย่างบ้าคลั่ง สนับสนุนLGBT+ 🏳️‍🌈【ลัทธิผัวสาว เมะหน้าสวย เคะแมน】 SPN, HP, MDZS, HxH, Allkagami #BJYX 🐢 #DmHp #Hannigram 7824 📚",53,"คนหนึ่งคลั่งไคล้ในอวกาศ อีกคนหลงไหลในโลกใต้สมุทร
.
 เมื่อ 'อรรณพ' และ 'ศศิน' สองหนุ่มผู้ชื่นชอบในสองศาสตร์ได้มาพบเจอกัน เริ่มจากสิ่งเล็ก ๆ อย่างการพูดคุยแลกเปลี่ยนสิ่งต่าง ๆ ก่อเกิดเป็นเรื่องราวความรักอันสวยงาม ให้จักรวาลและมหาสุทรได้มาบรรจบกัน
.
#จักรวาลใต้สมุทร พร้อมส่งนะคะ 🥰 https://t.co/PchZmNGhze", ,32,26,Lunaspacestore,"""Lunaspace: a place where arts sprout."" | ดูรีวิวที่ #LunaspaceReview | สั่งซื้อหนังสือ/ศิลปินติดต่อวางจำหน่ายผลงาน แอดไลน์ตรงลิงค์ได้เลยค่ะ"
9,84,2021-02-24 01:38:13,#จักรวาลใต้สมุทร,Bozhan520530,"不去迎合别人活 才会觉得有意思。สาววายสายรีอย่างบ้าคลั่ง สนับสนุนLGBT+ 🏳️‍🌈【ลัทธิผัวสาว เมะหน้าสวย เคะแมน】 SPN, HP, MDZS, HxH, Allkagami #BJYX 🐢 #DmHp #Hannigram 7824 📚",53,"""ท่ามกลางกลิ่นของหนังสือ ตามซอกชั้นหนังสือเวิ้งว้างไร้ผู้คนเดินผ่าน หัวใจสองดวงเต้นแรง สั่นระรัว
.
อรรณพที่แปลว่าผืนน้ำ ศศินที่แปลว่าดวงจันทร์...ในตอนนี้น้ำทะเลคงกำลังไต่ระดับสูงขึ้นเรื่อยๆ เพื่อพยายามแตะดวงจันทร์
ระดับน้ำในตอนนี้..ท่วมเมฆแล้ว""
.
#จักรวาลใต้สมุทร 
📷 @Wolfkipedia https://t.co/ve6HNMn2ew", ,26,18,Lunaspacestore,"""Lunaspace: a place where arts sprout."" | ดูรีวิวที่ #LunaspaceReview | สั่งซื้อหนังสือ/ศิลปินติดต่อวางจำหน่ายผลงาน แอดไลน์ตรงลิงค์ได้เลยค่ะ"
