,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-25 12:16:42,#จิ้งจอกลูกสอง,suchana19222769,🌚🌝 รู้จักพวกนายวันที่ 8 กุมภาพันธ์ 2563 17:59:19,36,"เเวะมาเเนะนำที่อ่านอยู่จ้า
#ฝนตกแล้วเจซ 
#อยากกินเตกิล่า 
#ฉลามสิ้นลาย
#คินน์พอร์ช 
#พี่ครับนั่นร่มผม 
#พนันท้ารัก 
#บูรพากับองศาเหนือ
#นุ้บนิ้บ 
#ผู้เป็นที่รัก 
#นับหนึ่งถึงควินซ์ 
#จิ้งจอกลูกสอง 
#เมื่อโลกของผม 
#เเนะนํานิยายวาย #รีวิวนิยายวาย #นิยายวาย #bbมารีวิว", /ฝนตกแล้วเจซ/อยากกินเตกิล่า/ฉลามสิ้นลาย/คินน์พอร์ช/พี่ครับนั่นร่มผม/พนันท้ารัก,21,23,Your_beauty26,ความชอบไม่จำเป็นต้องทำตามคนอื่นเสมอไป. (EXO & EXO-L) Never give up✌✌💞 You still have lots more to work on🍒🌲
1,1,2021-02-24 22:36:54,#จิ้งจอกลูกสอง,PWtoday530,"But when I fell in love, I had to prepare myself for regret, because not everyone was fulfilled.",40,อยากให้ถึงงานหนังสือไวๆ อยากได้เล่มมม #จิ้งจอกลูกสอง, /จิ้งจอกลูกสอง,1,1,BlueBell_04,EXO-L | LU fan | BAEKHYUN @B_hundred_Hyun | LUHAN | 'always' HUNHAN CHANBAEK ♥ ✄☆✿ พยอนอังกึล ○•○
2,3,2021-02-24 14:41:44,#จิ้งจอกลูกสอง,BlueBell_04,EXO-L | LU fan | BAEKHYUN @B_hundred_Hyun | LUHAN | 'always' HUNHAN CHANBAEK ♥ ✄☆✿ พยอนอังกึล ○•○,1124,สอบถามคนอ่านหน่อยค่ะ ถ้า #จิ้งจอกลูกสอง ทำปกแข็งจะสนใจกันมั้ยคะ;-;, /จิ้งจอกลูกสอง,17,14,Middle_97,On the way📖 #ฟากฟ้านภาลัย (+ #เหนือฟากฟ้า) ；PWP💋 #เสน่ห์รัญจวน ; END🌦 #YourWang #จิ้งจอกลูกสอง
3,4,2021-02-23 13:21:17,#จิ้งจอกลูกสอง,BlueBell_04,EXO-L | LU fan | BAEKHYUN @B_hundred_Hyun | LUHAN | 'always' HUNHAN CHANBAEK ♥ ✄☆✿ พยอนอังกึล ○•○,1124,#จิ้งจอกลูกสอง 🦊 พบกันในงานหนังสือนะคะ // แต่ถ้ามีแบบปกอ่อนกับปกแข็ง จะสนใจกันไหม ไฉอาจจะเปิดพรีแบบปกแข็งก่อนแหละ https://t.co/aajlTq8GFw, /จิ้งจอกลูกสอง,16,21,FaCai_Novels,"#สำนักพิมพ์ฟาไฉ #ปิดรับต้นฉบับ

🛒 https://t.co/LpXaD90OFQ"
4,5,2021-02-22 05:48:09,#จิ้งจอกลูกสอง,k_yyls,YANGYANG. เคตะซัง​. นนท์ธนนท์​ . jaylerqz. พี่เอก,8,ฮืออ พ่อแม่พรี่น้องงงง มาดูครอบครัว #จิ้งจอกลูกสอง บนแบนเนอร์ #readAwrite กันจ้า แงงงงง ไปแอบด้อมๆมองๆกันได้นะคะ🥺 https://t.co/14AX7rL1LR, /จิ้งจอกลูกสอง/readAwrite,315,229,Middle_97,On the way📖 #ฟากฟ้านภาลัย (+ #เหนือฟากฟ้า) ；PWP💋 #เสน่ห์รัญจวน ; END🌦 #YourWang #จิ้งจอกลูกสอง
5,7,2021-02-19 09:25:27,#จิ้งจอกลูกสอง,LLEeB1,EXO NCT Wannaone BTS #ขายของสะสม,130,"Coming Soon 🎉[สนพ.Facai Novels]
🌟วันๆของจิ้งจอกลูก2ก็แบบนี้แหละ! (Mpreg) by Middle97
📚ลองอ่าน:https://t.co/oUwSjSEq0k
#นิยายวาย #แนะนำนิยายวาย #นิยายวายแต่ง #จิ้งจอกลูกสอง
#วันๆของจิ้งจอกลูก2ก็แบบนี้แหละ! https://t.co/LnHApMb5IR https://t.co/CNhjkdwbEV", ,69,48,littlejune_p,"🐇•JUNE•💫
📍แจ้งข่าวสารY นิยายY ต่างๆ😳
💬อ่านนิยายแล้วบอกต่อ
😂เราจะถล่มกองดองไปด้วยกัน~☺️
📚นิยายที่สปอยล์👉 #จูนอ่านนิยาย
📣ขายนิยายวายอ่านเอง สภาพดี☺️"
6,8,2021-02-18 14:48:22,#จิ้งจอกลูกสอง,weedboom4,"One of a kind ; 
I'm Solemnly Swear That I'm Up to No GooD: 
ติ่งไปเรื่อยก่อนตามคิดให้ดี retweetทั้งวัน",106,ศึกชิงแม่....พ่อที่เป็นมหาเทพกับลูกจิ้งจอกวัย8เดือนทะเลาะกัน แย่งชิงแม่และเมียของตัวเอง 555555555555555555 #readAwrite  #จิ้งจอกลูกสอง https://t.co/jYkao7pm1R, /readAwrite,355,211,TakeMeHome299,Not iKONIC | รอ #BOBBYLEAVEYG | #BOBBY | #นิยายวาย | ไม่ปวดหลังคือลาภอันประเสริฐ
7,9,2021-02-18 14:48:13,#จิ้งจอกลูกสอง,weedboom4,"One of a kind ; 
I'm Solemnly Swear That I'm Up to No GooD: 
ติ่งไปเรื่อยก่อนตามคิดให้ดี retweetทั้งวัน",106,พึ่งเห็นแบนเนอร์ ปกน่ารักมากกกกก แต่รอนานไปหน่อยนะคะ แงงงงงงงงงงงงง นานจนลืมไปแล้วเนี่ยว่าอยากได้ แต่ในเมื่อปกสวยและนึกได้แล้วว่าชอบน้องมาก งั้นจะสอยมาครอบครองนะคะ #จิ้งจอกลูกสอง https://t.co/xiNC3v3bOX, ,3,2,TakeMeHome299,Not iKONIC | รอ #BOBBYLEAVEYG | #BOBBY | #นิยายวาย | ไม่ปวดหลังคือลาภอันประเสริฐ
8,0,2021-02-06 08:44:19,#จิ้งจอกลูกสอง,DDAOPP,,9,"174. ชื่อ วันๆของจิ้งจอกลูกสองก็แบบนี้แหละ #จิ้งจอกลูกสอง
เทพจิ้งจอกเกิดจากจิ้งจอก 9หาง น้องซื่อมาก แม่ให้ทำอะไรทำหมดตอนแรกมีคู่หมั้นแล้วเป็นแม่ทัพท่านแม่เป็นคนหาให้ แล้ววันนึงน้องวิ่งหนีมาโผล่ที่ของมหาเทพน้องหิว มหาเทพเลยชวนน้องกินหนม [มีต่อ] #รีวิวนิยายวาย https://t.co/HlVyYaGHSN", /จิ้งจอกลูกสอง,4,5,niyay55,"💸รีวิวนิยายวาย📚                                                  
      
📺ช่อง Youtube ของชาววาย🔴"
9,1,2021-02-06 04:01:25,#จิ้งจอกลูกสอง,KwangKwangKwan6,"เปิดไว้ติดตามนิยายวาย 🤟 ดองกี้,ฅนถ่อย",0,"Coming Soon 🎉[สนพ.Facai Novels]
🌟วันๆของจิ้งจอกลูก2ก็แบบนี้แหละ! (Mpreg) by Middle97
📚ลองอ่าน:https://t.co/oUwSjSEq0k
#นิยายวาย #แนะนำนิยายวาย #นิยายวายแต่ง #จิ้งจอกลูกสอง
#วันๆของจิ้งจอกลูก2ก็แบบนี้แหละ! https://t.co/LnHApMb5IR https://t.co/CNhjkdwbEV", ,66,45,littlejune_p,"🐇•JUNE•💫
📍แจ้งข่าวสารY นิยายY ต่างๆ😳
💬อ่านนิยายแล้วบอกต่อ
😂เราจะถล่มกองดองไปด้วยกัน~☺️
📚นิยายที่สปอยล์👉 #จูนอ่านนิยาย
📣ขายนิยายวายอ่านเอง สภาพดี☺️"
10,3,2021-02-05 18:24:38,#จิ้งจอกลูกสอง,fluffynnew,อุนแม่ที่มีลูกชายเป็นสิบคน,37,ฮืออ พ่อแม่พรี่น้องงงง มาดูครอบครัว #จิ้งจอกลูกสอง บนแบนเนอร์ #readAwrite กันจ้า แงงงงง ไปแอบด้อมๆมองๆกันได้นะคะ🥺 https://t.co/14AX7rL1LR, /จิ้งจอกลูกสอง/readAwrite,301,223,Middle_97,On the way📖 #ฟากฟ้านภาลัย (+ #เหนือฟากฟ้า) ；PWP💋 #เสน่ห์รัญจวน ; END🌦 #YourWang #จิ้งจอกลูกสอง
11,12,2021-02-04 15:39:22,#จิ้งจอกลูกสอง,kunminion,,52,เราอะคลั่งรัก #จิ้งจอกลูกสอง https://t.co/CuVnMjP9BA, /จิ้งจอกลูกสอง,5,4,imavikur,อยู่เฉยๆถ้ามันใช่เดี๋ยวก็เข้ามาเอง (มารวย) .♥︎☻︎☺︎︎❤︎❤︎❤︎
12,16,2021-02-04 12:54:31,#จิ้งจอกลูกสอง,YaH_AhOliC,winmetawin : BrightWin,907,เรื่องสนุกมากจริงๆ ใครไม่เคยอ่านนี่แนะนำสุดๆขำจนไหล่สั่นกลั้นยิ้มแทบไม่ไหว #จิ้งจอกลูกสอง, /จิ้งจอกลูกสอง,0,0,YaH_AhOliC,winmetawin : BrightWin
13,28,2021-02-04 01:18:35,#จิ้งจอกลูกสอง,Middle_97,On the way📖 #ฟากฟ้านภาลัย (+ #เหนือฟากฟ้า) ；PWP💋 #เสน่ห์รัญจวน ; END🌦 #YourWang #จิ้งจอกลูกสอง,1194,สวยมากฮือออ😭😭😭😭💗💗💗💗💗 #จิ้งจอกลูกสอง https://t.co/kScutNY9k0, /จิ้งจอกลูกสอง,1,2,real__ryu,변사탕&로이팍 | 及川徹 ( ᵒ̴̶̷̤◦ᵒ̴̶̷̤ )♡
14,29,2021-02-04 01:18:32,#จิ้งจอกลูกสอง,Middle_97,On the way📖 #ฟากฟ้านภาลัย (+ #เหนือฟากฟ้า) ；PWP💋 #เสน่ห์รัญจวน ; END🌦 #YourWang #จิ้งจอกลูกสอง,1194,ปกสวยมากกกกกกกก ยั่กได้!!! #จิ้งจอกลูกสอง, /จิ้งจอกลูกสอง,1,0,FuckFFHate,"WHAT WAS WAS.
NAIYADECH J. 
ประชาธิปไตย 🙏
SM STAND
ANIME"
15,43,2021-02-03 12:58:05,#จิ้งจอกลูกสอง,KUROMITOP,,133,ศึกชิงแม่....พ่อที่เป็นมหาเทพกับลูกจิ้งจอกวัย8เดือนทะเลาะกัน แย่งชิงแม่และเมียของตัวเอง 555555555555555555 #readAwrite  #จิ้งจอกลูกสอง https://t.co/jYkao7pm1R, /readAwrite,353,207,TakeMeHome299,Not iKONIC | รอ #BOBBYLEAVEYG | ผู้ชาย&นิยาย
16,69,2021-02-03 10:34:55,#จิ้งจอกลูกสอง,gamglom1,superdad @DrStrangeSH #myylist #ก็อตโจ 💚❤,56,#จิ้งจอกลูกสอง พบกันในงานหนังสือนะคะ เราจะไปไบเทคกันนนน https://t.co/DfH09MxgaI, /จิ้งจอกลูกสอง,32,28,FaCai_Novels,"#สำนักพิมพ์ฟาไฉ #ปิดรับต้นฉบับ

🛒 https://t.co/LpXaD90OFQ"
