,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-08 22:16:09,#จ๊าบเจน,narttap,เนียลองครั้งหนึ่ง เนียลองตลอดไป. Don’t follow me🙏🏻 (ฟอลมาขออนุญาตบล็อก),0,สองมาตรฐานเลยนะคะคุณกิตติพงษ์ 😌 #จ๊าบเจน #เจ๋งพัท https://t.co/cBVYoIxbhW, /จ๊าบเจน/เจ๋งพัท,36,19,_sunshine501,"ᴘᴇᴘɪ (=^^=) 💚 7 or never, 7 or nothing"
1,29,2021-03-08 09:37:45,#จ๊าบเจน,gift_nongme,Baekhyun is my light. Chanbaek is my breath. #ฟิคคำทำนายตั๋วรถ https://t.co/cplCrPZhAz,54,ปล่อยเล่มค่ะ สนใจทัก dm ขอดูเพิ่มเติมได้นะคะ #จ๊าบเจน https://t.co/nTzsr7dHjV, /จ๊าบเจน,0,0,gift_nongme,Baekhyun is my light. Chanbaek is my breath. #ฟิคคำทำนายตั๋วรถ https://t.co/cplCrPZhAz
2,30,2021-03-08 08:14:16,#จ๊าบเจน,lazypeach94,"||| เมน #HRK แต่รัก #1000prueni มากๆ
#GOT7FOREVER  @JAYBDEF___",42,พวกเทอน่ารักกันจังอะ คิดถึงเสมอเลยนะ 🥺 #จ๊าบเจน https://t.co/TIoe1GVSHk, /จ๊าบเจน,5,0,tofupepi,plan ; read 9 pm / log out acc
3,31,2021-03-08 08:13:51,#จ๊าบเจน,lazypeach94,"||| เมน #HRK แต่รัก #1000prueni มากๆ
#GOT7FOREVER  @JAYBDEF___",42,ประตูระเบียงที่เฮียเจ๋งเปิดได้คนเดียว #เจ๋งพัท #จ๊าบเจน https://t.co/YQLAGNhGVk, /เจ๋งพัท/จ๊าบเจน,131,43,_summerdecember,"my mind is a mess, that's why i write. ✍🏻 #เจ๋งพัท #จ๊าบเจน / comic #น็อตเจ | #jfamtheseries and more"
4,34,2021-03-08 07:27:14,#จ๊าบเจน,mayypcyy,♡ Baekhyun's mom ♡ Sehun's wife ♡,70,อ่าน #จ๊าบเจน จบภายในวันเดียว ฮือ ;-; ดีจัง ตามมาจาก #เจ๋งพัท ชอบงานไรท์มากๆเลย ติดตามๆๆๆๆ 😭😭😭😭, /จ๊าบเจน/เจ๋งพัท,1,0,AnotherJee_,☁️HSW x 🐶AYJ x ♥️SHJ
5,36,2021-03-07 07:35:58,#จ๊าบเจน,natthalak777,but I self-sabotage,216,"ก่อนตอน 11 จะมา ขอแอบแวะมาเปิดตัว ‘แก๊งสีชมพู’ 💕 #jfamtheseries

พี่เจน #จ๊าบเจน (fiction)
พี่น็อต #น็อตเจ (comic)
น้องพัท #เจ๋งพัท (fiction)

🌸🌷🐽🐹💞 https://t.co/mSs6eivvAu", /jfamtheseries/จ๊าบเจน/น็อตเจ,492,260,knotj_,bromantic comedy | เจ-เอกจิตรกรรม x น็อต-เอกฟิล์ม | illustration by @happymealsetj 🍟 / story by @_summerdecember 🌱
6,37,2021-03-07 04:47:56,#จ๊าบเจน,yellowmoon345,,2,จ๊าบตอนไปกินหมูกระทะ #จ๊าบเจน https://t.co/3QZBnyNwKO, /จ๊าบเจน,0,0,yellowmoon345,
7,38,2021-03-06 14:45:11,#จ๊าบเจน,krera_fm,วนบ.ที่ยังไม่มูฟออน blink💓 Myday💫wannaone💸 WELO ✨Ab6ix🐦 Nct dream 🌱เอ็นลูววบิวกิ้นเเต่รักน้องพีพีนะคับบ🐧,156,@_summerdecember เดาว่าเป็นฉากตอนไปรับกลับจากร้านเหล้าใน #จ๊าบเจน รึป่าวคะ แอแงงงงง คิดเองเออเองค่ะ😆, /จ๊าบเจน,2,2,KawangB2UTY _summerdecember,bromantic comedy | เจ-เอกจิตรกรรม x น็อต-เอกฟิล์ม | illustration by @happymealsetj 🍟 / story by @_summerdecember 🌱
8,40,2021-03-06 03:29:57,#จ๊าบเจน,shouyuuu24,,7,"35 facts about summer dec’s writing 🌱

𝙥𝙖𝙧𝙩 𝙖. #น็อตเจ 🐯 (1-10)
𝙥𝙖𝙧𝙩 𝙗. #จ๊าบเจน 🐶 (11-20)
𝙥𝙖𝙧𝙩 𝙘. #เจ๋งพัท 🐱 (21-30)
𝙥𝙖𝙧𝙩 𝙙. 𝙢𝙮 𝙬𝙧𝙞𝙩𝙞𝙣𝙜 𝙞𝙣 𝙜𝙚𝙣𝙚𝙧𝙖𝙡 📝 (31-35)

a thread: https://t.co/nhK43ODrO2", /น็อตเจ/จ๊าบเจน/เจ๋งพัท,168,139,_summerdecember,"my mind is a mess, that's why i write. ✍🏻 #เจ๋งพัท #จ๊าบเจน / comic #น็อตเจ | #jfamtheseries and more"
9,41,2021-03-05 20:04:50,#จ๊าบเจน,_ei__ei_,GOT7's 🐦 임재범🍑박진영   -JJshipper-,99,"#จ๊าบเจน ของคุณเม่อ @_summerdecember
😌❤️
วาดจากตอนพิเศษ คุณเจนน่ารักไม่ไหว ไม่ใช่คุณจ๊าบยังหัวใจจะวายตาย 🥺💕❤️💕❤️
ภาพเต็มดูได้ในป๊อย
 https://t.co/MmQCG1nSGj https://t.co/zGy4nksV4s", /จ๊าบเจน,30,26,toophorm _summerdecember,"my mind is a mess, that's why i write. ✍🏻 #เจ๋งพัท #จ๊าบเจน / comic #น็อตเจ | #jfamtheseries and more"
