,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-23 12:39:10,#ฉลามสิ้นลาย,mnxmtt,"🔞⚠️🔥` มสต. พ่อจ๋า พ่อขนุน คนแซ่บ🔥♥️ น้องฮาร์ทยัยหนุบหนับๆ💕💞//👼น้องโร้ค🍑💞┊นิยายวาย📚 ชอบอ่านNC ,SMก้ชอบ//📖 #ปักนิยายวายอ่านเดี๋ยวมา ;☁️💕",58,#ฉลามสิ้นลาย https://t.co/SNDNH3toUx, /ฉลามสิ้นลาย,4,14,nokk_jii,Author —
1,1,2021-02-23 09:42:04,#ฉลามสิ้นลาย,Praew41503683,เอาไว้ซื้อนิยาย ;-;,1,"หมวดนิยาย นายเอกเป็นดั่งแสงสว่างหนึ่งเดียวในโลกมืดของพระเอก แบบว่าชีวิตนี้ไม่มีเธอขอตายดีกว่า..
#ฉลามสิ้นลาย พอ.เป็นซึมเศร้า
#กวีผู้มีรัก พอ.หูหนวก
#ไนโตรเจน พอ.มีปัญหาครอบครัว
#3KINGS ตอน จักรพรรดิ พอ.รถคว่ำขาพิการ
#ตะวันเคียงเดือน incest 
#เทวดาหลงไค พอ.ตัวคนเดียว/ไม่ค่อยพูด https://t.co/yd2jAFMkKB", /ฉลามสิ้นลาย,11,15,MAKUDJI,"#แนะนำนิยายวาย #NCจะเยียวยาทุกสิ่ง🔞 
#ติ่งไม่ใช่กิริยามันคือกรรม💕 #ลูกบอลของคุณบิ๊กกลัฟ แม่เป็นลูกบอลของนู๋⚽ นู๋เป็นลูกชายของแม่"
2,2,2021-02-22 14:47:29,#ฉลามสิ้นลาย,Jimin_Aomma,🎄𝒥𝒾𝓂𝒾𝓃’𝓈 𝒜𝑜𝓂𝓂𝒶🎄 | Au’s reader | Jikook shipper | A.R.M.Y | OT7 | ❣️BTS to 🌙 and Back,22,เมื่อไหร่เล่มจะออก ฮือออ พร้อมเพย์พร้อมโอนนะคุณไรท์น้าาา รอจ้า #ฉลามสิ้นลาย, /ฉลามสิ้นลาย,0,0,Jimin_Aomma,🎄𝒥𝒾𝓂𝒾𝓃’𝓈 𝒜𝑜𝓂𝓂𝒶🎄 | Au’s reader | Jikook shipper | A.R.M.Y | OT7 | ❣️BTS to 🌙 and Back
3,3,2021-02-22 14:31:57,#ฉลามสิ้นลาย,nadia25841,🏰 ♡¹𝙾𝚂𝙷♔ ゜♡𝙱𝙱𝙷♯×𝙿𝙲𝚈♬♡‥ゞ『“𝙴𝚇𝙾”』 🎠,85,สำหรับเราเรื่อง #ฉลามสิ้นลาย นี่ถือว่าอยู่ในหมวดดราม่านะ หน่วงๆ หวิวๆ น้ำตาไหลบ่อยมากๆ แถมยังมี warning ⚠️ เกี่ยวกับโรคซึมเศร้าด้วยนะ ใครอ่อนไหวไม่ควรอ่านค่ะ ภาษาโอเค ไม่งง อ่านไม่เบื่อเลย ถือว่าดี ใครสายดราม่าแนะนำเลยจ่ะ, /ฉลามสิ้นลาย,0,0,nadia25841,🏰 ♡¹𝙾𝚂𝙷♔ ゜♡𝙱𝙱𝙷♯×𝙿𝙲𝚈♬♡‥ゞ『“𝙴𝚇𝙾”』 🎠
4,4,2021-02-22 12:29:02,#ฉลามสิ้นลาย,jjnicha_Y,กาลครั้งหนึ่งเราเคยเป็นความสุขของกันและกัน | เปรมคือที่สุดของทุกอย่าง 🖤 @Prem_space,241,ฉันจะไม่ทนเนอะพี่ชาร์ค มีเท่าไหร่เปย์ให้หมด #ฉลามสิ้นลาย https://t.co/q5uNwldW6P, /ฉลามสิ้นลาย,0,0,jjnicha_Y,กาลครั้งหนึ่งเราเคยเป็นความสุขของกันและกัน | เปรมคือที่สุดของทุกอย่าง 🖤 @Prem_space
5,5,2021-02-21 11:25:32,#ฉลามสิ้นลาย,MintiraYoomekha,,11,#ฉลามสิ้นลาย (จบเเล้ว) พอ.ขึ้นชื่อเรื่องของความเจ้าชู้เสเพลภายนอกดูเข้มแข็งเจ้าชู้แต่ภายในแหลกสลายมาก(พอ.เป็นโรคซึมเศร้า) จนมีนอ.เข้ามาเยียวยาก็เริ่มดีขึ้น เป็นบรรยากาศหม่นๆที่มีความอบอุ่นแทรกอยู่ นอ.คลั่งรักมาก ส่วนคนพี่ก็ขี้อ้อนชอบพูดคะขาตลอด #แนะนำนิยายวาย #รีวิวนิยายวาย, /ฉลามสิ้นลาย,3,3,Moon0801_,"คลังบันทึกนิยายวายที่อ่าน
|14/04/63| #จอยลดา #ReadAWrite #นิยายเด็กดี #dekd  เน้นรีวิวเเฟนฟิคชั่นnct"
6,6,2021-02-19 08:05:49,#ฉลามสิ้นลาย,nookii_kyumin,ทวิตเตอร์มีไว้บ่น...,380,ตอนนี้กำลังอ่านเรื่อง S H A R K #ฉลามสิ้นลาย อยู่ เปิดเรื่องดีนะ มูด&amp;โทนของเรื่องออกจะหม่นๆหน่วงๆนิดนึง พระเอกเจ้าชู้มาก 7 ปี เปลี่ยนคู่นอนตลอดไม่เคยซ้ำ จนเพื่อนกลัวจะติดเอดส์ตาย ที่สำคัญคือ พระเอกพูด ‘คะ ขา เธอคะ’ กูตายค่ะ บอกเลย ;), /ฉลามสิ้นลาย,1,0,nadia25841,🏰 ♡¹𝙾𝚂𝙷♔ ゜♡𝙱𝙱𝙷♯×𝙿𝙲𝚈♬♡‥ゞ『“𝙴𝚇𝙾”』 🎠
7,7,2021-02-19 02:53:29,#ฉลามสิ้นลาย,slxxpp,,2,"168 The Eyxion #ดอลซ (chanbaek)
169 #ฉลามสิ้นลาย
170 #ก็จะดื้อ 
171 #มหาลัยครึ่งมนุษย์ 
172 Villains Brother #น้องของตัวร้าย 
173 #ฤาฤทธิ์คล้องนาคา 
174 #โปรดคลั่งรักอย่างมีสติ
175 #นับหนึ่งถึงเสาร์
176 #อยู่ๆผมก็กลายเป็นโอเมก้า
177 #ขวัญใจชบ #ขวัญใจ 
178 #เล่ห์รักร้าย #ลรรชบ", /ดอลซ/ฉลามสิ้นลาย/ก็จะดื้อ/มหาลัยครึ่งมนุษย์,9,16,__nook__00,"2000 #harukyu 
@treasuremembers
 รีวิว #RV_nook00"
8,8,2021-02-18 17:37:02,#ฉลามสิ้นลาย,nadia25841,🏰 ♡¹𝙾𝚂𝙷♔ ゜♡𝙱𝙱𝙷♯×𝙿𝙲𝚈♬♡‥ゞ『“𝙴𝚇𝙾”』 🎠,85,อีพี่ชาร์คมันลูกหมาาา ทำใจชั้นยวบหลายรอบละนะ อย่าอ้อนมากนัก ใจชั้นก็แค่นี้~~ เป็นแผล ทำแผลเสดต้องเป่า เพี้ยงด้วยนะ โอ้ยยยย อีพี่ มันน่าหยุมนักนะ #ฉลามสิ้นลาย, /ฉลามสิ้นลาย,0,0,nadia25841,🏰 ♡¹𝙾𝚂𝙷♔ ゜♡𝙱𝙱𝙷♯×𝙿𝙲𝚈♬♡‥ゞ『“𝙴𝚇𝙾”』 🎠
9,9,2021-02-18 10:36:55,#ฉลามสิ้นลาย,nadia25841,🏰 ♡¹𝙾𝚂𝙷♔ ゜♡𝙱𝙱𝙷♯×𝙿𝙲𝚈♬♡‥ゞ『“𝙴𝚇𝙾”』 🎠,85,"[yaoi] S H A R K #ฉลามสิ้นลาย 
#หวีดวายบายมี https://t.co/s1X90UV2xe https://t.co/v88jf8T5jw", /ฉลามสิ้นลาย/หวีดวายบายมี,0,0,nadia25841,🏰 ♡¹𝙾𝚂𝙷♔ ゜♡𝙱𝙱𝙷♯×𝙿𝙲𝚈♬♡‥ゞ『“𝙴𝚇𝙾”』 🎠
10,10,2021-02-18 10:35:06,#ฉลามสิ้นลาย,nadia25841,🏰 ♡¹𝙾𝚂𝙷♔ ゜♡𝙱𝙱𝙷♯×𝙿𝙲𝚈♬♡‥ゞ『“𝙴𝚇𝙾”』 🎠,85,อยากจะด่าพระเอกหลายทีละเวลาใจร้ายกับน้องมีน แต่บั่บพอเจอง้อด้วย เธอคะ เธอขา ที่ไร ไปไม่เปนเลยกู สงสารน้องมีนก็สงสาร พระเอกก็เหี้ยแหล่ะ ตรงๆเลย แต่นางก็มีมุมน่ารักและมุมเศร้าๆของตัวเอง ทำทุกอย่างมีเหตุผล #ฉลามสิ้นลาย, /ฉลามสิ้นลาย,0,0,nadia25841,🏰 ♡¹𝙾𝚂𝙷♔ ゜♡𝙱𝙱𝙷♯×𝙿𝙲𝚈♬♡‥ゞ『“𝙴𝚇𝙾”』 🎠
11,12,2021-02-18 06:15:16,#ฉลามสิ้นลาย,onanongkannikun,,0,"นิยาย+จอย+รีดอะไรท์ที่อ่านตอนนี้ #แนะนํานิยายวาย ดีทุกเรื่อง
#อาทิตย์ดาวตก
#ใกล้แค่พันลี้
#จีบจริง
#เลิกจริง
#บูลุงบูลุง
#ถามปลาวาฬ
#wallแจเตนล์
#แจเตนล์เปราะบาง
#สักป้าบมั้ยเป้อ (จบ)
#ฉลามสิ้นลาย
#เมียไคน์
#ฟาดเด็ก
#ทีเร็กซ์จะไม่ดื้อ
#อาชัญอัยยา
#เดี๋ยวก็โต", /แนะนํานิยายวาย/อาทิตย์ดาวตก/ใกล้แค่พันลี้/จีบจริง/เลิกจริง/บูลุงบูลุง,40,47,leeonn24,⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ｄｏｎｇｈａｅ ｅｕｎｈｙｕｋ ⠀ ⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⠀⠀ ⠀
12,13,2021-02-18 03:30:19,#ฉลามสิ้นลาย,ZJKH2,เสพติดนิยายอย่างหนัก📚หลงรักแคคตัส🌵,163,"#รีวิวนิยาย #รีวิวนิยายวาย 
#แนะนํานิยายวาย 
บอกเลยว่าหน่วงสัสๆชั้นคลั่งน้ำตาไม่หยุดเลย😭
แต่ทั้งคู่คือน่ารักมาก น้องคือทำทุกอย่างให้พี่มีความสุข คนพี่คือติดน้องหนึบมาก
เป็นคนคลั่งรัก ห้ามใครยุ่ง หวงหนัก
เนื้อเรื่องคือดีมาก ไปอ่านๆ
#ZJKHRead #ฉลามสิ้นลาย 
https://t.co/MaNnO6tMDn", /รีวิวนิยาย/รีวิวนิยายวาย/แนะนํานิยายวาย/ZJKHRead/ฉลามสิ้นลาย,0,1,ZJKH2,เสพติดนิยายอย่างหนัก📚หลงรักแคคตัส🌵
13,0,2021-02-06 06:23:43,#ฉลามสิ้นลาย,Popeye4740,Single🌧🎈,5,"นิยายที่สุดในใจของ2020
รอร
#สลิลจอนแจ 
#มัมไออยู่ไหน
#หมอตั้วยอดนักเขียน
#ปลาทองปลาทู
#มาวินมีใจ
#พี่รัฐที่แปลว่า
#อัญมณีที่รัก
#เขาชื่ออันวาร์
#ฉลามสิ้นลาย
#เนินทรายใต้แสงจันทร์
#ได้ไหมเทียน
#ทำนายทายทัพ
#คนของอาคเนย์
#พี่ทรงโปรดnr
#หมออ่ะ
#SecretTJ", /สลิลจอนแจ/มัมไออยู่ไหน/หมอตั้วยอดนักเขียน/ปลาทองปลาทู/มาวินมีใจ/พี่รัฐที่แปลว่า,86,115,tapmaiii,"While I still breathe,I will be hoping."
14,1,2021-02-05 14:49:52,#ฉลามสิ้นลาย,NirachaMo,,94,"168 The Eyxion #ดอลซ (chanbaek)
169 #ฉลามสิ้นลาย
170 #ก็จะดื้อ 
171 #มหาลัยครึ่งมนุษย์ 
172 Villains Brother #น้องของตัวร้าย 
173 #ฤาฤทธิ์คล้องนาคา 
174 #โปรดคลั่งรักอย่างมีสติ
175 #นับหนึ่งถึงเสาร์
176 #อยู่ๆผมก็กลายเป็นโอเมก้า
177 #ขวัญใจชบ #ขวัญใจ 
178 #เล่ห์รักร้าย #ลรรชบ", /ดอลซ/ฉลามสิ้นลาย/ก็จะดื้อ/มหาลัยครึ่งมนุษย์,8,11,__nook__00,💎2000💎 #harukyu @treasuremembers รีวิว #RV_nook00
15,2,2021-02-05 13:09:15,#ฉลามสิ้นลาย,enooamsai,,2,#ฉลามสิ้นลาย https://t.co/PzC7xb218n, /ฉลามสิ้นลาย,0,0,enooamsai,
