,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-07 08:48:15,#ชั่วโมงหยุดรัก,ggailwps,แต่ก็น่าอิจฉาจังเลยนะ เข้มแข็งขนาดนี้ ถึงรู้ว่าเขาไม่สนใจ แต่ก็ยังมีความสุขกับการรักเขาอยู่ดี.,59,#รีวิวนิยาย #ชั่วโมงหยุดรัก มาถึงโลกสุดท้ายของเซ็ต โลกนี้ทำเราประทับใจมากในความแฟนซี นข.จับจับเอาผีสาง นางไม้ ซอมบี้ บลาๆเข้ามาเต็มเลย แต่อ่านไปแล้วไม่รู้สึกขัด แต่มันทำเราประหลาดใจปนขำ มีจุดระทึกด้วย ลุ้นไปตามๆกัน พายุคนที่สามเป็นหมอผี นายเอกของเราถูกทำให้หายไป https://t.co/vOr0DU96Vq, /รีวิวนิยาย/ชั่วโมงหยุดรัก,3,2,AUNkanprachit,รีวิวนิยาย ส่วนใหญ่เป็นวาย
1,3,2021-03-06 04:30:55,#ชั่วโมงหยุดรัก,_idkpy,@real_kimyugyeom | @_chowoodz | #พิกเผามุ้หยอง 🐶🐱,786,ของคุณwickedwish ดีจนไม่รู้จะบรรยายยังไง เป็นเซทสามเรื่อง เรื่องละ15ตอน ดีแม้กกกกกก พล็อตเรื่องน่าสนใจมาก ต้องอ่าน  #ชั่วโมงหลงรัก #ชั่วโมงเกือบรัก #ชั่วโมงหยุดรัก https://t.co/DDuBCMd1fN https://t.co/iQ9tukuz8X, ,48,59,kunkimkhongchun,โดยองผัว
2,5,2021-03-03 10:16:00,#ชั่วโมงหยุดรัก,MiLd_SoOo,#หยิ่นวอร์ #มิวกลัฟ #บุ๋นเปรม,54,"111.#เสี่ยเหนือกินเด็ก
112.#สามีขาของมิเกล
113.#นิ่งเฮียก็หาว่าซื่อ
114.#ดื้อเฮียก็หาว่าซน
115.#ชั่วโมงหยุดรัก
116.#ชั่วโมงเกือบรัก
117.#ชั่วโมงหลงรัก
118.#sofaขอฟัด
119.#นีนี่เมียทาส 
120.#ความลับของอาโอบ", /เสี่ยเหนือกินเด็ก/สามีขาของมิเกล/นิ่งเฮียก็หาว่าซื่อ/ดื้อเฮียก็หาว่าซน/ชั่วโมงหยุดรัก,7,4,soxzxz,โดยองผัว
3,6,2021-03-01 15:25:11,#ชั่วโมงหยุดรัก,Khram_Y,hєч ! เปิดไว้รีวิวนิยายวาย กับไว้บ่นปัญหาชีวิตฮะꔣ₊˚✦˚ ༘ 𖧧 ˒read now or cry after ꔛ﹆,87,"#ชั่วโมงหลงรัก 
#ชั่วโมงเกือบรัก 
#ชั่วโมงหยุดรัก 
#แปลกไหมถ้าจะคิดอะไรกับแมว https://t.co/k9NEWtWcKQ", /ชั่วโมงหลงรัก/ชั่วโมงเกือบรัก/ชั่วโมงหยุดรัก/แปลกไหมถ้าจะคิดอะไรกับแมว,1,5,Khram_Y,hєч ! เปิดไว้รีวิวนิยายวาย กับไว้บ่นปัญหาชีวิตฮะꔣ₊˚✦˚ ༘ 𖧧 ˒read now or cry after ꔛ﹆
4,0,2021-02-01 05:38:08,#ชั่วโมงหยุดรัก,usOperFe6,ꊞ🐄📓✧เติบโตไปไม่ปวดหลังนะ*´ސު｀*,0,"#ชั่วโมงหยุดรัก ❣️✨

เรื่องนี้คืออ่านเเล้วค่อตบ้า5555555555 นายเอกเป็นผีที่บอกว่าตัวเองไม่ใช่ผีอะ มาขอให้พี่ช่วยทำให้จำเรื่องราวของตัวเองได้ เพราะตอนนี้เป็นผีความจำเสื่อม พี่ก้ปากดีมาก เปนหมอผีที่กวนตีนที่สุดในโลก ม่วนค่ะ ไปอ่าน!!

#แนะนํานิยายวาย #รีวิวนิยายวาย https://t.co/4bMFzoFus3", /ชั่วโมงหยุดรัก,48,77,Rereyy_y,เเอคนี้มีไว้รีวิวนิยายที่ชอบ เเน่นอนว่าทุกเรื่องสเปคเราค่า ⋆☄︎. *. ⋆യ 🥯🥣
5,3,2021-01-31 11:31:40,#ชั่วโมงหยุดรัก,angryhume,"*เติบโตไปโดยไม่พบความเสียใจนะ ಥ_ಥ
                      อย่าคาดหวังจากอิชั้นเลย ชั้นก็แค่คนๆหนึ่ง

                       ที่รัก ชาติ ศาสนา อิมแจบอม เต้าอั้น",21,ดีอ่าเรื่องนี้ แฟนตาซีจ๋าเลย อิพี่ยุปากวอนตีนมั้ก ยัยน้องมิลก็น่ารักจังอะ พี่ผีทั้งหลายก็บันเทิงไม่ไหว รวมๆแล้วคือมึงต้องอ่านค่ะ #ชั่วโมงหยุดรัก, /ชั่วโมงหยุดรัก,0,0,angryhume,"*เติบโตไปโดยไม่พบความเสียใจนะ ಥ_ಥ
                      อย่าคาดหวังจากอิชั้นเลย ชั้นก็แค่คนๆหนึ่ง

                       ที่รัก ชาติ ศาสนา อิมแจบอม เต้าอั้น"
6,4,2021-01-31 09:18:13,#ชั่วโมงหยุดรัก,medusadeganjue,To all the feelings I feel.,46,ส่วนตัวชอบเรื่อง evening is eternal #ชั่วโมงหยุดรัก มากสุด ชอบความแฟนตาซีกับคาแรคเตอร์ตัวละครที่สุดแสนจะน่ารักทุกตัว และที่สำคัญคือทุกตัวละคร take care กันตลอดเลย รักแก๊งนี้ 👻💘, /ชั่วโมงหยุดรัก,0,0,medusadeganjue,To all the feelings I feel.
7,5,2021-01-31 09:17:42,#ชั่วโมงหยุดรัก,medusadeganjue,To all the feelings I feel.,46,เรื่องสุดท้าย #ชั่วโมงหยุดรัก คุณพายุไซโคลน + บุคคลที่โดนสาปให้อยู่ในโลก in between จะเป็นผีก็ไม่เชิง เป็นคนก็ไม่ใช่ เรื่องนี้ horror comedy มีความน่ากลัวของเหล่าคุณผีนิดๆ + family drama คาแรคเตอร์มีเสน่ห์ทุกตัวละครเลย อ่านจบแล้วอยากส่งกอดบลูทูธให้ทุกคน https://t.co/R9I9cBTLMl, /ชั่วโมงหยุดรัก,0,0,medusadeganjue,To all the feelings I feel.
8,6,2021-01-31 09:14:47,#ชั่วโมงหยุดรัก,medusadeganjue,To all the feelings I feel.,46,เพิ่งอ่านเซ็ท daybreak #ชั่วโมงหลงรัก #ชั่วโมงเกือบรัก #ชั่วโมงหยุดรัก ของคุณ wickedwish_ จบไป เรื่องราวของเจ้าพายุ 3 คน จาก 3 โลกคู่ขนานที่ต้องมาเจอกับ 3 บุคคลต้องคำสาปจากแม่มดเจนนาห์ กับ 3 moods 3 settings but one thing for sure there’s love in these 3 stories. #medusareads https://t.co/qKsrIlG9Le, /ชั่วโมงหลงรัก/ชั่วโมงเกือบรัก/ชั่วโมงหยุดรัก/medusareads,0,0,medusadeganjue,To all the feelings I feel.
9,29,2021-01-26 04:02:25,#ชั่วโมงหยุดรัก,_bjyx62,ป๋อจ้านเป็นแฟนกัน ทุกคนรู้ แฟนคลับรู้ แต่ป๋อจ้านไม่รู้,45,ขำ ไม่ไหวแล้ว ช่วยด้วยขำเป็นคนบ้า พายุวิ้คคค #ชั่วโมงหยุดรัก https://t.co/jiJFUZVryd, /ชั่วโมงหยุดรัก,4,3,marsmoonjj,𝙙𝙚𝙖𝙧 𝙅𝙤𝙝𝙣 - 𝙠𝙞𝙣𝙙 𝙧𝙚𝙜𝙖𝙧𝙙𝙨 ; 𝙥.𝙨. 𝙬𝙞𝙩𝙝 𝙡𝙤𝙫𝙚
