,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-25 14:14:59,#ชั่วโมงหลงรัก,HiBabeJay,A 🌐MG | JAYPARK | H1GHRMUSIC | คีพค่าย | KHH | R&B | ช่วงนี้อินอนิเมะ |,224,"111.#เสี่ยเหนือกินเด็ก
112.#สามีขาของมิเกล
113.#นิ่งเฮียก็หาว่าซื่อ
114.#ดื้อเฮียก็หาว่าซน
115.#ชั่วโมงหยุดรัก
116.#ชั่วโมงเกือบรัก
117.#ชั่วโมงหลงรัก
118.#sofaขอฟัด
119.#นีนี่เมียทาส 
120.#ความลับของอาโอบ", /เสี่ยเหนือกินเด็ก/สามีขาของมิเกล/นิ่งเฮียก็หาว่าซื่อ/ดื้อเฮียก็หาว่าซน/ชั่วโมงหยุดรัก,3,0,poxzxx,• อ่านไปเรื่อย • • เนม : ซอ • • ชอบอ่านนิยายวาย • • • • • • • คลังเก็บนิยายไว้อ่านของซอเอง #pxzจะอ่าน • • • • • • • ประโยคที่ชอบจากนิยายที่อ่าน #pxzชอบ • • • •
1,2,2021-02-23 16:07:42,#ชั่วโมงหลงรัก,nokmalee,love Music  # love movie,21,"#ชั่วโมงเกือบรัก นอ.สั่งให้ฝนตกได้แต่พอมาอยู่ใกล้พอ.กลับสั่งให้ฝนตกไม่ได้ซะงั้น
#ชั่วโมงหลงรัก นอ.ตายไม่ได้ก็คือทำไงก็ไม่ตาย พอ.เป็นแฟนเก่านอ.วันนึงกลับมาเจอกันก็มีช่วยกันสืบคดี
#ชั่วโมงหยุดรัก นอ.เป็นผีความจำเสื่อมพอ.เป็นหมอผี🤣
ทั้ง3เรื่องเป็นโลกแห่งคู่ขนานสนุกมาก✨ https://t.co/Blbcfo9WMb", /ชั่วโมงเกือบรัก/ชั่วโมงหลงรัก,6,3,mylapiss,น้องพีพีแอนด์น้องแบ้ก ·͜·♡
2,8,2021-02-19 18:18:13,#ชั่วโมงหลงรัก,xdearpluto,"— 𝟕 𝐛𝐢𝐥𝐥𝐢𝐨𝐧𝐬 𝐬𝐦𝐢𝐥𝐞𝐬, 𝐚𝐧𝐝 𝐲𝐨𝐮𝐫𝐬 𝐢𝐬 𝐦𝐲 𝐟𝐚𝐯𝐨𝐫𝐢𝐭𝐞. ☽ multifandom : 원우리들 ; ⌘ creative station #dearplutostation | #GYURUBER",1287,(daybreak) morning is broken #ชั่วโมงหลงรัก #readAwrite #wickedwish_ #wickedwish https://t.co/aO8mP8MO22, /ชั่วโมงหลงรัก/readAwrite/wickedwish_/wickedwish,1,0,xdearpluto,"— 𝟕 𝐛𝐢𝐥𝐥𝐢𝐨𝐧𝐬 𝐬𝐦𝐢𝐥𝐞𝐬, 𝐚𝐧𝐝 𝐲𝐨𝐮𝐫𝐬 𝐢𝐬 𝐦𝐲 𝐟𝐚𝐯𝐨𝐫𝐢𝐭𝐞. ☽ multifandom : 원우리들 ; ⌘ creative station #dearplutostation | #GYURUBER"
3,9,2021-02-19 17:11:34,#ชั่วโมงหลงรัก,shinylittlemoon,@WE_THE_BOYZ OT12 𝕂𝔼𝕍𝕀ℕ 𝕄𝕆𝕆ℕ ♡ ɪɢᴀʀɪ ꜱᴏʏᴀ ♡ R1SE|JO1|TOO|TNT จีน/ญี่ปุ่น/ซวว/บ่นเกนชิน/มัมหมีน้องแพท,240,"#ชั่วโมงหลงรัก (ลมหนาวxพายุ)
แนวดราม่า+สืบสวน+แฟนตาซีนิดๆ เปิดเรื่องมาตอนแรกสงสัยมากนายเอกเป็นบ้า555 แต่พออ่านเรื่อยๆ ปมก็จะคล้าย อย่าหลงเชื่อเพียงคำบอกเล่าจนกว่าสิ่งนั้นจะได้รับการพิสูจน์ จบดีนะ สนุกมาก อยากแนะนำเพราะเป็นพล็อตที่ไม่ใช่แนวตลาดๆ เลย #แนะนํานิยายวาย #รีวิวนิยายวาย https://t.co/zxyESeLq2q", /ชั่วโมงหลงรัก,110,112,passengerTH,เหนื่อยเหลือเกินพี่ชาย
4,0,2021-02-05 14:28:23,#ชั่วโมงหลงรัก,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",2746,"1. #ชั่วโมงหลงรัก
🍄 https://t.co/u4eDJhUvNg
2. #ชั่วโมงเกือบรัก
🍄 https://t.co/9tWcL6a8DU
3. #ชั่วโมงหยุดรัก 
🍄 https://t.co/yIaiPIrgQO

#รีวิวนิยายวาย #แนะนํานิยายวาย #นิยายวายจบแล้ว #นิยายวาย", /ชั่วโมงหลงรัก/ชั่วโมงเกือบรัก/ชั่วโมงหยุดรัก,4,2,niyay55,"💸รีวิวนิยายวาย📚                                                  
      
📺ช่อง Youtube ของชาววาย🔴"
5,2,2021-02-03 11:45:56,#ชั่วโมงหลงรัก,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",2746,มาอ่าน #ชั่วโมงหลงรัก รอ #ไม่รักป๊าหรือม๊า ออกตอนใหม่ สดุดเลย แบรนด์มัชคินเริ่มจากตรงนี้เลยสินะ🤣🤣🤣 คุณหัวหน้าอชิคะ ขอสัมภาษณ์หน่อย #อย่าบอกป๊านะม๊า https://t.co/1hFR44aS6W, /ชั่วโมงหลงรัก/ไม่รักป๊าหรือม๊า,2,1,GoyaNisha,"Twitter for everyone!!
本とアニメが好き 
// 日本語ががんばります
ลูกชายเป็นหลัก เรื่องอื่นเป็นรอง

Art&Writing → @KuSa_Cao"
6,4,2021-02-02 13:35:55,#ชั่วโมงหลงรัก,nokmalee,love Music  # love movie,19,เรื่องแรกของเซ็ท daybreak #ชั่วโมงหลงรัก เจอคุณพายุไต้ฝุ่นในโลกแรกที่สุดแสนจะคลั่งรัก + บุคคลที่โดนคำสาปให้ตายไม่ได้ เนื้อเรื่องเป็น drama+thriller ซับซ้อน ดำเนินเรื่องเร็ว มีจังหวะตะกุกตะกัก ตอนอ่านต้องใจเย็นนิดนึง แต่อ่านเรื่องนี้จบ อีกสองเรื่องคือง่ายละ https://t.co/0jbBZdAEWO, /ชั่วโมงหลงรัก,2,1,medusadeganjue,To all the feelings I feel.
7,5,2021-02-02 13:35:51,#ชั่วโมงหลงรัก,nokmalee,love Music  # love movie,19,เพิ่งอ่านเซ็ท daybreak #ชั่วโมงหลงรัก #ชั่วโมงเกือบรัก #ชั่วโมงหยุดรัก ของคุณ wickedwish_ จบไป เรื่องราวของเจ้าพายุ 3 คน จาก 3 โลกคู่ขนานที่ต้องมาเจอกับ 3 บุคคลต้องคำสาปจากแม่มดเจนนาห์ กับ 3 moods 3 settings but one thing for sure there’s love in these 3 stories. #medusareads https://t.co/qKsrIlG9Le, /ชั่วโมงหลงรัก/ชั่วโมงเกือบรัก/ชั่วโมงหยุดรัก,8,4,medusadeganjue,To all the feelings I feel.
8,16,2021-01-30 13:09:55,#ชั่วโมงหลงรัก,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",2746,พึ่งอ่าน #ชั่วโมงหลงรัก จบ ละมาอ่านอิพี่คินต่อ ทำไมมนุษย์แม่ที่ไรท์แต่งเปนลาสบอสหมดเรยคะ มาทีพระเอกของเรื่องเปนหมาไปเลย555555 #ไม่รักป๊าหรือม๊า, /ชั่วโมงหลงรัก,1,0,_bjyx62,ป๋อจ้านเป็นแฟนกัน ทุกคนรู้ แฟนคลับรู้ แต่ป๋อจ้านไม่รู้
9,18,2021-01-30 07:17:29,#ชั่วโมงหลงรัก,_bjyx62,ป๋อจ้านเป็นแฟนกัน ทุกคนรู้ แฟนคลับรู้ แต่ป๋อจ้านไม่รู้,44,ผมที่คิดว่าเรื่องนี้แม่งพีคแล้ว แต่มันก็ยังพีคขึ้นได้อีก #ชั่วโมงหลงรัก https://t.co/Bzc67T7Dsc, /ชั่วโมงหลงรัก,0,0,_bjyx62,ป๋อจ้านเป็นแฟนกัน ทุกคนรู้ แฟนคลับรู้ แต่ป๋อจ้านไม่รู้
