,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-23 16:07:42,#ชั่วโมงเกือบรัก,nokmalee,love Music  # love movie,21,"#ชั่วโมงเกือบรัก นอ.สั่งให้ฝนตกได้แต่พอมาอยู่ใกล้พอ.กลับสั่งให้ฝนตกไม่ได้ซะงั้น
#ชั่วโมงหลงรัก นอ.ตายไม่ได้ก็คือทำไงก็ไม่ตาย พอ.เป็นแฟนเก่านอ.วันนึงกลับมาเจอกันก็มีช่วยกันสืบคดี
#ชั่วโมงหยุดรัก นอ.เป็นผีความจำเสื่อมพอ.เป็นหมอผี🤣
ทั้ง3เรื่องเป็นโลกแห่งคู่ขนานสนุกมาก✨ https://t.co/Blbcfo9WMb", /ชั่วโมงเกือบรัก/ชั่วโมงหลงรัก,6,2,mylapiss,น้องพีพีแอนด์น้องแบ้ก ·͜·♡
1,0,2021-02-06 16:39:55,#ชั่วโมงเกือบรัก,WNP_ches,เมนจั๋น🐶เมนพี่จ้าน🐰อี้ป๋อ :: #WangJackson #Wangxian #ป๋อจ้าน #ปรมาจารย์ลัทธิมาร || ฝั่งตะวันตก #dylmas #sterek #drarry || #โบ๊ะบ๊ะแฟมิลี่ || 💜,204,"(เรื่องสุดท้ายของคุณนักเขียนคนนี้แล้วคับที่จะแนะนำ) เรื่องนี้นายเอกสามารถเรียกฝนได้ เป็นคนที่อยู่ตรงไหนฝนก็จะตกตลอดเวลาแต่ฝนดันไม่ตกเวลาน้องเจอกับพระเอก ใครชอบแนวตลกๆต้องเรื่องนี้ ! 
#ชั่วโมงเกือบรัก #แนะนำนิยายวาย https://t.co/RpVpcZdTmt", ,5,5,blossomde_,"—( exo⃕ 🖐🏽 , 1O억 퍼센트❕) ft. tbz & enhypen🧽🍅 #훈훈훈lover (💙) + 이종석 & 이도현 ; (배우)🧁"
2,1,2021-02-06 14:20:21,#ชั่วโมงเกือบรัก,Thadaaaaaaaa,ณ ที่นี้ ผองราษฎรได้แสดงเจตนารมณ์ ประเทศนี้เป็นของราษฎร มิใช่ของกษัตริย์ตามที่เขาหลอกลวง #whatshappeninginthailand,21,"172. ชื่อ #ชั่วโมงเกือบรัก 
นายเอกโดนคำสาป อยู่ที่ไหนฝนก็จะคกตลอด จนต้องเปลี่ยนหอบ่อยเพราะกลัวน้ำจะท่วมหอ555 แต่พออยู่กับพระเอกฝนดันไม่ตก นอ.รับจ้างเรียกฝนนะ พระเอกผีบ้ามาก5555 หลงตัวเองสุดไรสุดชมตัวเองเก่งมากจ่ะ พูดเรื่องอื่นอยู่ก็วนมาชมตัวเองได้ #รีวิวนิยายวาย #แนะนํานิยายวาย https://t.co/GrP31NShr8", /ชั่วโมงเกือบรัก,14,11,niyay55,"💸รีวิวนิยายวาย📚                                                  
      
📺ช่อง Youtube ของชาววาย🔴"
3,5,2021-02-05 14:28:23,#ชั่วโมงเกือบรัก,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",2745,"1. #ชั่วโมงหลงรัก
🍄 https://t.co/u4eDJhUvNg
2. #ชั่วโมงเกือบรัก
🍄 https://t.co/9tWcL6a8DU
3. #ชั่วโมงหยุดรัก 
🍄 https://t.co/yIaiPIrgQO

#รีวิวนิยายวาย #แนะนํานิยายวาย #นิยายวายจบแล้ว #นิยายวาย", /ชั่วโมงหลงรัก/ชั่วโมงเกือบรัก/ชั่วโมงหยุดรัก,4,2,niyay55,"💸รีวิวนิยายวาย📚                                                  
      
📺ช่อง Youtube ของชาววาย🔴"
4,6,2021-02-05 02:36:43,#ชั่วโมงเกือบรัก,chanyeolsslave,"EXO is EXO↔️EXO is God
เรือสำราญชานแบค ❤",15,"คอมเมเด้
#พี่จะตีนะเนย 
#อีดี๋เด็กดาว
#ใครชอบจิ้งยกมือขึ้น
#บ้าไม่ได้ชอบ 
#จารย์อย่าตีโจ้
#ไอ้ดลมันเมียบอส
#เฉิ่มเชย
#คุณปลัดคิ้วท์บอย
#ใส่รักป้ายสี
#เด็กหอหมออู้
#อาการเป็นยังไงไหนบอกหมอ 
#ก็จะดื้อ อมกว.
#ชั่วโมงเกือบรัก 
#กระต่ายหมายหมอ 
#นิยายวาย #นิยายวายแนะนำ #แนะนำนิยายวาย", /พี่จะตีนะเนย/อีดี๋เด็กดาว/ใครชอบจิ้งยกมือขึ้น/บ้าไม่ได้ชอบ/จารย์อย่าตีโจ้/ไอ้ดลมันเมียบอส/เฉิ่มเชย,25,24,Ploykwan99,❥ส่งต่อนิยายวาย ส่วนมากอ่านเก็บเอง สภาพดีงาม 💕✨ ~ มีทั้งมือ 1 มือ 2 น๊า เรื่องที่ว่างดูได้ในสื่อนะคะ
5,8,2021-02-04 21:46:42,#ชั่วโมงเกือบรัก,loverTK323,•GOT7💚🔗• SJ - BAP shipper♡° markbam9397 - taokacha -​ bozhan - mewgulf |มกปฟก| #MTBB #XCIIIXCVII #BJYX #TRACER85 #DAYTOY #หวานใจมิวกลัฟ,398,"#ชั่วโมงเกือบรัก ⛈

พอ.กวนตีน เปย์เก่ง มาทางนี้! 
นอ.มีคำสาปให้มีฝนติดตัวตลอดเวลา ไปไหนก็มีฝนงี้ เลยรับจ้างเรียกฝน พอ.ที่เกลียดคู่อริมาก ก็ไปจ้างน้องมาเรียกฝนใส่เค้า เเต่ทีนี้พอน้องเจอพอ.ฝนกลับหยุด นอ.ชิบหายเรยเพราะต้องเป็นลูกหนี้มัดจำค่าฝน5555555

#แนะนํานิยายวาย #รีวิวนิยายวาย https://t.co/MBo2fVsxKk", /ชั่วโมงเกือบรัก,18,22,Rereyy_y,เเอคนี้มีไว้รีวิวนิยายที่ชอบ เเน่นอนว่าทุกเรื่องสเปคเราค่า ⋆☄︎. *. ⋆യ 🥯🥣
6,16,2021-02-03 04:08:44,#ชั่วโมงเกือบรัก,sleptless,มีชีวิตอยู่เพื่อรักพระเอกจอย,1057,"Afternoon is rainy #ชั่วโมงเกือบรัก 
     ดีมาก แบบมากๆๆๆๆๆ แงงงง เป็นนิยายฟิลกู้ดที่มีครบทุกรส จริงๆเรื่องนี้เป็นชีวิตในรั้วมหาลัยที่ดูธรรมดาแต่พิเศษ มีพี่พายุที่สามารถสื่อสารกับตัวเองในโลกคู่ขนานได้กับน้องเกียร์เจ้าอูฐน้อยผู้มีคำสาปฝนตกติดตัว🐵🐫 https://t.co/Ie4woWCCNN", /ชั่วโมงเกือบรัก,6,3,twentyseconddec,❥𝑠𝑖𝑚𝑝𝑙𝑒 𝑏𝑢𝑡 𝑠𝑝𝑒𝑐𝑖𝑎𝑙☺︎︎
7,20,2021-02-03 02:36:05,#ชั่วโมงเกือบรัก,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",2745,"สนุกมากนั่งอ่านแปบเดียวจบ 
(daybreak) afternoon is rainy #ชั่วโมงเกือบรัก https://t.co/7OFw5KJwdD", /ชั่วโมงเกือบรัก,2,2,nanamysunflower,"หาร ssgt nct127,ฟตก2020 เชิญทางนี้ https://t.co/m9HH8236Ik #ด๋อยอัพเดต"
8,24,2021-02-03 02:33:49,#ชั่วโมงเกือบรัก,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",2745,ปวดหัว55555555555555 #ชั่วโมงเกือบรัก https://t.co/0mdw5W7GlR, /ชั่วโมงเกือบรัก,1,0,achh_,
9,27,2021-02-02 13:35:58,#ชั่วโมงเกือบรัก,nokmalee,love Music  # love movie,19,#ชั่วโมงเกือบรัก คุณพายุในโลกที่เรียกตัวเองว่าสตอร์ม + บุคคลที่โดนสาปให้พาฝนไปด้วยในทุกที่ที่เขาอยู่ เรื่องนี้เป็น romcom เลย น่ารักมาก มนุษย์แสงแดด (ที่แผดเผาซะเหลือเกิน) กับมนุษย์เรียกฝนตัวน้อย (?) อ่านไป ยิ้มไป ต่อให้ฝนตกก็จะมีรอยยิ้มแน่นอน https://t.co/KPvsUZWj3Q, /ชั่วโมงเกือบรัก,2,2,medusadeganjue,To all the feelings I feel.
10,28,2021-02-02 13:35:51,#ชั่วโมงเกือบรัก,nokmalee,love Music  # love movie,19,เพิ่งอ่านเซ็ท daybreak #ชั่วโมงหลงรัก #ชั่วโมงเกือบรัก #ชั่วโมงหยุดรัก ของคุณ wickedwish_ จบไป เรื่องราวของเจ้าพายุ 3 คน จาก 3 โลกคู่ขนานที่ต้องมาเจอกับ 3 บุคคลต้องคำสาปจากแม่มดเจนนาห์ กับ 3 moods 3 settings but one thing for sure there’s love in these 3 stories. #medusareads https://t.co/qKsrIlG9Le, /ชั่วโมงหลงรัก/ชั่วโมงเกือบรัก/ชั่วโมงหยุดรัก,8,4,medusadeganjue,To all the feelings I feel.
