,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-13 04:04:18,#ชานนท์รสน้ำผึ้ง,N8216WD,"WD're AppleOfMyEye || 
หลงออกัสอยู่ || รีทวิตจนน่ารำคาญ || หน้าที่ของฉันคือ..หยุดพยายามเป็นคนที่สำคัญ",718,"˳✧༚ pls rt ˳✧༚ 
(fictober 2020) Honey Trap
#ชานนท์รสน้ำผึ้ง

✎ ̼ ราคา: 150 บาท
✎ ̼ ขนาด: เล็กจิ๋วกว่านิยายปกติ
✎ ̼จำนวนตอน: 39 ตอนขนาดสั้น + สเป8ตอนไม่ลงเว็บ
✎ ̼จำนวนหน้า: 168 หน้า

✎ ̼ลิงค์:  https://t.co/Yum99nuBbH
✎ วางb2s 19 มีนาเป็นต้นไป

#นิยายวาย
#แนะนำนิยายวาย https://t.co/D7eCYMvW5U", /ชานนท์รสน้ำผึ้ง,100,51,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀"
1,2,2021-03-13 02:39:37,#ชานนท์รสน้ำผึ้ง,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",2929,"คำโปรยคือแบบ จอมโฉดมากเลยลูก ใช้หนวดยิงปิ้วๆๆ แงงงงง เป็นเรื่องที่น่ารักมากกก แบบมากกกก มากกกกกกกกก

ไปซื้อกันนน โอมจงโดนนุเจอาร์ตก!!!!!

#ชานนท์รสน้ำผึ้ง https://t.co/9CMuyeSZ2j", ,2,1,nxc_cxn,
2,5,2021-03-12 12:52:22,#ชานนท์รสน้ำผึ้ง,_Wavelife,,226,"Honey Trap #ชานนท์รสน้ำผึ้ง
วางขาย 19 มี.ค. ราคาปก 150
ออนไลน์  https://t.co/ppdUFWAsyd https://t.co/Kz1AAQnx32", /ชานนท์รสน้ำผึ้ง,5,2,whynnn,★彡 🏳️‍🌈
3,9,2021-03-12 08:49:01,#ชานนท์รสน้ำผึ้ง,zeenseaseen,เมียสกุลหวัง,32,"ยังอยู่กันที่คุณนักเขียนคนเดิม เรื่องนี้ก็จักรวาลเดียวกันกับเรื่องอย่าบอกป๊านะม๊า เป็นเรื่องของเลขาพี่ชานนท์ของคุณอชิ เรื่องนี้น่ารักม้ากกกก นายเอกเป็นมนุษย์ต่างดาว เป็นผึ้งอ้วน ที่มาโลกมนุษย์เพราะจะยึดครองโลก! ตอนนึงไม่ยาวมากแต่รับประกันความน่ารักเต็มล้าน! 
#ชานนท์รสน้ำผึ้ง https://t.co/8GH0PB2bOi", ,5,3,blossomde_,❕
4,10,2021-03-12 07:49:32,#ชานนท์รสน้ำผึ้ง,nokmalee,love Music  # love movie,21,ทุกคน โปสการ์ด #ชานนท์รสน้ำผึ้ง มันคนละลายกับปกด้วยแหละ โปสการ์ดเป็นรูปดอกไม้ ฉวยงามจุ๋งจิ๋ง 🌝🥺 https://t.co/uUkzadtLzi, /ชานนท์รสน้ำผึ้ง,6,5,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀"
5,12,2021-03-12 07:19:12,#ชานนท์รสน้ำผึ้ง,Nono_nono2937,กิจวัตรประจำ: อ่านนิยาย รีทวีตนิยาย ตามข่าวนิยาย ไถทวีตเตอร์ไปเรื่อยตามความสนใจ5555555😂 ไม่มีอะไรมาก,8,"เจอาร์ คุณแม่ ชานนท์ ตั้งใจวาดเองกับมือ
ไม่เหมือนตรงไหนกัน 

#ชานนท์รสน้ำผึ้ง https://t.co/FTIGV8ikIG", /ชานนท์รสน้ำผึ้ง,42,27,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀"
6,14,2021-03-12 06:51:33,#ชานนท์รสน้ำผึ้ง,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",2929,หลงเข้ามาอ่านแล้วติดงอมแงมมาก หลงรักความน่ารักของยัยน้อง #ชานนท์รสน้ำผึ้ง, /ชานนท์รสน้ำผึ้ง,1,0,suttt__,เป็นทุกอย่างแล้วก็เป็นบ้าด้วย
7,30,2021-03-11 13:23:55,#ชานนท์รสน้ำผึ้ง,Minity_Edu,เด็กโง่,19,#แนะนํานิยายวาย โดนความน่ารักกนะแทกกน้า! โอ้ยยัยน้องง เรื่องนี้แนวแฟนตาซี น้องเป็นผึ้งที่อยากจะยึดครองโลก บทบรรยายเหมือนมีผึ้งเวอร์การ์ตูนตาใสๆมามุ้งมิ้งๆใส่ ความน่ารักความมึนของน้อง คือเอาใจชั้นไปปป ใครอยากได้เรื่องเบาสมอง อ่านแล้วmake your day แนะนำจ๊ะ #ชานนท์รสน้ำผึ้ง https://t.co/J9DoZorbYk, /แนะนํานิยายวาย,27,45,JustSayingfk,บ่นได้บ่นดี
8,49,2021-03-11 07:28:19,#ชานนท์รสน้ำผึ้ง,0330ppm,✨₍ᐢ..ᐢ₎♡̷ Alice through the looking Moodz🪞,1017,"คือเลื่อนผ่านมานานเพิ่งมาอ่านและค้นพบว่านี่คือเรื่องแยกของเลขาคุณอชิรวัฒน์!!! 🥺 คุณชานนท์คือสายผช.อบอุ่น ผช.ดูแลดี ผช.ทำงานเก่ง นายเอกเรื่องนี้มาจากต่างดาว คือแบบน่ารักมาก น้องดื้อแล้วก็ซนสุดๆ ตอนสั้นๆอ่านแปปเดียวจบ สนุกมากกกก #ชานนท์รสน้ำผึ้ง

#แนะนำนิยายวาย #รวมรีวิวฟิคจ่ะ https://t.co/lk3qKJiYTa", ,75,72,cms_yx,—• ♡̶ ̇ @weareoneEXO ᯤ @LayZhang ◡̎✧ #musicbnk48 jaeten etc . ̳͟͞͞♡ pot knb യ รีวิวฟิคและวาย #รวมรีวิวฟิคจ่ะ l feel free to leave my account.
9,51,2021-03-11 07:27:48,#ชานนท์รสน้ำผึ้ง,0330ppm,✨₍ᐢ..ᐢ₎♡̷ Alice through the looking Moodz🪞,1017,"เมื่อมนุษย์ต่างดาวจอมโฉดที่กำลังปฏิบัติภารกิจลับยึดครองโลก
แต่สุดท้ายดันถูกยึดครองหัวใจไว้เสียเอง…มันยังไงกันนะ Honey Trap #ชานนท์รสน้ำผึ้ง กดลิงก์ https://t.co/t94WDaEUvh                   #fictober2020 #หนังสือใหม่ #นิยายวายแนะนํา https://t.co/b5vrAnS6hz", ,14,6,Lavender_Book,
