,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-06 19:40:34,#ชูก้าเชน,1996_shootout,🐻─ ❛ 얼굴이 딸기가 됐네 ❜⠀ ̵ ̀ ̗♡̷̷̷ ̖ ́ ̵ | 🍇🧵🐈🩰 ดิฉันเลี้ยงลูกผ่านทวิตเตอร์ ♡︎,6026,จะมาบอกว่าคิดถึงคุณเชนนะคะ รอคุณชรันที่ท่าน้ำทุกวันเลย 🥲 #ชูก้าเชน, /ชูก้าเชน,0,0,1996_shootout,🐻─ ❛ 얼굴이 딸기가 됐네 ❜⠀ ̵ ̀ ̗♡̷̷̷ ̖ ́ ̵ | 🍇🧵🐈🩰 ดิฉันเลี้ยงลูกผ่านทวิตเตอร์ ♡︎
1,1,2021-03-05 17:34:26,#ชูก้าเชน,1996_shootout,🐻─ ❛ 얼굴이 딸기가 됐네 ❜⠀ ̵ ̀ ̗♡̷̷̷ ̖ ́ ̵ | 🍇🧵🐈🩰 ดิฉันเลี้ยงลูกผ่านทวิตเตอร์ ♡︎,6026,คิดถึงคุณเชนจังคับ 🥲 #ชูก้าเชน, /ชูก้าเชน,0,0,1996_shootout,🐻─ ❛ 얼굴이 딸기가 됐네 ❜⠀ ̵ ̀ ̗♡̷̷̷ ̖ ́ ̵ | 🍇🧵🐈🩰 ดิฉันเลี้ยงลูกผ่านทวิตเตอร์ ♡︎
2,2,2021-03-05 11:26:04,#ชูก้าเชน,lostinlavender,𓂃𓂃𓂃𓂃𓂃𓊝𓄹𓄺𓂃𓂃𓂃𓂃𓂃,5,"BETTER BE MINE #ชูก้าเชน

เขาพูดว่าเกลียดการนอกใจ เกลียดการนอกกาย แต่เขาก็ยังอยู่ตรงนี้ ข้างกายผมที่ทำทั้งสองอย่างที่ว่า...ในฐานะผู้ร่วมกระทำผิดด้วย

Genre(s): Romance / Drama / Mature https://t.co/LOwVXwIBxx", /ชูก้าเชน,15,7,czn505,🍸Do you know what it feels like to fall in love? #เขาชื่ออันวาร์ #ชูก้าเชน Upcoming Books - #แด๊ดของลิน
3,3,2021-03-05 11:09:59,#ชูก้าเชน,gift_onlyUMBWX,Tomorrow is another day,284,คิดถึง​ #ชูก้าเชน, /ชูก้าเชน,0,0,gift_onlyUMBWX,Tomorrow is another day
4,8,2021-03-04 17:29:33,#ชูก้าเชน,10_thinp,🌚,77,พ้มรอ #ชูก้าเชน อยู่ที่ตอนล่าสุดทุกคืนเรยคับ 🥺, /ชูก้าเชน,0,0,10_thinp,🌚
5,12,2021-03-04 15:49:52,#ชูก้าเชน,j_najaa,,19,"แนะนำนิยายคุณซินแนวอินเตอร์ อ่านแล้วอยากพาตัวเองไปอยู่เมืองนอก
สองเรื่องนี้เกี่ยวข้องกัน อ่านแล้วต้องอยากมีผัว คุณจะรู้สึกได้เลยว่าอันวาน์คือผัวในอุดมคติ เชนก็ไม่แผ่วเลย แซ่บกว่าด้วย ภาษาไม่ต้องพูดถึงดีจนอยากขาย ใครไม่อ่านคือพลาดมาก
#เขาชื่ออันวาร์ #ชูก้าเชน 
#แนะนํานิยายวาย https://t.co/tqq0xJf3f8", ,22,20,mamamao1201,- ᴡ ᴇ ʟ ᴄ ᴏ ᴍ ᴇ - ˚ ➪ тᴇa тιмe 🚬 DO KYUNGSOO⌇ on going #เดรกยูกิ 🏳️‍🌈
6,15,2021-03-04 15:36:20,#ชูก้าเชน,arraleart,you leave me in the dirt. I’m just protecting my soul.,241,คนที่รู้จักผลงานคุณ​ซิน​จากเรื่อง​ #เขาชื่ออันวาร์ แนะนำว่าเรื่องก่อนๆหน้านี้ของคุณซินก็ดีมากๆค่ะ ที่วางขายแล้วมีสามเรื่องคือ​ OVERZEALOUS​ /I​ BITE​/CAT IN THE​ TRAP ส่วน​ #แด๊ดของลิน น่าจะกำลังทำเล่มอยู่​ ที่ยังอัพอยู่ก็มีอีกเรื่องคือ​ #ชูก้าเชน ไปอ่านดูได้ค่ะ​ เชียร์ๆ https://t.co/6fqrtLiOaW, /เขาชื่ออันวาร์,2,5,gift_onlyUMBWX,Tomorrow is another day
7,23,2021-03-04 14:46:45,#ชูก้าเชน,czn505,🍸Do you know what it feels like to fall in love? #เขาชื่ออันวาร์ #ชูก้าเชน Upcoming Books - #แด๊ดของลิน,4475,จำได้ว่าเริ่มต้นอ่านเรื่อง #แด๊ดของลิน ชอบสำนวนของคุณนักเขียนมาก เพราะปกติไม่ค่อยเจอการเขียนสไตล์ที่ชอบแบบนี้ จากนั้นก็ตามอ่านมาทุกเรื่องจนมาถึงตอนนี้ #เขาชื่ออันวาร์ #ชูก้าเชน สัญญาว่าจะติดตามผลงานไปเรื่อยๆนะคะ ❤️🤍 https://t.co/KwHPPpgpKN, /แด๊ดของลิน,1,2,Oum_loom,I'll keep loving you 💕，I can give you all the world. #朴灿烈
8,25,2021-03-04 06:03:00,#ชูก้าเชน,_parkongkimbae,งด ก็คือทำได้อยู่,25,"ยังไงก็ตาม ไหนๆก็ขอขายของเลยแล้วกัน
ถ้าคุณชอบนายเอกมีพระเอกคนเดียว 
#รีซเคส #เดฟฟลอยด์ 

ชอบนายเอกแซบซ่าโซดาเป๊บซี่ ฟรีๆเรื่องเซ็กซ์เรื่องเดตกับคนอื่น
#แด๊ดของลิน #แอชเรย์ #คนของจากัวร์ 

#ชูก้าเชน และ #เขาชื่ออันวาร์ จะยังไม่เฉลยตอนนี้", /รีซเคส/เดฟฟลอยด์,75,38,czn505,🍸Do you know what it feels like to fall in love? #เขาชื่ออันวาร์ #ชูก้าเชน Upcoming Books - #แด๊ดของลิน
9,26,2021-03-04 03:30:09,#ชูก้าเชน,9pmsleep,WYB85 || XZ1005. || นิยายวายจีน ||,179,คิดถึงนายเชนแล้วคับบบบ 🥺🥺 #ชูก้าเชน https://t.co/BHcfhzhRw0, /ชูก้าเชน,0,1,9pmsleep,WYB85 || XZ1005. || นิยายวายจีน ||
