,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-11 08:10:34,#ช่วงนี้เดือนหนาว,aaaaaaa35742676,FREEDOM MAN //ถ้าได้ SMART YRC จะแจกบั้มเปล่าTRINITY_TNT ปกแจ็คไม่ก็ปกเช่ T^T// chuang2021 nine riki linmuo Patric Santa,7,พาฟิวส์ไปเปลี่ยนชื่อเป็นเจย์เดนตอนนี้ทันไหม🥺#เจ้าของแดนเหนือ #ช่วงนี้เดือนหนาว, /เจ้าของแดนเหนือ/ช่วงนี้เดือนหนาว,2,3,Bbamm_13,"ITOSHI RIN🥇🤍
    ( พี่นางิ ⚽💙)


                                        
                         ปังสุดก็เว็บนี้ป่ะ👇✨ ❌ไม่รับปั่นบา❌"
1,1,2021-03-10 17:49:31,#ช่วงนี้เดือนหนาว,pphetsss1,Personal Account,36,คิดถึงพี่เสือจังง้าบบบ ‘w’ #ช่วงนี้เดือนหนาว, /ช่วงนี้เดือนหนาว,0,0,pphetsss1,Personal Account
2,2,2021-03-10 16:38:43,#ช่วงนี้เดือนหนาว,Pleng_c,อยากเป็นโบคุโตะ อยากมีอาคาอาชิเป็นของตัวเอง *พับไมค์ ข่อมค่าาาา,452,"ไทเกอร์อย่าไปยอมอิพี่ทิพย์มันลูก!!! อิพี่ทิตย์มันติดอยู่บราเทอร์โซนไม่นานเอง ยังได้เล่มขนาดที่ว่าทุบหัวหมา หัวหมาไม่แตก(ราวเฉยๆ) แต่ไทเกอร์คนกากของมี๊ติดเป็น เพ่อนื มาตั้งหลายปี เอา 3 เล่มจบเลย!! เอาให้ชาวบ้านรู้ว่าเป็น เพอืน่ มันเจ๋งแค่ไหน 
#ช่วงนี้เดือนหนาว https://t.co/37IsXmcdaC", ,8,16,R_renny2000,"เป็นคนค่ะ คนที่มีความคิดเป็นของตัวเอง ที่ไม่เอาแต่ฟังคำสั่งเหมือนคนไม่มีสมองจนต้องทำร้ายคนอื่น
.lll.เผด็จการจงพินาศ ประชาธิปไตยจงเจริญ.lll."
3,3,2021-03-10 16:38:25,#ช่วงนี้เดือนหนาว,Pleng_c,อยากเป็นโบคุโตะ อยากมีอาคาอาชิเป็นของตัวเอง *พับไมค์ ข่อมค่าาาา,452,"เสือลูก!! หนูรีบหร๊อ? เปิดเทอมสิงหาแต่จะไปเมษา ช่วงระยะสำรวจพื้นที่ไปปรับตัวก่อนเรียนงี้อ่อ อยากอยู่กับเค้าเร็วๆอ่ะเนาะ เวทลูกชายนายไทเกอร์
#ช่วงนี้เดือนหนาว https://t.co/e47nPqfuVd", ,17,18,Natphatsorn20,ตามนิยายและผู้ชายค่ะ ชัดเจนมาก
4,4,2021-03-10 16:37:45,#ช่วงนี้เดือนหนาว,Pleng_c,อยากเป็นโบคุโตะ อยากมีอาคาอาชิเป็นของตัวเอง *พับไมค์ ข่อมค่าาาา,452,"ใครๆก็ชอบความอลังการทั้งนั้นแหละ
#ช่วงนี้เดือนหนาว https://t.co/DjoGSOaR0v", /ช่วงนี้เดือนหนาว,6,18,_xhllx,มนุษย์​เกิดมาปวดหลังและสายตาสั้น
5,5,2021-03-10 16:37:07,#ช่วงนี้เดือนหนาว,Pleng_c,อยากเป็นโบคุโตะ อยากมีอาคาอาชิเป็นของตัวเอง *พับไมค์ ข่อมค่าาาา,452,"เสือไปฮ่องกง​ 2​ ปี​ สถานะพัฒนา​นะ
จากเพื่อน​ เป็น​เพื่อนแท้จ้าาา​ น้ำใบบัวบกสะกัดเข้มข้น​ซักลิตรไหมเสือ​ เผื่อแก้ช้ำในได้​ เสือฮ้องไห้แล้ววว​ #ช่วงนี้เดือนหนาว https://t.co/5SREmqCs9x", ,19,19,icecrazy01,หนึ่งสิ่งมีชีวิตในโลกใบใหญ่ท่ามกลางเอกภพ ที่ต้องมารับรู้ความรู้สึกอันน้อยนิด ที่น่ารำคาญและทุกข์ใจ.   พื้นที่คนเหงาที่ชอบเบื่อและชอบเซ็ง
6,6,2021-03-09 08:02:21,#ช่วงนี้เดือนหนาว,YwzYKclVZKqqUSH,,0,"ตอนนี้เพื่อนตั้งแต่ตัวแรกยันตัวสุดท้าย เสือต้องสู้
#ช่วงนี้เดือนหนาว https://t.co/iRw2ANfZF0", /ช่วงนี้เดือนหนาว,9,10,amedesu23,𝘀𝘂𝗽𝗽𝗼𝗿𝘁 ♡𝐘𝐮𝐠𝐲𝐞𝐨𝐦•𝐃𝐞𝐟.•𝐉𝐚𝐲 𝐏𝐚𝐫𝐤•𝐉𝐔𝐒𝟐•𝐉𝐉𝐏•𝐆𝐎𝐓𝟕♡ 𝗼𝗻𝗹𝘆 || #ame23update #รีวิวคูมมี๊น้องคยอม
7,7,2021-03-09 05:24:21,#ช่วงนี้เดือนหนาว,farawkj,ขาย #เม็ดมะม่วงหิมพานต์ สั่งซื้อได้ทาง DM นะคะ,547,ไอ้พี่เสือมันก็อาการคลั่งน้องหนาวหนังกเหมือนกันน่ะ  #ช่วงนี้เดือนหนาว, /ช่วงนี้เดือนหนาว,0,0,farawkj,ขาย #เม็ดมะม่วงหิมพานต์ สั่งซื้อได้ทาง DM นะคะ
8,8,2021-03-08 16:32:44,#ช่วงนี้เดือนหนาว,pphetsss1,Personal Account,36,"นอกจากเสือกะหนาวแล้วคิดถึงคนนี้ด้วยนะคะ @Howl_sairy ผู้ให้กำเนิดตัวละครที่เรารัก รีดเดอร์คนนี้เป็นกำลังใจให้ไรท์ในการสร้างสรรค์ผลงานดีๆมาให้พวกเรานะคะ จะรอนิยายอย่างใจจดใจจ่อเลยค่ะ
...ไฟท์ติ้ง✌✌✌...
#ช่วงนี้เดือนหนาว", ,2,1,jpk_yu Howl_sairy,𝘀𝘂𝗽𝗽𝗼𝗿𝘁 ♡𝐘𝐮𝐠𝐲𝐞𝐨𝐦•𝐃𝐞𝐟.•𝐉𝐚𝐲 𝐏𝐚𝐫𝐤•𝐉𝐔𝐒𝟐•𝐉𝐉𝐏•𝐆𝐎𝐓𝟕♡ 𝗼𝗻𝗹𝘆 || #ame23update #รีวิวคูมมี๊น้องคยอม
9,11,2021-03-08 12:19:55,#ช่วงนี้เดือนหนาว,jpk_yu,"เสพติดซีรีย์ 👁🎬 คลั่งไคล้เกาหลี 🎶💎
หมกมุ่นอยู่กะนิยาย 📖📕📗📘
ร้องไห้จะเป็นจะตายอย่างกะคนบ้า🤣
~☆ติ่งมันทุกอย่าง☆~ ครบทั้งวงการยัง🤭",4,"เสือจ๋า หนาวจ๋า รู้มั้ยพี่รอเสือกะหนาวอยู่ท่าน้ำทุกวันเลย😭
กลับมาได้ละนะ คิดถึง...แงงๆๆๆๆ
#ช่วงนี้เดือนหนาว", /ช่วงนี้เดือนหนาว,0,0,jpk_yu,"เสพติดซีรีย์ 👁🎬 คลั่งไคล้เกาหลี 🎶💎
หมกมุ่นอยู่กะนิยาย 📖📕📗📘
ร้องไห้จะเป็นจะตายอย่างกะคนบ้า🤣
~☆ติ่งมันทุกอย่าง☆~ ครบทั้งวงการยัง🤭"
