,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-10 14:28:45,#ซอโซ่ล่ามธีร์,ZqqRebiVGcI3ZBs,อยากรวย,4,"💖 RE-PRINT เซ็ทเกมเมอร์จ้า 💖

#ซอโซ่ล่ามธีร์
#ชอกะเชร์คู่กันต์
#ญอผู้หญิงโศกา

12 ก.พ. - 31 มี.ค. 64 นี้ (ตอน 23.59)

ตอนแรกว่าจะรอเปิดพรีพร้อมเล่มสเป แต่พี่คล้าวไม่สบาย ค่ารักษาแพงมากก็เลยมาเปิดก่อนงับ

💖 รายละเอียดในลิงก์นี้เด้อ https://t.co/dxhgg98JMB https://t.co/0I7rM1Y13B", /ซอโซ่ล่ามธีร์/ชอกะเชร์คู่กันต์/ญอผู้หญิงโศกา,409,205,Brave2Y,"STILL I RISE 
#ซอโซ่ล่ามธีร์ #ชอกะเชร์คู่กันต์ #ญอผู้หญิงโศกา 
cutscene : https://t.co/pB8R9GGHZO"
1,1,2021-03-10 14:21:30,#ซอโซ่ล่ามธีร์,NiksunT,โลกของฉันมีแค่ป๋อจ้าน🦁🐰😍,2,"รวมนิยายตลกๆ คลายเครียดค่ะ โดยเฉพาะ 2เรื่องสุดท้าย จบแล้วทุกเรื่องนะคะ 

#ประมุขพรรคมารเป็นน้อง
#รักนี้ลิ้นกับฟัน
#เพียงข้ามคืน
#วิศวกรรมประสาท
#คุณปลัดคิ้วบอย
#วิเคราะห์การรัก
#ซอโซ่ล่ามธีร์
#ครุฑฉุดนาค
#จรกาคนงาม
#รักอิสระ
#วาระซ่อนเร้น
#เคียงเดือน
#เด็กหอหมออู้
#แนะนํานิยายวาย", /ประมุขพรรคมารเป็นน้อง/รักนี้ลิ้นกับฟัน,229,264,fictionyaoi1,แนะนำนิยายวาย #จบแล้วทุกเรื่อง #แนะนำนิยายวาย #วายล้วนล้วนรีวิว |18.11.2019| รีวิวและคะแนนตามความชอบส่วนบุคคล ถ้าอวยเยอะก็คือชอบมาก ขออภัย | ติดต่องานได้ที่ DM
2,2,2021-03-10 01:05:51,#ซอโซ่ล่ามธีร์,RujiraDaunsam,🍀,83,"พร้อมโอนลดได้อีกนะคะ ทักมาได้เลยค่า สภาพดีมากๆๆๆ🥺
#ซอโซ่ล่ามธีร์ #เกมเมอร์และน้องเด๋อของเขา #นิยายวายมือสอง https://t.co/WuW9cqATAt", /ซอโซ่ล่ามธีร์/เกมเมอร์และน้องเด๋อของเขา/นิยายวายมือสอง,1,1,rabitbriew,ชาติ ศาสนา แจฮยอน feat.มัมหมีน้องฮินาตะ #พีชสิบ ค้าบไอต้าว
3,5,2021-03-09 16:14:38,#ซอโซ่ล่ามธีร์,Kukuku01575938,,0,"ไม่คาดหวังเเต่สนุก
#ใครชอบจิ้ง
#รอน้องสิบเเปดบวก 
#พี่เนตรปวดเอว
#จิ้งจอกลูกสอง 
#ใกล้กว่าดาว
#มาโปรดอย่าห้าว 
#เจตนามาร์แน่ 
#วิศวกรรมประสาท 
#วิศวะมีเกียร์น่ะเมียหมอ
#คั่นกู 
#ซอโซ่ล่ามธีร์ 
#ญอผู้หญิงโศกา
#ชอกะเชร์คู่กันต์ 
#นิยายวาย #เเนะนํานิยายวาย #รีวิวนิยายวาย", /ใครชอบจิ้ง/รอน้องสิบเเปดบวก/พี่เนตรปวดเอว/จิ้งจอกลูกสอง/ใกล้กว่าดาว/มาโปรดอย่าห้าว,45,44,Your_beauty26,ความชอบไม่จำเป็นต้องทำตามคนอื่นเสมอไป. (EXO & EXO-L) Never give up✌✌💞 You still have lots more to work on🍒🌲
4,6,2021-03-09 11:27:18,#ซอโซ่ล่ามธีร์,amineqq_,"gojo💥|| multifandom HP, MCU, DCMK, twst, JJK #มุมะมีนคมช 🛌",393,เหลือ 480 รวมส่งนะคะๆๆ ของใหม่รอบแรกของครบน้าาา #ซอโซ่ล่ามธีร์ https://t.co/WFULbzypfD, /ซอโซ่ล่ามธีร์,0,0,amineqq_,"gojo💥|| multifandom HP, MCU, DCMK, twst, JJK #มุมะมีนคมช 🛌"
5,7,2021-03-09 11:25:35,#ซอโซ่ล่ามธีร์,amineqq_,"gojo💥|| multifandom HP, MCU, DCMK, twst, JJK #มุมะมีนคมช 🛌",393,ขายเกมเมอร์และน้องเด๋อของเขา #ซอโซ่ล่ามธีร์ ของรอบแรกครบ เป็นมือหนึ่งพร้อมส่งค่ะ มีโปสการ์ด ที่คั่น ไดอารี่และสติกเกอร์ ขอปล่อยน้องที่ 530.- รวมส่งลทบค่ะ💗💗 https://t.co/l2ijsu2eub, /ซอโซ่ล่ามธีร์,2,0,amineqq_,"gojo💥|| multifandom HP, MCU, DCMK, twst, JJK #มุมะมีนคมช 🛌"
6,8,2021-03-09 03:43:08,#ซอโซ่ล่ามธีร์,rj_jnjm,กู allren,0,#ซอโซ่ล่ามธีร์ เรื่องเกี่ยวกับอีสปอร์ตโดนแท้ค่ะ เป็นเรื่องของพระเอกที่เป็นนักแคสเกมชื่อดังกับน้องน้อยนักแคสเกมโนเนมคนหนึ่งที่บังเอิญจับคู่สุ่มในเกมแล้วเจอกัน จนสุดท้ายนักแคสเกมชื่อดังก็โดนเด็กโนเนมที่ไหนไม่รู้ชนะ พอตัวเองแพ้ก็อยากแข่งอีกเพราะรับความพ่ายแพ้ไม่ได้(1) #แนะนำนิยายวาย https://t.co/ZwbjrgWBQd, /ซอโซ่ล่ามธีร์,103,151,YYonlyyou,นิยายวายคือชีวิต แอคนี้สำหรับหวีดนิยายวายเท่านั้น ความชอบของนิยายแต่ละเรื่องขึ้นอยู่กับตัวบุคคลถ้าเรื่องไหนชอบเยอะจะอวยจนไส้แตก ||รวมรีวิวนิยายวาย||
7,10,2021-03-08 15:16:51,#ซอโซ่ล่ามธีร์,1610october,ขายหมดแล้วลบค่ะ🙇🏻‍♀️,5,"#ซอโซ่ล่ามธีร์
#ชอกะเชร์คู่กันต์
เหมา 2 เล่ม 850 ส่งฟรีค่ะ

#นิยายวาย #นิยายวายมือสอง #แนะนํานิยายวาย #แนะนำนิยาย #นิยายวายมือสองสภาพดี #ขายนิยายวายมือสอง https://t.co/g5ynxtHtbo", /ซอโซ่ล่ามธีร์/ชอกะเชร์คู่กันต์/นิยายวาย/นิยายวายมือสอง/แนะนํานิยายวาย/แนะนำนิยาย/นิยายวายมือสองสภาพดี/ขายนิยายวายมือสอง,0,1,1610october,ขายหมดแล้วลบค่ะ🙇🏻‍♀️
8,11,2021-03-08 03:29:33,#ซอโซ่ล่ามธีร์,medina_ziumara,,14,"#ซอโซ่ล่ามธีร์ #ชอกะเชร์คู่กันต์
#ญอผู้หญิงโศกา 
เปิดจองถึง 31 มี.ค. 
เพิ่มเติม https://t.co/Pf24gUi2oC https://t.co/mj29Lacau2", /ซอโซ่ล่ามธีร์/ชอกะเชร์คู่กันต์/ญอผู้หญิงโศกา,18,10,whynnn,★彡 🏳️‍🌈
9,12,2021-03-07 18:23:42,#ซอโซ่ล่ามธีร์,tan_sarawan,,10,"แนวมหาลัยฟีลกู๊ดด~
#มังกรเล่นลม
#ก่อสร้างดีที่สุด
#น้องเตอร์หมอฮิลล์ 
#โจฮันนอร์ธ 
#ต้นฟ้าไต้ฝุ่น 
#อาทิตย์ดาวตก 
#ของทัพ 
#วิศวกรรมประสาท
#วิศวกรรณโยธา 
#ใกล้กว่าดาว
#เมกาโลมา
#ซอโซ่ล่ามธีร์
#ทิศติดยิ้ม
#เทใจให้คุณหมอฟัน 
#เดือนที่สิบสององศา

#นิยายวาย #นิยายวายแนะนำ", /มังกรเล่นลม/ก่อสร้างดีที่สุด/น้องเตอร์หมอฮิลล์/โจฮันนอร์ธ/ต้นฟ้าไต้ฝุ่น/อาทิตย์ดาวตก/ของทัพ,89,80,Ploykwan99,❥ส่งต่อนิยายวาย ส่วนมากอ่านเก็บเอง สภาพดีงาม 💕✨ ~ มีทั้งมือ 1 มือ 2 น๊า เรื่องที่ว่างดูได้ในสื่อนะคะ
