,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-23 13:38:30,#ดอกไม้ป่าที่ริมหน้าต่าง,nadia25841,🏰 ♡¹𝙾𝚂𝙷♔ ゜♡𝙱𝙱𝙷♯×𝙿𝙲𝚈♬♡‥ゞ『“𝙴𝚇𝙾”』 🎠,85,"#ใช่ครับผมเป็นเด็กเสี่ย 🎲🃏 และ #ดอกไม้ป่าที่ริมหน้าต่าง 💐🌼 แบบบ็อกเซ็ตปิดจอง 28 ก.พ. นี้นะคะ อย่าลืมมาจองกันน้า ที่ https://t.co/F5LdoIVe2J 

🎲 แบบหนังสือเปล่าจะเปิดขายในงาน #สัปดาห์หนังสือแห่งชาติครั้งที่49 17-25 เม.ย. 
🌼 มีอีบุ๊ก และวางร้านหนังสือค่ะ https://t.co/PgUoaeA3jS", /ใช่ครับผมเป็นเด็กเสี่ย/ดอกไม้ป่าที่ริมหน้าต่าง,28,20,FaCai_Novels,"#สำนักพิมพ์ฟาไฉ #ปิดรับต้นฉบับ

🛒 https://t.co/LpXaD90OFQ"
1,8,2021-02-22 07:20:49,#ดอกไม้ป่าที่ริมหน้าต่าง,ttINDYce,Baekhyun🤏🏻🥺,1,"แจ้งข่าว🎉[Facai Novels]เปิดพรี
แบบBox set 📆2/2/64-2/3/64
🌟#ใช่ครับผมเป็นเด็กเสี่ย
by นางสาวผอบ 💵1177฿
📚https://t.co/F1QtF3A29l
🌟#ดอกไม้ป่าที่ริมหน้าต่าง
by WriterNoonaa 💵797฿
📚https://t.co/NWzB0oBdOa
📮สั่งซื้อ:
https://t.co/jSpE35FajR
📍เพิ่มเติม:https://t.co/zTKeH38W5T https://t.co/A44Atpvt8M", /ใช่ครับผมเป็นเด็กเสี่ย,44,37,littlejune_p,"🐇•JUNE•💫
📍แจ้งข่าวสารY นิยายY ต่างๆ😳
💬อ่านนิยายแล้วบอกต่อ
😂เราจะถล่มกองดองไปด้วยกัน~☺️
📚นิยายที่สปอยล์👉 #จูนอ่านนิยาย
📣ขายนิยายวายอ่านเอง สภาพดี☺️"
2,15,2021-02-20 09:59:14,#ดอกไม้ป่าที่ริมหน้าต่าง,paisabailaewja,How many wins would winwin win if winwin won a win for winning a winwin win. 윈윈 잼잼 인준 ปัดซ้ายสุดขอบโลก สวนโพมาดิ กุสวนหมัดกลับ,30,"#นิยายวาย 
แนวฟิลกู๊ด
-รักนะนายก้นใหญ่
-#หย่านะคุณพราน
-อเวจีท้าให้ดิ่ง แน่จริงก็ลงมา 
-เจ้าสาวปีศาจ 
-#องศาอคิน 
-#สวยๆเป็นผัว
-#ดอกไม้ป่าที่ริมหน้าต่าง 
-คนของอาคเนย์
-เมียข้าใครอย่าแตะ
-#ปลาบเม่น
-#ซื้อปลาทอง 
-#แด๊ดดี้คลั่งรัก
-เฮียครับเป็นเมียผมเถอะนะ!
-#ก้อนเมฆของคลื่นน้ำ", /นิยายวาย/หย่านะคุณพราน/องศาอคิน,35,41,Pppp05358820,"🐳 
🦊
👑🌙🌴🍑🐰🐍🐜
( 🐣💚 )"
3,16,2021-02-20 08:00:17,#ดอกไม้ป่าที่ริมหน้าต่าง,annetronsmom,บ่วงอนธการ รักสัมผัสได้ #ในม่านดอกไม้ #พ่อพันธุ์ปรสิต #ดอกไม้ป่าที่ริมหน้าต่าง #ชายแต้มเป็นเสือไม่ใช่แมว #หมาต้องสู้ผู้ต้องอ่อย #ปื๊ดหิวฝรั่ง #แผ่นหลังของคุณ,1163,[ #ดอกไม้ป่าที่ริมหน้าต่าง ] เห็นแบบนี้อิพี่ก็ร้ายใช่เล่นนะ น้ำดีลูกแฝดสี่เด้อจ้า เหล่าก้อนสี่ก็น่ารัก ครอบครัวสุขสันต์มาก เป็นอีกเรื่องที่อ่านแล้วนุบนิบใจ ยิ้มแก้มปริ, /ดอกไม้ป่าที่ริมหน้าต่าง,1,0,amnotyouronlyme,อย่าถามว่าจะอัพวันไหน ฉันก็ไม่รู้เหมือนกัน
4,17,2021-02-20 08:00:15,#ดอกไม้ป่าที่ริมหน้าต่าง,annetronsmom,บ่วงอนธการ รักสัมผัสได้ #ในม่านดอกไม้ #พ่อพันธุ์ปรสิต #ดอกไม้ป่าที่ริมหน้าต่าง #ชายแต้มเป็นเสือไม่ใช่แมว #หมาต้องสู้ผู้ต้องอ่อย #ปื๊ดหิวฝรั่ง #แผ่นหลังของคุณ,1163,(09) — #ดอกไม้ป่าที่ริมหน้าต่าง เรื่องราวความรักของยักษ์ซื่อบื้อกับมนุษย์น้อย เป็นความสัมพันธ์ที่ฟูฟ่องไปด้วยสีชมพู พี่ยักษ์น่ารักนุบนิบ ฉากจิ้มจมูกเจ้ามนุษย์น้อยคือน่ารักมากกก ต้องเอ็นดูเขาขนาดไหน ชอบที่เอาดอกไม้มาจีบเขา เสมอต้นเสมอปลายตลอดเว สรรหาทุกอย่าง น่ารักไปหมด💗 https://t.co/5zXC1p79K4, /ดอกไม้ป่าที่ริมหน้าต่าง,1,0,amnotyouronlyme,อย่าถามว่าจะอัพวันไหน ฉันก็ไม่รู้เหมือนกัน
5,18,2021-02-20 06:20:35,#ดอกไม้ป่าที่ริมหน้าต่าง,TTherd,- 𝐍𝐨𝐭𝐡𝐢𝐧𝐠 -,22,"[เปิดจอง - ผ่อน]
⏰ระยะเวลา : ภายใน 2 มี.ค. 
#ร้านแถมการ์ดลายสุ่ม 1 ชิ้น 
.
#ดอกไม้ป่าที่ริมหน้าต่าง (Box)
🍁ราคา : 860฿
มัดจำ 200฿
(ของแถมครบเหมือนสำนักพิมพ์)
.
ช่องทางการสั่งซื้อ
https://t.co/c0IHusXuu4
#นิยายวาย #นิยายวายแนะนำ #นิยายวายมือสอง #รับพรีนิยาย https://t.co/GWJuaC1VpH", /ร้านแถมการ์ดลายสุ่ม/ดอกไม้ป่าที่ริมหน้าต่าง,4,2,AishiteBook,"https://t.co/c3QGn1M7QB
รับพรี-ผ่อน 
ติ่งวาย
#รับพรีนิยาย #รับฝากขายนิยาย #นิยายวาย #ติ่งนิยาย 
#Aishitereview 
เช็คเลขพัสดุได้ที่ ↩"
6,35,2021-02-19 05:39:43,#ดอกไม้ป่าที่ริมหน้าต่าง,ireadingnovels,"❝แนะนำนิยายวายฟีลกู๊ดแบบเล่ม/เว็บ #ตะน้อนแนะนำ❞
❝ขาย/แลกนิยายวายตามความแกลบ #ตะน้อนขอขาย❞

☆เลี้ยง🐸ชื่อธาดา #วันนี้ธาดาไปไหนมาบ้าง",29,"ส่งต่อสิทธิ์ #ดอกไม้ป่าที่ริมหน้าต่าง 
750 รวมส่ง จากร้าน แดธวาย 
ร้านส่งประมาณสิ้นเดือนเมษาค่ะ 
#จรกาคนงาม #นิยายวาย #นิยายวายมือสอง #ขายนิยายวายมือสอง #ขายนิยายวาย #นิยายวายมือสองสภาพดี #หนังสือมือสอง #นิยายวายแนะนํา #ตามหานิยายวาย #รีวิวนิยายวาย #แนะนำนิยายวาย https://t.co/lAZMJNYkGh", /ดอกไม้ป่าที่ริมหน้าต่าง/จรกาคนงาม/นิยายวาย,1,2,ApuiiO,
7,37,2021-02-18 09:29:53,#ดอกไม้ป่าที่ริมหน้าต่าง,Cynesthesia2,ไม่มีตังค่าาา เป็นนักหัดเขียน เรียนไปด้วยเลยอาจจะอัปไม่เป็นเวลา แต่สัญญาว่าจะแต่งจนจบครับผม #มารยาสาไทท์ #โรมรัน #มิ้วน้อยของคุณเคียร์น #เทพกระต่ายสายซ่า,29,คุณชอบฉากไหน #ดอกไม้ป่าที่ริมหน้าต่าง https://t.co/f410WM0Twi, /ดอกไม้ป่าที่ริมหน้าต่าง,1,3,annetronsmom,บ่วงอนธการ รักสัมผัสได้ #ในม่านดอกไม้ #พ่อพันธุ์ปรสิต #ดอกไม้ป่าที่ริมหน้าต่าง #ชายแต้มเป็นเสือไม่ใช่แมว #หมาต้องสู้ผู้ต้องอ่อย #ปื๊ดหิวฝรั่ง #แผ่นหลังของคุณ
8,38,2021-02-17 11:48:44,#ดอกไม้ป่าที่ริมหน้าต่าง,KwangKwangKwan6,"เปิดไว้ติดตามนิยายวาย 🤟 ดองกี้,ฅนถ่อย",0,"เปิดพรีออเดอร์  #ใช่ครับผมเป็นเด็กเสี่ย 🎲🃏 โดย @MissPa_oB และ #ดอกไม้ป่าที่ริมหน้าต่าง 💐🌼 โดย @annetronsmom 
❣️❣️ สำคัญ
❣️ เปิดจองแค่แบบหนังสือ+กล่องเท่านั้น เพราะการผลิตกล่องค่อนข้างนาน หากต้องการซื้อหนังสืออย่างเดียว จะมีขายครั้งแรกในงานสัปดาห์หนังสือครั้งที่ 49 https://t.co/tDxJzyeEiu", /ใช่ครับผมเป็นเด็กเสี่ย/ดอกไม้ป่าที่ริมหน้าต่าง,122,78,FaCai_Novels MissPa_oB annetronsmom,บ่วงอนธการ รักสัมผัสได้ #ในม่านดอกไม้ #พ่อพันธุ์ปรสิต #ดอกไม้ป่าที่ริมหน้าต่าง #ชายแต้มเป็นเสือไม่ใช่แมว #หมาต้องสู้ผู้ต้องอ่อย #ปื๊ดหิวฝรั่ง #แผ่นหลังของคุณ
9,40,2021-02-17 02:13:25,#ดอกไม้ป่าที่ริมหน้าต่าง,Decembe1925,,0,ไปอ่านเรื่อง #ดอกไม้ป่าที่ริมหน้าต่าง มา สนุ๊กกกกกก นักเขียนเขาเขียนดีมากเลย ตอนจบนี่น้ำตาสึมเลย ปื้มใจเขาได้อยู่ด้วยกันแล้ว ต้องพรีมาอ่านตอนพิเศษแล้วแหละ จริงจริ๊งงง, /ดอกไม้ป่าที่ริมหน้าต่าง,13,23,annetronsmom,บ่วงอนธการ รักสัมผัสได้ #ในม่านดอกไม้ #พ่อพันธุ์ปรสิต #ดอกไม้ป่าที่ริมหน้าต่าง #ชายแต้มเป็นเสือไม่ใช่แมว #หมาต้องสู้ผู้ต้องอ่อย #ปื๊ดหิวฝรั่ง #แผ่นหลังของคุณ
10,48,2021-02-16 16:32:10,#ดอกไม้ป่าที่ริมหน้าต่าง,Opalpla1,"พร้อมติดตามและสนับสนุนคุณพีตลอดไป
#KristPerawat #ยยขคพ #ทีมพีรญา",166,#ดอกไม้ป่าที่ริมหน้าต่าง 💐🌼 แบบกล่องจัวปังไฟนอลแล้ววววว หวังว่าทุกท่านจะชอบเหมือนที่ไฉชอบนะคะ สีหวานมากๆ ใครยังไม่ได้จอง จิ้มๆ จองได้ที่ https://t.co/iJOkq9Rlpa https://t.co/G9odUeIW3A, /ดอกไม้ป่าที่ริมหน้าต่าง,89,94,FaCai_Novels,"#สำนักพิมพ์ฟาไฉ #ปิดรับต้นฉบับ

🛒 https://t.co/LpXaD90OFQ"
11,50,2021-02-16 16:15:41,#ดอกไม้ป่าที่ริมหน้าต่าง,SaiwasanJ,#รีวิวนิยายวาย #แนะนำนิยายวาย,24,#ดอกไม้ป่าที่ริมหน้าต่าง, /ดอกไม้ป่าที่ริมหน้าต่าง,0,1,SaiwasanJ,#รีวิวนิยายวาย #แนะนำนิยายวาย
12,60,2021-02-16 13:10:47,#ดอกไม้ป่าที่ริมหน้าต่าง,LaBoonninii,💎คูมแม่ของเด็กสมบัติ💎 บุ๋นเปรม (เมนบุ๋นแม่เปรม)​ 🐣มะมี้ของยัยเจี๊ยบ🐣 { SADURDAYS }​ #คลังคนบาป  *ปิดนิยายหนีเก่งมาก*,207,#ดอกไม้ป่าที่ริมหน้าต่าง นำเสนอความแฟนตาซี ที่โครตอบอวลไปด้วยความรัก แวนกัสนายเอกของเราเบื่อการใช้ชีวิตในเมืองเลยย้ายไปอยู่บ้านเล็กๆที่ชายป่า มันสงบสุขอย่างที่เขาต้องการ แต่ก็มีเรื่องแปลกเกิดขึ้นเช่นกัน เขาได้ไปเจอกับยักษ์สูง3เมตรที่คอยเอาดอกไม้มาวางไว้ที่หน้าต่าง #แนะนำนิยายวาย https://t.co/Zt4miGd1S4, /ดอกไม้ป่าที่ริมหน้าต่าง,32,53,YYonlyyou,นิยายวายคือชีวิต แอคนี้สำหรับหวีดนิยายวายเท่านั้น ความชอบของนิยายแต่ละเรื่องขึ้นอยู่กับตัวบุคคลถ้าเรื่องไหนชอบเยอะจะอวยจนไส้แตก ||รวมรีวิวนิยายวาย||
13,61,2021-02-16 07:37:58,#ดอกไม้ป่าที่ริมหน้าต่าง,4081th,เจ้าเชื่อในเรื่องโน่มินบ่,148,อุแง ภาษาเริ่ดมาก ไอเริ้ปปปป  #ดอกไม้ป่าที่ริมหน้าต่าง https://t.co/UnGe1hT2j9, /ดอกไม้ป่าที่ริมหน้าต่าง,4,2,dandilionny,กระจอกบอกเจ๋ง มัมหมีด้อมเขียวเยี่ยวม่วง
14,62,2021-02-16 07:36:27,#ดอกไม้ป่าที่ริมหน้าต่าง,4081th,เจ้าเชื่อในเรื่องโน่มินบ่,148,"#ดอกไม้ป่าที่ริมหน้าต่าง 
Pls RT
(อยู่ในระหว่างจัดทำอาร์ตกล่อง)
ราคาปกติ 839 บาท รอบพรีออเดอร์ 797 บาท (รอบหน้างานราคาเต็ม)
พิเศษ 
โปสเตอร์ลายปกเอสี่ 2 แผ่น (พับ)
ที่คั่นไดคัต 2 ชิ้น
จิบิไดคัต 2 ชิ้น
แม็กเนตจิบิไดคัต 2 ชิ้น
(รอบพรีได้ทุกออเดอร์ มีแถมรอบหน้างานจนกว่าจะหมด) https://t.co/EKbhzA3JoY", /ดอกไม้ป่าที่ริมหน้าต่าง,46,29,annetronsmom,บ่วงอนธการ รักสัมผัสได้ #ในม่านดอกไม้ #พ่อพันธุ์ปรสิต #ดอกไม้ป่าที่ริมหน้าต่าง #ชายแต้มเป็นเสือไม่ใช่แมว #หมาต้องสู้ผู้ต้องอ่อย #ปื๊ดหิวฝรั่ง #แผ่นหลังของคุณ
15,0,2021-02-06 16:15:59,#ดอกไม้ป่าที่ริมหน้าต่าง,paeplxy,🐶🐱🐰💚,21,"สำหรับ #ดอกไม้ป่าที่ริมหน้าต่าง เป็นเรื่องราวแฟนตาซี MPreg ค่ะ พี่ยักษ์เคลวินน์ตัวโตที่แสนจะน่ารัก ขยันเอาของมาจีบแวนกัสตลอดๆ 

สำหรับท่านที่รอซื้อแบบหนังสือเปล่า ไม่มีกล่องสะสม พบกันในงานสัปดาห์หนังสือแห่งชาติครั้งที่ 49 นี้ ที่ไบเทค บางนานะคะ

ทดลองอ่าน https://t.co/igC4QE8cuA https://t.co/a4rJydTuHn", /ดอกไม้ป่าที่ริมหน้าต่าง,33,16,FaCai_Novels,"#สำนักพิมพ์ฟาไฉ #ปิดรับต้นฉบับ

🛒 https://t.co/LpXaD90OFQ"
16,1,2021-02-06 16:15:48,#ดอกไม้ป่าที่ริมหน้าต่าง,paeplxy,🐶🐱🐰💚,21,"เปิดพรีออเดอร์  #ใช่ครับผมเป็นเด็กเสี่ย 🎲🃏 โดย @MissPa_oB และ #ดอกไม้ป่าที่ริมหน้าต่าง 💐🌼 โดย @annetronsmom 
❣️❣️ สำคัญ
❣️ เปิดจองแค่แบบหนังสือ+กล่องเท่านั้น เพราะการผลิตกล่องค่อนข้างนาน หากต้องการซื้อหนังสืออย่างเดียว จะมีขายครั้งแรกในงานสัปดาห์หนังสือครั้งที่ 49 https://t.co/tDxJzyeEiu", /ใช่ครับผมเป็นเด็กเสี่ย/ดอกไม้ป่าที่ริมหน้าต่าง,114,72,FaCai_Novels MissPa_oB annetronsmom,"#สำนักพิมพ์ฟาไฉ #ปิดรับต้นฉบับ

🛒 https://t.co/LpXaD90OFQ"
