,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-13 10:42:45,#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี,Malarin_1926,ถูกใจสิ่งนี้ #ซีเฉิง #ควานเฉิง #ควานเกอเฉิงจื่อ #เซวียนหยาง #เซวียเสี่ยว #โจวจิ่น #หมิงเหยา #ริวเติร์ด ㅣกำลังเขียน #ข่าวลือซฉ #เรามีรักคฉ #เพื่อเธอรต,79,"เหตุผลที่กุติดเมะจีนก็เพราะเบ้าหน้าฟ้าประทานพวกพระเอกนี่ล่ะ จะฮาเร็ม มิตะพาบ รึคลั่งรักแบบ4คนหลัง กุหลงหมด หล่อชห. หล่อจนอยากจับมายำรวมแล้วกลืนลงท้อง55 
#สัประยุทธ์ทะลุฟ้า
#ตํานานจอมยุทธ์ภูตถังซาน 
#ปรมาจารย์ลัทธิมาร
#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี
#สวรรค์ประทานพร
 #พันสารท https://t.co/BWuC28i6nH", ,164,129,Ssgirl20,วงการอนิเมะ เข้าแล้วออกยากชห.!😩
1,1,2021-03-13 10:42:40,#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี,Malarin_1926,ถูกใจสิ่งนี้ #ซีเฉิง #ควานเฉิง #ควานเกอเฉิงจื่อ #เซวียนหยาง #เซวียเสี่ยว #โจวจิ่น #หมิงเหยา #ริวเติร์ด ㅣกำลังเขียน #ข่าวลือซฉ #เรามีรักคฉ #เพื่อเธอรต,79,แอบสงสัยว่า คนแซ่เสิ่นนี่เค้ามีดวงชะตาสยบมารกันเหรอคะ คนนึงนายใหญ่เผ่ามารก็คลั่งรักเป็นบ้าเป็นหลัง ส่วนอีกคนท่านประมุขพรรคมารก็ตามวอแวจนได้น้องไปครอง 😂 #พันสารท #ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี https://t.co/Tqj2nUSoDZ, ,316,164,myspace1093,ติ่งนิยายวายจีน #svsss #ThousandAutumns #WordOfHonor l ล่องเรือ #johnlock #strangeross • พิเบนและมะตินหัวกลมคือที่ 1 ในใจตลอดกาล • ถ้ำซ่อนตัว @Ultraviolet3901
2,2,2021-03-13 10:42:00,#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี,Malarin_1926,ถูกใจสิ่งนี้ #ซีเฉิง #ควานเฉิง #ควานเกอเฉิงจื่อ #เซวียนหยาง #เซวียเสี่ยว #โจวจิ่น #หมิงเหยา #ริวเติร์ด ㅣกำลังเขียน #ข่าวลือซฉ #เรามีรักคฉ #เพื่อเธอรต,79,"แกร่ฝั่งซ้าย - หลงเด็ก
แกร่ฝั่งขวา - เด็กหลง
#พันสารท #ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี https://t.co/2rfTYfxaiu", /พันสารท/ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี,283,154,myspace1093,ติ่งนิยายวายจีน #svsss #ThousandAutumns #WordOfHonor l ล่องเรือ #johnlock #strangeross • พิเบนและมะตินหัวกลมคือที่ 1 ในใจตลอดกาล • ถ้ำซ่อนตัว @Ultraviolet3901
3,3,2021-03-13 10:41:41,#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี,Malarin_1926,ถูกใจสิ่งนี้ #ซีเฉิง #ควานเฉิง #ควานเกอเฉิงจื่อ #เซวียนหยาง #เซวียเสี่ยว #โจวจิ่น #หมิงเหยา #ริวเติร์ด ㅣกำลังเขียน #ข่าวลือซฉ #เรามีรักคฉ #เพื่อเธอรต,79,"พี่น้องกันแหละ😆😍
#พันสารท 
#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี https://t.co/b4qSu8hPXS", /พันสารท/ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี,114,99,yam_dunk,💚王一博 肖战❤
4,4,2021-03-13 10:12:33,#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี,hihelloeiei,🌚 หลุมคนบาปที่ไม่ใช่หลุมคนบาป 🌝 ; แอคเฉพาะกิจ ft.หวีดไปเรื่อย แวะมาขายของบ้างบางที,1,"ปกเกาหลี ก็คือดีมาก หล่ออะหยังปะหล้ำปะเหลือ หล่อตะพึดตะพือ หล่อไม่เมตตาหัวใจดวงน้อยๆของคูมแม่ปิงเหอ  😭❤️💓💞💕
#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี #svsss https://t.co/CBfFnIuV5j", ,19,21,_WackyLady_,⚠️🔞เราจกเปรตนะ เธอฟอลไหวหรอ 🔞⚠️|| นักพิมพ์ผิดมือวางอันดับหนึ่ง สาขาตอบก็ช้ายังจะเขียนผิดอีก ( • ⅄ • )💦 || เนียนไปทุกดอม ||
5,5,2021-03-13 08:44:48,#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี,ThatFox8,,10,"HBD ซือจุนค่ะ(เลทมากแบบมากๆเลย///-///)🎁🎉🥺🎁
#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี #人渣反派自救系统 #인사반파자구계통 #svsss #ScumVillainsSelfSavingSystem #200921_우리_이야기의_시작 https://t.co/UlrVk958ap", /ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี/人渣反派自救系统/인사반파자구계통/svsss,33,60,YohuntYo11,#zsww #bjyx #mxtx oc ° game
6,6,2021-03-13 08:15:54,#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี,JJelly_B,ไม่ตอบเกินครึ่งวันทักซ้ำนะคะ บ้างทีเดมไม่แจ้งเตือน |#นัชชาขายของ | #tacha_review | #tacha_update | #tacha_tracking,40,"Box + หนังสือ #ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี ขายแยกได้ พร้อมโอนลดได้ค่า 
#ขายนิยายวายมือสองสภาพดี #ขายนิยายวาย #แนะนํานิยายวายจีนโบราณ #นิยายวายจีนโบราณ #แนะนํานิยายวาย #นิยายวาย #นิยายวายแปลจีน https://t.co/CJkpxiRdww", /ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี/ขายนิยายวายมือสองสภาพดี/ขายนิยายวาย/แนะนํานิยายวายจีนโบราณ/นิยายวายจีนโบราณ/แนะนํานิยายวาย/นิยายวาย/นิยายวายแปลจีน,0,1,JJelly_B,ไม่ตอบเกินครึ่งวันทักซ้ำนะคะ บ้างทีเดมไม่แจ้งเตือน |#นัชชาขายของ | #tacha_review | #tacha_update | #tacha_tracking
7,7,2021-03-13 07:43:47,#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี,fuckUslim,i hear too o,7,"📚นิยายวายเเปลจีน+ไทยที่อ่านจบเเล้ว
#ปรมาจารย์ลัทธิมาร (5) เหลือ1
#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี (3)
#ปราชญ์กู้บัลลังก์ (3)
#ราชันคืนบัลลังก์ (5)
#รัชศกเฉิงฮว่าปีที่สิบสี่ (7)
#ทะลุมิติหักเหลี่ยมจอมมาร (6) +รอเล่มพิเศษ
#ระบบพลีชีพดั่งวีรชน (6) รอ2เล่มท้าย
#หวางเฟยสายเถื่อน", /ปรมาจารย์ลัทธิมาร/ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี/ปราชญ์กู้บัลลังก์,16,31,lila_ssn,𝙱𝙷 𝚂𝚝𝚊𝚗♔ #กองดองkumamin #kumaminอ่าน รีวิวก.ส่ง👉#รีวิวkumamin
8,10,2021-03-13 04:14:07,#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี,weerasakdikun,,3,"ฉากกอดศพซือจุนห้าปีนี้แหละ ร้องไห้จนไม่มีน้ำตาให้ไหลจุกไปหมดน้องปิงสภาพอยู่ไม่สู้ตาย แต่ยังตายไม่ได้ถ้าซือจุนยังไม่ฟื้น ฉากที่พี่หลิ่วมาชิงศพแล้วน้องปิงบอกว่านั้นเป็นสิ่งเดียวที่ตัวเองเหลืออยู่แล้วร่างนั้นของซือจุนเท่านั้นที่ตัวเองเหลืออยู่ 
#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี https://t.co/fIihbF5SBE", ,1967,1025,linlin_Ssakura,“ เชิญร่ำสุรา “🍶⛩|𝒴🍊𝒵 |อ่านนิยาย|Manhwa🍑|ขอสวรรค์ประทานพร🦋🕯|🌸 |20+⬆️🔞
9,11,2021-03-13 04:13:45,#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี,weerasakdikun,,3,"ปิงเหอรักและยึดติดซือจุนขนาดไหน
น้องนอนกอดร่างไร้วิญญาณของซือจุนนานถึงห้าปี ถ่ายพลังทิพย์เพื่อรักษาร่างไว้ไม่ให้เน่า ตื่นมาทำโจ๊กรอทั้งที่ซือจุนไม่มีวันตื่นมากิน  ถอดชุดเปื้อนเลือดออกก่อนจะเข้าไปหา เหมือนเด็กทำความผิดกลัวซือจุนโกรธ😭

#ตัวร้ายอย่างข้าจะหนีเอาตัวรอดยังไงดี 
#svsss https://t.co/ZMXu7VVKmi https://t.co/jMxLtTSLyw", ,399,214,linlin_Ssakura,“ เชิญร่ำสุรา “🍶⛩|𝒴🍊𝒵 |อ่านนิยาย|Manhwa🍑|ขอสวรรค์ประทานพร🦋🕯|🌸 |20+⬆️🔞
