,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-10 16:57:52,#ต้นข้าวไม่อยากตาย,taohuboy,"im sleeper , ﾟibaekhyunyOu ♡ exO⃕ 🔍.c0m🧁✿",147,เหนแหวนมั้ยต้ะ🥰🥰🥰🥰 #ต้นข้าวไม่อยากตาย https://t.co/JqD5VuH9Dr, /ต้นข้าวไม่อยากตาย,0,2,taohuboy,"im sleeper , ﾟibaekhyunyOu ♡ exO⃕ 🔍.c0m🧁✿"
1,1,2021-03-10 09:27:45,#ต้นข้าวไม่อยากตาย,aomnaruk85,ตอนแรกเป็นอากาศ ตอนนี้ผันตัวไปเป็นปลาสวายแล้ว รสของกาวนี่มันอร่อยจังเลยนะ.   #ทีมพีรญา #ยูยู่ของคุณพี #KristPerawat,71,น้องติดเบสเซลล์ แหกปากกรี้ดลั่นหอ แงงงงง กราบนักอ่านสายเปย์ กราบบบบบบ กรี้ดดดดด  #ต้นข้าวไม่อยากตาย https://t.co/4GqUnuSeM4, /ต้นข้าวไม่อยากตาย,1,7,BlackAye3,#จ้าวนุ่มนิ่ม #จ้าวป่า #ต้นข้าวไม่อยากตาย #ลุงหยังกับปะป๊า
2,2,2021-03-10 01:19:19,#ต้นข้าวไม่อยากตาย,littlejune_p,"🐇•JUNE•💫
📍แจ้งข่าวสารY นิยายY ต่างๆ😳
💬อ่านนิยายแล้วบอกต่อ
😂เราจะถล่มกองดองไปด้วยกัน~☺️
📚นิยายที่สปอยล์👉 #จูนอ่านนิยาย
📣ขายนิยายวายอ่านเอง สภาพดี☺️",7014,"แจ้งข่าว🎉[Black Aya]เปิดพรี
🌟#ต้นข้าวไม่อยากตาย
📆เปิดพรีถึง 30/3/64
Set A Box Set 💵 890฿
Set B 2เล่มจบ 💵 658฿ [ไม่รวมส่ง]
📚ลองอ่าน:https://t.co/d0A5uyvDFH
📮สั่งซื้อ:https://t.co/BGWHRagfUa
📍เพิ่มเติม:https://t.co/rsT4JiNZdi
#นิยายวาย #แนะนํานิยายวาย #นิยายวายแต่ง https://t.co/cyQGEt6Ttl", /ต้นข้าวไม่อยากตาย,19,19,littlejune_p,"🐇•JUNE•💫
📍แจ้งข่าวสารY นิยายY ต่างๆ😳
💬อ่านนิยายแล้วบอกต่อ
😂เราจะถล่มกองดองไปด้วยกัน~☺️
📚นิยายที่สปอยล์👉 #จูนอ่านนิยาย
📣ขายนิยายวายอ่านเอง สภาพดี☺️"
3,3,2021-03-09 16:42:30,#ต้นข้าวไม่อยากตาย,BlackAye3,#จ้าวนุ่มนิ่ม #จ้าวป่า #ต้นข้าวไม่อยากตาย #ลุงหยังกับปะป๊า,265,คิดถึงน้องข้าวแน้วววว #ต้นข้าวไม่อยากตาย, /ต้นข้าวไม่อยากตาย,1,2,phommunkeeship,"ขอโทษที่กูรีเยอะ แต่กูไม่ผิดนะ #GOT7FOREVER
อย่าเขินดิครับ♡ a.k.a 김재경"
4,6,2021-03-09 10:35:06,#ต้นข้าวไม่อยากตาย,nanocyolpyoustl,뉴이스트❤,10,": ไม่ใช่ทุกคนที่จะทำทุกอย่างออกมาได้ง่ายๆแบบมึง
; แล้วทำไมต้องทำให้ยาก กูก็ไม่ค่อยเข้าใจมึงเหมือนกัน

• #ต้นข้าวไม่อยากตาย •", /ต้นข้าวไม่อยากตาย,2,4,queeniceso,• อ่านไปเรื่อย • • เนม : ซอ • • ชอบอ่านนิยายวาย •
5,7,2021-03-09 09:48:17,#ต้นข้าวไม่อยากตาย,BlackAye3,#จ้าวนุ่มนิ่ม #จ้าวป่า #ต้นข้าวไม่อยากตาย #ลุงหยังกับปะป๊า,265,"ต้องปั่นให้ทันเพื่อส่งตรวจคำผิด + จัดหน้า ถ้าเลยจาก 20 มี.ค น้องจะตรวจไม่ทันเมษา  เราขอสาบสูญไปสักพักนะคะทุกคน ;-; รอน้องคลอดกันทีเดียวนะคะ
#ต้นข้าวไม่อยากตาย https://t.co/fP9LUrZrw1", /ต้นข้าวไม่อยากตาย,0,1,BlackAye3,#จ้าวนุ่มนิ่ม #จ้าวป่า #ต้นข้าวไม่อยากตาย #ลุงหยังกับปะป๊า
6,9,2021-03-09 09:06:48,#ต้นข้าวไม่อยากตาย,BlackAye3,#จ้าวนุ่มนิ่ม #จ้าวป่า #ต้นข้าวไม่อยากตาย #ลุงหยังกับปะป๊า,265,"ตอนล่าสุดคึชุ้รขำอิพี่คุณมาก คึมันเปนยังไง อาการเปงยังไงบอกหมอซิ้ ความคุยกับตัวเองนี่มันเปงยังงัย555555555555554555544 😂😂😂//ซงซารคุรเซย์มาก ยังม่ดั้ยทำไรอยุ่ๆก็โดนตวาดใส่ อ้ยยย พิเซย์ค้าบ
มาให้ปลอบเร้ววว #ต้นข้าวไม่อยากตาย https://t.co/kLlKlqIJyK", ,1,2,Pichaaa12,สงสารตัวเองที่เกิดมาในยุคที่ตัวรวจทำร้ายประชาชน เมื่อไหร่มันจะผ่านไปวะยุคแบบนี้ ตอนกุจบมหาลัยมีงานทำมันจะยังเป็นแบบเดิมหรือเปล่า😔
7,10,2021-03-09 09:06:31,#ต้นข้าวไม่อยากตาย,BlackAye3,#จ้าวนุ่มนิ่ม #จ้าวป่า #ต้นข้าวไม่อยากตาย #ลุงหยังกับปะป๊า,265,#รีวิวนิยายวาย #รีวิวนิยาย คุณเรื่องต้นข้าวไม่อยากตายดีมากกกกกกกก ดีแบบดีมากๆๆๆๆๆ นี้ตามอ่านตลอด ซซแรกติดเหรียญไปแล้วแต่แบบเป็นนิยายที่คู่ควรแก่การเสียเงินมากกกกกกก ไปตำค่ะ!!!! #ต้นข้าวไม่อยากตาย, /รีวิวนิยายวาย/รีวิวนิยาย,1,1,iiboxzzn,ติ่งจีนค่ะไม่ได้ติ่งประเทศเขา แยกแยะนิดนึงเนอะ🤷🏻‍♀️🤷🏻‍♂️☀︎︎☺︎︎☀︎︎☺︎︎☀︎︎ ❣︎ʙᴏᴢʜᴀɴ❣︎
8,11,2021-03-09 09:06:24,#ต้นข้าวไม่อยากตาย,BlackAye3,#จ้าวนุ่มนิ่ม #จ้าวป่า #ต้นข้าวไม่อยากตาย #ลุงหยังกับปะป๊า,265,ตอนนี้สิบทิศของแม่ชนะเลิศ พี่คุณรีบทำเลยค่ะ อย่าลังเล รีรอ เพราะแม่รอไม่ไหวแล้ว5555 #ต้นข้าวไม่อยากตาย, /ต้นข้าวไม่อยากตาย,1,1,aomnaruk85,ตอนแรกเป็นอากาศ ตอนนี้ผันตัวไปเป็นปลาสวายแล้ว รสของกาวนี่มันอร่อยจังเลยนะ.   #ทีมพีรญา #ยูยู่ของคุณพี #KristPerawat
9,16,2021-03-08 01:42:44,#ต้นข้าวไม่อยากตาย,littlejune_p,"🐇•JUNE•💫
📍แจ้งข่าวสารY นิยายY ต่างๆ😳
💬อ่านนิยายแล้วบอกต่อ
😂เราจะถล่มกองดองไปด้วยกัน~☺️
📚นิยายที่สปอยล์👉 #จูนอ่านนิยาย
📣ขายนิยายวายอ่านเอง สภาพดี☺️",7014,"[BL]#ต้นข้าวไม่อยากตาย
ลองอ่าน👉https://t.co/d0A5uyvDFH
นายเอกเป็นนักเขียน ระหว่างนั่งอ่านคอมเม้นท์ที่คนอ่านอินในเรื่องราว ด่านักเขียน ว่าทำไมแต่งออกมาแบบนี้ และแช่งให้นายเอกไปเกิดเป็นตัวละครที่โดนตัวร้ายฆ่าตายตั้งแต่10ขวบ จากนั้นนายเอกสำลักเส้นมาม่าติดคอตาย #จูนอ่านนิยาย https://t.co/5jOGpvbzTU", /ต้นข้าวไม่อยากตาย,70,68,littlejune_p,"🐇•JUNE•💫
📍แจ้งข่าวสารY นิยายY ต่างๆ😳
💬อ่านนิยายแล้วบอกต่อ
😂เราจะถล่มกองดองไปด้วยกัน~☺️
📚นิยายที่สปอยล์👉 #จูนอ่านนิยาย
📣ขายนิยายวายอ่านเอง สภาพดี☺️"
