,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-11 06:08:52,#ทะเลคุณยักษ์,f_luffly,о´∀`о เเอคหลัก @s_u_w_i_d,16,"Safe n Sound #ทะเลคุณยักษ์
📘 400 หน้า
🌟 ที่คั่นหนังสือ / โปสการ์ด / แผ่นพับ
💵 390฿

SET Cetacean+
📘 หนังสือ 4 เล่ม (1,250 หน้า)
🌟 ที่คั่นหนังสือ / โปสการ์ด / แผ่นพับ (ครบชุด)
💵 1,290฿
--------------------
📅 เปิดจองวันนี้ - 5 เม.ย. 64
🔗 https://t.co/yOpEvZT1RM https://t.co/ffJOMjph67", /ทะเลคุณยักษ์,158,120,KhaosapWriting,BL Writer | #บัลลังก์จ้าวนารา #สัญญาสาปสมุทร #สุดขอบทะเลคราม | #พันธนาการดวงดาว #เซนทอร์สไตล์ | #คู่มือคุณเชส #บันทึกคุณเพื่อน #ทะเลคุณยักษ์ | #ซื้อปลาทอง
1,1,2021-03-09 11:13:40,#ทะเลคุณยักษ์,Happyme14357636,สัพเพเหระ,3,"Type : มิตรภาพแนวสารคดีสัตว์โลก
-นายเอกเป็นเพนกวินที่อยากจบชีวิตโดยการไปบอกให้พระเอกที่เป็นแมวน้ำกินตัวเองเข้าไป พี่ก็งงไปดิ มีเพนกวินที่ไหนทำแบบนี้กัน555 ความสัมพันธ์ค่อยๆพัฒนา น้องเหมือนเพนกวินเด็กที่เริ่มเข้าใจโลกมากขึ้น มีเรื่องราวแก๊งวาฬด้วยน้า #ทะเลคุณยักษ์ #แนะนํานิยายวาย https://t.co/jnWbT9buhG", ,27,30,kaelyn9cjj,𝙴𝚡𝚘-𝙻 & 𝚋𝚣𝚢𝚡 III
2,3,2021-03-08 23:47:54,#ทะเลคุณยักษ์,Happyreading4,"❤️ หนังสือทุกเล่มหุ้มมุมด้วยโฟมกันกระแทกอย่างดี ไม่ย่น ไม่บุบ ออกจากร้านดีงาม
❤️ สินค้าซื้อแล้วไม่รับเปลี่ยนหรือคืน
❤️ ไม่สามารถ​รับประกันความสมบูรณ์ 100%",578,"[Pre-order] หมวดหมู่#ซีรีส์วาฬ #CETACEAN #ทะเลคุณยักษ์ โดย #Khaosap  มาล้าววว

ทางไปตำ https://t.co/nqEBEhdt6x https://t.co/XuNyBNGf6G", /CETACEAN/ทะเลคุณยักษ์/Khaosap,0,0,Happyreading4,"❤️ หนังสือทุกเล่มหุ้มมุมด้วยโฟมกันกระแทกอย่างดี ไม่ย่น ไม่บุบ ออกจากร้านดีงาม
❤️ สินค้าซื้อแล้วไม่รับเปลี่ยนหรือคืน
❤️ ไม่สามารถ​รับประกันความสมบูรณ์ 100%"
3,5,2021-03-07 02:48:13,#ทะเลคุณยักษ์,chawayz_ii,"《18🔻》*每个海浪🌊🍑 
 -I was I am I will-
มัมหมีน้งหลุน",56,"รีรัน... แผ่นพับแถมกับเรื่อง #ทะเลคุณยักษ์ ที่พูดถึงใน Club House เมื่อวานคืออันนี้~~

อย่าลืมจอง https://t.co/LYpOHz4SMd https://t.co/aXWNey7Wqr", /ทะเลคุณยักษ์,54,59,KhaosapWriting,BL Writer | #บัลลังก์จ้าวนารา #สัญญาสาปสมุทร #สุดขอบทะเลคราม | #พันธนาการดวงดาว #เซนทอร์สไตล์ | #คู่มือคุณเชส #บันทึกคุณเพื่อน #ทะเลคุณยักษ์ | #ซื้อปลาทอง
4,6,2021-03-06 12:02:38,#ทะเลคุณยักษ์,Naxanii110,แอครองเอาไว้เสพงานนักวาดและบ่น​ | ผช.2D ผิวแทนๆผิวดำโคตรดีเลย | ท้อว่ะอยากหลับแล้วไม่ตื่นอีกเลย 😥 เริ่มหมดไฟที่จะทำงานที่ชอบแล้วสิ,23,"Feel Good แบบหนาวๆ

ผจญขั้วโลกใต้ไปกับคุณแมวน้ำและเพนกวิน ที่อยู่ดีๆ ก็ดันคุยกันได้ เกิดเป็นมิตรภาพระหว่างสัตว์เลี้ยงลูกด้วยนม และเลี้ยงลูกด้วยอ้ว—

และว่ายรอบโลกกับแก๊งวาฬหลังค่อม เตลิดเปิดเปิงตั้งแต่กาลาปากอสยันออสเตรเลีย

Safe n Sound #ทะเลคุณยักษ์ #แนะนำนิยาย #แนะนำนิยายวาย https://t.co/NZyLlFCtIn", ,45,68,KhaosapWriting,BL Writer | #บัลลังก์จ้าวนารา #สัญญาสาปสมุทร #สุดขอบทะเลคราม | #พันธนาการดวงดาว #เซนทอร์สไตล์ | #คู่มือคุณเชส #บันทึกคุณเพื่อน #ทะเลคุณยักษ์ | #ซื้อปลาทอง
5,7,2021-03-06 11:04:18,#ทะเลคุณยักษ์,_Allenx,"I'm great in bed. I can sleep all day | a pig in wolf’s clothing (18+) #ยืมเมจ | เมจเปลี่ยนไปเรื่อย |

พี่ไม่ได้ออกสาวค่ะ พี่ออกแรด  #TheAlternateTown",64,"@_yourMirixm อันนี้ safe n sound #ทะเลคุณยักษ์ ค่า

https://t.co/k3s9gtvh1q", /ทะเลคุณยักษ์,3,1,KhaosapWriting _yourMirixm,BL Writer | #บัลลังก์จ้าวนารา #สัญญาสาปสมุทร #สุดขอบทะเลคราม | #พันธนาการดวงดาว #เซนทอร์สไตล์ | #คู่มือคุณเชส #บันทึกคุณเพื่อน #ทะเลคุณยักษ์ | #ซื้อปลาทอง
6,10,2021-03-05 11:56:20,#ทะเลคุณยักษ์,u5002060,20🔺novel & manga 🌸 梦溪石 🌺 Priest 🌷 巫哲 🎋 羲和清零 ♥️ 颜凉雨,312,"🌟[Khaosap] เปิดพรี &amp; รีปริ้นท์
🔸Safe n Sound #ทะเลคุณยักษ์ 💸 (390฿)
🔸Death n Dream #คู่มือคุณเชส 💸 (340฿)
🔸Cookie n Cream #บันทึกคุณเพื่อน 💸 (330฿)
🔸Cetacean Special (เล่มพิเศษ) 💸 (230฿)
📆 เปิดถึง 5 เม.ย.
👉 https://t.co/5wfJi2dd6H
#นิยายวาย #แนะนํานิยายวาย https://t.co/bZkoB3WWdM", /ทะเลคุณยักษ์/คู่มือคุณเชส,18,20,jaoyingkalong1,วันเดอร์แลนด์แดนวาย | นอนจมในดงกองดอง | รวมนิยายวายเปิดจองใน fav. | LFC เข้าเส้นเลือด
7,11,2021-03-05 08:08:18,#ทะเลคุณยักษ์,nptcloud,— ᴛᴀᴇɪʟ 🌕: ᴊᴀᴇᴍɪɴ 🐰: ᴊᴇɴᴏ 🐶: xɪᴀᴏᴊᴜɴ 🦕— #johnil #jaeil #nomin #markmin #henjun :💚 #taeil #jaemin #jeno #xiaojun :💙,4,"ข่าว🎉[Khaosap]เปิดพรี
📆เปิดพรีถึง 5/4/64
New🌟Safe n Sound #ทะเลคุณยักษ์
💵390฿ไม่รวมส่ง
📚ลองอ่าน:https://t.co/66HTlZWaY8
📍SET Cetacean+ 4 เล่ม💵1290฿
📮สั่งซื้อ:https://t.co/uGHCL2SPhF
📍เพิ่มเติม:https://t.co/vwK4JXzQ3k https://t.co/TeS3AHCSHh", /ทะเลคุณยักษ์,15,5,littlejune_p,"🐇•JUNE•💫
📍แจ้งข่าวสารY นิยายY ต่างๆ😳
💬อ่านนิยายแล้วบอกต่อ
😂เราจะถล่มกองดองไปด้วยกัน~☺️
📚นิยายที่สปอยล์👉 #จูนอ่านนิยาย
📣ขายนิยายวายอ่านเอง สภาพดี☺️"
8,0,2021-02-01 12:08:55,#ทะเลคุณยักษ์,Ipicepat,ผญ.ธรรมดาที่ช้าเหมือนสเนลล์ค้าบ,15,"“เออ! ก็ได้ ผมก็อยากกินเพนกวินพวกนั้น แต่คุณนอนอยู่ไง!” ยังไงผมก็เถียงไม่ชนะไอ้พ่อเพนกวินดีเด่นนี่อยู่แล้ว สวมบทบาทผู้เสียหายไปเลยดีกว่า “หิวแล้ว”

ว่าแล้วก็เอียงตัวนอนหงาย ยกครีบขึ้นน้อยๆ แกล้งทำเป็นปวดท้อง

—————
Safe n Sound #ทะเลคุณยักษ์ ตอนพิเศษ 2
https://t.co/FYN3S25owm https://t.co/s2ySHNAzJG", ,10,18,KhaosapWriting,BL Writer | #บัลลังก์จ้าวนารา #สัญญาสาปสมุทร #สุดขอบทะเลคราม | #พันธนาการดวงดาว #เซนทอร์สไตล์ | #คู่มือคุณเชส #บันทึกคุณเพื่อน #ทะเลคุณยักษ์ | #ซื้อปลาทอง
9,1,2021-02-01 10:06:19,#ทะเลคุณยักษ์,parkmyoung_j,Just tweet,7,"กำลังใจแม่มันเหรอ!
โอ๊ย ฮ่า ๆ ๆ คุณพี่อย่าเกรี้ยวกราด แต่น้องเหมือนกวนตีนมากกว่าให้กำลังใจอะ #ทะเลคุณยักษ์", /ทะเลคุณยักษ์,0,0,parkmyoung_j,Just tweet
