,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-08 05:35:42,#นับศูนย์,9pruksapa,นักเขียนที่พยายามเขียนนิยายรักใสๆ (??) #ข้าจะขายซาลาเปา #น้องส้มอยากหยุด #นับศูนย์ #ssthemoon #สามทุ่มสี่สิบเจ็ด #เด็กแต้ม #คุณวีครับ #เกล้าจะทําไงดีคะแม่,217,"ส่งหนังสือ spin off #นับศูนย์ ไปส่วนหนึ่งแล้วนะคะ
บางท่านน่าจะได้รับเมลแจ้งเลขแล้ว ส่วนท่านใดยังไม่ได้รับเลขแทร็ค จะจัดส่งพรุ่งนี้แล้วทยอยแจ้งไม่เกินวันพุธนะคะ~~~ ขอบคุณมากค่ะ  💖💖", /นับศูนย์,0,0,9pruksapa,นักเขียนที่พยายามเขียนนิยายรักใสๆ (??) #ข้าจะขายซาลาเปา #น้องส้มอยากหยุด #นับศูนย์ #ssthemoon #สามทุ่มสี่สิบเจ็ด #เด็กแต้ม #คุณวีครับ #เกล้าจะทําไงดีคะแม่
1,1,2021-03-05 13:58:50,#นับศูนย์,SiriBt,โตๆแล้วต้อง 》อดทน《 อยากเรียนวิศวะ,11,รวมแท็กนิยายร้างๆ ที่จบแล้วและกําลังออนแอร์ตอนนี้ #ข้าจะขายซาลาเปา #นับศูนย์ #น้องหวงแครอท #เด็กแต้ม #พายไม่ใช่ของหวาน #อยู่ดีๆก็มีขน #นิยายวาย #แนะนํานิยายวาย #นิยายวายจีนโบราณ #omegaverse, /ข้าจะขายซาลาเปา/นับศูนย์/น้องหวงแครอท/เด็กแต้ม/พายไม่ใช่ของหวาน,3,1,9pruksapa,นักเขียนที่พยายามเขียนนิยายรักใสๆ (??) #ข้าจะขายซาลาเปา #น้องส้มอยากหยุด #นับศูนย์ #ssthemoon #สามทุ่มสี่สิบเจ็ด #เด็กแต้ม #คุณวีครับ #เกล้าจะทําไงดีคะแม่
2,2,2021-03-05 13:09:02,#นับศูนย์,Storyjiira,รักต้วนอี้เอิน แบมแบมลูก เจบีเพื่อน แดดดี้หวังพ่อ จินยอง ยองแจ ยูคยอมน้อง มาอ่านนิยายของเราได้นะ RAW : https://t.co/jcA5kLLImn,266,"มาแน้ววววว
รีบแพ็คด่วนจี๋เลยค่าาาา
#นับศูนย์ https://t.co/W7ykGGf8y8", /นับศูนย์,2,3,9pruksapa,นักเขียนที่พยายามเขียนนิยายรักใสๆ (??) #ข้าจะขายซาลาเปา #น้องส้มอยากหยุด #นับศูนย์ #ssthemoon #สามทุ่มสี่สิบเจ็ด #เด็กแต้ม #คุณวีครับ #เกล้าจะทําไงดีคะแม่
3,5,2021-03-04 19:10:29,#นับศูนย์,kalicehqx,"･ﾟ✧ *:･ﾟ✧ *백현┆닝닝･ﾟ✧ *:･ﾟ✧ 20↑, int(p/j) , multifandom ⤍ ⚠️retweet a lot — ᴋʀᴋɴ, 夏五/五夏, 乙棘  ૢ(❛◡❛✿)ૢ",145,"เรื่องที่จบแล้ว
#ข้าจะขายซาลาเปา 
รอร : https://t.co/7IYjKJEXYo
ดด : https://t.co/GnzsO2ZPFQ
#นับศูนย์ 
รอร : https://t.co/EPd9peJPM3
ดด : https://t.co/ncnJUGhx4r
#น้องหวงแครอท 
รอร : https://t.co/zxUY9mLLYX
ดด : https://t.co/NIGKNejyrD
#นิยายวายจบแล้ว", /ข้าจะขายซาลาเปา/นับศูนย์,8,10,9pruksapa,นักเขียนที่พยายามเขียนนิยายรักใสๆ (??) #ข้าจะขายซาลาเปา #น้องส้มอยากหยุด #นับศูนย์ #ssthemoon #สามทุ่มสี่สิบเจ็ด #เด็กแต้ม #คุณวีครับ #เกล้าจะทําไงดีคะแม่
4,8,2021-03-04 13:57:36,#นับศูนย์,9pruksapa,นักเขียนที่พยายามเขียนนิยายรักใสๆ (??) #ข้าจะขายซาลาเปา #น้องส้มอยากหยุด #นับศูนย์ #ssthemoon #สามทุ่มสี่สิบเจ็ด #เด็กแต้ม #คุณวีครับ #เกล้าจะทําไงดีคะแม่,217,อลันกับอคิราห์ ทั้งสองคนตกลงแต่งงานกันเพื่อธุรกิจ อยู่ด้วยจนมีลูกแฝดชายหญิงจากการผสมเทียม หลังจากนั้นทำตามข้อตกลงกันว่าจะหย่า หลังแยกกันอยู่ อลันก็อกหักจากคู่เดทแถมเพิ่งมารู้ใจตัวเองจึงตามจีบอดีตภรรยา ครอบครัวตัวออคือน่ารักมาก นิยายฟีลกู้ด https://t.co/W7bYkpRO4I #นับศูนย์, ,8,5,pornpunn,👩🏻💕 1992 📚 💙 G 🦁 S 🐢 K 🖤 K 🐰 C 🐻 Y 🐵 W
5,9,2021-03-04 13:57:31,#นับศูนย์,9pruksapa,นักเขียนที่พยายามเขียนนิยายรักใสๆ (??) #ข้าจะขายซาลาเปา #น้องส้มอยากหยุด #นับศูนย์ #ssthemoon #สามทุ่มสี่สิบเจ็ด #เด็กแต้ม #คุณวีครับ #เกล้าจะทําไงดีคะแม่,217,"018 | #นับศูนย์
•พระนายแต่งกันด้วยธุรกิจ มีลูกจากการผสมเทียมและเลิกกันด้วยดี แต่พอ.มารู้ตัวว่าชอบนอ. เลยต้องเริ่มจีบภรรยาเก่าอีกครั้ง มีเจ้า 2 ก้อนคอยประสานรักให้พ่อๆ เรื่องเรื่อยๆ แต่อบอุ่นและนุบนิบหัวใจมาก

https://t.co/yB1a3Q92WN

#แนะนํานิยายวาย #รีวิวนิยายวาย #หมวยอ่านวาย", /นับศูนย์,5,1,jjaomuay,บ่น+รีวิวเรื่อยเปื่อย  ช่วงนี้รักการอ่านเลยรวมนิยายจบแล้วเป็นหลัก ส่วนใหญ่เป็น #นิยายวาย #ฟิคพีรญา รวมไว้ที่ #หมวยอ่านวาย #หมวยอ่านฟิคพรญ #หมวยติดนิยาย
6,10,2021-03-04 13:57:28,#นับศูนย์,9pruksapa,นักเขียนที่พยายามเขียนนิยายรักใสๆ (??) #ข้าจะขายซาลาเปา #น้องส้มอยากหยุด #นับศูนย์ #ssthemoon #สามทุ่มสี่สิบเจ็ด #เด็กแต้ม #คุณวีครับ #เกล้าจะทําไงดีคะแม่,217,เรื่องนี้ #นับศูนย์ เป็นนิยายแนวโอเมก้าเวิสที่ชอบอีกเรื่องเลย ฮือ ดีมาก ชอบความพ่อเล็กกับพ่อใหญ่ ชอบ mindset ในการสอนเจ้าสองก้อนด้วย ที่สำคัญคุณอลันอบอุ่นแฟมิลี่แมนสุด 🥺🧡 https://t.co/wXopdPLbTP #หนีหัวหน้ามาอ่านนิยาย, /นับศูนย์,2,4,issapat_,ถ้ามีฉันอยู่นายก็คือสุดยอด | ไม่อนุญาตให้สวนโพ
7,11,2021-03-04 13:57:25,#นับศูนย์,9pruksapa,นักเขียนที่พยายามเขียนนิยายรักใสๆ (??) #ข้าจะขายซาลาเปา #น้องส้มอยากหยุด #นับศูนย์ #ssthemoon #สามทุ่มสี่สิบเจ็ด #เด็กแต้ม #คุณวีครับ #เกล้าจะทําไงดีคะแม่,217,เริ่งนี้ ฟีลลลกุ้ดดดดดดมากกกกกกกกกกกกกกกกกกกก ไม่รุ้จะพุดอาไร แต่มันน่ารักเพราะมีเด่ก ๆ นั่นแหระ แต่ความสัมพันธ์เขามันก้ดีงัย ก้แบบว่า งื้อ ๆ แง ๆ ก้ชอบนะ ฟีลกุ้ดที่แบบ โซกุ้ดจริง ๆ #นับศูนย์ #เบ้นmustread https://t.co/XJOVIouKql, ,1,1,bxkumapika,พี่ไปทำตัวพี่ให้ดีก่อน แล้วค่อยมาพูดกับเบ้น | #เบ้นmustread
8,12,2021-03-04 13:57:20,#นับศูนย์,9pruksapa,นักเขียนที่พยายามเขียนนิยายรักใสๆ (??) #ข้าจะขายซาลาเปา #น้องส้มอยากหยุด #นับศูนย์ #ssthemoon #สามทุ่มสี่สิบเจ็ด #เด็กแต้ม #คุณวีครับ #เกล้าจะทําไงดีคะแม่,217,"❝ #MEMORIESofOHOEJEN ♡❞
       ꒰ꘕ♡ #นับศูนย์ ꒱
𓇼 Come back to count from ‘ZERO’ • นิยายวายโอเมก้าที่ความสัมพันธ์ไม่ได้รักกันตั้งแต่แรกแต่งงานกันเพื่อผลประโยชน์ร่วมกัน แต่ความใกล้ชิดนี้ก่อเกิดความรักให้กันและกันที่มองไม่เห็น สุดท้ายแล้วทั้งคู่จะมองเห็นความรักครั้งนี้ไหมนะ https://t.co/3GWdxlAIXO", /MEMORIESofOHOEJEN/นับศูนย์,1,2,ohoejen,อีเจนแม่จะฟาด!!!
9,13,2021-03-04 13:57:17,#นับศูนย์,9pruksapa,นักเขียนที่พยายามเขียนนิยายรักใสๆ (??) #ข้าจะขายซาลาเปา #น้องส้มอยากหยุด #นับศูนย์ #ssthemoon #สามทุ่มสี่สิบเจ็ด #เด็กแต้ม #คุณวีครับ #เกล้าจะทําไงดีคะแม่,217,"˖◛⁺⑅♡ Come back to count from ‘ZERO’ #นับศูนย์ 
พระเอกนายเอกแต่งงานกันโดยที่ไม่ได้เริ่มต้นจากความรัก มีลูกแฝดที่ผสมเทียมด้วยกัน พอหย่ากันพระเอกก็มีแฟนใหม่แต่พึ่งรู้ใจตัวเองว่ารักนายเอกเลยเลิกกับแฟนใหม่และเดินหน้าจีบนายเอกใหม่ เหมือนจะม่าแต่ไม่เลยย ฟีลกู้ดสุดๆ #แนะนํานิยายวาย https://t.co/72pUQTrgUI", /นับศูนย์,16,16,imtsebb,ชอบแนวฟีลกู้ด จีนโบราณ omegaverse และmpreg🤍 (แต่สามารถอ่านได้ทุกแนวเลยนะคะ)🧺🧸
