,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-07 14:27:14,#นิโคติน,Samsung_isis,"นิ้วเบียดเป็รนเหตุสังเกตได้                         

ไอ้พี่เเสง : @1stpNUA",482,"RT: เเลกฟอล

#นิโคติน #imgxonlybts #บอทหาเพื่อน #บอทหาเดมประจํา #บอทใหม่ #เเลกฟอลที่เเปลว่าฟอลมาฟอลกลับ https://t.co/m1eS7MmH1O", /นิโคติน/imgxonlybts/บอทหาเพื่อน/บอทหาเดมประจํา/บอทใหม่/เเลกฟอลที่เเปลว่าฟอลมาฟอลกลับ,34,4,t1IsnpNgqCIo7ND,ปลอบได้ทุกคนยกเว้นตัวเอง
1,5,2021-03-01 14:05:26,#นิโคติน,yuyubuzz,เบบี๋ของคุณจุม 🌙เป็นพระจันทร์ของ @off_tumcial 👶🏻เป็น #เบบี๋ ของ #ออฟกัน 👃🏻เป็นรูจมูกของ @kittyumbs 🫂เป็น #ชาวเมือง ของ @threemandown,1901,"ก็รู้นะว่าผลลัพธ์มันจะเป็นยังไง
ขอเพียงแค่แกทิ้ง...
ความเจ็บปวดมาไว้ที่เราก็พอ
.
ถึงแม้ตอนสุดท้ายเทอจะยัง...
“เลือกที่จะทิ้งเราไปอยู่ดี” 🙂
🚬🖤
.
#นิโคติน - @haymirrr https://t.co/GhNwrrbVGM", ,16,6,miinttiniim,บ่นไปเรื่อย ฟังเพลงแล้วมันเศร้าก็เลยอยากบ่น🙂💖💖💖 l ig: miinttiniim l
2,34,2021-03-01 03:03:51,#นิโคติน,SweetDr69026852,,165,"อยู่ในความสัมพันธ์แบบเสพติด
ใครบางคนอย่างจริงจัง

สำหรับเขาแล้ว 
ต้องการเราเพียงแค่
ช่วงเวลาหนึ่งเพียงเท่านั้น

แต่สำหรับเรานั้น 
อินไปกับทุกความรู้สึก
จนเลิกเสพติดเขาไม่ได้อีกแล้ว 
 
#นิโคติน - Mirrr 
#โปรดฟังเพลงนี้", /นิโคติน/โปรดฟังเพลงนี้,0,0,SweetDr69026852,
3,0,2021-01-31 17:25:41,#นิโคติน,ptns_nisa,❤️~HOTTEST~AHGASE~❤2PM ❤️GOT7❤NCT127❤WayV❤DAY6❤️Hanbin❤️MarkBam❤️Jack❤DoTen❤️อสรพิษ❤️TaecKhun❤️SJ❤️SNSD❤️Jay❤️โอ้มิ้น❤Tono❤ATK❤Samuel❤️Armwc❤ไบร์ทวิน❤️มิวกลัฟ,415,"... เมื่อไหร่ที่เธอผิดหวัง ฉันจะปลอบโยนหัวใจ ... 

นิโคตินครบรอบ 1 ปีแล้วนะทุกคน
ขอขอบคุณที่สนับสนุนกันมาตลอด
หวังว่าจะไม่มีใครเป็นนิโคตินให้คนอื่นแล้วนะ 😢

นิโคติน - @haymirrr 
▶ https://t.co/Jn0zFJwZAs
#นิโคติน #Mirrr #macrowave https://t.co/uMNZfmBcba", ,6,1,Macrowave_TH,A NEW WAVE IS HERE #Macrowave Music | Show Booking : 0816269964
4,7,2021-01-30 15:59:09,#นิโคติน,thesunris,อยากมายุ่งกับกูวว ไม่ต้องมาฟอลกูวววว,20,"จะกี่แผลที่เธอเจอ ..ฉันจะเยียวยาให้หาย 🤎
.
.

#นิโคติน https://t.co/tGpMw0q82b", /นิโคติน,13,31,MeentraIntira,FB: Meentra Intira morales IG: meentramorales
5,9,2021-01-29 08:25:42,#นิโคติน,09bamm,อจพ&อถพ💚💚,20,"ที่บอกไปว่า ต้องมีคนเอาเพลงนี้มาตัดopvแน่ๆ และคนๆนั้นก็คือกุเองค่ะ กุแล้ว1 ทนไม่ไหวอ่ะ เพลงเค้าดีจริง แล้วเป็นเพลงที่ออฟกันกำลังอินมั้กๆ งั้นกุก็อินด้วยเลย ฟังวนไปข่ะ 

//มู๊ดเพลงอกหัก แต่กุเขินอ่ะ งงมั้ย และใช่ค่ะ พี่ออฟคือพระเอกMV 
#ออฟกัน
#นิโคติน https://t.co/fegrwDLSWj", ,1029,937,onlyATPATP,"แอคนี้ถือคติ กาวๆไปก่อนเด๋วก็จริงเอง 

📌เจ้าของแอคเป็นแม่แต่ใจผัว 

รีวิวฟิค #โหดน้อยร้อยฟิค 

🎤🎶#พี่โหดขอร้อง 🎬#opvbyHoD

IG : therain199x"
6,18,2021-01-29 06:15:20,#นิโคติน,eizeye,". EYE . 💫
ll  special simplicity  ll

don't let the world change your smile.
Be like a moon, not always full but always beautiful.",366,"นิโคตินน่ะ มันก็จำเป็นเวลาเจ็บปวดเท่านั้นแหละ ตอนสบายดีก็ไม่จำเป็น

#นิโคติน", /นิโคติน,0,0,eizeye,". EYE . 💫
ll  special simplicity  ll

don't let the world change your smile.
Be like a moon, not always full but always beautiful."
7,19,2021-01-28 13:15:52,#นิโคติน,Nanthi_f,☺️ ทวิตนี้เล่น 2 คนนะจ๊ะ ☺️,913,แม้ฉันเองจะเป็นคนเดียว ที่เธอนั้นมองผ่าน  #นิโคติน 😌, /นิโคติน,0,6,Nanthi_f,☺️ ทวิตนี้เล่น 2 คนนะจ๊ะ ☺️
8,20,2021-01-26 06:32:14,#นิโคติน,Seventeen84oct,#เพราะแสวงหามิใช่เพราะรอคอยเพราะเชี่ยวชาญมิใช่เพราะโอกาสเพราะสามารถมิใช่เพราะโชคช่วยดังนี้แล้ว“ลิขิตฟ้าหรือจะสู้มานะตน”,2015,#นิโคติน  / เหมือนร้องเพลงปลอบตัวเอง555 ยังไงก็ปลอบคนที่มาฟังด้วยนะ ถ้ามีเรื่องทุกข์ใจก็ขอให้มันผ่านไปไวๆนะ✌🏼 https://t.co/4Smn6QYDd8, /นิโคติน,64,83,Winat1stBright,#ไบร์ทวิน แอบ #วินไบร์ท l ไบ๊เป็นแงว เมนไบร์ทที่โดนวินตก คีพคู่ค้าบ🤍 l #winmetawin #bbrightvc | มิตรรักแฟนเพลงจิ้มในพินจ้า! l 🏠 #บวทงกับงดที่หายไป #supforfai
9,21,2021-01-25 05:16:16,#นิโคติน,Exeggcute_47,,7,TWIXT THE COVER                        เข้าไปฟังกันด้วยน้าา 🙏🏻❤️🍭      https://t.co/Ax2eLMAw2w #TWIXT #OM #ogmeentertainment #นิโคติน #cover https://t.co/Q3iUnOk86l, /TWIXT/OM/ogmeentertainment,6,7,s_ohms,TWIXT ll OGME ENTERTAINMENT. IG : sozhms
