,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-07 14:53:34,#บอสข้างบ้าน,SLiiPLeSS,🌱 All we need is F R E E D ✪ M 🍀,237,"ขายของต่อ #บอสข้างบ้าน คือดีมากจริงๆ เขียนยังไงให้เรื่องธรรมดาๆมันว้าวได้ ไม่น่าเบื่อ ประโยคพูดคุยธรรมดา ฉากระเบียงหลังบ้านตึกแถวธรรมดา แต่ทำให้ไม่ธรรมดาได้ ชาบูๆ คารวะสามจอก 🍶🥃🍺
（เรื่องอื่นที่ไม่ได้เขียนคือนุยังไม่มีเวลาได้อ่าน เรื่องที่ตามอยู่คือเยอะมาก เคลียร์ไม่ทันแน้ว) https://t.co/NWuqMZIfyz", /บอสข้างบ้าน,12,0,mint_matinee,Writer @ #readAwrite #DoYouRememberBZ #ป๋อจ้าน #ฟิคป๋อจ้าน #วั่งเซี่ยน #BoZhanShipper #bjyxszd เมน🐰แต่🐰❤️ใครเราก็💚ด้วย
1,2,2021-03-07 12:12:21,#บอสข้างบ้าน,THRAM_N,,15,"ขายของหน่อย ตอนนี้มีนิยายสามเรื่องนะคะ

#บอสข้างบ้าน ออกงานหนังสือเม.ย. เปิดให้อ่านอยู่ไปลองได้ค่ะ
#เหนือวายุ กำลังจะจบเร็วๆนี้แหละ เซ็นสัญญาไปแล้วแต่ออกมะไหร่ยังไม่รู้ ลองได้เช่นกันค่ะ
#คุณนิรันดร์ ตอนนี้มีอีบุ๊กใน meb ทดลองอ่านในรอร ส่วนเล่มจะรีปรินต์งานเม.ย.นี้ค่ะ https://t.co/Ktdf1gqWI5", /บอสข้างบ้าน/เหนือวายุ,297,267,CC_Cincere,cincere • Multifandom • Fanartist/Writer • do not use my art without permission • ENG TH OK! • for my novels @fromcincere
2,9,2021-03-07 07:43:41,#บอสข้างบ้าน,X1oneit12,กยอลโดวันนี้มีโมเมนต์รึยัง?! 💓💓,41,"คุณมัศน่ารักไม่ไหว ใครนะตอนแรกกลัวเค้าจะตายตอนนี้ชมน่ารักไม่หยุด คู่แข่งมีแล้วน้องจะสู้รึเปล่า 55555 ยกพิมัศให้พิได้มุ้ย 😂
[เปิดให้อ่านถึง 28/03] #บอสข้างบ้าน [สนพ.Hermit Books] 08  #readAwrite #cincere #บอสข้างบ้าน #นิยายวาย #Boy Love/Yaoi #slice of life https://t.co/7P4Ne5dB2e", /บอสข้างบ้าน/readAwrite/cincere/บอสข้างบ้าน/นิยายวาย/Boy/slice,0,1,X1oneit12,กยอลโดวันนี้มีโมเมนต์รึยัง?! 💓💓
3,11,2021-03-07 04:31:36,#บอสข้างบ้าน,X1oneit12,กยอลโดวันนี้มีโมเมนต์รึยัง?! 💓💓,41,"เรื่องนี้น่ารักมากเลย ชอบความขรึมหน่อยๆแต่ยิ้มง่ายของพี่มัส กับความขำๆน่ารักแบบไม่รู้ตัวของน้องเทียน
[เปิดให้อ่านถึง 28/03] #บอสข้างบ้าน [สนพ.Hermit Books] 02  #readAwrite #cincere #บอสข้างบ้าน #นิยายวาย #Boy Love/Yaoi #slice of life https://t.co/cENKKa4wy2", /บอสข้างบ้าน/readAwrite/cincere/บอสข้างบ้าน/นิยายวาย/Boy/slice,0,0,X1oneit12,กยอลโดวันนี้มีโมเมนต์รึยัง?! 💓💓
4,15,2021-03-05 14:40:39,#บอสข้างบ้าน,ptnutsuki,@G_BoyFriend เป็นสายหยาบกับตัวเอง และคนมารยาททรามเท่านั้นค่ะ เป็นสาววาย ที่ไม่ได้แปลว่าจะจับผช.ทุกคนบนโลกมาจิ้นกัน กรุณาเข้าใจตรงกันด้วยค่ะ,381,อะ ตัดสินใจเลยตอนนี้ ด้วยความที่ช่วงนี้คนเข้าไปดูนิยายเยอะ จะเปิด #บอสข้างบ้าน ให้อ่านเพิ่มอีกเดือนนะคะ ถึง 28/03 หลังจากนั้นปิดจริงละ ไม่แกง แน่วแน่มั่นคง, /บอสข้างบ้าน,13,5,fromcincere,#คุณนิรันดร์ ｜รอตีพิมพ์ #บอสข้างบ้าน | WIP #เหนือวายุ #นับอนันต์
5,74,2021-03-01 17:44:11,#บอสข้างบ้าน,prangpari2332,,6,"#นิยายวาย 
แนวฟิลกู๊ดด
-ทานตะวันขี้แกล้งกับนักบวชน้อย
-หอมกลิ่นความรัก
-#หัวใจของเธอขอฉันฟาดด้วยเงิน
-#ควีนริชาร์ดของเหล่าสรรพสัตว์
-โตขึ้นผมอยากเป็นเมียป๊ะป๋า 
-#ตรวนมาร
-#อย่าได้คิดรังแกหวางเย่ของข้า  
-#ทำนายทายทัพ 
-#บอสข้างบ้าน 
-#พี่บอกอใจดี 
-#เด็กเช่าของคุณตรัย", /นิยายวาย/หัวใจของเธอขอฉันฟาดด้วยเงิน,41,53,Pppp05358820,"🐳 
🦊
👑🌙🌴🍑🐰🐍🐜
( 🐣💚 )"
6,0,2021-02-01 04:28:01,#บอสข้างบ้าน,YimyuanS,ม่ายรู้สินะะะะะั,6,464 #บอสข้างบ้าน เป็นวัยทำงานอะเนอะ เนื้อหาไม่หนัก มีความเรื่อยๆไม่หวือหวา คาแรคเตอร์นายเอกแก่กว่า เป็นเจ้านายจอมเนียบ แต่พออยู่บ้างข้างกันก็ได้เห็นมุมใหม่ๆของกันและกันมากขึ้น ภาษาดี บรรยายเลิศ เห็นนามปากกาก็รับประกันแล้วปะ ไปอ่านก่อนปิดกันเถอะ #แนะนำนิยายวายจบแล้ว #แนะนำนิยายวาย https://t.co/QotDMaon8c, /บอสข้างบ้าน,1,14,noreadnolife,you are what you read. (pls contact me via dm💖)
7,1,2021-01-31 19:12:07,#บอสข้างบ้าน,Nashi9397,"Love is Love 
Sometimes there's no why. 
늘 멀리서 지켜만봤죠
#GOT7  #TEAMWANG",224,"77 #บอสข้างบ้าน 👔🎩
พระเอกเป็นลูกน้องของนายเอก
พอได้มาทำงานอยู่บ้านช่วงโควิท
ถึงไม่รู้ว่าบอสของตัวเองที่แสนจะดุ
อยู่ข้างบ้าน กลายเป็นความสัมพันธ์
ใกล้ชิด จากบอสคนดุกลายคนอบอุ่นน่ารัก
#แนะนำนิยายวาย #รีวิวนิยายวาย #แนะนำนิยายวายจบแล้ว https://t.co/k9aFsSFCWc", /บอสข้างบ้าน,38,45,GoodThingRw_th,สื่อรีวิวแนะนำนิยายวายที่นำเสนอในแบบสร้างสรรค์ เพื่อให้ความรู้ ความคิดเชิงบวก และสร้างแรงบันดาลใจให้กับนักเขียน #รีวิวนิยายวาย #แนะนำนิยายวาย
8,2,2021-01-31 16:15:40,#บอสข้างบ้าน,fttf_jh,❥ 127 squad ♡*:･。JAEYONG🍑🌹,545,อ่านถึงตอนที่7แล้วพึ่งรู้เทียนเป็นพระเอก พี่มัศเป็นนายเอก โอ้ยยยยยย นี่ก็น้องเทียนของหม่าหมี่มาตลอด #บอสข้างบ้าน, /บอสข้างบ้าน,0,0,fttf_jh,❥ 127 squad ♡*:･。JAEYONG🍑🌹
9,4,2021-01-31 12:02:00,#บอสข้างบ้าน,OHABBYEII,ปล่อยฉันนอนเถอะอาจารย์,166,อะไรที่ไม่ค่อยบ้ง ก็หาอ่านไว้บ้างนะจ้ะยัยสาววาย ฟินไม่แพ้นิยายวายบ้ง ๆ ตามท้องตลาดหรอก สำหรับฉัน ฟินกว่านิยายพวกนั้นอีกโคตรพ่อโคตรแม่ชอบ งานดีชห #บอสข้างบ้าน #แนะนํานิยายวาย https://t.co/zz7SWddUyn, ,7,5,yeast_13409,"Even been your wife I don't wanna be anything Donghyuk Lee. - me, 2019 'till die // bias: nct dream, human beings
✊🏻 ✊🏼 ✊🏽 ✊🏾 ✊🏿"
