,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-10 16:19:02,#ปลาวาฬของคุณผีเสื้อของผม,BubbleB08,"CALL ME❤️ : B U B B L E -B
🤘แรงกระเพื่อมดีดีของเจ้าแก้มและพี่หมี🤘
#เจ้าแก้มก้อน  
#ไขมันของเจ้าแก้มก้อน
#โอห์มไง 
MY BLUE💙
support @FlukeNatouch @ohmthitiwat",155,"#กี่หมื่นฟ้า
#ใกล้แค่พันลี้
#ปลาวาฬของคุณผีเสื้อของผม 

คิดถึง คุณ คนไหน ก็หยิบคนนั้น
อ่านก่อนนอน ก็ฝันดี

สุดท้ายวันนี้ คิดถึง คุณ ใกล้ ใจ ... https://t.co/7Jd9kKiBNY", /กี่หมื่นฟ้า/ใกล้แค่พันลี้/ปลาวาฬของคุณผีเสื้อของผม,0,0,BubbleB08,"CALL ME❤️ : B U B B L E -B
🤘แรงกระเพื่อมดีดีของเจ้าแก้มและพี่หมี🤘
#เจ้าแก้มก้อน  
#ไขมันของเจ้าแก้มก้อน
#โอห์มไง 
MY BLUE💙
support @FlukeNatouch @ohmthitiwat"
1,1,2021-03-09 02:09:14,#ปลาวาฬของคุณผีเสื้อของผม,pornpunn,👩🏻💕 1992 📚 💙 G 🦁 S 🐢 K 🖤 K 🐰 C 🐻 Y 🐵 W,2875,วาฬกับลูกตาว ลูกตาวนักเขียนนิยายมีเพื่อนบ้านใหม่เป็นมือกีตาร์วงดนตรีรวมถึงเป็นลูกชายของเพื่อนสนิทแม่ ที่แม่ตาวฝากไปดูแล วันแรกที่เจอกันวาฬเศร้าก็มีตาวคอยปลอบ แต่ละวันที่เริ่มรู้จักกันมากขึ้นคือน่ารักไปหมดเลย นิยายฟีลกู้ดละมุนมาก https://t.co/z0DPcDbn0f #ปลาวาฬของคุณผีเสื้อของผม, ,14,7,pornpunn,👩🏻💕 1992 📚 💙 G 🦁 S 🐢 K 🖤 K 🐰 C 🐻 Y 🐵 W
2,2,2021-03-08 16:42:02,#ปลาวาฬของคุณผีเสื้อของผม,kozyhabitat,เรื่อยๆ,0,เพิ่งได้อ่าน #ปลาวาฬของคุณผีเสื้อของผม เมื่อคืน ฮีลจิตใจคนวัยทำงานมากๆ เราต่อสู้กับความรู้สึกผิดต่อตัวเองมาตลอด คิดว่าต้องทำทุกอย่างเท่าที่เราไหว กลายเป็นว่าถ้าไม่ฝืนตัวเองทำต่อ ก็รู้สึกผิดจนเครียด ทั้งที่ความสำเร็จที่เราต้องการมันไม่ต้องพยายามขนาดนั้นเลย ความสบายใจมันสำคัญจริงๆ https://t.co/vUoPUUJPWj, /ปลาวาฬของคุณผีเสื้อของผม,0,0,kozyhabitat,เรื่อยๆ
3,3,2021-03-08 13:51:28,#ปลาวาฬของคุณผีเสื้อของผม,WBenbii_,"⠀⠀⠀⠀⠀⠀⠀⠀— 𝙂𝙤𝙤𝙙 𝙤𝙧 𝙗𝙖𝙙, 𝙩𝙝𝙚𝙮 𝙖𝙡𝙡 𝙥𝙖𝙨𝙨. —⠀⠀⠀⠀⠀⠀⠀& 𝐈𝐧 𝐚 𝐫𝐞𝐥𝐚𝐭𝐢𝐨𝐧𝐬𝐡𝐢𝐩 𝐰𝐢𝐭𝐡 𝐛𝐞𝐝. 🛏🧡",255,"เริ่มอ่านบทแรกก็เจอคำคมแล้ว ฮรุกกก 
#ปลาวาฬของคุณผีเสื้อของผม https://t.co/s1tFCLZhPV", /ปลาวาฬของคุณผีเสื้อของผม,3,3,Piyanat2310,#2PM (6) #IU #Mark_Prin #CHAEUNWOO #YOONSANHA #우산 #WANNAONE #KangDaniel #ParkJihoon #NielWink #OngMin #PanDeep #PerthSaint #อิทธิริช
4,4,2021-03-06 03:21:16,#ปลาวาฬของคุณผีเสื้อของผม,maichaineptune,jeongjaehyun best boy =͟͟͞♡,87,"จริงมากอ่ะ😭 บางทีถ้าใครบางคนเห็นในสิ่งที่เราแบกอยู่โดยที่เราไม่ต้องบอก มันคงจะดีมากๆเลยนะ 
#ปลาวาฬของคุณผีเสื้อของผม https://t.co/ZCDvBytEAk", /ปลาวาฬของคุณผีเสื้อของผม,0,0,maichaineptune,jeongjaehyun best boy =͟͟͞♡
5,8,2021-03-03 11:51:38,#ปลาวาฬของคุณผีเสื้อของผม,Piyanat2310,#2PM (6) #IU #Mark_Prin #CHAEUNWOO #YOONSANHA #우산 #WANNAONE #KangDaniel #ParkJihoon #NielWink #OngMin #PanDeep #PerthSaint #อิทธิริช,814,#ปลาวาฬของคุณผีเสื้อของผม เรื่องของลูกตาวนักเขียนนิยายวายกับวาฬมือกีตาร์สุดหล่อ ลูกตาวได้รับภารกิจจากแม่ให้ช่วยดูแลลูกชายของเพื่อนที่จะย้ายมาอยู่ในหมู่บ้านเดียวกัน ความฝากฝังจากแม่กลายมาสู่ความเป็นเพื่อน เป็นคนรัก โคตรดี ดีมาก ตอนค่อยๆจีบกันคือคันยุบยิบๆในหัวใจ น่ารักจนใจเจ็บ งือ, /ปลาวาฬของคุณผีเสื้อของผม,9,12,mooh_mai,"🐻 @OhmThitiwat
🐣 @FlukeNatouch
                               💙 OhmFluke"
6,9,2021-03-03 11:19:36,#ปลาวาฬของคุณผีเสื้อของผม,Piyanat2310,#2PM (6) #IU #Mark_Prin #CHAEUNWOO #YOONSANHA #우산 #WANNAONE #KangDaniel #ParkJihoon #NielWink #OngMin #PanDeep #PerthSaint #อิทธิริช,814,#ปลาวาฬของคุณผีเสื้อของผม อบอุ่น นวย เขิน จีบกันเรื่อยๆแต่ละมุนมากๆ คุณไรท์คนนี้เชื่อมือเรื่องความฟีลกู้ดได้เลย อ่านแล้วฮีลใจมาก เหมือนจิบกาแฟยามเช้าในหน้าหนาว พอ.นอ.อยู่บ้านข้างกัน ช่วยเหลือ ฮีลใจกัน ค่อยๆก่อเกิดความสัมพันธ์ อบอุ่นสุด แฮปปี้ 9/10 #รีวิวนิยายวาย #ทรายอ่านแล้ว https://t.co/9B6snqbOzu, /ปลาวาฬของคุณผีเสื้อของผม,14,21,KhunMedSai,2PM / Hottest / Got7 / IGot7 / Wanna one / Nichkhun / Mark / Lai Kuanlin / หวีด Kpop แต่เมนไม่ใช่คนเกาหลีสักคน *อวยเมนหนักมาก!
7,0,2021-02-01 08:04:32,#ปลาวาฬของคุณผีเสื้อของผม,janeji1207,มีความสุขให้เยอะๆเลยนะแทยง🛴💘✨,226,🐋🤍🦋 #ปลาวาฬของคุณผีเสื้อของผม https://t.co/ivdhuDs0Z3, /ปลาวาฬของคุณผีเสื้อของผม,0,0,janeji1207,มีความสุขให้เยอะๆเลยนะแทยง🛴💘✨
8,1,2021-02-01 07:05:47,#ปลาวาฬของคุณผีเสื้อของผม,ChanipornA,"@weareoneEXO
@EXOonearewe
#EXO
#EXOL
#CHANBAEK
#ANIME 

❗NOXONOLIFE❗",26,#ปลาวาฬของคุณผีเสื้อของผม https://t.co/qMJ2FitkkZ, /ปลาวาฬของคุณผีเสื้อของผม,0,0,ChanipornA,"@weareoneEXO
@EXOonearewe
#EXO
#EXOL
#CHANBAEK
#ANIME 

❗NOXONOLIFE❗"
9,2,2021-01-31 06:26:25,#ปลาวาฬของคุณผีเสื้อของผม,Jungjing2303,,93,ลูกตาวกับวาฬมาถึงแล้วววววว ☺️ #ปลาวาฬของคุณผีเสื้อของผม https://t.co/xoXsLFIIU6, /ปลาวาฬของคุณผีเสื้อของผม,0,0,Jungjing2303,
