,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-06 17:09:47,#ปื๊ดหิวฝรั่ง,k_xx2000,"#ยกให้เป็นสมบัติของชาติ
#มีปลาทูต้องมีดนตรี
#กลิ่นรักของเมืองหนาว",69,"70.#ปื๊ดหิวฝรั่ง
71.#ไม่ให้ไนต์นอน
72.#รักของน้อง
73.#เด็กดีของน่านฟ้า
74.#คุณพฤกษ์รวยมาก 
75.#ณชลธีมีโลมา
76.#ยกให้เป็นสมบัติของชาติ
77.#มีปลาทูต้องมีดนตรี
78.#ช่างตัดหัว
79.#เหนือองศารัก
80.#พ่อฮะปะป๊าดุ", /ปื๊ดหิวฝรั่ง/ไม่ให้ไนต์นอน/รักของน้อง/เด็กดีของน่านฟ้า/คุณพฤกษ์รวยมาก/ณชลธีมีโลมา,9,7,queeniceso,• อ่านไปเรื่อย • • เนม : ซอ • • ชอบอ่านนิยายวาย •
1,1,2021-03-06 11:07:51,#ปื๊ดหิวฝรั่ง,GRIZZLIES_ZXZ,..🌼The novel is my favorite Friend💐,7,"พรุ่งนี้ค่ำๆ เราคงได้อ่านน้องปื๊ดกัน
หรืออาจมาดึกหน่อยถ้าเถลไถล อิอิ #ปื๊ดหิวฝรั่ง https://t.co/171r1SAmFU", /ปื๊ดหิวฝรั่ง,4,12,annetronsmom,CH @noonaapatcharin #ในม่านดอกไม้ #พ่อพันธุ์ปรสิต #ดอกไม้ป่าที่ริมหน้าต่าง #ชายแต้มเป็นเสือไม่ใช่แมว #หมาต้องสู้ผู้ต้องอ่อย #ปื๊ดหิวฝรั่ง #แผ่นหลังของคุณ
2,5,2021-03-05 13:24:15,#ปื๊ดหิวฝรั่ง,baekk225,B A E K H Y U N ❤,35,ดิสันกะหัวตั้งแต่หลวงปื๊ดออกบิณฑบาตแล้วเจอหน้าโยมพอลแล้วล่ะ สำรวมพุทโธธัมโมวะสั่น คนอ่านก็แอบคิดจริง ๆ นะ ว่ากูจะบาปมั้ยวะ5555555555555555555 #ปื๊ดหิวฝรั่ง, ,2,1,deschlism1,🌷HAECHAN 🌈瓶邪【盗墓笔记】
3,6,2021-03-04 07:47:38,#ปื๊ดหิวฝรั่ง,rrarasipus,20↑ | she/her | ทลสว | นุปิดโนติสำหรับคนที่ไม่ได้ฟอลไว้,408,อยากโดนด่าว่าเป็นวัวลืมตีน คิดถึงฟิค #ปื๊ดหิวฝรั่ง https://t.co/DupFVhxwiY, /ปื๊ดหิวฝรั่ง,4,4,FAICHAi_ss,@Fanie_f_n_ ต้าวแฝด #แฟนคุณนั่นแหละครับ ถ้าจะจีบก็บอกตรงๆเลยครับว่าจะจีบ คนบางคนถ้าไม่บอกมันก็โง่อยู่แบบนั้นแหละ
4,7,2021-03-04 07:17:30,#ปื๊ดหิวฝรั่ง,rrarasipus,20↑ | she/her | ทลสว | นุปิดโนติสำหรับคนที่ไม่ได้ฟอลไว้,408,ไหน ๆ ก็ไหน ๆ ขอแนะนำบ้างได้ปะ เรื่องนี้ตลกมากกกกก เป็นนิยายคอมเมดี้ที่แอบเสียดสีสังคม(พวกป้าข้างบ้านที่ขี้นินทา ขี้อิจฉา บูลลี่หน้าตา1) ให้ข้อคิดดีมาก ๆ เลย ปื๊ดเด็กอีสานบ้าน ๆ มาทำงานแล้วเผอิญหน้าตาไปโดนใจนายฝรั่งเข้า ชอบเวลาพูดอีสานมาก หัวบ่คืน🤣 #ปื๊ดหิวฝรั่ง #แนะนํานิยายวาย https://t.co/vy4osHxDYf, ,40,64,deschlism1,🌷HAECHAN 🌈瓶邪【盗墓笔记】
5,8,2021-03-04 04:13:55,#ปื๊ดหิวฝรั่ง,rrarasipus,20↑ | she/her | ทลสว | นุปิดโนติสำหรับคนที่ไม่ได้ฟอลไว้,408,"นายเอกเว้าอีสานเด้อพี่น้อง กับผัวฝรั่งของน้องห่อหมกใหญ่ๆ555555555555555 เนื้อเรื่องแบบฮาขี้แตกขำเหนื่อยอีกเรื่องเดี๋ยวไปอ่านต่อก๊อนนนนนน #ปื๊ดหิวฝรั่ง #แนะนํานิยายวาย
https://t.co/OuXghcJYmf", ,131,238,somsomreview,รีวิวแต่นิยายที่ชอบ รับบทลูกอิขายของเก่ง||ความชอบของแต่ละคนไม่เหมือนกันโปรดเข้าใจด้วย||#แนะนำนิยายวาย||คลังวายของผู้สุดแสนจะคลั่งรักนิยายวาย✨🍊📚
6,10,2021-03-02 11:20:37,#ปื๊ดหิวฝรั่ง,jinny555555,ไม่มีการจากลาใดที่เกิดขึ้นกะทันหัน และไม่มีการจากลาใดที่หนักหน่วงเกินทนไหว,5,"อีห่า กูอ่านถึงตรงนี้ขำลั่นบ้านเลย 55555555555555 นายเอกได้ผัวฝ.ล่ะนางบวชให้ยาย 
นิยายตลกโปกฮามาก คลายเครียดดี ไปหาอ่านกันๆ
 #ปื๊ดหิวฝรั่ง https://t.co/VhRw8Ed5gq", ,13,10,urmylittle,sᴇᴠᴇɴ ʙɪʟʟɪᴏɴ sᴍɪʟᴇs ʙᴜᴛ ʏᴏᴜʀs ɪs ᴍʏ ɴᴏ ᴏɴᴇ @Ssuper_f ♥️ แอดมินบ้าน #ยัยแซ่บลูกแม่มานี่หน่อยค้าบแม่จะหอมแจ้ม 🧏🏼‍♀️❤️
7,12,2021-03-01 03:36:42,#ปื๊ดหิวฝรั่ง,Pop_Tumcial,"พี่กัน​=เมน
พี่ออฟ=เหนือ​เมน
คีพคู่​ #ออฟกัน​
คีพเดี่ยวไม่เป็น!! แต่ใส่เดี่ยวได้หมด
I am Babii forever💚
#ของขวัญของตี๋OG​ ไรท์​มือใหม่หัวใจงุ้งงิ้ง",495,"ອ່ານໄດ້​ 3 ຕອນ​ ກະຢາກໄດ້ຜົວຝລັ່ງແລ້ວ
ຊິໄປຫາທາງໃດເດ ຢາກເອົາຜົວຝລັ່ງໄປຟາດໜ້າ​ໄທບ້ານເບີ່ງຄືກັນ555555
#ปื๊ดหิวฝรั่ง", /ปื๊ดหิวฝรั่ง,0,1,Pop_Tumcial,"พี่กัน​=เมน
พี่ออฟ=เหนือ​เมน
คีพคู่​ #ออฟกัน​
คีพเดี่ยวไม่เป็น!! แต่ใส่เดี่ยวได้หมด
I am Babii forever💚
#ของขวัญของตี๋OG​ ไรท์​มือใหม่หัวใจงุ้งงิ้ง"
8,0,2021-01-31 16:26:04,#ปื๊ดหิวฝรั่ง,jellypeachh,"♡ ᴘᴄʏ ♡ ʙʙʜ 
ɴᴏ ᴇxᴏ ɴᴏ ʟɪғᴇ☺︎ 
𝘏𝘢𝘪𝘬𝘺𝘶! ˘͈ᵕ˘͈",2733,"ทุกคนเรื่องนี้สนุก น่ารัก ตลก แบบครบรสขนาดนี้จะไม่อ่านกันจิงๆเหรอคะ🥺 เวลาน้องปื๊ดสบถเปนภาษาอีสานคือได้ใจพิมากขำ55555555555 ใดๆนายฝรั่งเราคือคลั่งรักไม่ไหวแล้ว🥺🤍
#ปื๊ดหิวฝรั่ง #แนะนํานิยายวาย
https://t.co/W02GSNKuit", ,6,11,watachinja,"20! FUBfree(ꈍᴗꈍ) 🍞BL🍪OP KNB KNY NRT MHA JJK AOT Free DMMd Given HQ🍼🥺
ใจที่ตายไปแล้วแต่กายยังอยู่"
9,1,2021-01-31 13:38:15,#ปื๊ดหิวฝรั่ง,dek_saa,#VIP #IMAGINEDRAGONS,197,แกใครไม่เคยอ่านไปอ่านบัดเดี๋ยวนี้ ขำปวดท้อง ขำแบบหายใจหายคอไม่ทัน 5555 ชอบที่ทำให้ตนเห็นถึงการดูถูกหน้าตาเรือนร่างของคนอื่นอะ มันแบบใครหลายๆคนเคยเจอเรื่องนี้มายิ่งเข้าใจดี ขอยคุณนายฝรั่งที่ทำให้ปื๊ดรักตัวเองและเห็นความยูนีคของตัวเองนะ #ปื๊ดหิวฝรั่ง, ,2,1,Windandrain04,นิยามของผมคือท้องฟ้า
