,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-08 02:32:32,#ผมไหว้ล่ะพี่ปี,abxm8180,EXO EXO EXO.  รอยยิ้มของเค้าทำให้เรามีความสุข ยังรออยู่ที่เดิมนะ #LUMIN #JAMREN x allren เหรินเล่อคือข้อยกเว้น,206,เป็นเกียรติเป็นศรีแก่วงศ์ตระกูลมากค่ะ ยิ่งใหญ่เกรียงไกรไม่ไหว ขอบคุณทุกคนที่เข้ามาอ่านนะคะ (ไหวย่อเข่าติดพื้น) เกินต้านจริงๆ .ช็อค เดี๋ยววันพฤหัสอัพตอนใหม่ให้ค่ะ🥰 ดีใจมากๆๆๆ #ผมไหว้ล่ะพี่ปี https://t.co/7dTTjKaKhI, ,3,6,JJaowrites,"@wannagreen56 นามปากกา เจาจื๊อ ลงในrawเป็นหลัก พูดคุยได้ตลอดค่า💖
#พนักงานกินเมืองคราม #ผมไหว้ล่ะพี่ปี"
1,4,2021-03-08 00:08:17,#ผมไหว้ล่ะพี่ปี,swnwwim,ไม่ได้เหร่ตามองกล้องแต่เหร่ตามองน้องแตน เฮ้อน่ารัก @KJH_officialtwt | (ไม่)ว่าที่มัมหมาน้องโช ー  ตั้งแผงรีวิว #reviewpukpikz,234,โยนมุกแบบนี้ตลอดจังนะไอ้พี่ปีแต่ไม่เห็นจะสารภาพกับน้องซักที เฮ้อระวังนะ #ผมไหว้ล่ะพี่ปี https://t.co/nndDLUW34R, /ผมไหว้ล่ะพี่ปี,0,0,swnwwim,ไม่ได้เหร่ตามองกล้องแต่เหร่ตามองน้องแตน เฮ้อน่ารัก @KJH_officialtwt | (ไม่)ว่าที่มัมหมาน้องโช ー  ตั้งแผงรีวิว #reviewpukpikz
2,5,2021-03-07 23:54:29,#ผมไหว้ล่ะพี่ปี,swnwwim,ไม่ได้เหร่ตามองกล้องแต่เหร่ตามองน้องแตน เฮ้อน่ารัก @KJH_officialtwt | (ไม่)ว่าที่มัมหมาน้องโช ー  ตั้งแผงรีวิว #reviewpukpikz,234,"ชอบมุกนี้แต่คือหยุดจีบแล้วมาขอน้องสักเป็นแฟนที สถานะพี่น้องที่พิเศษไม่มีสิทธิ์หึงหวงนะ!!!!!!
#ผมไหว้ล่ะพี่ปี https://t.co/vBocwNfQ7E", /ผมไหว้ล่ะพี่ปี,0,0,swnwwim,ไม่ได้เหร่ตามองกล้องแต่เหร่ตามองน้องแตน เฮ้อน่ารัก @KJH_officialtwt | (ไม่)ว่าที่มัมหมาน้องโช ー  ตั้งแผงรีวิว #reviewpukpikz
3,6,2021-03-07 18:48:00,#ผมไหว้ล่ะพี่ปี,realevelife,,24,#ผมไหว้ล่ะพี่ปี : มุกเหี้ยดี แต่เล่นบ่อยๆนะชอบ55645555555555555554566555, /ผมไหว้ล่ะพี่ปี,0,0,realevelife,
4,7,2021-03-07 16:14:56,#ผมไหว้ล่ะพี่ปี,lko_yo,#taehyung = ความน่ารักจากในจักรวาลสามล้านโลกมารวมตัวกัน🥺💗✨ | #Kookv คือเรือยอร์ชค่ะ!!!🔥| ชอบดูอนิเมะมาก🙌,6,ทุกคน คือชอบเรื่องนี้มากๆอ่ะ มันหวานแต่ไม่เกินไป คือฉากน่ารักๆมันจะมีมาเรื่อยๆ แต่ไม่หวานเลี่ยนจนเกินไปอ่ะ อ่านแล้วชอบมาก ละคือขำมุกด้วย เฮฮาทั้งคู่เลยอ่ะ คืออ่านแล้วไม่เครียดเลย 10/10 เลย #ผมไหว้ล่ะพี่ปี #แนะนํานิยายวาย #นิยายวายแนะนํา https://t.co/dkk1D9hhsA, /ผมไหว้ล่ะพี่ปี/แนะนํานิยายวาย/นิยายวายแนะนํา,0,5,lko_yo,#taehyung = ความน่ารักจากในจักรวาลสามล้านโลกมารวมตัวกัน🥺💗✨ | #Kookv คือเรือยอร์ชค่ะ!!!🔥| ชอบดูอนิเมะมาก🙌
5,8,2021-03-07 15:54:50,#ผมไหว้ล่ะพี่ปี,ngongmakk,,34,ฮื่อออออ พี่ปีอัพแล้วๆๆ #ผมไหว้ล่ะพี่ปี, /ผมไหว้ล่ะพี่ปี,0,0,ngongmakk,
6,9,2021-03-07 15:54:35,#ผมไหว้ล่ะพี่ปี,ngongmakk,,34,"🔥 update 🔥
Pls RT #ผมไหว้ล่ะพี่ปี
คืนที่ 12 น้องสักกับเพื่อน

""อืม มึงเป็นของกูคนเดียว""

Readawrite : https://t.co/jObkPwWuB0

หน้าแรก : https://t.co/U0o3quQFku

#readawrite #นิยายวาย https://t.co/8uf3CaHXa9", /ผมไหว้ล่ะพี่ปี,3,5,JJaowrites,"@wannagreen56 นามปากกา เจาจื๊อ ลงในrawเป็นหลัก พูดคุยได้ตลอดค่า💖
#พนักงานกินเมืองคราม #ผมไหว้ล่ะพี่ปี"
7,10,2021-03-07 14:27:38,#ผมไหว้ล่ะพี่ปี,abxm8180,EXO EXO EXO.  รอยยิ้มของเค้าทำให้เรามีความสุข ยังรออยู่ที่เดิมนะ #LUMIN #JAMREN x allren เหรินเล่อคือข้อยกเว้น,206,"#แนะนำนิยายวาย 
#ผมไหว้ล่ะพี่ปี 

(1)ใครอยากคลายเครียดต้องเรื่องนี้นะ อิพี่ปีพระเอก ก็คือเอาฮาอย่างเดียว เป็นคนหล่อ รวย (งานอดิเรก: นัดเxด 🙄) ชอบแต่งตัวแปลกๆ อ่านไปยังรู้สึกอายแทนน้องอ่ะ555 ผูกผ้าสามสีได้คงผูกอ่ะนะ เรื่องนี้มีแต่คนแปลกจนงงว่าน้องสัก (นายเอก) ทนอยู่กับพี่ปีได้ไง https://t.co/RkZS6HjLrf", /แนะนำนิยายวาย/ผมไหว้ล่ะพี่ปี,2,1,llatte27,#คลังนิยายลาเต้ อ่านเรื่อยๆอ่านทุกวัน อ่านไปซื้อไป ซื้อจนจะหมดตัว ก็ยังไม่หยุดซื้อ เฮ้!!
8,14,2021-03-07 05:01:32,#ผมไหว้ล่ะพี่ปี,03_11j,I'm worthless | WE NEED DEMOCRACY ( ╹▽╹ ) 🏳️‍🌈 lll @WE_THE_BOYZ @C9rookies @RAIN_Ciipher,2244,@Nickichim #ผมไหว้ล่ะพี่ปี รีดอะไร้ค่า, /ผมไหว้ล่ะพี่ปี,0,0,Nickichim,rrr-rrrr-rrrr
9,15,2021-03-07 02:06:35,#ผมไหว้ล่ะพี่ปี,MMW0RLD,"I want to go to the neverland
...I'm not a happy girl anymore.",37,แงงกุรักพี่ปีมากเลยอิเหี้ยตร่กชห55555555 กุรักน้องสักด้วยน้องแบบน่ารักนุ้บนิ้บมาก ไม่อยากให้น้องเจ่บหัวจัยเบย;-; #ผมไหว้ล่ะพี่ปี, /ผมไหว้ล่ะพี่ปี,0,0,MMW0RLD,"I want to go to the neverland
...I'm not a happy girl anymore."
10,16,2021-03-07 00:52:27,#ผมไหว้ล่ะพี่ปี,spynarakmak,"ᴄᴜᴛᴇᴇᴇᴇ 𝟹𝙾𝙾 % ✧ ꕤ
🌷꒰ #warwanarat ꒱💥꒰ #JINLONGGUO ꒱🐋꒰ #ONGSEONGWU ꒱",93,"เครียดว่ะ แปลกกันทั้งเรื่องละมั้งเนี่ย
#ผมไหว้ล่ะพี่ปี https://t.co/8a5tGO4hIj", /ผมไหว้ล่ะพี่ปี,0,0,spynarakmak,"ᴄᴜᴛᴇᴇᴇᴇ 𝟹𝙾𝙾 % ✧ ꕤ
🌷꒰ #warwanarat ꒱💥꒰ #JINLONGGUO ꒱🐋꒰ #ONGSEONGWU ꒱"
11,17,2021-03-07 00:45:24,#ผมไหว้ล่ะพี่ปี,PairwaK,👑DOKYEOM 🍚WOOZI | SEVENTEEN 💎 #ว้ากว้ากรีวิว #แลกการ์ดกับว้าก,344,เมื่อไหร่พี่ปีจะทำตัวหล่อ ให้เราเขินจนสุดได้สักที เบรกเก่ง เบรกหน้าทิ่ม #ผมไหว้ล่ะพี่ปี, /ผมไหว้ล่ะพี่ปี,0,0,PairwaK,👑DOKYEOM 🍚WOOZI | SEVENTEEN 💎 #ว้ากว้ากรีวิว #แลกการ์ดกับว้าก
12,19,2021-03-06 20:02:50,#ผมไหว้ล่ะพี่ปี,porntip_o,🍑ความรักที่มีต่อนาย ทำให้ฉันอดทนกับวันนี้ไปได้อีกวัน... อย่าเขินสิครับ 🌹ไม่มีตังก็อย่าเพิ่งซื้อ #PTLรีวิว,53,"ผมเป็นเครียด มันอะไรกันคับเนี่ยยย ฮือ 

#ผมไหว้ล่ะพี่ปี", /ผมไหว้ล่ะพี่ปี,0,0,porntip_o,🍑ความรักที่มีต่อนาย ทำให้ฉันอดทนกับวันนี้ไปได้อีกวัน... อย่าเขินสิครับ 🌹ไม่มีตังก็อย่าเพิ่งซื้อ #PTLรีวิว
13,20,2021-03-06 15:16:38,#ผมไหว้ล่ะพี่ปี,PiNKKYbooboo_ME,จีงๆ เป็นคนเรียบร้อยค่ะ ตอนนี้แค่ทดลองเป็นคนประสาทแดก,118,"นู๋ว่าเขาแปลก
 #ผมไหว้ล่ะพี่ปี", /ผมไหว้ล่ะพี่ปี,0,0,PiNKKYbooboo_ME,จีงๆ เป็นคนเรียบร้อยค่ะ ตอนนี้แค่ทดลองเป็นคนประสาทแดก
14,21,2021-03-06 10:52:06,#ผมไหว้ล่ะพี่ปี,i_ii_xoo,คนแก่เลิกหลอกกินเต้าหู้ลูกชั้นสักที!!,11,โอ๊ยสมหน้าสมเนื้อกันมากทั้งอิพี่ปีและน้องสัก🤣#ผมไหว้ล่ะพี่ปี, /ผมไหว้ล่ะพี่ปี,0,0,i_ii_xoo,คนแก่เลิกหลอกกินเต้าหู้ลูกชั้นสักที!!
15,22,2021-03-06 05:59:23,#ผมไหว้ล่ะพี่ปี,favexobjyx,||| sʜ🐥 ʙᴢ🦁🐰⚡ ᴇxᴏ ᴀɴɪᴍᴇ ғɪᴄᴛɪᴏɴ ᴍᴏᴠɪᴇ ᴍᴜsɪᴄ  🍿🍔🌙🌻💛☁🏳️‍🌈,58,"ชอบมากคนแบบพี่ปี55555555555555 
#ผมไหว้ล่ะพี่ปี https://t.co/nqWwX4w37v", /ผมไหว้ล่ะพี่ปี,0,0,favexobjyx,||| sʜ🐥 ʙᴢ🦁🐰⚡ ᴇxᴏ ᴀɴɪᴍᴇ ғɪᴄᴛɪᴏɴ ᴍᴏᴠɪᴇ ᴍᴜsɪᴄ  🍿🍔🌙🌻💛☁🏳️‍🌈
16,23,2021-03-06 04:18:36,#ผมไหว้ล่ะพี่ปี,bba246,Bybarcode🖤 | Dentist assistant | space 🚀🛰️ | Ig : its.s_sab,169,"มึงงงง 5555555555555555
กูชอบความโบ๊ะบ๊ะของคู่นี้ #ผมไหว้ล่ะพี่ปี https://t.co/bfJRe4RxYj", /ผมไหว้ล่ะพี่ปี,0,0,bba246,Bybarcode🖤 | Dentist assistant | space 🚀🛰️ | Ig : its.s_sab
17,24,2021-03-06 02:57:33,#ผมไหว้ล่ะพี่ปี,nakahcw,◡̈BTS ARMYS◡̈ ชอบผช2D😳 ENHYPEN💌✨ขายapplemusic สนใจdmมาเลยค่า ดูรีวิวได้ที่พิม@nakahcw🌷หรือ #รีวิวของwjk ค่า🤍,2191,"เรื่องนี้ดีมากกกกกก คือพระเอกมันฮาดีอะ งานอดิเรกคือนัด.. เจอกับนายเอกก็เพราะนัด...  11ตอนผ่านไปยังอยู่ในสถานะพี่น้องท้องชนกันอยู่ แต่พี่มันดูจะชอบน้องจริง พี่ปีติดเด็ก พี่ปีคลั่งเด็กมาก โอ๊ย ฉันชอบบบ #ผมไหว้ล่ะพี่ปี ไปอ่านค่ะ #ไอติมมะม่วงรับประกัน
https://t.co/WWAitM0Hur", ,7,13,phraephannita,"-- Once​ Polca, Always​ Polca​ -​-"
18,25,2021-03-05 22:09:47,#ผมไหว้ล่ะพี่ปี,anothercliex,แกมันไอ้บ้ารนหาที่ตาย,2687,โอ๊ยพี่ปีไอ้เหี้ย5555555555 #ผมไหว้ล่ะพี่ปี https://t.co/y80r0UxBP6, /ผมไหว้ล่ะพี่ปี,0,0,anothercliex,แกมันไอ้บ้ารนหาที่ตาย
19,26,2021-03-05 18:19:17,#ผมไหว้ล่ะพี่ปี,anothercliex,แกมันไอ้บ้ารนหาที่ตาย,2687,พระเอกฟิคอะไรโคตรน่าถีบเลย เอามันออกจากตำแหน่งพระเอกฟิคที  #ผมไหว้ล่ะพี่ปี https://t.co/fpUqziNrqk, /ผมไหว้ล่ะพี่ปี,0,0,anothercliex,แกมันไอ้บ้ารนหาที่ตาย
20,27,2021-03-05 18:09:24,#ผมไหว้ล่ะพี่ปี,anothercliex,แกมันไอ้บ้ารนหาที่ตาย,2687,โอ๊ยกูจะด่ามันยังไงดีวะ ไอ้พี่ปี ไอ้ส้นตีน555555555555 #ผมไหว้ล่ะพี่ปี https://t.co/je3qCIh1iO, /ผมไหว้ล่ะพี่ปี,0,0,anothercliex,แกมันไอ้บ้ารนหาที่ตาย
21,28,2021-03-05 18:06:00,#ผมไหว้ล่ะพี่ปี,anothercliex,แกมันไอ้บ้ารนหาที่ตาย,2687,#ผมไหว้ล่ะพี่ปี https://t.co/puiMOOFVQH, /ผมไหว้ล่ะพี่ปี,0,0,anothercliex,แกมันไอ้บ้ารนหาที่ตาย
22,29,2021-03-05 18:05:52,#ผมไหว้ล่ะพี่ปี,anothercliex,แกมันไอ้บ้ารนหาที่ตาย,2687,#ผมไหว้ล่ะพี่ปี https://t.co/YRsmhuQXxk, /ผมไหว้ล่ะพี่ปี,0,0,anothercliex,แกมันไอ้บ้ารนหาที่ตาย
23,30,2021-03-05 13:46:57,#ผมไหว้ล่ะพี่ปี,Kaidaw249,นมัสการสุดท้ายแด่คุณ ผู้รู้ว่าแอคหนูมีแต่อะไรไม่รู้ แต่ก็ยังฟอลกัน,110,คือ 5555555 ขอขำก่อน นี่อยากอ่านนิยายในรอรก็เลยจิ้มสุ่ม ๆ มา ไม่คิดส่าจะจิ้มถูกเรื่องขนาดนี้ นอนขำมาพักใหญ่ละ คนแต่งรวยมุกไปไหม!?! เก่งมากอะ 5555555555 #ผมไหว้ล่ะพี่ปี https://t.co/gF5ngSqseT, ,10,11,BiasYfiction,#อวยนิยายว๊าย aka จจ. บ่นรีประหนึ่งปุถุชนทั่วไป โปรดไถทล.ก่อนฟอลนะคะ | เยี่ยนเฉียว🤤 | น้องฮารุ #ไดสุรุ 💴🌸 | ดาวตำรวจเจียง👮🏻‍♀️| #ว๊ายอ่านไรอ่ะ
24,31,2021-03-05 11:31:03,#ผมไหว้ล่ะพี่ปี,Kaidaw249,นมัสการสุดท้ายแด่คุณ ผู้รู้ว่าแอคหนูมีแต่อะไรไม่รู้ แต่ก็ยังฟอลกัน,110,ไม่ไหวละ ขำสัส ขำแบบ 55555555555555555555555555555555555555555555555555555555555555555555555555555555 ไปอ่านเหอะ #ผมไหว้ล่ะพี่ปี https://t.co/9QcLQygDgj, ,9,2,monoamine__,it's all been nothing but love ♡︎
25,32,2021-03-05 04:15:46,#ผมไหว้ล่ะพี่ปี,nosylorns,that’s why I call you so late last night💥,71,"แนะนำเรื่องนี้ แบบสุดยอดมากจริงๆ แบบสนุก แล้วก็เผ็ชๆแส้บๆแบบเด็ดดวงมากงือๆแง่งๆแง้ๆ 

 #ผมไหว้ล่ะพี่ปี https://t.co/Ufix841O4O", /ผมไหว้ล่ะพี่ปี,0,0,nosylorns,that’s why I call you so late last night💥
26,33,2021-03-05 02:38:02,#ผมไหว้ล่ะพี่ปี,prinpinchapn,"•@MhorRitz •@layzhang •@ksamuelofficial _________《 兴迷(X-back) ～ EXO-L～ GARNET》. NoRitz,KrisLay,Minhwan,ChengKun,YoCat,Taeten ———————♥︎HMY,FCC,KWS,LTY♥︎",301,"เอฟซีเลยอะ อย่างชอบ5555555555
#ผมไหว้ล่ะพี่ปี [Yaoi] #readAwrite #เจาจื๊อ #นิยายวาย #คอเมดี้ #รั้วมหาวิทยาลัย #ตลก #Boy Love/Yaoi https://t.co/MNnMZm30IR", /ผมไหว้ล่ะพี่ปี/readAwrite/เจาจื๊อ/นิยายวาย/คอเมดี้/รั้วมหาวิทยาลัย/ตลก/Boy,0,0,prinpinchapn,"•@MhorRitz •@layzhang •@ksamuelofficial _________《 兴迷(X-back) ～ EXO-L～ GARNET》. NoRitz,KrisLay,Minhwan,ChengKun,YoCat,Taeten ———————♥︎HMY,FCC,KWS,LTY♥︎"
