,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-08 10:33:47,#ผาเพียงฟ้า,Piyanat2310,#2PM (6) #IU #Mark_Prin #CHAEUNWOO #YOONSANHA #우산 #WANNAONE #KangDaniel #ParkJihoon #NielWink #OngMin #PanDeep #PerthSaint #อิทธิริช,815,ไม่ได้อ่านนิยายแล้วเขินขนาดนี้มานานแล้วอะ เมะลูกหมาตามจีบรุ่นพี่ที่มีกำแพงในใจ พอเขาคุยด้วยก็หูตั้งหางกระดิก เรียกเค้าๆเธอๆ เธอน่ารักงู้นงี้ นายเอกบอกกูไม่น่ารักกูเป็นผู้ชาย เธออย่าเถียงเค้า เป็นผู้ชายก็น่ารักได้ เด็กมันเอาเรื่องอะแพ้ดิโคตรเขิน #ผาเพียงฟ้า https://t.co/c6xzwFqRfj, ,52,30,alwaysnjm,
1,1,2021-03-08 10:31:21,#ผาเพียงฟ้า,Piyanat2310,#2PM (6) #IU #Mark_Prin #CHAEUNWOO #YOONSANHA #우산 #WANNAONE #KangDaniel #ParkJihoon #NielWink #OngMin #PanDeep #PerthSaint #อิทธิริช,815,"#ผาเพียงฟ้า
เราอ่านจบแล้ววว!!!
พระเอกชื่อม่านรุ่นน้องคนสนิทของเพื่อนสนิทนายเอกที่ชื่อผา 
คือพระเอกตามจีบนายเอกแล้วแบบแทนตัวเองว่าเค้าเธอๆอ่ะ ผาเป็นคนที่มีกำแพงสูงมากแบบสูงมากเป็นผาที่สูงพียงฟ้าเลย (ต่อ)

#รีวิวนิยายวาย
#แนะนำนิยายวาย https://t.co/KbEpKUrJtz", /ผาเพียงฟ้า,3,6,bookhome10,จักรวาลความวาย ส่วนใหญ่จะเป็นแนวฟีลกู๊ด บางเรื่องก็ดราม่าน้ำตานองงง 🦖🪐🌝 | ขายหนังสือมือสองด้วยย
2,2,2021-03-07 20:41:06,#ผาเพียงฟ้า,army_nokkook,𝙨𝙪𝙣𝙤𝙤 (𝗇.) 𝗆𝗒 𝗁𝖺𝗉𝗉𝗒 𝗅𝗂𝗍𝗍𝗅𝖾 𝗉𝗂𝗅𝗅 — ➹ ¨̮🧤🎞✨ ( ≧♡≦ )⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀,854,"🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱

#ผาเพียงฟ้า
    เมะเด็กกว่าเคะ อิน้องน่านหรือพระเอกของเรื่องนี่ชอบวอแวคนพี่ เขินจนตัวบิดเวลาอิน้องรุกจีบ จากเจ้าหมาน้อยจะกลายร่างเป็นเสือรอขย้ำแล้วนะฮะ

https://t.co/Osaf9sDPP5

🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱
#แนะนํานิยายวาย #รีวิวนิยายวาย https://t.co/gJChHB65gu", /ผาเพียงฟ้า,152,161,book_lytwo,FXX | #แนะนำนิยายวาย 🐻 🌋🌋🌬️🪐🎉คลั่งไคล้ผู้ชายคลั่งรัก
3,3,2021-03-07 20:39:07,#ผาเพียงฟ้า,army_nokkook,𝙨𝙪𝙣𝙤𝙤 (𝗇.) 𝗆𝗒 𝗁𝖺𝗉𝗉𝗒 𝗅𝗂𝗍𝗍𝗅𝖾 𝗉𝗂𝗅𝗅 — ➹ ¨̮🧤🎞✨ ( ≧♡≦ )⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀,854,"ㅡ ✨ แนะนำนิยายแนวเมะลูกหมาคลั่งรัก 

ลูกหมาแสนดี #พิกุลทูกู๊ด 
ลูกหมาแสนอ้อน #กินปลาไม่อ้วน 
ลูกหมาเจ้าเล่ห์ #ผาเพียงฟ้า
ลูกหมาแสนฮอต #แค่ที่แกง
ลูกหมาของเธอ #ใครสักคนในเราทั้งคู่
ลูกหมาแสนดื้อ #ดอกไม้ข้างห้อง

ใครมีแปะเพิ่มแบ่งกันได้นะคั้บ!!! 🤟🏼

#แนะนำนิยายวาย #รีวิวนิยายวาย", /พิกุลทูกู๊ด/กินปลาไม่อ้วน/ผาเพียงฟ้า,164,251,lnwza28,แล้วเตงจะเป็นมัมหมีด้วยกันป่าวล่ะ
4,4,2021-03-07 02:48:48,#ผาเพียงฟ้า,JUWKlw1GJEd8JMU,สวยและรวยมาก555,0,"นิยายวายที่อ่านไปยิ้มไปจนเมื่อยแก้มเขินจนกลิ้งตกเตียงกันไปเลยดีมาก!!
#กี่หมื่นฟ้า 
#ใกล้แค่พันลี้ 
#เจตนามาร์แน่
#ด้วงกับเธอ
#ผาเพียงฟ้า
#พระเพลิงแพ้พ่าย
#เมกาโลมา 
#อาทิตย์ดาวตก 
#ระวังโจรปลื้ม 
#วิศวกรรมประสาท 
#แนะนํานิยายวาย", /กี่หมื่นฟ้า/ใกล้แค่พันลี้/เจตนามาร์แน่/ด้วงกับเธอ,90,102,toonbaek,` LEVI ACKERMAN 🖤 tunamayo w/inumaki toge 🍙 ma bf is bokuto (๑•̀ㅅ•́)و =͟͟͞♡ !˚mommy of hinata yuji eren inosuke kabane
5,0,2021-01-31 14:53:13,#ผาเพียงฟ้า,miss_cutter,"You’re my angel come and save me.
  യ🧚‍♀️🥛 ⌗ ֯ 🎀 🍪 *♡",8,"ว่าด้วยเรื่องเมะลูกหมาที่ชอบ
#เจตนามาร์แน่ เมะลูกหมาเด็กพูดคะขาออกสาวก้ผัวเธอ
#ผาเพียงฟ้า เมะลูกหมาเด็กขี้อ้อนแต่เจ้าเล่ห์
#ใกล้แค่พันลี้ เมะลูกหมาอบอุ่นออดอ้อน
#พี่เจตคนกลาง เมะลูกหมาเด็กขี้อ้อนสุภาพซื่อสัตย์
#อาทิตย์ดาวตก เมะลูกหมาใหญ่???พันธุ์ดุ😂
#แนะนํานิยายวาย", /เจตนามาร์แน่/ผาเพียงฟ้า,73,51,toonbaek,╺  my daddy nanamin kento 🥺 lilboy hyunjin jaemin ✨ LEVI ACKERMAN 🖤 shake w/inumaki toge 🍙 mommy of seonho hinata yuji eren kabane
6,1,2021-01-31 14:52:10,#ผาเพียงฟ้า,miss_cutter,"You’re my angel come and save me.
  യ🧚‍♀️🥛 ⌗ ֯ 🎀 🍪 *♡",8,"นิยายวายที่อ่านไปยิ้มไปจนเมื่อยแก้มเขินจนกลิ้งตกเตียงกันไปเลยดีมาก!!
#กี่หมื่นฟ้า 
#ใกล้แค่พันลี้ 
#เจตนามาร์แน่
#ด้วงกับเธอ
#ผาเพียงฟ้า
#พระเพลิงแพ้พ่าย
#เมกาโลมา 
#อาทิตย์ดาวตก 
#ระวังโจรปลื้ม 
#วิศวกรรมประสาท 
#แนะนํานิยายวาย", /กี่หมื่นฟ้า/ใกล้แค่พันลี้/เจตนามาร์แน่/ด้วงกับเธอ,85,98,toonbaek,╺  my daddy nanamin kento 🥺 lilboy hyunjin jaemin ✨ LEVI ACKERMAN 🖤 shake w/inumaki toge 🍙 mommy of seonho hinata yuji eren kabane
7,2,2021-01-29 11:40:10,#ผาเพียงฟ้า,kookvminn1,💜💜kookv minv💜💜,15,"711》#ผาเพียงฟ้า [ม่าน×ผา]
Feelgood+Drama พระเอกเป็นรุ่นน้องตามจีบนายเอกที่เป็นรุ่นพี่ที่กำแพงในใจสูงมากแทบไม่เปิดใจเลย แต่เพราะความพยายามและความใส่ใจของน้องคนพี่เลยค่อยๆใจอ่อนให้คือแบบอยากรักแต่ก็กลัวเพราะมีปมในใจ ฟีลหม่นปนหวาน [8.5/10]

#แนะนำนิยายวาย
https://t.co/QGafvOf19j https://t.co/b0P2LX6l2U", /ผาเพียงฟ้า,229,319,lady_yyyyy,|  แนะนำนิยายวายตามอารมณ์  |  #จบแล้วทุกเรื่อง  | 14.09.2017  |  รีวิวนิยายอยู่ใน Favorite ❤  |  ฉันไม่ได้หยิ่ง ฉันแค่ความจำสั้น  |  ติดต่องานได้ใน DM นะฮะ  |
8,3,2021-01-27 12:23:31,#ผาเพียงฟ้า,kchawq_,EXO-L ･῾ ᵎ 🏸⛅️♡̶🖐🏼 Democracy⁺◟ 🦒 ༘ 🌥·˚𖥾. ᯓ | in love with 🇹🇼 | #MilkTeaAlliance #奶茶聯盟,98,14 | #ผาเพียงฟ้า ; พอ.ตามจีบนอ.แรกๆนอ.ก็ใจร้าย แต่พอเค้าหงอยก็ตามง้อทุกที คสพ.พระนายค่อยๆพัฒนา ไม่รีบแต่ก็ไม่ช้า ดีมากๆ น่ารัก อบอุ่นจนน้ำตาซึมเลย ใครชอบเมะลูกหมา แสนดี เชิญเลยคับ! (จบแล้ว) ปล.เปิดพรีออเดอร์หนังสืออยู่นะค้าบ #ฟายรีวิว #แนะนำนิยายวาย https://t.co/fuDyp1XnQ9, /ผาเพียงฟ้า,24,33,gdfridae,แนะนำนิยายวาย แฟนฟิคที่อ่านแล้วชอบ คัดสรรแล้วมาเพื่อคุณ! (จบแล้วทุกเรื่อง) หาดูได้ที่❤งับ #ฟายรีวิว #แนะนำนิยายวาย 📍หาร ดูรีวิว ; #รีวิวมะม๋วย
9,4,2021-01-27 10:19:09,#ผาเพียงฟ้า,Mmodxi,ฉันมีชีวิตอยู่เพื่อดูผู้ชายร้ากกังงงงงงงงงงงงงง ❤️❤️. .,11,"มาจ้า แนะนำนิยายวายที่ชอบอีกแล้ว เป็นไทป์ผัวที่ชอบ 
#ใกล้แค่พันลี้ ผัวคะขา ละมุน
#เมืองมีเธอ ผัวกวนตีน
#ผาเพียงฟ้า ผัวเด็ก
#กินปลาไม่อ้วน ผัวยูกหมาแก้มฟู
#มีแค่กันต์ ผัวละมุน
#ผมไงขอบฟ้าของคุณ ผัวดีเด่น 
#กี่หมื่นฟ้า ผัวคะขาน้วยอยู่ที่พื้น", /ใกล้แค่พันลี้/เมืองมีเธอ/ผาเพียงฟ้า,26,38,penkonngog,
