,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-05 16:07:50,#มิโอโตะ,_94mygoodboy,—  1OO% ˗ˏˋ🤏🏻 🧸´ˎ˗   รู้อะไรไหม..ฉันน่ะรอเก่งกว่าใครเลยนะ,42,"水音 -mioto- ถึงคราวพ่อบ้านใจกล้าแล้วตอนที่ 7
#แนะนำนิยายวาย​ #รีวิวนิยายวาย #มิโอโตะ

RW)) https://t.co/7meFdgxqDe
DD)) https://t.co/60a9N8zW97 https://t.co/quZCaalPEZ", /แนะนำนิยายวาย/รีวิวนิยายวาย/มิโอโตะ,2,4,reallyuri,"ฉากคัท #เจนไม่นก ลงใน Readawrite Thaiboylove Fictionlog  หากหาไม่เจอจริงๆเดมมาถามได้คับ 😊
ส่วนคัท #กับดักของบอส ดูที่พินเลยคับ"
1,3,2021-03-03 14:04:18,#มิโอโตะ,reallyuri,"ฉากคัท #เจนไม่นก ลงใน Readawrite Thaiboylove Fictionlog  หากหาไม่เจอจริงๆเดมมาถามได้คับ 😊
ส่วนคัท #กับดักของบอส ดูที่พินเลยคับ",2036,อาทิตย์หน้าจะเปิดจองละฮัพ​ #มิโอโตะ https://t.co/iIz907jG1W, /มิโอโตะ,2,0,reallyuri,"ฉากคัท #เจนไม่นก ลงใน Readawrite Thaiboylove Fictionlog  หากหาไม่เจอจริงๆเดมมาถามได้คับ 😊
ส่วนคัท #กับดักของบอส ดูที่พินเลยคับ"
2,4,2021-03-03 14:04:14,#มิโอโตะ,reallyuri,"ฉากคัท #เจนไม่นก ลงใน Readawrite Thaiboylove Fictionlog  หากหาไม่เจอจริงๆเดมมาถามได้คับ 😊
ส่วนคัท #กับดักของบอส ดูที่พินเลยคับ",2036,เพื่อฟามปัง ทุกคนต้องชอบเรื่แงนี้เหมือนชั้นแน่ๆ #มิโอโตะ https://t.co/lcz3L6Hq9U, /มิโอโตะ,1,0,haisoshe,entp : มึงเป็นเหี้ยอะไรไอ้ชาย
3,5,2021-03-03 11:26:20,#มิโอโตะ,madamsiri9,อำนาจอธิปไตยเป็นของประชาชน |||,16,"水音 -mioto- สารคดีแม่บ้านญี่ปุ่นตอนที่ 6
#แนะนำนิยายวาย​ #รีวิวนิยายวาย #มิโอโตะ

RW)) https://t.co/mK9dhYcHEI
DD)) https://t.co/U1g40RXtLa https://t.co/cYs6hRP34I", /แนะนำนิยายวาย/รีวิวนิยายวาย/มิโอโตะ,6,2,reallyuri,"ฉากคัท #เจนไม่นก ลงใน Readawrite Thaiboylove Fictionlog  หากหาไม่เจอจริงๆเดมมาถามได้คับ 😊
ส่วนคัท #กับดักของบอส ดูที่พินเลยคับ"
4,0,2021-01-30 04:35:00,#มิโอโตะ,protronnb,เป็นติ่ง ติ่งไปเรื่อยๆเหนื่อยก็พัก รีทุกอย่างที่อยากที่รี,357,"水音 -mioto- สารคดีแม่บ้านญี่ปุ่นตอนที่ 2
#แนะนำนิยายวาย​ #รีวิวนิยายวาย #มิโอโตะ

RW)) https://t.co/i25zOfJ2qm
DD))  https://t.co/bPIewUYnPm https://t.co/LwT1In7V9A", /แนะนำนิยายวาย/รีวิวนิยายวาย/มิโอโตะ,5,5,reallyuri,"ฉากคัท #เจนไม่นก ลงใน Readawrite Thaiboylove Fictionlog  หากหาไม่เจอจริงๆเดมมาถามได้คับ 😊
ส่วนคัท #กับดักของบอส ดูที่พินเลยคับ"
5,2,2021-01-30 04:20:56,#มิโอโตะ,reallyuri,"ฉากคัท #เจนไม่นก ลงใน Readawrite Thaiboylove Fictionlog  หากหาไม่เจอจริงๆเดมมาถามได้คับ 😊
ส่วนคัท #กับดักของบอส ดูที่พินเลยคับ",2022,ชอบความที่ #มิโอโตะ ถามจะพาไปกินข้าวข้างนอก แต่น้ำค้างเกรงใจ แล้วมิโอโตะบอกว่าเป็นอะไรที่ทำให้ได้ คือแบบ แง ยิ้มแก้มแตกตั้งแต่เริ่มตอนเลยค่า น่ารักจังเลย มีความใส่ใจ ฮือ, /มิโอโตะ,1,0,parkmyoung_j,Just tweet
6,3,2021-01-30 04:20:53,#มิโอโตะ,reallyuri,"ฉากคัท #เจนไม่นก ลงใน Readawrite Thaiboylove Fictionlog  หากหาไม่เจอจริงๆเดมมาถามได้คับ 😊
ส่วนคัท #กับดักของบอส ดูที่พินเลยคับ",2022,อืมมม แต่น้องชอบแอบขำพี่ สังเกตตั้งแต่ตอนที่แล้ว เอ็นดูมากไหมเอ่ย นี่กำลังคิดว่า น้องแค่เอ็นดูความน่ารัก หรือชอบพี่มาก่อนหรือเปล่า #มิโอโตะ, ,1,0,parkmyoung_j,Just tweet
7,4,2021-01-30 04:20:50,#มิโอโตะ,reallyuri,"ฉากคัท #เจนไม่นก ลงใน Readawrite Thaiboylove Fictionlog  หากหาไม่เจอจริงๆเดมมาถามได้คับ 😊
ส่วนคัท #กับดักของบอส ดูที่พินเลยคับ",2022,คุยเรื่องซอสเกี๊ยวซ่าก็น่ารัก แง บรรยากาศดีมากเลย #มิโอโตะ, /มิโอโตะ,1,0,parkmyoung_j,Just tweet
8,5,2021-01-30 04:20:49,#มิโอโตะ,reallyuri,"ฉากคัท #เจนไม่นก ลงใน Readawrite Thaiboylove Fictionlog  หากหาไม่เจอจริงๆเดมมาถามได้คับ 😊
ส่วนคัท #กับดักของบอส ดูที่พินเลยคับ",2022,นอกเหนือจากความรู้สึกและเซ็กซ์ ที่เหลือเขาทำหน้าที่สามีภรรยากันได้ดีมากเลย ชอบอะ #มิโอโตะ, /มิโอโตะ,1,0,parkmyoung_j,Just tweet
9,6,2021-01-30 04:20:47,#มิโอโตะ,reallyuri,"ฉากคัท #เจนไม่นก ลงใน Readawrite Thaiboylove Fictionlog  หากหาไม่เจอจริงๆเดมมาถามได้คับ 😊
ส่วนคัท #กับดักของบอส ดูที่พินเลยคับ",2022,เอาละ พี่เริ่มหวั่นไหว แต่พยายามสะกดจิต หักห้ามใจตัวเองล่ะ ด้วยความมันเป็นมุมมองฝั่งเดียวเนาะ ทาง #มิโอโตะ เป็นยังไงบ้างน้า, /มิโอโตะ,1,0,parkmyoung_j,Just tweet
