,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-06 10:55:30,#ระวังหลงปรานต์,Pukkad_m1329,"หลงรักเสียงของคุณ #ปลายนิ้ว🤍🌸 #HRK💕💕💕
รอยยิ้มของคุณเมนทั้งสองคือความสุขของเค้านะ🦁🐢
#ทีมพีรญา #SingtoPrachaya #KristPerawat",156,"ได้เล่มแล้ววว สวยงาม 😍😍
#ระวังหลงปรานต์ https://t.co/cm6Zw4XB2G", /ระวังหลงปรานต์,2,3,patcharin253938,❤28/06/14 - 25/06/16 - 08/07/17 - 23/06/18❤เป็น #BABY ของ #BAP ชิป #BANGDAE เป็นสาวY ชอบอ่าน #นิยาย ดู #การ์ตูน และเป็น #ทาสแมว 🚫ทวิตเรื่องส่วนตัว🚫
1,2,2021-03-06 02:53:27,#ระวังหลงปรานต์,BpJeeranan,,85,"♠️๊UP! #ระวังหลงปรานต์ 23th Trap♠️
ตอนนี้ก็จะเดือดๆ หน่อย จะเป็นยังไงต่อล่ะเนี่ย!

Raw -&gt; https://t.co/WhLbNzDy38
Tun -&gt; https://t.co/t0TuFKkGNP
Fic -&gt; https://t.co/pMOThVGSfA https://t.co/xaZSiZggaB", /ระวังหลงปรานต์,6,5,MajaYnaja,"นข.นิยายวาย ฝึกเล่นโซเชียล มึนๆ งงๆ  นามปากกาเต็มๆ คือ : มาจะกล่าวบทไปถึงผู้ชาย(หลายคน)ที่เขารักกัน 
 https://t.co/eG4iqPDy4K"
2,9,2021-03-02 14:50:13,#ระวังหลงปรานต์,BpJeeranan,,85,#NokKชวนอ่าน #ระวังหลงปรานต์ จักรวาลคิงส์คลับที่คิดถึง นอกจากจะได้เห็นตัวละครใหม่คือ สิงห์กับปรานต์ ก็ได้พบเจอกับชาวคิงส์คลับทุกคนอีกครั้ง // ปรานต์คือโก๊ะ จนน่าเอ็นดู โดนหลอกง่ายจนน่าเห็นใจ แต่ใดๆ คือ นิลกาฬ ที่วางแผนการใดๆ แยบยลขึ้นนะ 😂😂😂 // ตอนพิเศษก็คือหวาน แต่ก็แซ่บอยู่ https://t.co/FKTC2vYT7I, /NokKชวนอ่าน/ระวังหลงปรานต์,4,1,NokK_KL,Nok K เป็นคนเชี่ย//แอคไม่มีสาระ//แจกนิยายที่ #รื้อมาแจก //ชวนอ่านนิยายที่ #NokKชวนอ่าน //ช่วงนี้เป็น #ไขมันของเจ้าแก้มก้อน 🐣
3,10,2021-03-02 14:16:55,#ระวังหลงปรานต์,Pukkad_m1329,"หลงรักเสียงของคุณ #ปลายนิ้ว🤍🌸 #HRK💕💕💕
รอยยิ้มของคุณเมนทั้งสองคือความสุขของเค้านะ🦁🐢
#ทีมพีรญา #SingtoPrachaya #KristPerawat",156,#ระวังหลงปรานต์ ปรานต์สปายหน้าสวยสุดเปิ่นถูกส่งมาล้วงข้อมูลจากสิงห์ว่าที่อัศวินของคิงส์คลับ ไม่รู้ใครหลอกใคร แต่ก็พอให้หลงรักกันจริงๆ เซ็ตติ้งคิงส์คลับอ่านแยกได้ ใกล้จะจบแล้ว เรื่องนี้นอกจากจะลุ้นว่าใครจะจับใครได้ หืดหาดมาก  #รีวิวนิยายวาย #แนะนำนิยายวาย https://t.co/TzSY3lXk9y, /ระวังหลงปรานต์,3,8,YFeelgood,รีวิวนิยายวายสายฟิลกู๊ด 90% Feel good อาจจะมีอื่นๆ แทรก 10% แต่รับรองอ่านตามแบบไม่มีน้ำตา มาสนุกด้วยกันนะคะ.                     Ⓖⓞⓞⓓ Ⓨ Ⓘ ⓕⓔⓔⓛ ⓎⓄⓊ
4,11,2021-03-02 13:08:06,#ระวังหลงปรานต์,MajaYnaja,"นข.นิยายวาย ฝึกเล่นโซเชียล มึนๆ งงๆ  นามปากกาเต็มๆ คือ : มาจะกล่าวบทไปถึงผู้ชาย(หลายคน)ที่เขารักกัน 
 https://t.co/eG4iqPDy4K",1597,"เรื่องนี้สนุกนะ นายเอกถูกส่งมาเป็นสปาย เพื่อข้อมูลของคลับ สืบไปสืบมาถ้าจะได้ผัวค่ะ #แนะนำนิยายวาย
Joker’s Trap #ระวังหลงปรานต์ #readAwrite #มาจะกล่าวบทไป #18  #Boy Love/Yaoi #นิยายรัก #นิยายวาย #มาเฟีย #คิงส์คลับ #สปาย #คลับ https://t.co/uwg3WT2OJw", /แนะนำนิยายวาย/ระวังหลงปรานต์,2,2,LotVeb,"I GOT 7 ........Mark's GOT7, Support #หยิ่นวอร์ #warnarat #yinyin_anw ป๊อด&ข้าวตัง #ป๊อดหิวข้าว #พร้อมเบ้นซ์"
5,13,2021-03-02 13:07:59,#ระวังหลงปรานต์,MajaYnaja,"นข.นิยายวาย ฝึกเล่นโซเชียล มึนๆ งงๆ  นามปากกาเต็มๆ คือ : มาจะกล่าวบทไปถึงผู้ชาย(หลายคน)ที่เขารักกัน 
 https://t.co/eG4iqPDy4K",1597,หนังสือมาถึงแล้วค้าบบบบ​ 🥰💞 #ระวังหลงปรานต์ https://t.co/kKBe2ESLT2, /ระวังหลงปรานต์,1,0,I_AM_PIMMIE,I AM PIMMIE▶    ❄蔡丽洁.   ❥¾TH ¼MY🌈   1997🍭   #TFBOYS 🍀 #时代少年团 💣  #TF家族 🐣 #张艺凡 #易安音乐社 🎸 #R1SE ⚡️ //สปอยเก่ง หวีดonly & delay #PicseriesPhotograph
6,14,2021-03-02 13:07:56,#ระวังหลงปรานต์,MajaYnaja,"นข.นิยายวาย ฝึกเล่นโซเชียล มึนๆ งงๆ  นามปากกาเต็มๆ คือ : มาจะกล่าวบทไปถึงผู้ชาย(หลายคน)ที่เขารักกัน 
 https://t.co/eG4iqPDy4K",1597,ได้รับแล้วค่ะ กรี๊ดกร๊าดดดด #ระวังหลงปรานต์ https://t.co/tAZXp1ut2B, /ระวังหลงปรานต์,1,0,BpJeeranan,
7,22,2021-02-27 14:26:13,#ระวังหลงปรานต์,patcharin253938,❤28/06/14 - 25/06/16 - 08/07/17 - 23/06/18❤เป็น #BABY ของ #BAP ชิป #BANGDAE เป็นสาวY ชอบอ่าน #นิยาย ดู #การ์ตูน และเป็น #ทาสแมว 🚫ทวิตเรื่องส่วนตัว🚫,166,"♟UP! #ระวังหลงปรานต์ 22th Trap♟
“ไม่คิดว่านายจะโง่ขนาดนี้”

RAW -&gt; https://t.co/DavtzeNTL3
Tun -&gt; https://t.co/nKYRfH66Ft
Fic -&gt; https://t.co/ACWAw2wnJm https://t.co/ApUsC8WpVa", /ระวังหลงปรานต์,3,2,MajaYnaja,"นข.นิยายวาย ฝึกเล่นโซเชียล มึนๆ งงๆ  นามปากกาเต็มๆ คือ : มาจะกล่าวบทไปถึงผู้ชาย(หลายคน)ที่เขารักกัน 
 https://t.co/eG4iqPDy4K"
8,0,2021-02-01 04:29:51,#ระวังหลงปรานต์,BuddyMydayy,❤️❤️ |Gfriend|•|Day6| #Buddy #Myday ❤️❤️,14,"จักรวาลคิงส์คลับ~
แต่ละเรื่องสามารถอ่านแยกกันได้เหมือนจักรวาลมาร์เวล แต่ถ้าอ่านครบทุกเล่มจะสนุกเหมือนอเวนเจอร์เลยนะ!!
[Pre-order] 9 ม.ค. - 10 ก.พ. / จัดส่ง 1 มี.ค. 
♟Joker's Trap #ระวังหลงปรานต์ / ♟King's Club #คิงส์คลับ
🔸 สั่งซื้อ -&gt; https://t.co/qEVl5Dp5NR
🔸 ส่งฟรี!! https://t.co/S5wvQSjJue", ,20,12,MajaYnaja,"นข.นิยายวาย ฝึกเล่นโซเชียล มึนๆ งงๆ  นามปากกาเต็มๆ คือ : มาจะกล่าวบทไปถึงผู้ชาย(หลายคน)ที่เขารักกัน 
 https://t.co/eG4iqPDy4K"
9,16,2021-01-31 07:09:50,#ระวังหลงปรานต์,MuraMurahs,🌙,67,"Joker's Trap #ระวังหลงปรานต์ 
เปิดจองถึง 10 ก.พ. (320฿)
เพิ่มเติม https://t.co/NPvYSHDAZ0 https://t.co/xjvvdd6mbt", /ระวังหลงปรานต์,7,4,whynnn,★彡 🏳️‍🌈
