,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-13 03:59:34,#รักแท้ของผมคือคุณ,PrchFirnnn,𝑌𝑜𝑢 𝑎𝑟𝑒 𝑤ℎ𝑎𝑡 𝑦𝑜𝑢 𝑹𝑬𝑨𝑫.,58,แวะมาแจ้งข่าวคับ ถ้าไม่มีอะไรคลาดเคลื่อน เรื่อง #รักแท้ของผมคือคุณ น่าจะเปิดพรีภายในวันที่ 9 เม.ย. นะคะ ส่วนเรื่องราคาตอนนี้ยังไม่ทราบแน่นอนค้าบ แต่เดี๋ยวจะแจ้งราคาให้ทราบก่อนวันเปิดพรี 2-3 วันคับๆ, /รักแท้ของผมคือคุณ,12,50,SP251566,นัก (หัด) เขียน | รีแท็กนิยายเยอะ | end - #กี่หมื่นฟ้า | #ใกล้แค่พันลี้  |  #ปลาวาฬของคุณผีเสื้อของผม | Now  ✒ - #รักแท้ของผมคือคุณ | (#ราชาฤดูหนาว - break)
1,14,2021-03-11 16:37:41,#รักแท้ของผมคือคุณ,Bowkimx_,@BTS_twt ✎ ̼มามี๊น้องแท ♡̷ ⋆｡˚ 💜🐯 |• ᴛxᴛ ᴇɴʜʏᴘᴇɴ •|  #bkinbkx✨,102,"แนะนำนิยายวาย #pxzแนะนำ
1.#พี่พระเอกกับเด็กมาในกอง
2.#คุณสราญหาคู่ 
3.#ใครเพื่อนมึงคร้าบ
4.#ไม่รักป๊าหรือม๊า
5.#สถานะซึนโซน
6.#อุบายกินรา
7.#รักแท้ของผมคือคุณ
8.#ใครเพื่อณมึง
9.#รัตติจันทร์พันกร 
10.#วันดีวิทยา", /pxzแนะนำ/พี่พระเอกกับเด็กมาในกอง/คุณสราญหาคู่/ใครเพื่อนมึงคร้าบ/ไม่รักป๊าหรือม๊า/สถานะซึนโซน,208,246,queeniceso,• อ่านไปเรื่อย • • เนม : ซอ • • ชอบอ่านนิยายวาย •
2,15,2021-03-11 08:26:22,#รักแท้ของผมคือคุณ,J_Jeana,"Success is how well do you do what you do when nobody is looking. If you don’t challenge yourself, you will never know what you can be. ✌🏻🐣",96,"Pls Rt ☀️🌻

Real Love #รักแท้ของผมคือคุณ

Chapter 18 [ครบค่ะ]

Dek - d : https://t.co/9PYlzApAoI

Raw : https://t.co/nBJZhkzSBE https://t.co/Wfcpzw3abU", /รักแท้ของผมคือคุณ,64,87,SP251566,นัก (หัด) เขียน | รีแท็กนิยายเยอะ | end - #กี่หมื่นฟ้า | #ใกล้แค่พันลี้  |  #ปลาวาฬของคุณผีเสื้อของผม | Now  ✒ - #รักแท้ของผมคือคุณ | (#ราชาฤดูหนาว - break)
3,16,2021-03-11 04:32:56,#รักแท้ของผมคือคุณ,kamson1982,,84,"วันทอง กำลังฮิต #ติดละคร #รักแท้ของผมคือคุณ
https://t.co/L0h032bvJn", /ติดละคร/รักแท้ของผมคือคุณ,0,0,kamson1982,
4,19,2021-03-10 15:17:50,#รักแท้ของผมคือคุณ,Zicma_TT,¢αℓℓ мє 'Σ' :: 130708 :: #วันหนึ่งกับพี่ชาย #ฟิคสั้นผลรวม :: https://t.co/89gX9HEBEu,489,#แนะนํานิยายวาย 3เรื่องนี้เป็นนิยายที่อ่านได้เรื่อยๆ สบายๆค่าาาา เราชอบมากกก อ่านแล้วทำให้ยิ้มได้ทุกตอนมีความน่ารักๆๆๆๆๆๆ ทั้งพระเอก และ นายเอกคือน่ารักกก ทั้ง3เรื่องอยู่ในจักรวาลเดียวกันน่าาาา #ใกล้แค่พันลี้ #กี่หมื่นฟ้า #รักแท้ของผมคือคุณ https://t.co/Igm0YHfn9i, /แนะนํานิยายวาย,65,65,bbunny12799528,
5,24,2021-03-10 12:25:44,#รักแท้ของผมคือคุณ,Drmeanam,...,1,แซวอะไรดีอะ ในเรื่องเค้าแซวกันไม่เหลือไว้ให้เราแซวเลย 😁😁#รักแท้ของผมคือคุณ, /รักแท้ของผมคือคุณ,2,2,nun00nutty,"I GOT 7 ~ Mark ~ MarkBam ~ Youngjae ~ JackJae😘❤💕 Hottest ~ Wooyoung ~ KhunWoo บ้าฟิคชั่น,FanArt,RT ป๋อจ้าน อย่าฟอลเลย เราไร้สาระ **แอคขายของ @atnun_shop ***"
6,35,2021-03-10 09:19:17,#รักแท้ของผมคือคุณ,bh130802,𝘽𝘼𝙀𝙆𝙃𝙔𝙐𝙉 𝙞𝙨 𝙉𝙪𝙢𝙗𝙚𝙧 𝟙 🍬,60,แก๊งค์พ่อบ้านคลั่งรักอ่ะเนอะ เข้าใจได้ อาการคลั่งรักอ่ะ งือออออ #รักแท้ของผมคือคุณ https://t.co/SZ6UYGbrBj, /รักแท้ของผมคือคุณ,7,3,iampertichor,#iampetrichor
7,45,2021-03-10 07:53:49,#รักแท้ของผมคือคุณ,download_78,ครับ,7,ไก่ทอดหวานม๊ากกกก #รักแท้ของผมคือคุณ, /รักแท้ของผมคือคุณ,2,0,lilmimy1995,ให้หมดทั้งหมด ให้ทั้งหมดที่มี | 💙❤️ 𝕓𝕓𝕚𝕝𝕝𝕜𝕚𝕟 & 𝕡𝕡.𝕜𝕣𝕚𝕥𝕥
8,48,2021-03-10 07:52:33,#รักแท้ของผมคือคุณ,SP251566,นัก (หัด) เขียน | รีแท็กนิยายเยอะ | end - #กี่หมื่นฟ้า | #ใกล้แค่พันลี้  |  #ปลาวาฬของคุณผีเสื้อของผม | Now  ✒ - #รักแท้ของผมคือคุณ | (#ราชาฤดูหนาว - break),13492,เนี่ยเราอะพอชอบเค้าแล้วสปอยไม่หยุด! #รักแท้ของผมคือคุณ, /รักแท้ของผมคือคุณ,1,1,penkonngog,กูติ่งเยอะมาก รำคานได้ แต่กูไม่ผิดนะ
9,49,2021-03-10 07:52:30,#รักแท้ของผมคือคุณ,SP251566,นัก (หัด) เขียน | รีแท็กนิยายเยอะ | end - #กี่หมื่นฟ้า | #ใกล้แค่พันลี้  |  #ปลาวาฬของคุณผีเสื้อของผม | Now  ✒ - #รักแท้ของผมคือคุณ | (#ราชาฤดูหนาว - break),13492,ลาก่อน เอากุไปเผา #รักแท้ของผมคือคุณ https://t.co/CS4Qted2RA, /รักแท้ของผมคือคุณ,2,1,penkonngog,กูติ่งเยอะมาก รำคานได้ แต่กูไม่ผิดนะ
