,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-08 14:14:45,#รักไม่ร้าย,J_Jeana,"Success is how well do you do what you do when nobody is looking. If you don’t challenge yourself, you will never know what you can be. ✌🏻🐣",96,"📍 พร้อมส่ง 
📚 #รักไม่ร้าย + #รักไม่กั๊ก 
💰 ขาย 580 บาท (ขายแยกเล่มละ 300)
ส่งฟรีลทบ 
🙅🏻‍♀️ ไม่รับผ่อนหรือจอง 

สนใจ DM มาพูดคุยสอบถาม/ขอดูภาพเพิ่มเติมก่อนได้ค่ะ

#ขายนิยาย #ขายนิยายวาย #ขายนิยายวายมือสอง #นิยายวายมือสองสภาพดี  #นิยายวาย #นิยายวายมือสอง https://t.co/ZRLMQiqqhm", /รักไม่ร้าย/รักไม่กั๊ก/ขายนิยาย/ขายนิยายวาย/ขายนิยายวายมือสอง/นิยายวายมือสองสภาพดี/นิยายวาย/นิยายวายมือสอง,0,0,J_Jeana,"Success is how well do you do what you do when nobody is looking. If you don’t challenge yourself, you will never know what you can be. ✌🏻🐣"
1,1,2021-03-08 09:23:01,#รักไม่ร้าย,Phantasmlight,one and only 李永钦 🌻#TEN #SO10💜 #WayV,184,ใครชอบเเฟนเด็กมาทางนี้!!! น่ารัก นุบนิบ 😳 บวกความไสยศาสตร์นิดๆของเนื้อเรื่อง Your voice #รักไม่ร้าย https://t.co/18bE6pL8A3, /รักไม่ร้าย,0,0,Phantasmlight,one and only 李永钦 🌻#TEN #SO10💜 #WayV
2,2,2021-03-07 17:37:27,#รักไม่ร้าย,Kuromi59227536,🌈아포방포💜,24,"ขายๆๆ ขายแบบเร่งด่วน ขายก่อนจะนอนและแบตทรศ11% มันดีมากทุกคน! พระเอกน่ารักน่าเอ็นดูมาก (แต่ดิฉันว่านางก็แอบร้าย) ซึนๆ พูดไม่เก่ง นางได้ยินเสียงพวกผีไรงี้้ด้วยยย นายเอกก็น่ารัก กวนๆ ผมยาวสวย เอาเป็นว่าต้องอ่านนะ จริงๆ มันดีนะ จริง เชื่อดิฉัน👍 #รักไม่ร้าย
https://t.co/AVlGPIzJm3", /รักไม่ร้าย,0,0,Kuromi59227536,🌈아포방포💜
3,3,2021-03-06 23:55:27,#รักไม่ร้าย,tansa0426,Forever 13...Super Junior+Zhoumi+Henry | D&E |Baby V.O.X | BKPP l Snoopy | Manchester United | Conan | Harry Potter | จงทำในสิ่งที่คิดว่า จะไม่เสียใจในภายหลัง |,86,"06/03/2021
•น้องธาม คนเจ้าชู้จนได้เรื่อง
•พี่โท ได้ยินเสียงความคิดทุกสรรพสิ่ง ยกเว้นของน้องธาม เป็นคนพูดน้อยต่อยหนัก ไม่เคยมีแฟน
เมื่อทั้ง 2 โคจรมาพบกัน ไม่น่าเชื่อว่าต่างคลั่งรักไม่ทีใครแพ้ใครเลย💙😊
 #รักไม่ร้าย", /รักไม่ร้าย,0,0,tansa0426,Forever 13...Super Junior+Zhoumi+Henry | D&E |Baby V.O.X | BKPP l Snoopy | Manchester United | Conan | Harry Potter | จงทำในสิ่งที่คิดว่า จะไม่เสียใจในภายหลัง |
4,4,2021-03-06 12:07:17,#รักไม่ร้าย,ksnxp,,45,โทปา คือน่ารักมาก โทปา คือเมะลูกหมามาก แบบไอ้ยู้หมา พูดเพราะ เรียกนายเอกว่าเธอๆ พี่ๆ น่ารักมาก พระเอกสามารถได้ยินเสียงความคิดคนอื่นได้รวมถึงผีสางนางไม้รอบทิศ ผีกุมารจะชอบมาแซวพระเอกตอนพูดเสียงสองกับนายเอก น่ารักมาก ไปตำ #รักไม่ร้าย #แนะนํานิยายวาย https://t.co/Zniveg0aGR, ,9,12,NiNowhere,กูเรียนจบปริญญาเอก กับบิ้กแบงคัมแบค แม่งยากๆพอๆกันเลยวะ #XiaoZhan肖战 #WangYibo #Thorki #ป๋อจ้าน #BIGBANG #TOP #GD #เชอรี่เมจิค #ไบเบิ้ลบิว
5,5,2021-03-06 09:48:11,#รักไม่ร้าย,J_Jeana,"Success is how well do you do what you do when nobody is looking. If you don’t challenge yourself, you will never know what you can be. ✌🏻🐣",96,#รักไม่ร้าย โทปากับพี่น้องธาม เรื่องนี้น่ารักมาก ชอบทั้งพระนายเลย มีคาแรกเตอร์ที่ชัดเจน แม้จะเรื่องผี เรื่องการทำของ แต่ไม่น่ากลัว เวลาอ่านก็ลุ้นเอาใจช่วยให้ทั้งคู่ก้าวผ่านอุปสรรคไปให้ได้ อ่านแล้วก็อยากมีโทปาเป็นของตัวเอง แต่ขอแบบที่ไม่ได้ยินเสียงผีนะ #แนะนำนิยายวาย, /รักไม่ร้าย/แนะนำนิยายวาย,0,2,J_Jeana,"Success is how well do you do what you do when nobody is looking. If you don’t challenge yourself, you will never know what you can be. ✌🏻🐣"
6,6,2021-03-05 19:09:19,#รักไม่ร้าย,BieberPlearn,~•ᴺ︎ᴼ︎ᵀ︎ᴮ︎ᴿ︎ᴬ︎ᵛ︎ᴱ︎•~ #디오 🐧 #EXO #EXO_L ❄️💕 ~•1997•~ #แทโอ 'จงอินเป็นมากกว่าเมน'🐻 |ATp|’แม่น้องกัน’💚 #OffGun,89,อยากมีผัวแบบพี่โทปานะคะ อุแงงงงงอิสสาน้องธามไม่ไหวววววว #รักไม่ร้าย, /รักไม่ร้าย,0,0,BieberPlearn,~•ᴺ︎ᴼ︎ᵀ︎ᴮ︎ᴿ︎ᴬ︎ᵛ︎ᴱ︎•~ #디오 🐧 #EXO #EXO_L ❄️💕 ~•1997•~ #แทโอ 'จงอินเป็นมากกว่าเมน'🐻 |ATp|’แม่น้องกัน’💚 #OffGun
7,7,2021-03-05 18:50:05,#รักไม่ร้าย,antxxgdz,#peaceminusone 🕊🌻,1,122) #รักไม่ร้าย แนวผัวเด็กคลั่งรัก แอบหลอนนิดๆ นายเอกเป็นนายแบบที่เจ้าชู้ จนโดนคนทำของเข้าตัวและได้พระเอกช่วยไว้พอ.สามารถได้ยินเสียงผี หรือเสียงความคิดคนอื่นได้ แต่เมื่อโดนตัวนอ.ก็จะไม่ได้ยินเสียงอะไรเลย เป็นความสงบที่พอ.ต้องการมาโดยตลอด สนุกมาก ฟินๆ 8.5/10 #แนะนํานิยายวาย https://t.co/8xleQp11B4, /รักไม่ร้าย,175,217,fictionyaoi1,แนะนำนิยายวาย #จบแล้วทุกเรื่อง #แนะนำนิยายวาย #วายล้วนล้วนรีวิว |18.11.2019| รีวิวและคะแนนตามความชอบส่วนบุคคล ถ้าอวยเยอะก็คือชอบมาก ขออภัย | ติดต่องานได้ที่ DM
8,8,2021-03-05 18:49:33,#รักไม่ร้าย,antxxgdz,#peaceminusone 🕊🌻,1,"759》Your voice #รักไม่ร้าย [โทปา×ธาม]
Romanticแบบไสยๆ หลอนปนหวาน พระเอกสามารถฟังเสียงในใจของคนอื่นหรือวิญญาณได้ กับนายเอกที่ดันโดนคุณไสยมา แล้วได้พระเอกช่วยไว้จากนั้นก็ตัวติดกันหนึบทั้งคู่ แบบมันหนุบหนับเธอๆเราๆน่ารักกันนักแหละ[9/10]

#แนะนํานิยายวาย https://t.co/MhhSNS8f8s https://t.co/I6dTrjxHgW", /รักไม่ร้าย,521,704,lady_yyyyy,|  แนะนำนิยายวายตามอารมณ์  |  #จบแล้วทุกเรื่อง  | 14.09.2017  |  รีวิวนิยายอยู่ใน Favorite ❤  |  ฉันไม่ได้หยิ่ง ฉันแค่ความจำสั้น  |  ติดต่องานได้ใน DM นะฮะ  |
9,9,2021-03-04 17:31:20,#รักไม่ร้าย,bmymaii,พี่แดนทรงงานหนักมากเลยเพคะ @konnect_danielk 🐶ชั้นร้อง โบร๋วววว บรู้วววว เอ๋งเลยยยย #สลิ่มค่ายคอนเนค,407,น่ารักแบบน่ารักมากเรื่องนี้ อิเหี้ยเอ้ยยยยยยยยย ชอบเวลาพี่ธามพูดว่า พี่ธามจะไม่รักเธอแล้วนะ  #รักไม่ร้าย, /รักไม่ร้าย,0,0,bmymaii,พี่แดนทรงงานหนักมากเลยเพคะ @konnect_danielk 🐶ชั้นร้อง โบร๋วววว บรู้วววว เอ๋งเลยยยย #สลิ่มค่ายคอนเนค
