,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-09 16:49:14,#รับน้อง,1rgqADReMvlQQ5v,,2,ล่าสุดจ้าาาาา น้องๆที่กำลังจะมาพิจารณาเอานะคะ ตราบใดที่อธิการบดียังนิ่งเฉย #ทีมแม่โจ้ #โซตัส #รับน้อง #แม่โจ้ #เชียงใหม่ #Sotus #มอย้อนแย้งย่านสันทราย https://t.co/tOtlFLTcY7, /ทีมแม่โจ้/โซตัส/รับน้อง/แม่โจ้/เชียงใหม่/Sotus/มอย้อนแย้งย่านสันทราย,0,0,1rgqADReMvlQQ5v,
1,1,2021-03-09 07:01:14,#รับน้อง,Fern_Waranya45,#BTS #GOT7 #DAY6 #X1 #TXT #ENHYPEN,140,"หาเพื่อนการตลาด ราชมงคลศาลา มีแชทกลุ่มไลน์กลุ่มมั้ยอ่าเอาเราเข้าที เหงามากตอนนี้ไม่มีเพื่อนเลย #ทีมราชมงคล #ราชมงคลศาลายา #มทรศาลายา #ราชมงคลจะไม่ทนอีกต่อไป #dek64 #dekd #gatpat64 #GATPAT #น้องชื่ออะไร #รับน้อง 
#rmutr", /ทีมราชมงคล/ราชมงคลศาลายา/มทรศาลายา/ราชมงคลจะไม่ทนอีกต่อไป/dek64/dekd/gatpat64/GATPAT/น้องชื่ออะไร/รับน้อง/rmutr,0,0,Fern_Waranya45,#BTS #GOT7 #DAY6 #X1 #TXT #ENHYPEN
2,2,2021-03-08 15:34:14,#รับน้อง,inch5544,อย่าค่ะอย่า,5,"📍ขอความร่วมมือชาวทวิตหน่อยค่ะะะ 

Ig: 154msntp 

เพื่อใช้ในการศึกษาค่ะ #กิจกรรมรับน้อง #รับน้อง #Freshman https://t.co/TyRFBC1uiB", /กิจกรรมรับน้อง/รับน้อง/Freshman,12,2,sharkdesharkk,sʜᴀʀᴋ- on air - # ♚𝟷𝟿𝟿𝟼 𝒄𝒔𝒚⏐ 𝐭𝐨𝐩!𝐒𝐖 𝐛𝐭𝐭𝐦!𝐒𝐘 ‘sky’ allushi ⚠︎︎𝑰 𝑾𝑹𝑰𝑻𝑬 𝑶𝑵𝑳𝒀 𝑾𝑯𝑨𝑻 𝑰 𝑳𝑰𝑲𝑬⚠︎︎ #승쯔
3,13,2021-03-04 14:33:37,#รับน้อง,callmebyyyy,;—; 💖,72,รุ่นพี่บางคนเห็นน้องไม่ยอมเข้ารับน้อง ตราหน้าว่าน้องเป็นโซตัสไม่พอ แบนน้องทุกกิจกรรม ถ้ามาเจอหน้าคือต้องได้กระแหนะกระแหน่ก่อนอะ เป็นอะไรถามจริง? แล้วนิสัยแบบนี้อยากให้น้องไหว้ โถ่ อี!  #รับน้อง, ,19,11,Narintip119,BAEKHYUN is No.1 ||| ไม่เอาเผด็จการ ||| เน้นรี ไม่เน้นโพส
4,14,2021-03-04 14:31:44,#รับน้อง,callmebyyyy,;—; 💖,72,"#รับน้อง ไอ่ที่พูดว่า""เขาก็ทำแบบนี้กันมาทุกรุ่น""คือไม่คิดเลิกพวกระบบโซตัสบ้างหรอแบบ #ให้มันจบที่รุ่นเรา แล้วต้องมาเจออะไรแบบนี้ กันอีกกี่รุ่นละ? แล้วจบที่มานั่งปลอบใจกันกับเหตุผลที่ว่า""พี่ก็เจอมาเหมือนน้องๆนั้นแหละ""งี้หรอ", /รับน้อง/ให้มันจบที่รุ่นเรา,432,110,IIImumimeen,🍬
5,15,2021-03-04 14:31:31,#รับน้อง,callmebyyyy,;—; 💖,72,อย่ามาอ้างว่าทุกคนเคยผ่านการเป็นรุ่นน้องเคยถูกรุ่นพี่ทำแบบนี้มาเหมือนกัน เพราะคิดแบบนี้แหล่ะระบบเหี้ยนี่มันเลยยังไปต่อได้เรื่อยๆ คนๆหนึ่งตั้งใจเข้ามาเรียน ไม่จำเป็นต้องมานั่งนึกว่าวันนี้กูต้องไหว้ใครต้องก้มหัวให้รุ่นพี่คนไหน  อยากให้คนเคารพก็ลองทำตัวให้มันน่าเคารพดิ #รับน้อง, ,610,125,Psip0998,WHAT’S HAPPENING IN THAILAND 🎗 #ยกเลิกม112 #โง่ก็ไม่ต้องมาบริหาร
6,0,2021-01-29 12:12:26,#รับน้อง,linla1997,- 𝐻𝑜𝑝𝑒 - ฉันยิ้มเสมอ กับการได้รักเขา - คลั่งรัก Got7 - 7 or never 7 or nothing -,36,"ทำไมถึงต้อง #ยกเลิกเพลงมัดหมี่ มันร้ายแรงยังไง? ต้องซีเรียสขนาดนี้เลยหรอ? เราแปลความหมายและบรรยายเป็นเหตุการณ์มาให้แล้วค่ะ. 
ขออนุญาติแท็ก #เลิกเรียนไปกระทรวง #รับน้อง #ทวิตดีคนรีน้อย https://t.co/LVRkkZLdp2", /ยกเลิกเพลงมัดหมี่,26,7,Jusferlee1,"•` ทวิตนี้เต็มไปด้วยอุซุยและการขายของ เป็นแม่ค้า/มัมหมี ส่วนใหญ่จะอู้ไปFของและทำมีมก๊อกแก๊กๆ ตัดยอด21.30น.`•
» #Notkimรีวิว #Notkimไดอารี่ #อีกาส่งสารของNotkim"
7,1,2021-01-29 10:58:22,#รับน้อง,Funny_love2808,,4,"ทำไมต้องมี #รับน้อง?
ความสำคัญของการ #รับน้อง?
รุ่นพี่ที่ดีต้องเป็นแบบไหนให้น้องเคารพ?", /รับน้อง/รับน้อง,0,0,Funny_love2808,
8,2,2021-01-25 11:51:56,#รับน้อง,sppsiii,จริงๆไม่อยากเรียนนะอยากรวย🐳,5,อีกฎที่ต้องคล้องป้ายตลอดเวลา แม้กระทั่งตอนถ่ายรูปก็ต้องคล้องนี่หมดไปได้ยังทำไมต้องทำอะไรแบบนั้น ความสำคัญคืออะไร? #รับน้อง, /รับน้อง,0,0,sppsiii,จริงๆไม่อยากเรียนนะอยากรวย🐳
9,3,2021-01-25 11:34:21,#รับน้อง,sppsiii,จริงๆไม่อยากเรียนนะอยากรวย🐳,5,"เห็นรุ่นพี่และเพื่อนบางคนในสาขา ไปชูสามนิ้ว ต่อต้านเผด็จการ แต่จะเอาโซตัสคือไร แล้วมาย้อนถามเราว่าโซตัสไม่ดีตรงไหน โซตัสก็ไม่ได้ร้ายแรงอะไรขนาดนั้น ตอนนี้ที่มอก็ไม่ได้มีการอนุญาตให้มีการรับน้องทำโทษน้องแต่รุ่นพี่แอบทำ..🙄แฉได้ไหม #ไม่เอาเผด็จการ
 #ม็อบ30ตุลา #รับน้อง", ,1,4,dfhj56hjj,
