,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-08 11:12:50,#ร่างลั่ว,IamYangGuniang,—创造营2019 R1SE⚡赵让 何洛洛 刘也 焉栩嘉 周震南 赵磊 任豪 张颜齐 翟潇闻 姚琛 夏之光 — ร่างร่างลั่วลั่ว หลิวเหย่เกอไมโครเวฟ จะรักR1SEตลอดไป always 🉐,93,ดูเข้าๆอีกคนถ่ายอีกคนนอนไม่รู้เรื่อง #ร่างลั่ว https://t.co/aUGXGwXJnQ, /ร่างลั่ว,0,4,IamYangGuniang,—创造营2019 R1SE⚡赵让 何洛洛 刘也 焉栩嘉 周震南 赵磊 任豪 张颜齐 翟潇闻 姚琛 夏之光 — ร่างร่างลั่วลั่ว หลิวเหย่เกอไมโครเวฟ จะรักR1SEตลอดไป always 🉐
1,1,2021-03-08 07:08:17,#ร่างลั่ว,a_nabul,"NABULAAA~🐧⚡
ไอต้าวเพนกวิ้นนนน🐧👑",6,"#ร่างลั่ว ตอนจีบกันแรกๆ 
🧽 : ผมชอบคุณ
🍳 : ฉันมีคนที่ฉันชอบแล้ว
🧽 : ขอโทษครับ ผม..
🍳 : ทำไมนายไม่ถามว่าฉันชอบใช่นายหรือเปล่า
🧽 : งั้นคนที่คุณชอบคือผมใช่มั้ย 
🍳 : แน่นอนว่าไม่ใช่ https://t.co/Rky16u1zzm", /ร่างลั่ว,25,16,IamYangGuniang,—创造营2019 R1SE⚡赵让 何洛洛 刘也 焉栩嘉 周震南 赵磊 任豪 张颜齐 翟潇闻 姚琛 夏之光 — ร่างร่างลั่วลั่ว หลิวเหย่เกอไมโครเวฟ จะรักR1SEตลอดไป always 🉐
2,4,2021-03-08 02:49:18,#ร่างลั่ว,AWorkonline,⚡⚡⚡ 🍭🍭🍭,18,"ก่อนนี้มีให้จ้าวร่างเลือกว่าต้องจูบใครในวงหนึ่งคนจะเลือกใคร
จ้าวร่าง:ผมเลือก""ลั่วลั่ว""
ลั่วก็โดนถามเหมือนกัน
ลั่วลั่ว:งั้นผมก็จูบเขา เพราะเขาจูบผม
เหย่เกอมีเสริมด้วยว่า""พวกนายสองคนหวานกันมาก ฉันรู้สึกว่าหวานมาก"" 

#ร่างลั่ว สักวันเรือเราจะต้องแมส⛵ https://t.co/k7Fq6KQA6w", ,91,60,IamYangGuniang,—创造营2019 R1SE⚡赵让 何洛洛 刘也 焉栩嘉 周震南 赵磊 任豪 张颜齐 翟潇闻 姚琛 夏之光 — ร่างร่างลั่วลั่ว หลิวเหย่เกอไมโครเวฟ จะรักR1SEตลอดไป always 🉐
3,12,2021-03-07 15:42:42,#ร่างลั่ว,Psquirrel_F__,"แอคนี้อะไรสนใจก็รีอันนั้นแหละ + บ่นไปเรื่อย
ด้อม ladybug  ตัวร้าย สวรรค์ประทานพร  ปรมาจารย์  รัชศก  เล่ห์กลจักรพรรดิ  อื่นๆ
#Bonbongirl #R1SE",57,📎 วางแนวอะไรไว้แล้วสรุปในเรื่องคู่หลัก #ร่างลั่ว คู่อื่นๆ #หาวเหย่ #เชินหนาน #กวงจ๋าย #เจียเหล่ย #ฉีเหล่ย ฝากติดตามด้วย(เอ๊ะ! บอกใคร) https://t.co/LqjxwnblsX https://t.co/UyFYpKGOhK, /ร่างลั่ว/หาวเหย่/เชินหนาน/กวงจ๋าย/เจียเหล่ย/ฉีเหล่ย,2,3,IamYangGuniang,—创造营2019 R1SE⚡赵让 何洛洛 刘也 焉栩嘉 周震南 赵磊 任豪 张颜齐 翟潇闻 姚琛 夏之光 — ร่างร่างลั่วลั่ว หลิวเหย่เกอไมโครเวฟ จะรักR1SEตลอดไป always 🉐
4,24,2021-03-07 14:34:54,#ร่างลั่ว,IamYangGuniang,—创造营2019 R1SE⚡赵让 何洛洛 刘也 焉栩嘉 周震南 赵磊 任豪 张颜齐 翟潇闻 姚琛 夏之光 — ร่างร่างลั่วลั่ว หลิวเหย่เกอไมโครเวฟ จะรักR1SEตลอดไป always 🉐,93,"ชง""#ร่างลั่ว""วันละนิดเผื่อจะแมสมั่ง", /ร่างลั่ว,0,0,IamYangGuniang,—创造营2019 R1SE⚡赵让 何洛洛 刘也 焉栩嘉 周震南 赵磊 任豪 张颜齐 翟潇闻 姚琛 夏之光 — ร่างร่างลั่วลั่ว หลิวเหย่เกอไมโครเวฟ จะรักR1SEตลอดไป always 🉐
5,40,2021-03-07 08:56:13,#ร่างลั่ว,Kaikhlangrakna,ติ่งสองวงค่ะวงการkpopกับcpop                                                 •-• •---- ••• •,12,"เอ๊ะ 🧐
เอ๊ะะ 🤔
เอ๊ะะะะะะ!! 🤭💍
#ร่างลั่ว https://t.co/fqOU9oB1ov", /ร่างลั่ว,14,27,EVE_mickyprince,"十二​ #R1SE​ ม่ามี๊น้องนั่วนั่ว #HeLuoluo ลูกชายคนรองคือร่างร่าง #ZhaoRang​ #ขี้ชิปมากนะคะ #Allluo
#TOMORROW_X_TOGETHER​ น้องยอนตุน
#BTS​ นุ้งวี #TREASURE มาชิ~"
6,55,2021-03-07 06:10:18,#ร่างลั่ว,Panatda81936831,เมนพี่เเจ็คกี้,5,"จ้าวร่างตกใจ โดนแมวโดดใส่ 🐱
#ร่างลั่ว https://t.co/wNrPQ5m8RN", /ร่างลั่ว,67,48,EVE_mickyprince,"十二​ #R1SE​ ม่ามี๊น้องนั่วนั่ว #HeLuoluo ลูกชายคนรองคือร่างร่าง #ZhaoRang​ #ขี้ชิปมากนะคะ #Allluo
#TOMORROW_X_TOGETHER​ น้องยอนตุน
#BTS​ นุ้งวี #TREASURE มาชิ~"
7,57,2021-03-07 05:07:15,#ร่างลั่ว,Thitira84037697,,2,"ถ้าคุณต้องจูบใครสักคนเพื่อกลับมาเป็นจ้าวร่าง แต่ในห้องมีแต่ผูชายคุณจะเลือกจูบใคร? 
#ZhaoRang : ต้องจูบใครสักคน.. OMG!! 😳
ละน้องก็บ่นๆๆๆ
สุดท้ายเลือก 😘 #HeLuoluo
5555555555555555555
รายการชงเก่งเกิ๊นนนน เอาซะลูกชายฉันไปไม่เป็น โอ้ยน้อ 🤣
#ร่างลั่ว #R1SE https://t.co/OLO78QDGBx", /ZhaoRang,141,90,EVE_mickyprince,"十二​ #R1SE​ ม่ามี๊น้องนั่วนั่ว #HeLuoluo ลูกชายคนรองคือร่างร่าง #ZhaoRang​ #ขี้ชิปมากนะคะ #Allluo
#TOMORROW_X_TOGETHER​ น้องยอนตุน
#BTS​ นุ้งวี #TREASURE มาชิ~"
8,119,2021-03-06 15:21:24,#ร่างลั่ว,IamYangGuniang,—创造营2019 R1SE⚡赵让 何洛洛 刘也 焉栩嘉 周震南 赵磊 任豪 张颜齐 翟潇闻 姚琛 夏之光 — ร่างร่างลั่วลั่ว หลิวเหย่เกอไมโครเวฟ จะรักR1SEตลอดไป always 🉐,93,"""ใส่แมสดี​ ๆ​ เร็ว""

""ดุจังง่ะ...""

*แก​ ๆ​ ดูพี่​ 2 คนตรงนั้นดิ​ น่ารักเนอะ*

""มองไรครับน้อง""

#ร่างลั่ว
Pic ©️ Tauruses·0424x0504 https://t.co/eJxzZOksgm", /ร่างลั่ว,17,15,I_AM_PIMMIE,I AM PIMMIE▶    ❄蔡丽洁.   ❥¾TH ¼MY🌈   1997🍭   #TFBOYS 🍀 #时代少年团 💣  #TF家族 🐣 #张艺凡 #易安音乐社 🎸 #R1SE ⚡️ //สปอยเก่ง หวีดonly & delay #PicseriesPhotograph
9,120,2021-03-06 15:21:16,#ร่างลั่ว,IamYangGuniang,—创造营2019 R1SE⚡赵让 何洛洛 刘也 焉栩嘉 周震南 赵磊 任豪 张颜齐 翟潇闻 姚琛 夏之光 — ร่างร่างลั่วลั่ว หลิวเหย่เกอไมโครเวฟ จะรักR1SEตลอดไป always 🉐,93,"ชิปได้มั้ย จังหวะลั่วรถคว่ำคือมีป้ายไฟของร่างขึ้นมาพอดี555555 
#ร่างลั่ว https://t.co/OGkG3oCeDd", /ร่างลั่ว,1,2,NozakiiMonster,บูชาพระพุทธจ้าน ||  มัมหมีน้องโจวเจิ้นหนาน 🐽#1D #AKB48 #BNK48 #DengLun #TFBOYS #XuWeizhou #WangTalu #DylanWang #Got7 #XiaoZhan #WangYibo #R1SE⚡️
