,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-07 04:53:42,#ฤดูความรักผลิบาน,aloney022,I'm Naa' (น่า) •1990• ยังตายไม่ได้ รอให้มึงฉิบหายก่อน อิสัตว์นรก #TV5XQ #SNSD #1D #RyuJunYeol #BTS,195,ลูกน้อง+เพื่อน= ลูกเพื่อน55555555555555555555555555555555555555 #ฤดูความรักผลิบาน, /ฤดูความรักผลิบาน,8,38,somsomreview,รีวิวแต่นิยายที่ชอบ รับบทลูกอิขายของเก่ง||ความชอบของแต่ละคนไม่เหมือนกันโปรดเข้าใจด้วย||#แนะนำนิยายวาย||คลังวายของผู้สุดแสนจะคลั่งรักนิยายวาย✨🍊📚
1,2,2021-03-06 17:01:11,#ฤดูความรักผลิบาน,HSJ_LO_VE,"Hey! Say! JUMP |YutoYama|
#そらまふ 🐢#KristPerawat 🐰#XiaoZhan FA.
#ปักSK กองคำพูดเน่าๆของคนอื่นไว้ที่คนพูด",612,เรื่องนี้สนุกมาก นายเอกเมาคิดว่าตัวเองเป็นเมะมีอะไรกับพระเอก พระเอกเลยให้รับผิดชอบย้ายไปอยู่ด้วยกัน feel good ยังไม่มีดราม่า ตลกดี #แนะนํานิยายวาย #ฤดูความรักผลิบาน https://t.co/LMdQIXJURT, ,22,46,onlypchr,"jaeten,louis,leon"
2,6,2021-03-06 13:56:09,#ฤดูความรักผลิบาน,Deras10,,0,ชั้นไปอยู่ที่ไหนมาวะเนี่ย น้องน่ารักมาก คุณนภัทรก็หลงมาก แต่งงสุดๆเลยที่น้องคิดว่าตัวเองโพผัว เอ็นดู555555555 #ฤดูความรักผลิบาน #รีวิวนิยายวาย #นิยายวายแนะนํา https://t.co/uqPb38HQ4V, ,6,5,NaMTiP_KV,#kookv ||134340 ||รีวิวนิยายใน'สื่อ'
3,18,2021-03-06 08:40:41,#ฤดูความรักผลิบาน,_apaphaty,"""จงอย่าสูญเสียความเป็นตัวเอง อย่าปล่อยให้ความเห็นต่างหรือผู้คนมาครอบงำ และไม่สร้างปัญหาให้กับคนอื่น"" -จอย red velvet",24467,"อ่านฟรี #ฤดูความรักผลิบาน (yaoi)  
บทที่ 11 (50%) โดย พาพา 

dek-d https://t.co/DUFqAg9hd8

raw https://t.co/bSPZGm7FqQ", /ฤดูความรักผลิบาน,8,6,_apaphaty,"""จงอย่าสูญเสียความเป็นตัวเอง อย่าปล่อยให้ความเห็นต่างหรือผู้คนมาครอบงำ และไม่สร้างปัญหาให้กับคนอื่น"" -จอย red velvet"
4,22,2021-03-06 06:31:18,#ฤดูความรักผลิบาน,hellomine_,"𝕄𝕒𝕚𝕟:ℝ𝕪𝕦𝕟𝕠𝕤𝕦𝕜𝕖 𝔸𝕜𝕦𝕥𝕒𝕘𝕒𝕨𝕒, 𝔻𝕒𝕫𝕒𝕚 𝕆𝕤𝕒𝕞𝕦 ,ℕ𝕒𝕜𝕒𝕙𝕒𝕣𝕒 ℂ𝕙𝕦̄𝕪𝕒,𝔽𝕪𝕠𝕕𝕠𝕣 𝔻𝕠𝕤𝕥𝕠𝕖𝕧𝕤𝕜𝕪
เอ็นดูน้องอาคุตันคับ!😳",23,โอ๊ยยยยชอบยัยน้องแส่บมาก #ฤดูความรักผลิบาน, /ฤดูความรักผลิบาน,0,0,hellomine_,"𝕄𝕒𝕚𝕟:ℝ𝕪𝕦𝕟𝕠𝕤𝕦𝕜𝕖 𝔸𝕜𝕦𝕥𝕒𝕘𝕒𝕨𝕒, 𝔻𝕒𝕫𝕒𝕚 𝕆𝕤𝕒𝕞𝕦 ,ℕ𝕒𝕜𝕒𝕙𝕒𝕣𝕒 ℂ𝕙𝕦̄𝕪𝕒,𝔽𝕪𝕠𝕕𝕠𝕣 𝔻𝕠𝕤𝕥𝕠𝕖𝕧𝕤𝕜𝕪
เอ็นดูน้องอาคุตันคับ!😳"
5,23,2021-03-06 00:15:51,#ฤดูความรักผลิบาน,wrwolf_noy,for #jungwoo + ด่าเอ้ดเอ็มเช้า กลางวัน เย็น หลังอาหาร ก่อนนอน,83,"แส้บพริกสิบเม็ดไปเรยค่า🔥🔥🔥
#ฤดูความรักผลิบาน", /ฤดูความรักผลิบาน,0,0,wrwolf_noy,for #jungwoo + ด่าเอ้ดเอ็มเช้า กลางวัน เย็น หลังอาหาร ก่อนนอน
6,24,2021-03-05 23:47:19,#ฤดูความรักผลิบาน,plaiplaaibplaai,❥ mblaq monsta x wonho aomg h1ghr nct wayv seungwoo woodz ♡ #Johfam,848,น้องแพรวจะแซ่บไปไหนเนี่ยย คุณนภัทรหลงแย่แน่ 😝🌶🌶🌶 #ฤดูความรักผลิบาน, /ฤดูความรักผลิบาน,0,0,plaiplaaibplaai,❥ mblaq monsta x wonho aomg h1ghr nct wayv seungwoo woodz ♡ #Johfam
7,29,2021-03-05 16:45:20,#ฤดูความรักผลิบาน,P35076,🛒 #พริกป่นอัพเดท #พริกป่นรีวิว ⚠️ Attention Pls ⚠️ #GOT7FOREVER 🐦 #DAY6 🍃 #StrayKidsเบอร์1เจน4 🧭 Fan Account 🎸 ปล.ฝากส่องทามไลน์ก่อนกดฟอลนะคะ,67,เจ้าแมวน้อยยยป่ะล่ะ 5555555555 #ฤดูความรักผลิบาน, /ฤดูความรักผลิบาน,0,0,P35076,🛒 #พริกป่นอัพเดท #พริกป่นรีวิว ⚠️ Attention Pls ⚠️ #GOT7FOREVER 🐦 #DAY6 🍃 #StrayKidsเบอร์1เจน4 🧭 Fan Account 🎸 ปล.ฝากส่องทามไลน์ก่อนกดฟอลนะคะ
8,32,2021-03-05 13:50:17,#ฤดูความรักผลิบาน,_apaphaty,"""จงอย่าสูญเสียความเป็นตัวเอง อย่าปล่อยให้ความเห็นต่างหรือผู้คนมาครอบงำ และไม่สร้างปัญหาให้กับคนอื่น"" -จอย red velvet",24467,เอ็นดูคุณแพรว อย่ายอมเมียนะ สู้เขา 5555555 #ฤดูความรักผลิบาน, /ฤดูความรักผลิบาน,1,0,plaiplaaibplaai,❥ mblaq monsta x wonho aomg h1ghr nct wayv seungwoo woodz ♡ #Johfam
9,34,2021-03-05 11:38:36,#ฤดูความรักผลิบาน,_apaphaty,"""จงอย่าสูญเสียความเป็นตัวเอง อย่าปล่อยให้ความเห็นต่างหรือผู้คนมาครอบงำ และไม่สร้างปัญหาให้กับคนอื่น"" -จอย red velvet",24467,วันนี้จะลงคุณนภัทรทันมั้ยเนี่ยย หนูเพิ่งตื่น #ฤดูความรักผลิบาน, /ฤดูความรักผลิบาน,0,1,_apaphaty,"""จงอย่าสูญเสียความเป็นตัวเอง อย่าปล่อยให้ความเห็นต่างหรือผู้คนมาครอบงำ และไม่สร้างปัญหาให้กับคนอื่น"" -จอย red velvet"
