,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-10 18:30:41,#ลีจานิน,gimgimjoo,,3,พึ่งแกะบับเบิ้ลเมื่อกี้นี้เลยจ้า ยังไม่แกะซีน ราคา 300 บาท ไม่รวมส่ง สนใจทักมากเลยค่าาาา #ลีจานิน #นิยายวายมือสอง https://t.co/e2PJ91MbKO, /ลีจานิน/นิยายวายมือสอง,0,0,gimgimjoo,
1,1,2021-03-06 12:28:28,#ลีจานิน,month_xm,♡️@Sometimes__2,147,"814》Mr.Lee #ลีจานิน
by ไรท์เอ็ม
Mafia[25+] พระนายแซ่บทั้งคู่ คนนึงมาเฟียอีกคนก็สายลับ พระเอกโคตรคลั่งรักขี้หื่นและเยดุม๊ากก นายเอกคนสวยก็แสนจายั่ว เหมาะสมกันที่สุด555 มีปมในอดีตให้ลุ้นด้วย บู๊ไปแซ่บกันไป สายหื่นห้ามพลาดจ้าา [8.5/10]

#แนะนํานิยายวาย https://t.co/azRB94GstV", /ลีจานิน,371,661,lady_yyyyy,|  แนะนำนิยายวายตามอารมณ์  |  #จบแล้วทุกเรื่อง  | 14.09.2017  |  รีวิวนิยายอยู่ใน Favorite ❤  |  ฉันไม่ได้หยิ่ง ฉันแค่ความจำสั้น  |  ติดต่องานได้ใน DM นะฮะ  |
2,2,2021-03-06 12:23:59,#ลีจานิน,month_xm,♡️@Sometimes__2,147,"เซ็ทนี้คือที่สุด! เด็ดสุด! แซ่บสุด! เลือดหมดตัว! 😆

เขิงงงงงงงงง ☺️
#ลีจานิน
#ฝนเดือด
#โลมพิกุล
#รักร้ายพี่สายรหัส https://t.co/FwkPEUEtvv", /ลีจานิน/ฝนเดือด/โลมพิกุล/รักร้ายพี่สายรหัส,12,18,Khaemee,"รัก #XiaoZhan​ เอ็นดูว์ #WangYibo​ 
❥︎❥︎ เป็นนักอ่านที่อยากเขียน 📝
เปย์หนังสือเก่ง! 😆💸💳 วายสเตชั่น! ·͜·♡ 🧁˚ ° ꔛ 🥞
คนใจง่าย! ꔛ˚✊🏻📦◞˚ 💖 ‧⁺◟"
3,0,2021-01-31 17:38:05,#ลีจานิน,ireadingnovels,"❝แนะนำนิยายวายสายสุขนิยมที่ชอบ #ตะน้อนแนะนำ❞
❝ขาย/แลกนิยายวายตามความแกลบ #ตะน้อนขอขาย❞

❝เลี้ยงกบชื่อธาดา #วันนี้ธาดาไปไหนมาบ้าง❞",23,📌ขาย #ลีจานิน โดย ไรท์เอ็ม ราคา 300 รวมส่งj&amp;t ขอดูรูปเพิ่มเติมได้ค่ะ #นิยายวายแนะนํา #นิยายวายมือสอง #นิยายวาย #นิยายวายราคาถูก #หนังสือวาย #หนังสือนิยายแนะนำ #นิยายวายสภาพดี #นิยายวายสะสม #ขายนิยายวาย https://t.co/hVobGDHQY7, /ลีจานิน/นิยายวายแนะนํา/นิยายวายมือสอง/นิยายวาย,2,1,Nurinoeyza,เอาไว้ขายหนังสือค่ะ ขายจริงส่งจริงค่ะกดดูได้จ้าา ➡️ #หนังสือร้านเนย มีร้านในช็อปปี้นะค้า➡️
4,2,2021-01-31 15:26:00,#ลีจานิน,MYBAE_YESGOOD,🌼🌺🌻🌹🌷ไม่รู้ว่าต้องโตมาท่ามกลางหมู่ดอกไม้มากมายขนาดไหน เธอถึงได้ครอบครองรอยยิ้มที่สวยงามขนาดนี้🌷🌹🌻🌺🌼,490,"ขายนิยายมือสอง ราคารวมส่งพัสดุค่ะ
- wilderness 650 (มีสมุดโน๊ต)
- รับจ้างเป็นของคุณ 250
- ลีจานิน 350
สนใจขอดูสภาพเติมได้ค่ะ 
#นิยายวาย #นิยายวายมือสองสภาพดี #นิยายวายมือสอง #ขายนิยายวายมือสอง #wilderness #รับจ้างเป็นของคุณ #ลีจานิน https://t.co/MKZFGfmSEk", /นิยายวาย/นิยายวายมือสองสภาพดี/นิยายวายมือสอง/ขายนิยายวายมือสอง/wilderness/รับจ้างเป็นของคุณ/ลีจานิน,0,0,MYBAE_YESGOOD,🌼🌺🌻🌹🌷ไม่รู้ว่าต้องโตมาท่ามกลางหมู่ดอกไม้มากมายขนาดไหน เธอถึงได้ครอบครองรอยยิ้มที่สวยงามขนาดนี้🌷🌹🌻🌺🌼
5,4,2021-01-30 15:57:10,#ลีจานิน,Eai_Eaii,,1,แกกก สนุกอีกตามเคยย เนื้อเรื่องผูกปมของนายเอกดีม้ากก สายมาเฟียต้องตำ!!! Ncนัวแซ่บ😳🔥 #แนะนํานิยายวาย #นิยายวาย #ลีจานิน https://t.co/OJe8Zuztih, /แนะนํานิยายวาย/นิยายวาย/ลีจานิน,8,14,itstheloveshotz,คลั่งรักเจโน่. 🐶 สามีชื่อ #Jaehyun #Jeno #Kai ❤️❤️❤️ #nct #wayv #exo LGBTQ+🌈 Dek64
6,5,2021-01-30 14:32:33,#ลีจานิน,heartfilia_emma,On going : #โลมพิกุล #มาร์คต้นสน,14673,ติดเหรียญวันที่ 1 นี้แล้วนะ #ลีจานิน https://t.co/Cy9NhRfcZF, /ลีจานิน,1,1,heartfilia_emma,On going : #โลมพิกุล #มาร์คต้นสน
7,6,2021-01-30 12:30:24,#ลีจานิน,Vangrom7,somebody make me happier,2,"#แนะนํานิยายวาย แนวมาเฟีย
#อาคิและลุงของเขา มาเฟีย x นักฆ่า
#ลีจานิน มาเฟีย x สายลับ
# regain control นักธุรกิจ x มาเฟีย
ชอบทุกเรื่องนายเอกเก่งทุกคน แซ่บไม่แพ้กันด้วย ส่วนพระเอกก็ผัวทั้งหมดอยากได้ค่ะ", /แนะนํานิยายวาย/อาคิและลุงของเขา/ลีจานิน,5,3,matchax_,3.3 Urban Arch.🙂
8,10,2021-01-30 10:56:39,#ลีจานิน,heartfilia_emma,On going : #โลมพิกุล #มาร์คต้นสน,14673,โอ้โหเฉบผวด😭 #ลีจานิน https://t.co/cqNY6Oe5f2, /ลีจานิน,1,1,prb_240,นิทานเรื่องนี้สอนให้รู้ว่าจะติ่งใครให้ดูค่ายเค้าด้วย
9,13,2021-01-30 10:56:19,#ลีจานิน,heartfilia_emma,On going : #โลมพิกุล #มาร์คต้นสน,14673,ยิ่งอ่านยิ่งขนลุก กรี๊ด ดีไม่ไหว #ลีจานิน, /ลีจานิน,1,0,nchyninth,หวีดไปเรื่อย...เหนื่อยก็พัก⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ BEAST | Xiao Zhan (#肖战) | Wang Yibo (#王一博) | Deng Lun (#邓伦) | มัมหมีของบกพพ
