,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-10 04:02:47,#ศาสตร์รัก,Jirapor97608376,,20,159) #ศาสตร์รัก พระนายเคยคบกันและเลิกกันไม่ดี พระเอกนอกใจ ตั้งแต่นั้น นายเอกจึงหาที่พึ่งทางใจ ชอบดูดวง ทำบุญ สายมูมาก กลับมาเจอกันอีกครั้งนอ.เป็นเซลล์ต้องขายงานให้บ. พอ. พระเอกที่ตามหานอ.มาโดยตลอด จึงได้โอกาสตามง้อตามขอโทษ สนุกมากแต่จะหน่วงๆหน่อยจ้า นอ.ใจแข็ง 9/10 #แนะนํานิยายวาย https://t.co/jdAy5TkM64, /ศาสตร์รัก,406,627,fictionyaoi1,แนะนำนิยายวาย #จบแล้วทุกเรื่อง #แนะนำนิยายวาย #วายล้วนล้วนรีวิว |18.11.2019| รีวิวและคะแนนตามความชอบส่วนบุคคล ถ้าอวยเยอะก็คือชอบมาก ขออภัย | ติดต่องานได้ที่ DM
1,0,2021-02-01 09:50:49,#ศาสตร์รัก,WMinlan,,0,159) #ศาสตร์รัก พระนายเคยคบกันและเลิกกันไม่ดี พระเอกนอกใจ ตั้งแต่นั้น นายเอกจึงหาที่พึ่งทางใจ ชอบดูดวง ทำบุญ สายมูมาก กลับมาเจอกันอีกครั้งนอ.เป็นเซลล์ต้องขายงานให้บ. พอ. พระเอกที่ตามหานอ.มาโดยตลอด จึงได้โอกาสตามง้อตามขอโทษ สนุกมากแต่จะหน่วงๆหน่อยจ้า นอ.ใจแข็ง 9/10 #แนะนํานิยายวาย https://t.co/jdAy5TkM64, /ศาสตร์รัก,403,625,fictionyaoi1,แนะนำนิยายวาย #จบแล้วทุกเรื่อง #แนะนำนิยายวาย #วายล้วนล้วนรีวิว |18.11.2019| รีวิวตามความชอบส่วนบุคคล ถ้าชอบมากก็จะอวยหน่อยค่ะ | ติดต่องานได้ที่ DM
2,2,2021-01-31 06:17:44,#ศาสตร์รัก,june_twentyfive,ขาย #นิยายวาย #นิยายวายมือสอง สภาพดี ห่อปกใส ใส่ถุงซิปส่งทุกรายการ ห่อหนาแน่นด้วยค่า,410,"ขาย #นิยายวาย #ศาสตร์รัก By zearet17
รอบจองมีสติ๊กเกอร์ ราคา 280 รวมส่ง พัสดุ
#นิยายวายมือสอง https://t.co/N5bA7siPVF", /นิยายวาย/ศาสตร์รัก/นิยายวายมือสอง,0,1,june_twentyfive,ขาย #นิยายวาย #นิยายวายมือสอง สภาพดี ห่อปกใส ใส่ถุงซิปส่งทุกรายการ ห่อหนาแน่นด้วยค่า
3,3,2021-01-30 18:35:30,#ศาสตร์รัก,a_littlepiglet,"T h i s | i s | m y | w o r l d

รีวิวนิยาย 👉 #pigletreview",31,#ศาสตร์รัก นิคม×นุ่มนิ่ม พอ.กับนอ.เคยคบกัน เลิกกันไปแล้วก็ได้กลับมาเจอกัน นอ.เป็นสายมูเตลู มูตั้งแต่เสื้อสีมงคลจนถึงไปตามล่าหาแม่หมอดูดวง นอ.ใจแข็งยิ่งกว่าหินผา ส่วนพอ.คือคนตื้อเก่ง ชอบเรื่องนี้มากๆๆ สนุก ภาษาดีอยู่แล้ว nc แซ่บลื้ม #แนะนำนิยายวาย #pigletreview, /ศาสตร์รัก/แนะนำนิยายวาย/pigletreview,0,1,a_littlepiglet,"T h i s | i s | m y | w o r l d

รีวิวนิยาย 👉 #pigletreview"
4,4,2021-01-29 07:59:01,#ศาสตร์รัก,s11111111392,𝑦𝑜𝑢’𝑟𝑒 𝑎 𝑔𝑟𝑒𝑎𝑡 𝑒𝑥𝑎𝑚𝑝𝑙𝑒 𝑜𝑓 𝑤ℎ𝑎𝑡 𝑖’𝑚 𝑖𝑛𝑡𝑜 #เนียลอง #จอนแจ #MartinGarrix #ShawnMendes I I II II I I OI II | NCT127 #KangDaniel #JOHNNY,177,#ศาสตร์รัก นิxนุ่ม นุ่มเป็นคนที่เชื่อในเรื่องโชคลาง ใส่เสื้อตามตารางสีมงคลทุกวัน 5555 วันนึงไปเสนอขายของให้บริษัทนิคม ซึ่งเป็นแฟนเก่า เลิกกันไปไม่ดี ตั้งแต่นั้นชีวิตนุ่มก็ไม่เหมือนเดิมอีกต่อไป เพราะนิคมตามนุ่มหนักมากกก สนุกมากกกก ใครชอบแนวแฟนเก่าแนะนำเลยจ้า ของดี!!! #นิยายออมอ่าน https://t.co/ipt62RkhW4, /ศาสตร์รัก,10,10,aoMm0409,don't judge me just one tweet babe💋 ชื่อออม #SingtoPrachaya #KristPerawat #ทีมพีรญา 19.09.59 #aomsinphotos #aomsinfoto #ASsnap #นิยายออมอ่าน #ฟิคของออม
5,8,2021-01-29 07:20:37,#ศาสตร์รัก,a_littlepiglet,"T h i s | i s | m y | w o r l d

รีวิวนิยาย 👉 #pigletreview",31,@zearet17 เพิ่งอ่าน #ศาสตร์รัก ch.เต่าเป็นสัตว์ราคาแพง จบไป  รบกวนขอลายแทงหมอดูที่บุรีรัมย์ค่ะ  เราจะไปตามรอยพี่นุ่มมม 😆😆, /ศาสตร์รัก,0,1,zearet17,"full-time ux/ui and front-end developer, part-time dreamer. 
📚#zearet17novels 
💌zearet17book@gmail.com"
6,9,2021-01-29 03:06:27,#ศาสตร์รัก,ppwcj27,EXO 엑소🌟Chanyeol🔥61 #박찬열 ↪I'm happy to have his as a light 😻 งื้อออออออ  💙💚💛💜 2711👉💖 BAEJIYOUNG #배진영💟XiaoZhan&WangYibo💗,132,"817》Fortune of Love #ศาสตร์รัก
by zearet17
Feelgood นายเอกสายมูและน้องมูหนักมาก เคยบนไว้ว่าจะไม่ไปข้องเกี่ยวกับแฟนเก่าอีกเพราะจบไม่สวย แต่ก็ดันได้กลับมาเจอกันอีก พระเอกก็ตามง้อตามขอโทษ นายเอกใจแข็งมากง้อกันนานเลยกว่าน้องจะใจอ่อน [8.5/10]

#แนะนํานิยายวาย https://t.co/sfFDx3numU", /ศาสตร์รัก,145,257,lady_yyyyy,|  แนะนำนิยายวายตามอารมณ์  |  #จบแล้วทุกเรื่อง  | 14.09.2017  |  รีวิวนิยายอยู่ใน Favorite ❤  |  ฉันไม่ได้หยิ่ง ฉันแค่ความจำสั้น  |  ติดต่องานได้ใน DM นะฮะ  |
7,10,2021-01-28 12:10:23,#ศาสตร์รัก,mooh_mai,"🐻 @OhmThitiwat
🐣 @FlukeNatouch
                               💙 OhmFluke",1202,"วีคนี้อ่านนิบายจบไปสามเรื่อง 👏👏
 #CakeIce2018 #รักนี้มีเคลียร์
#เผย 
#ศาสตร์รัก 
แนะนำทุกเรื่องจ้า ฟีลกู๊ดดี มีปมนิดๆแต่ละเรื่องมีเดาทางกันไม่ถูก ปล.เรื่อง #เผย เดาพระเอกกันให้ถูกนะ ถ้าเข้าแท็กนิยายระวังเจอสปอยด์ ดีที่เราไม่ได้เข้าและเราก็เดาถูก 🤭🤭", /CakeIce2018/รักนี้มีเคลียร์/เผย/ศาสตร์รัก,2,1,mooh_mai,"🐻 @OhmThitiwat
🐣 @FlukeNatouch
                               💙 OhmFluke"
8,11,2021-01-28 06:51:24,#ศาสตร์รัก,BookOfLoveShop,"นิยายมือสองสภาพดีของเจ้าของแอค, หนังสือใหม่ในซีล, ของพรีเมี่ยม, ผ่อน+พรี, กรณีผ่อนต้องโอนมัดจำก่อน ผ่อนแล้วไม่คืนเงินทุกกรณี สนใจ DM มาคุยกันได้เลยค่ะ",120,"📕 หนังสือใหม่ในซีล 📗 นิยายวาย 
#ศาสตร์รัก พร้อมสติ๊กเกอร์รอบจอง 

💸 ราคา 390 บาทรวมส่งลงทะเบียน
📩 สนใจ DM ได้เลยนะคะ 

#นิยายวายแนะนํา #ตามหานิยายวาย #แนะนํานิยายวาย #นิยายใหม่ #นิยายวายสภาพดี #นิยายออกใหม่ #รีวิวนิยายวาย #บาร์มันชอบของใหญ่ https://t.co/dlWrFopQRJ", /ศาสตร์รัก/นิยายวายแนะนํา/ตามหานิยายวาย/แนะนํานิยายวาย/นิยายใหม่/นิยายวายสภาพดี/นิยายออกใหม่/รีวิวนิยายวาย/บาร์มันชอบของใหญ่,0,0,BookOfLoveShop,"นิยายมือสองสภาพดีของเจ้าของแอค, หนังสือใหม่ในซีล, ของพรีเมี่ยม, ผ่อน+พรี, กรณีผ่อนต้องโอนมัดจำก่อน ผ่อนแล้วไม่คืนเงินทุกกรณี สนใจ DM มาคุยกันได้เลยค่ะ"
9,12,2021-01-28 01:29:04,#ศาสตร์รัก,rr_jpt,❤,0,"168. ชื่อ #ศาสตร์รัก 
สายมูต้องเรื่องนี้จ้า มูมากที่ไหนดีนุ่มไปหมด แนวแฟนเก่า ไม่ค่อยอึดอัดเท่าไหร่เพราะมีเรื่องดวงเข้ามาออกแนวคอมเมดี้ พระเอกตามง้อตามขอโทษเพราะตัวเองทำผิด รู้สึกผิด นายเอกใจแข็งมากจ้า จบแฮปปี้ #นิยายวาย #รีวิวนิยายวาย #แนะนํานิยายวาย #นิยายวายจบแล้ว https://t.co/LQfkpjeJSY", /ศาสตร์รัก,3,4,niyay55,"💸รีวิวนิยายวาย📚                                                  
      
📺ช่อง Youtube ของชาววาย🔴"
10,13,2021-01-27 17:18:37,#ศาสตร์รัก,manida_saetang,,2,"🐢 #ศาสตร์รัก
🐢 แนวแฟนเก่าที่เลิกกันไปสมัยเรียน และมีโอกาสกลับมาเจอกันอีกทีตอนทำงาน นายเอกหาทางหนีตลอด แต่คงเป็นเพราะวันนั้นชาร์ตเสื้อสีมงคลเชื่อไม่ได้ ชีวิตก็เลยถูกตามติดโดยแฟนเก่า
🐢 https://t.co/z87PzJKdZv https://t.co/09FObmdZNl", /ศาสตร์รัก,685,824,fernhaeforY,⁺ ˚⠀. * ✦ ขอให้กลอรี่ที่มีคุณคงอยู่ชั่วนิรันดร์ .* . ⠀⠀⠀ ✦ ⠀ . ⁺ .⠀⠀⠀⠀⁺⠀⠀⠀. ⠀⠀⠀⠀˚ ⠀⁺⠀⠀⠀⁺⠀⠀⠀⠀✦ ˚⠀⠀⠀⠀.
