,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-13 06:02:34,#สถานะซึนโซน,phetlada_tkc,"#ATP, #ออฟกัน, #ออลกัน, #KaiHun, #Sehun",24,"นายเอกหนุบหนับ ไม่ผอมก็น่ารัก #แนะนำนิยายวาย 
ครูแป้ง เจ้าโมจิ #ช่างสักรักคุณครู 
ขนม กินเก่งอ้อนเก่ง #สถานะซึนโซน
เกลือ หนุบๆขาวๆ #เทพบุตรกับหนูอ้วน
พุก ขวัญใจหนุ่มอียิปต์ #รักหนักมาก
ปุ่น บอดี้การ์ด? #คุณรองประธานกับบอดี้การ์ดตัวอ้วน 
อ่านแล้วจะอยากฟัด #นิยายวาย #รีวิวนิยายวาย", /แนะนำนิยายวาย/ช่างสักรักคุณครู/สถานะซึนโซน,9,14,YFeelgood,รีวิวนิยายวายสายฟิลกู๊ด 90% Feel good อาจจะมีอื่นๆ แทรก 10% แต่รับรองอ่านตามแบบไม่มีน้ำตา มาสนุกด้วยกันนะคะ.                     Ⓖⓞⓞⓓ Ⓨ Ⓘ ⓕⓔⓔⓛ ⓎⓄⓊ
1,1,2021-03-12 18:44:35,#สถานะซึนโซน,K111134418648,M Y  P A S T   I S  M Y  O W N.,0,#สถานะซึนโซน เรื่องนี้วัฏจักรของกินหมุนรอบตัวนายเอกค่ะ พระเอกกับนายเอกเคยคบกันแล้วเลิกลาไปเหตุเพราะพระเอกอ้วน กลับมาเจอกันอีกครั้งหลังผ่านมาสามปี จากคนอ้วนก็กลายเป็นหนุ่มฮอตหน้าหล่อ ส่วนนายเอกกลายเป็นอวบอ้วนแทนซะงั้น งานนี้มีเหวอกันไปข้าง(1) #แนะนํานิยายวาย https://t.co/jhrH8ioltp, /สถานะซึนโซน,228,298,YYonlyyou,นิยายวายคือชีวิต แอคนี้สำหรับหวีดนิยายวายเท่านั้น ความชอบของนิยายแต่ละเรื่องขึ้นอยู่กับตัวบุคคลถ้าเรื่องไหนชอบเยอะจะอวยจนไส้แตก ||รวมรีวิวนิยายวาย||
2,2,2021-03-12 16:46:08,#สถานะซึนโซน,K_knck0218,I need love from you But I know that it's hard.,0,"มันจะมีซักกี่คนบนโลกวะ ที่รักเราจากใจจริงๆ🤣🌏🍃
#คนเหงา #สถานะซึนโซน #สรุปเราใช่คนที่คุณตามหามั้ย #แคปชั่นคนเหงา 
#FriendZone https://t.co/WVBM0gDaqJ", /คนเหงา/สถานะซึนโซน/สรุปเราใช่คนที่คุณตามหามั้ย/แคปชั่นคนเหงา/FriendZone,0,1,K_knck0218,I need love from you But I know that it's hard.
3,3,2021-03-12 01:04:51,#สถานะซึนโซน,lovefufufeel,สมัครไว้เพื่อติดตามนิยายวาย รักบังทันมาก จบ,34,อ่าน #สถานะซึนโซน แล้วคิดถึงแฟนเก่า (っ˘̩╭╮˘̩)っ, /สถานะซึนโซน,2,1,Bowkimx_,@BTS_twt ✎ ̼มามี๊น้องแท ♡̷ ⋆｡˚ 💜🐯 |• ᴛxᴛ ᴇɴʜʏᴘᴇɴ •|  #bkinbkx✨
4,4,2021-03-11 16:37:41,#สถานะซึนโซน,Bowkimx_,@BTS_twt ✎ ̼มามี๊น้องแท ♡̷ ⋆｡˚ 💜🐯 |• ᴛxᴛ ᴇɴʜʏᴘᴇɴ •|  #bkinbkx✨,102,"แนะนำนิยายวาย #pxzแนะนำ
1.#พี่พระเอกกับเด็กมาในกอง
2.#คุณสราญหาคู่ 
3.#ใครเพื่อนมึงคร้าบ
4.#ไม่รักป๊าหรือม๊า
5.#สถานะซึนโซน
6.#อุบายกินรา
7.#รักแท้ของผมคือคุณ
8.#ใครเพื่อณมึง
9.#รัตติจันทร์พันกร 
10.#วันดีวิทยา", /pxzแนะนำ/พี่พระเอกกับเด็กมาในกอง/คุณสราญหาคู่/ใครเพื่อนมึงคร้าบ/ไม่รักป๊าหรือม๊า/สถานะซึนโซน,208,246,queeniceso,• อ่านไปเรื่อย • • เนม : ซอ • • ชอบอ่านนิยายวาย •
5,7,2021-03-09 04:00:29,#สถานะซึนโซน,bmee07,"นักเขียน ฟีลกู๊ด ด้อมไฮคิว,ไยบะ,คุโรโกะ,อกซ *บ่นเยอะมากๆๆจะฟอลคิดก่อนน้า* ;--;
| #อย่าปล่อยให้มุกจาง Now !! |",3291,ริวกับขนม ขนมเจอเครื่องชั่งน้ำหนักจึงขึ้นไปชั่งทำให้เจอกับริว แฟนเก่าที่เขาบอกเลิกไปเมื่อ3ปีก่อนเลยคิดจะเปลี่ยนจากแฟนเก่ากลับมาเป็นแฟนใหม่ ขนมไปสมัครฟิตเนสทำให้เจอกับริวที่นี่ จึงลงมือจีบเขา นิยายฟีลกู้ด น้องขนมน่ารักมาก ส่วนพี่ริวก็ซึนเก่ง https://t.co/vYgwKmwZQ3 #สถานะซึนโซน, ,2,2,pornpunn,👩🏻💕 1992 📚 💙 G 🦁 S 🐢 K 🖤 K 🐰 C 🐻 Y 🐵 W
6,13,2021-03-06 14:35:45,#สถานะซึนโซน,SAY_RUNG_,"EXO  SNSD 
เมน sehun  taeyeon 
hunhan  🐥🦌chanbaek 🐯🐶
huntae",143,"#รีวิวนิยายวาย #แนะนำนิยายวาย
3. #สถานะซึนโซน 
by Real__Jang
: 26 ตอนจบ
: ริวxขนม : ริวกับขนมเลิกกันไป3ปี กลับมาเจอกันอีกครั้ง พอจากหุ่นหมีกลายเป็นหนุ่มหล่อเจ้าของฟิตเนส นอกลายเป็นไอก้อนกลมแทน อ่านแล้วอยากกินชีสเค้ก...

https://t.co/uT4R93WueU https://t.co/45UXnGQ2Tj", /รีวิวนิยายวาย/แนะนำนิยายวาย/สถานะซึนโซน,2,5,Red_l2abbit,นิยาย ผู้ชาย และเกม
7,0,2021-01-31 14:27:56,#สถานะซึนโซน,A_r_a_t_t,,2,เอาล่ะจบไปอีกเรื่อง!! เป็นเริ่องที่6ของเราคับบบ ฮือ ภูมิใจตัวเองจังมาถึงจุดนี้ได้ไงนิ5555 ขอบคุณทุกคนนะคะ ขอบคุณมากจริงๆสำหรับการติดตาม กำลังใจ ฟีดแบ็คที่มีให้มาเสมอ ขอบคุณที่รักในตัวละคร รักน้องหนมรักพี่ริว ขอบคุณเสมอมาเลยค่ะ เจอกันใหม่ในเรื่องหน้านะคะ🧡 #สถานะซึนโซน https://t.co/9vULgnYhoe, ,12,27,bmee07,"นักเขียน ฟีลกู๊ด ด้อมไฮคิว,ไยบะ,คุโรโกะ,อกซ *บ่นเยอะมากๆๆจะฟอลคิดก่อนน้า* ;--; 
#บ้าไม่ได้ชอบ #แฟนอยากไซ้ #จารย์อย่าตีโจ้ #เมืองมีเธอ #สถานะซึนโซน"
8,1,2021-01-31 13:11:46,#สถานะซึนโซน,Mimpa____,🍰🍭🍨🍩,6,หวัดดีจ้า จบแล้วนะ ใครสายรอจบไปอ่านกันเต๊อะ เสาร์-ทิตย์พอดีเลยเนี่ย ไปอ่านกันนะ55555555555 #สถานะซึนโซน https://t.co/8Zx6Od5FHa, /สถานะซึนโซน,6,14,bmee07,"นักเขียน ฟีลกู๊ด ด้อมไฮคิว,ไยบะ,คุโรโกะ,อกซ *บ่นเยอะมากๆๆจะฟอลคิดก่อนน้า* ;--; 
#บ้าไม่ได้ชอบ #แฟนอยากไซ้ #จารย์อย่าตีโจ้ #เมืองมีเธอ #สถานะซึนโซน"
9,2,2021-01-31 09:18:34,#สถานะซึนโซน,bumbimknok,เพิร์ธคือเมนที่รักที่สุด🖤รักเพิร์ธ บังเอิญรัก #KDPPE #PerthTanapon เอ็นดูแปลนมีน ไบร์ทวิน และเป็นTRIGON #PerthSaintSation/#TRIGON🖤❤🤍,939,"#แนะนำนิยายวาย ไปอ่านดูนะสนุกทุกเรื่องเลย
#เมืองมีเธอ
#สถานะซึนโซน 
#Overnightไปต่อนะ 
#สภาวะลืมรัก
#รักแท้ของผมคือคุณ 
#รบกวนเช็กเดดไลน์ด้วยครับคุณนักเขียน 
#เดือนอับแสง 
#ทฤษฎีดาวพุธ
#สิงห์เหนือควินน์", /แนะนำนิยายวาย/เมืองมีเธอ/สถานะซึนโซน/Overnightไปต่อนะ/สภาวะลืมรัก/รักแท้ของผมคือคุณ,6,7,Wiwaporn112,"ซัพพอร์ต @Perthppe ll @warwanarat ll @yinyin_anw หวีดไปเรื่อยเหนื่อยก็พัก มีเมนหลายคน
( #got7 เมน แจ๊คสันกับเจบี ) #PerthSaintSation #KDPPE #หยิ่นวอร์"
