,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-23 03:25:01,#สนพ,EppoThailand,สำนักงานนโยบายและแผนพลังงาน เป็นองค์กรหลักในการสร้างสรรค์ และบริหารจัดการนโยบายและแผนด้านพลังงาน เพื่อความยั่งยืนของประเทศ,5205,"QUIZ สนุก...ลุ้นรางวัล “ข้อใดคือประโยชน์ของก๊าซธรรมชาติเหลว LNG” ตอบถูกลุ้นรับ Mi Smart Band 5 จำนวน 5 รางวัล และรางวัลพิเศษ Gift Voucher Texas Chicken จำนวน 5 รางวัล 
ร่วมสนุกกิจกรรมได้ที่ 👉 https://t.co/QrF54bPRxx
.
#สนพ #เราสร้างสรรค์เพื่อทุกคน
#EppoThailand #กระทรวงพลังงาน https://t.co/mew2JmcOTX", /สนพ/เราสร้างสรรค์เพื่อทุกคน/EppoThailand/กระทรวงพลังงาน,0,0,EppoThailand,สำนักงานนโยบายและแผนพลังงาน เป็นองค์กรหลักในการสร้างสรรค์ และบริหารจัดการนโยบายและแผนด้านพลังงาน เพื่อความยั่งยืนของประเทศ
1,1,2021-02-20 00:11:00,#สนพ,EppoThailand,สำนักงานนโยบายและแผนพลังงาน เป็นองค์กรหลักในการสร้างสรรค์ และบริหารจัดการนโยบายและแผนด้านพลังงาน เพื่อความยั่งยืนของประเทศ,5205,"LNG (Liquefied Natural Gas) หรือ ก๊าซธรรมชาติเหลว คือ ก๊าซมีเทนที่แปรสภาพเป็นของเหลว โดยเริ่มจากการแยกสิ่งปลอมปน และองค์ประกอบต่างๆ ซึ่งจัดเป็นเชื้อเพลิงที่สะอาด ไม่มีสี ไม่มีกลิ่น ไม่มีพิษ และไม่มีฤทธิ์กัดกร่อน [อ่านบทความเต็มได้ที่👉https://t.co/ypZBy2NFH4]

#สนพ #EppoThailand https://t.co/CmppnK3jYk", /สนพ/EppoThailand,0,1,EppoThailand,สำนักงานนโยบายและแผนพลังงาน เป็นองค์กรหลักในการสร้างสรรค์ และบริหารจัดการนโยบายและแผนด้านพลังงาน เพื่อความยั่งยืนของประเทศ
2,2,2021-02-19 23:58:32,#สนพ,Scoforth,,99,"ตรึงค่า Ft 4 เดือน โดยกำหนดจากเดิม -12.43 สตางค์ เป็น -15.32 สตางค์ ซึ่งจะทำให้ค่าไฟฟ้าลดลงเหลือ 3.61 บาทต่อหน่วย ในระหว่างวันที่ 1 ม.ค. - 30 เม.ย. 64
.
#สนพ #เราสร้างสรรค์เพื่อทุกคน #CreateTheFutureEnergy 
#EppoThailand #กระทรวงพลังงาน https://t.co/vQwVapQZjx", ,2,3,EppoThailand,สำนักงานนโยบายและแผนพลังงาน เป็นองค์กรหลักในการสร้างสรรค์ และบริหารจัดการนโยบายและแผนด้านพลังงาน เพื่อความยั่งยืนของประเทศ
3,5,2021-02-18 16:35:40,#สนพ,sRnUqtyWuVJEQ2p,Tall girl,0,"สถานการณ์ราคาน้ำมัน 1-7 ก.พ. 64 ราคาน้ำมันดิบมีแนวโน้มปรับตัวเพิ่มขึ้น หลังคาดว่ามาตรการกระตุ้นเศรษฐกิจมูลค่า 1.9 ล้านล้านเหรียญสหรัฐฯ ของประธานาธิบดีโจ ไบเดน จะได้รับการอนุมัติภายในสัปดาห์นี้ [อ่านบทความเต็มได้ที่ 👉https://t.co/S3w64C8Llq]
.
#สนพ #EppoThailand #กระทรวงพลังงาน https://t.co/jNU7AbXr4g", ,32,2,EppoThailand,สำนักงานนโยบายและแผนพลังงาน เป็นองค์กรหลักในการสร้างสรรค์ และบริหารจัดการนโยบายและแผนด้านพลังงาน เพื่อความยั่งยืนของประเทศ
4,7,2021-02-17 11:24:39,#สนพ,i77719213,,1,"13 กุมภาพันธ์ 2564 วันคล้ายวันสถาปนา สำนักงานนโยบายและแผนพลังงาน (สนพ.) ครบรอบ 29 ปี เราจะไม่หยุดพัฒนา และสร้างสรรค์เพื่อให้ทุกคนมีพลังงานใช้อย่างเพียงพอและยั่งยืน
.
#สำนักงานนโยบายและแผนพลังงาน #สนพ 
#เราสร้างสรรค์เพื่อทุกคน #CreateTheFutureEnergy 
#EppoThailand #กระทรวงพลังงาน https://t.co/bCvJvHjZnU", ,36,10,EppoThailand,สำนักงานนโยบายและแผนพลังงาน เป็นองค์กรหลักในการสร้างสรรค์ และบริหารจัดการนโยบายและแผนด้านพลังงาน เพื่อความยั่งยืนของประเทศ
5,9,2021-02-17 11:24:09,#สนพ,i77719213,,1,"เดือนมกราคม 2564 ราคาน้ำมันดิบมีแนวโน้มปรับตัวเพิ่มขึ้น โดยเบื้องต้นการผลิตน้ำมันดิบของกลุ่มโอเปกพลัสมีแนวโน้มลดลง ภายหลังจากที่กลุ่มผู้ผลิตมีมติคงการลดกำลังการผลิตน้ำมันดิบ [อ่านบทความเต็มได้ที่ 👉https://t.co/OB2k9MSj3U]
.
#สนพ #EppoThailand https://t.co/H8JPpNtcNB", ,33,2,EppoThailand,สำนักงานนโยบายและแผนพลังงาน เป็นองค์กรหลักในการสร้างสรรค์ และบริหารจัดการนโยบายและแผนด้านพลังงาน เพื่อความยั่งยืนของประเทศ
6,10,2021-02-17 11:24:02,#สนพ,i77719213,,1,"ขยายเวลายกเว้นการเก็บอัตราค่าไฟฟ้าต่ำสุด (Minimum Charge) 3 เดือน โดยส่วนนี้ เป็นมาตรการสำหรับช่วยเหลือผู้ประกอบการ ในระหว่างวันที่ 1 ม.ค. - 31 มี.ค. 64
.
#สนพ #เราสร้างสรรค์เพื่อทุกคน #CreateTheFutureEnergy 
#EppoThailand #กระทรวงพลังงาน https://t.co/6URiV1ieZw", ,34,4,EppoThailand,สำนักงานนโยบายและแผนพลังงาน เป็นองค์กรหลักในการสร้างสรรค์ และบริหารจัดการนโยบายและแผนด้านพลังงาน เพื่อความยั่งยืนของประเทศ
7,11,2021-02-17 11:23:56,#สนพ,i77719213,,1,"ตรึงราคา LPG 3 เดือน โดยคงราคาขายส่งหน้าโรงกลั่น LPG (ไม่รวมภาษีมูลค่าเพิ่ม) อยู่ที่ 14.37 บาทต่อกิโลกรัม และราคาขายปลีกอยู่ที่ 318 บาทต่อถัง 15 กิโลกรัม มีผลบังคับใช้วันที่ 1 ม.ค - 31 มี.ค. 64
.
#สนพ #เราสร้างสรรค์เพื่อทุกคน #CreateTheFutureEnergy 
#EppoThailand #กระทรวงพลังงาน https://t.co/TxDzsdMiuM", ,35,2,EppoThailand,สำนักงานนโยบายและแผนพลังงาน เป็นองค์กรหลักในการสร้างสรรค์ และบริหารจัดการนโยบายและแผนด้านพลังงาน เพื่อความยั่งยืนของประเทศ
8,12,2021-02-17 11:23:45,#สนพ,i77719213,,1,"3 เทคโนโลยีสำคัญ ที่ Smart City ต้องมี คือ 
1.สมาร์ทกริด (Smart Grid) 2.อาคารอัจฉริยะ (Smart Building) และ 3.ระบบไอซีทีอัจฉริยะ (Smart ICT) เพิ่มเติมคลิก https://t.co/zO0e001lm6
.
#สำนักงานนโยบายและแผนพลังงาน
#สนพ
#เราสร้างสรรค์เพื่อทุกคน
#กระทรวงพลังงาน
#EPPOThailand https://t.co/CkCwENdIMJ", ,35,6,EppoThailand,สำนักงานนโยบายและแผนพลังงาน เป็นองค์กรหลักในการสร้างสรรค์ และบริหารจัดการนโยบายและแผนด้านพลังงาน เพื่อความยั่งยืนของประเทศ
9,13,2021-02-17 11:23:37,#สนพ,i77719213,,1,"ล้ำไปอีก! แบต EV รุ่นใหม่ ชาร์จ 5 นาทีเต็ม เป็นความร่วมมือระหว่างบริษัท StoreDot สตาร์ทอัพจากอิสราเอลผู้ผลิตแบตเตอรี่ลิเทียมไอออนรูปแบบใหม่ และบริษัท Eve Energy บริษัทผู้ผลิตแบตเตอรี่ในจีน เพิ่มเติมคลิก https://t.co/QJ38D24fwZ
.
#สนพ
#เราสร้างสรรค์เพื่อทุกคน
#กระทรวงพลังงาน https://t.co/mjM5tnV7uR", ,33,2,EppoThailand,สำนักงานนโยบายและแผนพลังงาน เป็นองค์กรหลักในการสร้างสรรค์ และบริหารจัดการนโยบายและแผนด้านพลังงาน เพื่อความยั่งยืนของประเทศ
