,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-09 00:20:45,#สภาวะลืมรัก,superhi_q5,สนับสนุนให้คู่ชิปรักกันค่ะ💚💚,40,#สภาวะลืมรัก นอ.แสนเย็นชากับพอ.แสนอบอุ่น นอ.มีปัญหาครอบครัวจนกลายเป็นคนมีกำแพงในหัวใจปิดกั้นความรักทุกรูปแบบแต่เพราะความดีความอบอุ่นของพอ.คอยกระเทาะกำแพงหัวใจ จนทำให้นอ.กลับมามีความรักอีกครั้ง #คุณแม่เลือดวายรีวิว #รีวิวนิยายวาย https://t.co/2xQ7pOFUYU, /สภาวะลืมรัก,4,5,penquinkyungsoo,ThatsOkay👌🏻 หวีดคยองซู EXO และ ลูก #Kyungsoo #คุณแม่เลือดวายรีวิว #ดีโอน้อย #เจ้าแก้มก้อน #คลังYของแม่
1,2,2021-03-08 23:53:01,#สภาวะลืมรัก,kaifeng41,"— ☽ #ใจฟังพี่ #คนนี้มาวิน

แอคสำรอง @kontoi41 | ɪᴅᴏɴᴛᴡᴀɴɴᴀʙᴇʏᴏᴜᴀɴʏᴍᴏʀᴇ..",4346,@zcpbiix_ #สภาวะลืมรัก สนุกมากกกกๆๆๆๆ แนะนำสุดดดดด, /สภาวะลืมรัก,1,0,_fahchuti zcpbiix_,ThatsOkay👌🏻 หวีดคยองซู EXO และ ลูก #Kyungsoo #คุณแม่เลือดวายรีวิว #ดีโอน้อย #เจ้าแก้มก้อน #คลังYของแม่
2,6,2021-03-07 23:50:38,#สภาวะลืมรัก,oilkxo,#WhatsHappeninglnThailand,418,#สภาวะลืมรัก เรื้องนี้ดี นายเอกเป็นคนที่แบบเข้าถึงยากไม่พูดส่วนพระเอกก็อยู่กับเพื่อนจะพูดน้อยแต่อยู่กับนายเอกจะพูดมากเพราะชอบเขาเลยพยายามเข้าหาทุกวิธีกว่าน้องจะเปิดใจให้คือนานมาก ชอบนิสัยพระเอกมาก พระเอกคือคนคลั่งรักแหละแต่แบบดีอะ ต้องอ่านถึงจะรู้เอง #แนะนำนิยายวาย #รีวิวนิยายวาย https://t.co/hG43pbprDZ, /สภาวะลืมรัก,7,25,enptt19,แอคเล็กๆที่ไว้ รีวิวนิยายและเก็บความทรงจำ รีวิวตามใจตัวเอง หวีดผู้ชายไปเรื่อยๆ เป็นติ่ง ติ่งซีรีย์วาย😂 #รีวิวนิยายวาย
3,7,2021-03-07 12:52:10,#สภาวะลืมรัก,Anchisaa12,,2,แต่อ่านแล้ว เราก็คล้ายพักพิงตอนดื้อเหมือนกันนะ แต่ไม่มีคนเป็นน้ำเย็นแบบพี่นะโมในชีวิต มีแต่แบบ เค้ มึงเป็นไฟ เดี๋ยวเป็นน้ำมันให้ เผามัน! #สภาวะลืมรัก, ,2,1,fourthachic,chic or shift .. แต่ก็มี 'หาย' ตามหลังอยู่ดี | แอคสำหรับติ่งโดยเฉพาะ 💓 ¦ พื้นที่ลี้ภัย ช่วยมีความสุขมากๆในพื้นที่ตรงนี้เลยได้ไหมอ่ะตัวกู
4,8,2021-03-07 12:45:57,#สภาวะลืมรัก,triple_p97,"💚𝐆𝐎𝐓𝟕🐣  || 𝕄𝕋𝔹𝔹 ||  XCVII ||
You make me smile. 😊",28,อ่านจบ คือ ฉันอยากได้พักพิง น้องน่ารัก แต่... ฉันไม่ใช่นะโม ถามน้องจะน่ารักกับฉันมั้ยยย #สภาวะลืมรัก, /สภาวะลืมรัก,2,1,fourthachic,chic or shift .. แต่ก็มี 'หาย' ตามหลังอยู่ดี | แอคสำหรับติ่งโดยเฉพาะ 💓 ¦ พื้นที่ลี้ภัย ช่วยมีความสุขมากๆในพื้นที่ตรงนี้เลยได้ไหมอ่ะตัวกู
5,13,2021-03-07 10:58:00,#สภาวะลืมรัก,itsnowtimee,— wish you all the happiness ‧⁺ 🕯🧇🦋💻 ₊˚ˑ.,549,"852》#สภาวะลืมรัก
By ฅนถ่อย
Feelgood+Drama พระเอกคลั่งรักจ้ะแสนดีมากผัวในอุดมคติสุดๆโดนด่าโดนซึนใส่ยังไงก็รัก นายเอกคนซึนปากร้ายแต่ลึกๆแล้วอ่อนแอมากเพราะความสัมพันธ์ในครอบครัวติดลบอ่ะ พระเอกคือคนที่ทำให้น้องยิ้มได้จริงๆ เขินมากแม่!! [9/10]

#แนะนํานิยายวาย
https://t.co/Bqq2BvlLeO https://t.co/bwrC6j6Jur", /สภาวะลืมรัก,384,654,lady_yyyyy,|  แนะนำนิยายวายตามอารมณ์  |  #จบแล้วทุกเรื่อง  | 14.09.2017  |  รีวิวนิยายอยู่ใน Favorite ❤  |  ฉันไม่ได้หยิ่ง ฉันแค่ความจำสั้น  |  ติดต่องานได้ใน DM นะฮะ  |
6,14,2021-03-07 10:18:41,#สภาวะลืมรัก,sssss10330,,298,เห็นแล้วนึกถึงพักพิง #สภาวะลืมรัก https://t.co/1az4fco8al, /สภาวะลืมรัก,2,2,myladyIndy,ผ่านเลยไปและไม่เคยจะกลับมา.
7,15,2021-03-07 10:03:37,#สภาวะลืมรัก,kaifeng41,"— ☽ #ใจฟังพี่ #คนนี้มาวิน

แอคสำรอง @kontoi41 | ɪᴅᴏɴᴛᴡᴀɴɴᴀʙᴇʏᴏᴜᴀɴʏᴍᴏʀᴇ..",4346,อยากอ่านสเปปป ไรท์จะมีให้ซักตอนมั้ยยยย 🥺🥺🥺 #สภาวะลืมรัก, /สภาวะลืมรัก,1,0,Mallykim,
8,16,2021-03-07 10:03:36,#สภาวะลืมรัก,kaifeng41,"— ☽ #ใจฟังพี่ #คนนี้มาวิน

แอคสำรอง @kontoi41 | ɪᴅᴏɴᴛᴡᴀɴɴᴀʙᴇʏᴏᴜᴀɴʏᴍᴏʀᴇ..",4346,อยากให้ทุกคนได้มาอ่าน คือแบบบบบบดีมากกกก งื้ออออ #สภาวะลืมรัก, /สภาวะลืมรัก,1,0,Mallykim,
9,17,2021-03-07 10:03:34,#สภาวะลืมรัก,kaifeng41,"— ☽ #ใจฟังพี่ #คนนี้มาวิน

แอคสำรอง @kontoi41 | ɪᴅᴏɴᴛᴡᴀɴɴᴀʙᴇʏᴏᴜᴀɴʏᴍᴏʀᴇ..",4346,อยากมีพี่นะโมเป็นของตัวเอง คลั่งรักไม่ไหววววแล้ววววววววว #สภาวะลืมรัก, /สภาวะลืมรัก,1,1,Mallykim,
