,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-09 05:14:01,#สาววาย,W5cKKXZBE9GECsx,мs•κჩυиɨтα,0,"เป็นสาววาย เป็นหรือเปล่า!?

#สาววาย  #ความรัก
#อนิเมะวาย #อนิเมะ https://t.co/kGhVf5an2P", /สาววาย/ความรัก/อนิเมะวาย/อนิเมะ,0,1,W5cKKXZBE9GECsx,мs•κჩυиɨтα
1,1,2021-03-08 14:56:29,#สาววาย,inthahuksa,虾❤,1,"มึง ผิดสัญญา😢 
#OneLovetheseries 
#ໜຶ່ງ 
#ເອ້
#ບ໋ອບບີ້
#ໜຶ່ງເດໂມ້
#วายๆ
#สาววาย 
#yaio https://t.co/rjbfWnUzaN", /OneLovetheseries/ໜຶ່ງ/ເອ້/ບ໋ອບບີ້/ໜຶ່ງເດໂມ້/วายๆ/สาววาย/yaio,1,1,inthahuksa,虾❤
2,3,2021-03-08 10:51:32,#สาววาย,RetweetYaoi,bot that retweets every tweet with the word yaoi your welcome,1761,"ทำไมพอเข้าวงวาร #นิยายวาย #ซีรี่ย์วาย #คู่จิ้นวาย แล้วถึงออกยาก ออกไม่ได้ ต้องวนลูปไปเรื่อยๆอ่ะ 

งงมะ งงเด้
ขอเหตุผลหน่อยค่ะ
#yaoi #สาววาย #หนุ่มวาย", /นิยายวาย/ซีรี่ย์วาย/คู่จิ้นวาย,1,0,ArpamasB,"may your choices reflex your hopes, not your fears"
3,5,2021-03-08 09:45:04,#สาววาย,Your31810202,ฉันเป็นเพียงคนเหงาคนนึงบนโลกใบกว้าง,5,"มังงะวาย เรื่อง:sura's lover 
#สาววาย #มังงะ #มังงะวาย #แนะนํามังงะวาย 

อ่านได้ที่:https://t.co/tQy62ytBiF https://t.co/70eLiEDKle", /สาววาย/มังงะ/มังงะวาย/แนะนํามังงะวาย,5,5,31555717R,날 사랑 해줘🔞
4,6,2021-03-07 18:52:29,#สาววาย,Stamp_waewan,รีทุกอย่างที่ขวางหน้า หวังอี้ป๋อคือเดอะเบส //เมียและแม่ #ป๋อจ้าน #ปรมาจารย์ลัทธิมาร #หวังอี้ป๋อ #theuntamed #wangyibo #Moriartythepatriot #มอริอาร์ตี้,48,#อนิเมะวาย2018 อีกเรื่องที่คิดว่า ควรดูเวลาอยู่คนเดียว Yarichin bitch club ว่าด้วยเรื่องของรรชายล้วนที่..... นายจะตั้งชมรมแบบนี้ม่ายยยยด้ายยยยย นี่ว่ามัน18+ ใช่มะ ใช่ซิ  #yaoi #อนิเมะวาย #แนะนำการ์ตูนวาย #สาววาย #นิยายวาย, /อนิเมะวาย2018,27,25,iashafzz,
5,7,2021-03-07 18:13:22,#สาววาย,king56952,"#อยากเป็นนักเขียนนิยาย
( ||| )",14,"ออกมาแค่2ep.ก็รู้สึกว่ามันดีมากกกก 
นางเอกเราจ้องพระเอกแบบดูก็รู้ว่าหนูชอบเขาตั้งแต่แรกเจอ (•////•) ความนิยายอะเนาะ
#นับสิบจะจูบ #lovely_writer #ซีรี่ย์วาย #สาววาย", /นับสิบจะจูบ/lovely_writer/ซีรี่ย์วาย/สาววาย,0,1,king56952,"#อยากเป็นนักเขียนนิยาย
( ||| )"
6,8,2021-03-07 16:58:07,#สาววาย,_050613_,"หยั่มมายุ่งจับนุ๋ ใครเบียดเรือเราหยิกจิ๋มนะ ไอ้หน้าช้างน้อย
ชาติ ศาสนา #kookmin ทรงพระจาเริน",4,Number 24 แนะนำอนิเมะจิ้นวายเรื่องนี้เลยค่ะ เหมือนฮาเร็มวายอ่ะ มันไม่วายแต่โคตรวายอ่ะแก  อยากให้นัตสึจิ้นกับคนไหนก็จัดไปค่ะ น้ำตาจะไหล ไปเป็นแฟนกันไป๊! โชตะค่อนตะเร้ก อุ้มกันเก่งง #แนะนำอนิเมะจิ้นวาย #อนิเมะวาย #สาววาย https://t.co/WZFQDoUBQi, ,15,33,dopxminee,@bts_twt @paxnini #ให้มันจบที่รุ่นเรา
7,9,2021-03-07 16:38:06,#สาววาย,Inin50017815,,0,"8 ตอนสั้นๆ  เมะ เป็น แมว 🐱

เคะ เป็น น้องชาย ของพี่สาว (ที่เลี้ยงแมว )

#จบแฮปปี้ นะคะ ❤️❤️ สุดท้ายนองก็กลับมาอยู่กับพี่สาว และแมวน้อยของเค้า🐱🐾🐾

#ซีรี่ส์วาย
#สาววาย 

** ไปตามดูได้นะ ฉายจบแล้ว * https://t.co/eOMah5O9as https://t.co/Utn9vENGPA", /จบแฮปปี้,2,3,Nnoonueng,Y ตัวใหญ่เท่าฝาบ้าน/ #ติ่งจีน/  #YuzuruHanyu ตามไปดูรีวิว #Nnoonueng ไม่ใช่แอด แค่คนติ่งคนนึง #ไบร์ทมิวซ์  / #ศิวัช ig:_ love_yyy_ลิ้งรวมซีรี่ย์👇
8,10,2021-03-07 09:29:49,#สาววาย,612_yuko,@BTS_twt 🌺널 만난건 이 우주가 빚어낸 한 편의😊😊🍁@GOT7Official-แท็กรีวิวของ #ปีโป้รีวิว #ปีโป้ปล่อยของ 🤗🤗ส่งของทุกวันนะคะ🙏🙏 ✖ไม่โกงแน่นอน✖ 💜💜💜💜💜💜namjin,36,"อะเระ..ทำไมกูต้องยิ้ม #สาววาย 💕
#ดูวนไป รอบที่เท่าไหร่แล้วจำไม่ได้ 
รัก #นัตสึเมะ https://t.co/Fl6H9ka7T7", /สาววาย/ดูวนไป/นัตสึเมะ,20,20,EYeSpopPER,🐾⋆ สัพเพเหระ ฯลฯ
9,11,2021-03-07 09:09:40,#สาววาย,sunflower_zaii,,28,เราอ่านแค่​ ครั้งเดียวนะ​  เรื่องนี้ดีมาก​  มากที่สุด​ เราทัชใจ​ ‼️ 2​29 บาท​ รวมส่ง‼️เลยน๊า#ป่าห่มรัก #นิยายวายมือสอง #นิยายวายมือสองสภาพดี #หนังสือมือสอง #สาววาย https://t.co/9As79JuiG4, /นิยายวายมือสอง,1,2,PSiriruang,Kasetsart University
10,13,2021-03-07 07:21:43,#สาววาย,ChompuJts,#หวานใจมิวกลัฟ #มิวกลัฟ #แจฮยอน #bts #got7 #gulf #mew,4,"https://t.co/tSGNmzby87

เลิกบูลลี่ได้แล้ว 🙂

#หวานใจมิวกลัฟ
#mewsuppasit
#gulfkanawut
#youtube
#สาววาย
#ซีรี่ย์วาย
#พิมรี่พาย
#ผิดเพศ", /หวานใจมิวกลัฟ/mewsuppasit/gulfkanawut/youtube/สาววาย/ซีรี่ย์วาย/พิมรี่พาย/ผิดเพศ,0,1,ChompuJts,#หวานใจมิวกลัฟ #มิวกลัฟ #แจฮยอน #bts #got7 #gulf #mew
11,14,2021-03-07 02:52:23,#สาววาย,6nTMSy5EeCoGa3x,,0,"เเจก เซ็ตพวงกุญเเจ ออกค่าส่งเอง 40-. ได้พกจ.4ชิ้น💌👏
การ์ดมินิ 4 ชิ้น💌👏
(เเอดสุ่มให้นะคะ)🌼☁️
รับวอเลท/ธนาคารน้า💚
#พร้อมเบนซ์  #หยิ่นวอร์  #สาววาย #เเจกฟรีออกค่าส่ง #หยิ่น #วอร์วนรัตน์  #พร้อมราชภัทร https://t.co/mlJkWY5vvv", /พร้อมเบนซ์,1,3,Shop0104,ขายเซ็ต ต้าวน่ารักๆ โปสการ์ด พวงกุญเเจ การ์ดมินิ ราคาน่ารัก ฝากร้านใว้ในอ้อมอกอ้อมใจด้วยนะคะ✨🥰💗🌻
12,16,2021-03-06 06:58:27,#สาววาย,aperthhh,พซปฟก 🖤❤️ support @perthppe @saint_sup,3,🙂#สาววาย #แคปชั่นเด็ดๆ #แคปชั่น https://t.co/Bry7SgjNOI, /สาววาย/แคปชั่นเด็ดๆ/แคปชั่น,1,0,aperthhh,พซปฟก 🖤❤️ support @perthppe @saint_sup
13,18,2021-03-06 04:32:24,#สาววาย,Team_Bosszo,♡ @bosszo5 ♡ 👑#Thefacementhailand3 🎬#Kantana,19,"#บอสโสะ #ทาสโสะ
#บอสเดอะเฟส
#บอสเด็กง่วง 
#บอสธวัชนินทร์
#รักบอสคนนี้ไม่ได้ต้องการคนดีที่ไหน  
#หอซ่อนรัก #ซีรี่ย์วาย #สาววาย https://t.co/7dKlxRXjr8", /บอสโสะ/ทาสโสะ/บอสเดอะเฟส/บอสเด็กง่วง/บอสธวัชนินทร์/รักบอสคนนี้ไม่ได้ต้องการคนดีที่ไหน/หอซ่อนรัก/ซีรี่ย์วาย/สาววาย,0,1,Team_Bosszo,♡ @bosszo5 ♡ 👑#Thefacementhailand3 🎬#Kantana
