,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-25 13:51:28,#สิบสามเครย์,_CY0928,Drivin' through the night,71,"#สิบสามเครย์ นอ.เป็นดาราดังมีวันไนท์กับพอ.เเล้วชอบเค้าพอ.เป็นคนนศ.โลกส่วนตัวสูงนอ.ไปๆมาๆห้องพระเอกบ่อยๆเเต่ก็ถูกไล่ถูกว่าเเรงๆกลับมาตลอดเรื่องนี้เปิดมาหม่นๆสงสารนอ.สุดเเต่พอพอ.เปิดใจกะคือหวานไม่ไหวncเเซ่บใครชอบเเนวเมะเด็กคือไปอ่าน10/10
#เเนะนำนิยายวาย #รีวิวนิยายวาย https://t.co/LV8kq8ciWn", /สิบสามเครย์,18,15,Cartoon41917326,i miss you
1,1,2021-02-25 08:08:28,#สิบสามเครย์,babananaaa__,,31,"ช่วงนี้เรากำลังตามอ่านนิยายของคุณเจย์อยู่ 
ที่อ่านๆ ไปบ้างแล้วก็มี #รัตติจันทร์พันกร
#เมกาโลมา #ห้าทุ่มถึงเที่ยงคืน #สิบสามเครย์ แต่ตอนนี้คือหลงพี่ทีเร็กซ์ไม่ไหว #ทีเร็กซ์ข้างห้อง ประเด็นคือ NC ในเรื่องหาอ่านได้ที่ไหน หรือตอนนี้มีเล่ม มี ebook แล้ว (1) https://t.co/dDQ6721zz5", /รัตติจันทร์พันกร/เมกาโลมา/ห้าทุ่มถึงเที่ยงคืน,2,4,mikiklay,• ฉันแฮปปี้ที่เห็นผู้ชายรักกัน •
2,4,2021-02-24 17:40:16,#สิบสามเครย์,kttiinn,คริคริ,1,29] #สิบสามเครย์ {8.5/10} เรื่องนี้เริ่มต้นมาที่ดราม่าเลยพระเอกนายเอกมีความสัมพันธ์กันแค่วันไนท์สแตน นายเอกเป็นดารา นายเอกชอบทำตัวเข้าไปใกล้ๆพระเอกแต่พระเอกไม่ได้อะไรด้วย หน่วงๆแต่ดี #แนะนํานิยายวาย https://t.co/s2lKwjG6Rq, /สิบสามเครย์,6,6,JINYOUN77976614,"คลั่งรักจินยอง🍑 ทาสรัก GOT7💚
💟YOU ARE MY EVERYTHING💟
|GOT7💚IGOT7|

 #JYIGallery"
3,5,2021-02-23 19:40:33,#สิบสามเครย์,_sundaytomonday,BIGBANG EXO iKON NCT127 Stray Kids #JOHNJAE #KAIHUN #BounPrem,399,"ไหนๆก็แมสแล้วขอรีวิวบรรดาผัวๆเพิ่มอีกสักนิดแล้วกัน

#ทูนหัวของหนู ผัวโหด
#สิบสามเครย์ ผัวชอบแมว
#ปลื้มคนโปรด ผัวเรารึเปล่า
#เจตจำนงของเจ้าฟ้า ผัวพี่เจต
#ฟ้าสั่งให้เลิกรัก ผัวเก่าที่รักเรามาก
#หมีอย่ามาดุ ผัวแอทแทคเก่ง
#เฟคเฟรม ผัวไม่รู้จักคิด 
#ชะตาลิควิด ผัวสายเปย์", /ทูนหัวของหนู/สิบสามเครย์/ปลื้มคนโปรด,139,131,99Benyapa,เธอยังคงงดงาม ฉันยังคงรักเธอ 🥀
4,7,2021-02-22 08:07:12,#สิบสามเครย์,Pomelo__19,"🐢🦁
เป็นแฟนคลับจนๆของคุณพีกับพี่สิง😬",42,"ในที่สุดฉันก็ได้.....​น้อนมาถึงแล้ววว
#สิบสามเครย์
ซื้อเล่มเเรก... แล้วเล่มที่สองสามสี่ก็จะตามมา https://t.co/OH4AWJpdE2", /สิบสามเครย์,0,0,Pomelo__19,"🐢🦁
เป็นแฟนคลับจนๆของคุณพีกับพี่สิง😬"
5,8,2021-02-21 05:42:10,#สิบสามเครย์,livingnott,,11,มีใครจะบอกบุญฟิควายใน #readAwrite พระเอกซึนๆแสดงออกไม่ค่อยเก่ง เหมือนจะไม่สนใจแต่จริงๆคลั่งรัก เหมือนโยธา #วิศวกรรณโยธา หรือสาม #สิบสามเครย์ บ้างไหมคะ, /readAwrite/วิศวกรรณโยธา/สิบสามเครย์,0,0,livingnott,
6,9,2021-02-20 15:15:35,#สิบสามเครย์,saiimai2000,"single
บ่นไปเรื่อย",1,"#ชอบก็แค่พี่
#ห้าทุ่มถึงเที่ยงคืน
#หมอดินไม่อินเครื่องกล
#สิบสามเครย์
#เมกาโลมา
#รักอิสระ
#อันน์เป็นนิรันดร์
#บ๊วยคือที่หนึ่ง
#จักรวาฬใต้สมุทร
#เดือนที่สิบสององศา
#ใส่รักป้ายสี
#แฟนอยากไซ้

#นิยายวาย #แนะนํานิยายวาย", /ชอบก็แค่พี่/ห้าทุ่มถึงเที่ยงคืน/หมอดินไม่อินเครื่องกล/สิบสามเครย์/เมกาโลมา/รักอิสระ/อันน์เป็นนิรันดร์/บ๊วยคือที่หนึ่ง,4,2,ktnscpp,...............
7,10,2021-02-19 15:54:35,#สิบสามเครย์,penrayhu,"เป็นม่ามี๊ของม่ะใช่เมีย!୧( ˵ ° ~ ° ˵ )୨
𝐌𝐎𝐀 ♡ 𝐀𝐑𝐌𝐘 ♡ 𝐓𝐑𝐄𝐀𝐒𝐔𝐑𝐄 𝐌𝐀𝐊𝐄𝐑 ♡",9,"สำหรับใครที่หานิยายอ่าน ขอแนะนำนิยายของนักเขียนคนนี้เลย ปลื้มปริ่มมากಥ_ಥ #แนะนํานิยายวาย #นิยายวาย 💛💛💛
#ห้าทุ่มถึงเที่ยงคืน #ทีเร็กซ์ข้างห้อง
#หมอดินไม่อินเครื่องกล #จนกว่าจะรักกัน
#รัตติจันทร์พันกร #เลกาโลมา
#ดูงูที่ห้องเฮีย #เฟคแฟม  #สิบสามเครย์
#สิงหาคิดมาก #ทูนหัวของหนู https://t.co/C6ZkzxV9y7", /แนะนํานิยายวาย/นิยายวาย/ห้าทุ่มถึงเที่ยงคืน,24,25,wwaarrwar,"🧁·˚ ༘♡ ₊˚📝🎅🏻·˚ˎˊ˗
🐩🍓✧ ࿐ ˚.
ミ🌷♡📄.°୭̥ ⠀
✧₊˚. 🍓🗒 /
🐰☁️*⋆ฺ࿐
🗒彡🐕🌷🌨
📮 ♡ 🐰 ✩°
🏹🌷♡⋅₊˚.//
🍓🐇‧₊˚✧
彡🍯🌧🐻₊˚.༄
 ˚"
8,15,2021-02-18 23:41:34,#สิบสามเครย์,penrayhu,"เป็นม่ามี๊ของม่ะใช่เมีย!୧( ˵ ° ~ ° ˵ )୨
𝐌𝐎𝐀 ♡ 𝐀𝐑𝐌𝐘 ♡ 𝐓𝐑𝐄𝐀𝐒𝐔𝐑𝐄 𝐌𝐀𝐊𝐄𝐑 ♡",9,"ปรัช-คลาส #จนกว่าจะรักกัน 
เพลิงสิง-คริส #ทูนหัวของหนู
สิงหา-คิดมาก #เค้ารักตัวเองมาก
สาม-เครย์  #สิบสามเครย์ 
ปราช-พี    #เฟคแฟม
ทีเร็กซ์-คิล #ทีเร็กซ์ข้างห้อง
สิงห์ใหญ่-แคมป์ #เมกาโลมา
สนุกทุกเรื่อง", /จนกว่าจะรักกัน/ทูนหัวของหนู/เค้ารักตัวเองมาก/สิบสามเครย์,156,170,leenaphat_s,🌻 ทานตะวัน หลังรักพระอาทิตย์ 🌞
9,0,2021-02-03 07:38:35,#สิบสามเครย์,sell_thing1,ขายทุกอย่างที่ขายได้ ฮื่ออ😭#ขายการ์ตูนมือสอง #ขายนิยายมือสอง #ขายของkpop อื่นๆ ถามได้ตลอดแม่ค้าไม่กัดนะค่า 👉#sell_รีวิว,38,"‼️ลดจากราคาขายทุกเล่ม‼️
3-9ก.พ
แคปทวิตนี้แจ้งเรื่องที่ต้องการค่า
#นิยายวาย #whatifitsus #นิยายวายแนะนํา #คลั่งรักอันตราย #นิยาย #glassandsteel #สามนาฬิกา #ปานตะวัน #ฟ้าสั่งให้เลิกรัก #untiltruelove #thatswineiloveyou #หากแม้นสายนธีร์จะย้อนกลับ #สิบสามเครย์ #หลงหนู #นิยายแจ่มใส https://t.co/eJM8FmkPcq", /นิยายวาย/whatifitsus/นิยายวายแนะนํา/คลั่งรักอันตราย/นิยาย/glassandsteel/สามนาฬิกา/ปานตะวัน/ฟ้าสั่งให้เลิกรัก/untiltruelove/thatswineiloveyou/หากแม้นสายนธีร์จะย้อนกลับ/สิบสามเครย์/หลงหนู/นิยายแจ่มใส,0,1,sell_thing1,ขายทุกอย่างที่ขายได้ ฮื่ออ😭#ขายการ์ตูนมือสอง #ขายนิยายมือสอง #ขายของkpop อื่นๆ ถามได้ตลอดแม่ค้าไม่กัดนะค่า 👉#sell_รีวิว
