,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-10 14:12:24,#หัวหน้าเป๋,Assessiiiii,,27,"[จบแล้ว] หัวหน้าเป๋ #หัวหน้าเป๋ 
โดย : littleskyofme

เรื่องความรักวัยมัธยมของเด็กกรุงเทพที่หนีปัญหาชีวิตไปที่เหนือ กับเด็กเหนือที่เป็นหัวหน้าห้องตัวแสบ แต่อย่าคิดว่าจะเป็นแค่เรื่องรักวัยรุ่นใสๆ เพราะมันมีอะไรมากกว่านั้น

https://t.co/LOCjjCa2hB

#แนะนํานิยายวาย #รีวิวนิยายวาย https://t.co/RIiMIgpf00", /หัวหน้าเป๋,11,10,mmmnnniiil,: นิยายวาย หนัง เพลง ทุกอย่างที่อย่างแบ่งปัน
1,1,2021-03-07 14:46:11,#หัวหน้าเป๋,phsmlism,"ทาสรักน้องจีมินคนสวย ชอบเธอนะคะเจโน่ คลั่งรักนายมาร์คลี ต้าวโยฮัน พี่ซึงยอน รักเธอด้วยนะคะเบ้บ โดฮยอนขา
NCT BTS YOHAN WOODZ LEE DOHYUN",60,ไปอยู่ไหนมาทำไมเพิ่งเคยได้อ่าน #หัวหน้าเป๋ เรื่องของเอื้อกูล พอ.เป็นเด็กรวยบ้านมีปัญหาเลยหนีพ่อแม่ไปอยู่บ้านยายบนดอย แล้วดันไปเจออินตา นอ. เด็กพิการข้างบ้าน แรกๆทะเลาะจะตบกัน แถมเด็กนี่ดันไปเป็นหัวหน้าห้องที่รรใหม่อีก เรื่องแบบฟีลกู๊ดสะท้อนสังคม อ่านแล้วฮีลใจ #แนะนำนิยายวาย, /หัวหน้าเป๋,9,8,gupenkondrama,
2,2,2021-03-07 13:31:52,#หัวหน้าเป๋,Dream_ncw,blue & grey ⁎⁺˳ // #gukkooxds // #give_adream,3795,"8. #หัวหน้าเป๋ จบแล้วว

 — น่ารักมากกแบบมากกกก เราชอบภาษาเหนือพยายามอ่านตามคำไปด้วยค่ะ5555 น่ารักจิงทุกคนไปอ่าน!!! เอื้อกุ๋น อินต๋า !

https://t.co/wOAjPMdMjJ", /หัวหน้าเป๋,1,4,Dream_ncw,blue & grey ⁎⁺˳ // #gukkooxds // #give_adream
3,3,2021-03-05 11:55:58,#หัวหน้าเป๋,tshhh__,,26,"พี่พร้อม #ดีพร้อมพงษ์
พี่คุณ #ณพระจันทร์
คุณหน #GAABstory โคตรเปย์555
เอื้อกูล #หัวหน้าเป๋
ทะเล #นี่ท้องฟ้านะทะเล 
#อันน์เป็นนิรันดร์ สลับโพกับไรท์🥺
เดฟ #เดฟฟลอยด์ เพ้ออยู่เป็นอาทิตย์
พี่เซียส #จารวีคลั่งรัก 
พี่ปุ่น #ไออุ่นศูนย์องศา
พี่ยู #ISawYouimd
เมฆ #จากปลายหญ้าถึงก้อนเมฆ", /ดีพร้อมพงษ์/ณพระจันทร์/GAABstory/หัวหน้าเป๋/นี่ท้องฟ้านะทะเล,11,10,secretofjm,"ไดอารี่ รีวิวนิยาย หม่ามี้น้องม้าคหยางหยาง

โพเด่กพุ้ชายตลอดมาตัลหลอดปัยค่า
@.onyourm__ark"
4,4,2021-03-04 13:21:36,#หัวหน้าเป๋,NovelsRiri,"นักเขียนนิยายวาย แวะอ่านกันได้นะคะ #นิยายของริริ #เล่ห์ลวงพยัคฆ์ #ปราบซ่า #ขยับเพื่อนเลื่อนเป็นรัก
ร้านค้า https://t.co/U0OHp6SBF1
รีนิยายตัวเองเยอะ!",736,"💗นิยายที่อ่านปี 64💗
#หัวใจขายฝาก
#วิญญาณเสน่หา
#เจ้าป่า
#รักนี้มีเคลียร์
#ทีเร็กซ์จะไม่ดื้อ
#ภรรยาโดยพฤตินัย
#ฝนตกแล้วเจซ
#ใครเพื่อนมึงคร้าบ
#เมืองมีเธอ
#หากผมชอบสีชมพู
#หัวหน้าเป๋
#อรุณรุ่ง
#แดดดี๊ของโนอา
#สถานะซึนโซน
#ปรนเปรอรัก
#รักนี้อาจเป็นนาย", /หัวใจขายฝาก/วิญญาณเสน่หา/เจ้าป่า/รักนี้มีเคลียร์/ทีเร็กซ์จะไม่ดื้อ/ภรรยาโดยพฤตินัย/ฝนตกแล้วเจซ,5,4,oilmilo,what goes around ... comes around ...
5,5,2021-03-04 13:01:04,#หัวหน้าเป๋,listoestarantu,"#minthxdamahaespaña
                              
#มินธะมหาสเปน

                                                 ยิ่งกว่าไบโพลาร์อี๊ก",1,"เรื่องราวของเด็กหนุ่มที่บ้านมีปัญหาแล้วหลบขึ้นเหนือไปอยู่คุณยาย เลยเจอกับเพื่อนบ้าขาเป๋ ปากจัด แต่น่ารักมาก ๆ #หัวหน้าเป๋ นั่นเอง
#readAwrite4ขวบ", /หัวหน้าเป๋/readAwrite4ขวบ,0,0,listoestarantu,"#minthxdamahaespaña
                              
#มินธะมหาสเปน

                                                 ยิ่งกว่าไบโพลาร์อี๊ก"
6,6,2021-03-03 12:29:49,#หัวหน้าเป๋,febusnovels,ชอบเขียนอะไรที่คนไม่ค่อยอ่าน | #หลงมาที่สาทร #หลงราม #พี่กู้ภูมิใจ #เล็กจะไม่แพ้กิม,104,"อาทิตย์นี้อ่านนิยายจบไปหลายเรื่อง ชอบทุกเรื่องเลย
#มังกรซ่อนเพชร 
#หัวหน้าเป๋ เรื่องนี้น่ารักมากแบบมากๆๆๆ แถมเสียน้ำตาให้เอื้อกุ๋นไปเยอะอยู่
#เล็กจะไม่แพ้กิม ผัวแฟชั่นนิสต้าเริ่ดมาก 
#หยงฟังตงก่อน อันนี้คือแนวที่ชอบเลย ดีงาม", /มังกรซ่อนเพชร/หัวหน้าเป๋,1,0,skulpture_,บ่นขิงบ่นข่า/TaoHun/น้องฮุนก็คือน้องฮุน//เป็นด็อบบี้ที่รอถุงเท้าจากน้องฮุน//ติ่ง*จน*แก่แล้ว `EXO/ยูอาอิน/โซจิซบ`
7,0,2021-02-01 11:35:28,#หัวหน้าเป๋,mkmk_bncx,Rr L K B.,11,ดะเบสออฟพระเอกตอนนี้ยกให้เอื้อกูล อบอุ่นตี้ซู้ดดด #หัวหน้าเป๋, /หัวหน้าเป๋,0,0,mkmk_bncx,Rr L K B.
8,1,2021-02-01 01:09:09,#หัวหน้าเป๋,adorebiechaba,(*ᴗ͈ˬᴗ͈)ꕤ* คัตจังนางิสะรินโบคุโตะซาโจสึมุซามุกอนคิรัวร์มาฮิโตะมาฟุยุ👶🏻🎀,172,เรื่องนี้ #หัวหน้าเป๋ อ่านกันเยอะ ๆๆๆๆๆๆ มาอ่าน ๆๆๆ, /หัวหน้าเป๋,0,0,adorebiechaba,(*ᴗ͈ˬᴗ͈)ꕤ* คัตจังนางิสะรินโบคุโตะซาโจสึมุซามุกอนคิรัวร์มาฮิโตะมาฟุยุ👶🏻🎀
9,2,2021-02-01 01:08:32,#หัวหน้าเป๋,adorebiechaba,(*ᴗ͈ˬᴗ͈)ꕤ* คัตจังนางิสะรินโบคุโตะซาโจสึมุซามุกอนคิรัวร์มาฮิโตะมาฟุยุ👶🏻🎀,172,อ่าน #หัวหน้าเป๋ รอบที่263637 ก็ยังร้องไห้เหมือนเดิมตอนที่อินต๋าไม่เขียนอะไรลงในกระดาษเลยว่าจบไปแล้วจะทำอะไร อินต๋าแบบ ㅠㅠㅠㅠㅠ น้องก็ตัวแค่นั้น ฮือ ㅠㅠㅠ  เก่งมาก ๆ เลย ๆๆๆ แง ขอบคุณโลกนี้ที่มีเอื้อกูล ขอบคุณที่อยู่ข้าง ๆ อินตานะแก ㅠㅠ, /หัวหน้าเป๋,0,1,adorebiechaba,(*ᴗ͈ˬᴗ͈)ꕤ* คัตจังนางิสะรินโบคุโตะซาโจสึมุซามุกอนคิรัวร์มาฮิโตะมาฟุยุ👶🏻🎀
