,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-12 02:54:15,#หายใจสิเจซ,mshika_ss,"Writer | TH
Daddy's boy ระหว่างเราและคืนนั้น",8,"TAKE A DEEP BREATH #หายใจสิเจซ โดย Avery Pie
นิยายวายใหม่สาย BDSM 

เมื่อใครบางคนกลับมาทวงสิ่งที่สูญเสียไป
ความลับที่ปกปิดไว้จึงสั่นคลอน
เกมกระดานกำลังเดินหน้า บีบบังคับให้ต้องสังเวยลมหายใจ
บนความสัมพันธ์ที่ไม่ใช่คนรักและกลืนกินทั้งสองจนไม่เหลือซากความเป็นคน

 #CaffeinePublishing https://t.co/2G3m2dSX7L", /หายใจสิเจซ,89,77,Caffeine_Pub,ช็อตเดียวอยู่! พร้อมเสิร์ฟงานเข้ม แรงและทำให้ใจสั่นขั้นสุด 20+ และ 25+ | Caffeine Publishing สำนักพิมพ์ในเครือบริษัท สถาพรบุ๊คส์ จำกัด
1,2,2021-03-12 00:57:48,#หายใจสิเจซ,bbestprw,IG:Bestprw,28,#หายใจสิเจซ แนะนำนิยายน่าสนใจอีกเรื่องแนวสายพอร์นสายแช่บยั่วๆค้าเปีดเรื่องมาเอากันเลยงี้ BDSM SM พระนายเป็นคู่นอนกันค่า “ความสัมพันธ์ที่ไม่ใช่คนรัก แต่กลับกลืนกินเราจนไม่เหลือซากความเป็นคน” เปิดเรื่องมาก็น่าตามมากฮื่อเพิ่งสองตอนเองนะคะ #แนะนำนิยายวาย https://t.co/xp9JLHBanc, /หายใจสิเจซ,51,88,somsomreview,รีวิวแต่นิยายที่ชอบ รับบทลูกอิขายของเก่ง||ความชอบของแต่ละคนไม่เหมือนกันโปรดเข้าใจด้วย||#แนะนำนิยายวาย||คลังวายของผู้สุดแสนจะคลั่งรักนิยายวาย✨🍊📚
2,5,2021-03-11 11:44:01,#หายใจสิเจซ,_Wavelife,,226,"🌟[Caffeine] Coming Soon! 
🔸TAKE A DEEP BREATH #หายใจสิเจซ 
🔹by Avery Pie 💸 (330฿)
📚 https://t.co/em5YJ3f5ZN
#นิยายวาย #แนะนํานิยายวาย https://t.co/iueCbByjtR", /หายใจสิเจซ/นิยายวาย,14,10,jaoyingkalong1,วันเดอร์แลนด์แดนวาย | นอนจมในดงกองดอง | รวมนิยายวายเปิดจองใน fav. | LFC เข้าเส้นเลือด
3,9,2021-03-11 10:02:05,#หายใจสิเจซ,KwangKwangKwan6,"เปิดไว้ติดตามนิยายวาย 🤟 ดองกี้,ฅนถ่อย",0,"Coming Soon🎉Caffeine Publishing
🌟TAKE A DEEP BREATH #หายใจสิเจซ ▪️by Avery Pie
🔹มีทั้งแบบรูปเล่มและe-Book
🔹368 หน้า (เล่มเดียวจบ)
🔹ราคาปก330฿
🚫BDSM/NC 25+🚫
📚ลองอ่าน:https://t.co/Rx0oPR5qln
📍เพิ่มเติม:https://t.co/GNw4RSho14
#นิยายวาย #แนะนํานิยายวาย https://t.co/jbB0IwddBg", /หายใจสิเจซ,18,14,littlejune_p,"🐇•JUNE•💫
📍แจ้งข่าวสารY นิยายY ต่างๆ😳
💬อ่านนิยายแล้วบอกต่อ
😂เราจะถล่มกองดองไปด้วยกัน~☺️
📚นิยายที่สปอยล์👉 #จูนอ่านนิยาย
📣ขายนิยายวายอ่านเอง สภาพดี☺️"
4,26,2021-03-10 03:50:19,#หายใจสิเจซ,Jajahhhh45,เจ้าของนามปากกา​ 11:22​ AM​ (สิบเอ็ดนาฬิกายี่สิบสองนาที)​📍กลับมาต่อ​ #ไออุ่นของกาแฟ​ หลังจากติดมหาลัยแล้วนะคับ​,411,"( 18🔞 ) — #หายใจสิเจซ คำเตือน ⚠️ เรื่องนี้รุนแรงมาก 
ใครบอกว่าเจซกลั้นหายใจคนเดียวคนอ่านก็กลั้นมันทุกตอน เผลอหยุดหายใจตลอด เพิ่งเข้าใจคำว่าหายใจสิเจซก็เอาตอนจบ สาหัสมาก คุณเอลยังคงแต่งได้ดีเหมือนเดิม เจซต้องผ่านอะไรมามาก ดีใจที่ตอนจบได้อยู่กับเควนติน ไม่สาหัสไปมากกว่านี้แล้วนะ🥺 https://t.co/t9liY8N6oK", /หายใจสิเจซ,13,14,amnotyouronlyme,อย่าถามว่าจะอัพวันไหน ฉันก็ไม่รู้เหมือนกัน
5,28,2021-03-09 14:59:17,#หายใจสิเจซ,Boonsita_aum,,8,ถามหน่อยค่ะ ใครคือพระเอกคะ55555. #หายใจสิเจซ, /หายใจสิเจซ,0,0,Boonsita_aum,
6,31,2021-03-09 13:32:59,#หายใจสิเจซ,_Wavelife,,226,"TAKE A DEEP BREATH #หายใจสิเจซ 
วางขายเร็วๆ นี้ ราคาปก 330
เพิ่มเติม https://t.co/fJHtduyzsE https://t.co/sft3mjpSuP", /หายใจสิเจซ,10,6,whynnn,★彡 🏳️‍🌈
7,43,2021-03-09 08:46:29,#หายใจสิเจซ,Mimpa____,🍰🍭🍨🍩,6,"พูดได้คำเดียวว่า "" เอาเงินไปเลยค่ะ!!! "" เป็นแนวBDSM โดยคูม @ael_2543 เช่นเคยเพราะหวีดอยู่คนเดียว ฮ่าฮ่าฮ่า มีหลากหลายอารมณ์มากจะคลั่งรัก เศร้า ปวดตับ ร้องไห้ตาม อมยิ้ม หมั่นไส้จนอยากเข้าไปกระทืบเองก็ยังมี🤣 เตรียมเก็บเงินซื้อไว้เลยค่ะไม่ผิดหวังแน่นอน 
#หายใจสิเจซ #นิยายวายแนะนํา https://t.co/yXlLf8UwEA", ,11,11,daddy_baby_0 ael_2543,อย่าถามว่าจะอัพวันไหน ฉันก็ไม่รู้เหมือนกัน
8,49,2021-03-09 07:52:01,#หายใจสิเจซ,ael_2543,"เขียนเยอะปั่นไว | ไม่ทำงานวันเสาร์ | 
เปิดพรี : #ฤาฤทธิ์คล้องนาคา 
รอออกเล่ม : #หายใจสิเจซ
🆙 : #แค่สบตาก็จัดเต็ม | CUT : https://t.co/axtoLfQmdB",23739,[ #หายใจสิเจซ ] กลัวเพลย์มากแค่อ่านก็รู้สึกถึงความน่ากลัวของผู้ชายคนนี้อ่ะแล้วเจซต้องเจอผู้ชายคนนี้ตลอด ไม่แปลกใจเลยว่าทำไมการตายถึงเป็นทางเลือกที่มีดีที่สุด ยิ่งอ่านยิ่งกลั้นหายใจ ม่างงง เจซตัวแค่นี้อย่ารุนแรงมากนักได้ไหม ดีที่เจอเควนติน ขอบพระคุณความใหญ่โตและความมาดแมนของอิพี่, /หายใจสิเจซ,1,0,amnotyouronlyme,อย่าถามว่าจะอัพวันไหน ฉันก็ไม่รู้เหมือนกัน
9,87,2021-03-09 02:18:41,#หายใจสิเจซ,ael_2543,"เขียนเยอะปั่นไว | ไม่ทำงานวันเสาร์ | 
เปิดพรี : #ฤาฤทธิ์คล้องนาคา 
รอออกเล่ม : #หายใจสิเจซ
🆙 : #แค่สบตาก็จัดเต็ม | CUT : https://t.co/axtoLfQmdB",23739,ยัยแอลลล!! เธอจะไม่ให้พี่พักกดตุ่มโอนเลยใช่ไหมคะ! กรี๊ดดด มาอีกแล้ว  #หายใจสิเจซ, /หายใจสิเจซ,1,0,MEDJAi69_,เมดไจ | นิยายวาย-อนิเมะ-Kpop | #เมดไจขายของ | #เถื่อนStyle | 大切な人🍀 @WCWANWARx_
10,101,2021-03-09 01:32:04,#หายใจสิเจซ,amnotyouronlyme,อย่าถามว่าจะอัพวันไหน ฉันก็ไม่รู้เหมือนกัน,414,"#หายใจสิเจซ
รายละเอียดเพิ่มเติม 📌 https://t.co/RcpH5gsWfF

คำเตือน : NC 25+ มีการบรรยายพฤติกรรมทางเพศที่รุนแรง อาจะมีบางประเด็นที่กระทบจิตใจผู้อ่านได้ จึงควรใช้วิจารณญาณในการอ่าน", /หายใจสิเจซ,5,5,Caffeine_Pub,ช็อตเดียวอยู่! พร้อมเสิร์ฟงานเข้ม แรงและทำให้ใจสั่นขั้นสุด 20+ และ 25+ | Caffeine Publishing สำนักพิมพ์ในเครือบริษัท สถาพรบุ๊คส์ จำกัด
11,124,2021-03-08 15:16:16,#หายใจสิเจซ,rodkhaow,..,1,"ใครไม่ชอบแนวโหดๆ เลื่อนได้เลยนะ #หายใจสิเจซ #นิยายวายแนะนํา #จบ

https://t.co/HFAJ3CVEXS https://t.co/X6IcoZMMfd", /หายใจสิเจซ/นิยายวายแนะนํา/จบ,4,4,ckhwaamnp,จะรีวิวอะไรดี
12,125,2021-03-08 15:16:13,#หายใจสิเจซ,rodkhaow,..,1,อ่านแล้วอย่าลืมหายใจ แฮ่กๆ ขอเลือดด่วนค่ะ  #หายใจสิเจซ https://t.co/BtnA4FT5f6, /หายใจสิเจซ,4,0,Ffah2247,"มาร์คgot7 หวังอี้ป๋อ ไดสุเกะรวยมาก อนิเมะ ไร้สาระไปวันๆ
 น้ำเก๊กฮวยอร่อย
มีเงิน=ไม่ต้องทำงาน=มีเวลานอน(แต่ตอนนี้ต้องสู้ก่อนมีเงินเมื่อไหร่ค่อยว่ากัน)"
13,168,2021-03-08 06:40:48,#หายใจสิเจซ,kxpxxw_,,7,#หายใจสิเจซ เจซคือใคร #แนะนํานิยายวาย https://t.co/SMKXZljiAI, /หายใจสิเจซ/แนะนํานิยายวาย,11,9,saw91381756,ทวิตนี้ 99.9 % ไว้ลงรูปเด็กๆ .1% ทำงาน
14,178,2021-03-05 13:47:04,#หายใจสิเจซ,2546_napatsorn,โหลดไว้เพื่อไถทวิตฯ ไปเรื่อย ๆ จ้า,8,"""มาเอาจนลืมตายกันเถอะทูนหัว"" #หายใจสิเจซ", /หายใจสิเจซ,13,10,somsomreview,รีวิวแต่นิยายที่ชอบ รับบทลูกอิขายของเก่ง||ความชอบของแต่ละคนไม่เหมือนกันโปรดเข้าใจด้วย||#แนะนำนิยายวาย||คลังวายของผู้สุดแสนจะคลั่งรักนิยายวาย✨🍊📚
15,0,2021-01-30 23:50:39,#หายใจสิเจซ,ael_2543,"เขียนเยอะปั่นไว | ไม่ทำงานวันเสาร์ | #ฉลามคลั่งรัก #ฤาฤทธิ์คล้องนาคา #หายใจสิเจซ
NOW : #สิ้นพยัคฆ์แดนมังกร #จีบตอนรับแถมฟรีตอนรุก | CUT : https://t.co/Ujyq4HyNjw",23470,"• TAKE A DEEP BREATH •
: #หายใจสิเจซ", /หายใจสิเจซ,1,0,poxzxx,°อ่านนิยายวายไปเรื่อยเปื่อย° °รีรูป° ((((((เนม : ซอ)))))) °ทักมาคุยเล่นกันได้นะเค้าไม่กัดหรอกเน้อ°
16,1,2021-01-30 23:50:34,#หายใจสิเจซ,ael_2543,"เขียนเยอะปั่นไว | ไม่ทำงานวันเสาร์ | #ฉลามคลั่งรัก #ฤาฤทธิ์คล้องนาคา #หายใจสิเจซ
NOW : #สิ้นพยัคฆ์แดนมังกร #จีบตอนรับแถมฟรีตอนรุก | CUT : https://t.co/Ujyq4HyNjw",23470,ตอน 13 อยู่เลย เพลย์เป็นพระเอกได้ไหม ชอบ 55555555555  #หายใจสิเจซ, /หายใจสิเจซ,1,0,wybfeifei,𝐧𝐨 𝐫𝐞𝐥𝐚𝐭𝐢𝐨𝐧𝐬𝐡𝐢𝐭 #โฮสต์ห้องแดง #ที่นี่เมืองเถื่อนau
17,4,2021-01-30 08:12:59,#หายใจสิเจซ,mew_12_,I LOVE ASTRO AND AROHA 💜 차은우 💜 ค้าบ ค้าบ รักนะค้าบบบ 🇹🇭 #ASTRO  #아스트로,179,"อัพ #หายใจสิเจซ #นิยายวาย #นิยายวายแนะนำ 

""ตาย""

RAW : https://t.co/ROlG4NFdwe
FTL : https://t.co/4L8Q5hI5lo
___
TAKE A DEEP BREATH 17 : LAST CHANCE [100%
ฝากส่งฟีดแบ็กด้วยน้า https://t.co/r54Upot4nS", /หายใจสิเจซ/นิยายวาย/นิยายวายแนะนำ,14,16,ael_2543,"เขียนเยอะปั่นไว | ไม่ทำงานวันเสาร์ | #ฉลามคลั่งรัก #ฤาฤทธิ์คล้องนาคา #หายใจสิเจซ
NOW : #สิ้นพยัคฆ์แดนมังกร #จีบตอนรับแถมฟรีตอนรุก | CUT : https://t.co/Ujyq4HyNjw"
18,5,2021-01-30 08:12:39,#หายใจสิเจซ,mew_12_,I LOVE ASTRO AND AROHA 💜 차은우 💜 ค้าบ ค้าบ รักนะค้าบบบ 🇹🇭 #ASTRO  #아스트로,179,ในที่สุดก็แฮปปี้เอนดิ้ง ฮืออ อยากกอดทุกคนเลย กอดเจซ กอดเควนติน กอดไรท์ด้วย♡ #หายใจสิเจซ, /หายใจสิเจซ,2,3,inoeyyy13,รักฉันเรียกว่าบังทันโซยอนดัน
19,9,2021-01-30 00:03:01,#หายใจสิเจซ,ael_2543,"เขียนเยอะปั่นไว | ไม่ทำงานวันเสาร์ | #ฉลามคลั่งรัก #ฤาฤทธิ์คล้องนาคา #หายใจสิเจซ
NOW : #สิ้นพยัคฆ์แดนมังกร #จีบตอนรับแถมฟรีตอนรุก | CUT : https://t.co/Ujyq4HyNjw",23470,ในที่สุดก็ได้หายใจ จะได้มีความสุขสักทีนะเจซี่ #หายใจสิเจซ, /หายใจสิเจซ,1,0,__09kynxm,เป็นคนใจง่ายค่ะ ผู้ชายไม่มีสติหนูก็ชอบ❤️❤️
20,10,2021-01-29 15:28:35,#หายใจสิเจซ,payb0un1yin02,งุบงิบๆนุบนิบๆ ขอให้โลกนี้ใจดีกับแกที่สุดเลย(กุด้วย) @marktuan @bb0un @warwanarat บบบ #bsumone มายโป ✿ 🧾˚◞♡ ⃗ 🖖🏻 ༚ อากาเซ่,529,"อัพ #หายใจสิเจซ #นิยายวาย #นิยายวายแนะนำ

""ขอบคุณสำหรับทุกอย่างเควนติน""

RAW : https://t.co/UtaGcYOIWA
FTL : https://t.co/VcxpDi4gIk
___
TAKE A DEEP BREATH 16 : IN THE END [100%]
ฝากส่งฟีดแบ็กด้วยน้า https://t.co/mHInsywoDQ", /หายใจสิเจซ/นิยายวาย/นิยายวายแนะนำ,31,23,ael_2543,"เขียนเยอะปั่นไว | ไม่ทำงานวันเสาร์ | #ฉลามคลั่งรัก #ฤาฤทธิ์คล้องนาคา #หายใจสิเจซ
NOW : #สิ้นพยัคฆ์แดนมังกร #จีบตอนรับแถมฟรีตอนรุก | CUT : https://t.co/Ujyq4HyNjw"
21,23,2021-01-29 10:42:12,#หายใจสิเจซ,Neung_Reborn,,10,"กลั้นหายใจตามม อึดอัดไม่ไหว
#หายใจสิเจซ", /หายใจสิเจซ,2,0,__09kynxm,เป็นคนใจง่ายค่ะ ผู้ชายไม่มีสติหนูก็ชอบ❤️❤️
22,25,2021-01-29 03:34:23,#หายใจสิเจซ,inoeyyy13,รักฉันเรียกว่าบังทันโซยอนดัน,253,น้องเจซรู้กกกกกกกก หนูต้องได้กลับมาเป็นอีหนูของเควนตินนะ แงงงง #หายใจสิเจซ, /หายใจสิเจซ,2,2,anttirada,#ᴀʙ6ɪx #ᴀʙɴᴇᴡ 💞🦦🦦🦦🦦🦦🦦🦦 แดฮวี ตุ๊กตากระเบื้องเคลือบของมาม๊า 💜 รักน้อนฮวีเหมือนเดิมเลยนะๆ
23,33,2021-01-29 00:22:14,#หายใจสิเจซ,ael_2543,"เขียนเยอะปั่นไว | ไม่ทำงานวันเสาร์ | #ฉลามคลั่งรัก #ฤาฤทธิ์คล้องนาคา #หายใจสิเจซ
NOW : #สิ้นพยัคฆ์แดนมังกร #จีบตอนรับแถมฟรีตอนรุก | CUT : https://t.co/Ujyq4HyNjw",23470,ใครก็ได้เอาเพลย์ไปเก็บที แงง เป็นนิยายที่อ่านแต่ละครั้งเผลอกลั้นหายใจทุกที #หายใจสิเจซ https://t.co/WKLjJkOLhS, /หายใจสิเจซ,1,4,NaChHaven,YAOI is heal me #iloveYaoi
24,34,2021-01-29 00:22:12,#หายใจสิเจซ,ael_2543,"เขียนเยอะปั่นไว | ไม่ทำงานวันเสาร์ | #ฉลามคลั่งรัก #ฤาฤทธิ์คล้องนาคา #หายใจสิเจซ
NOW : #สิ้นพยัคฆ์แดนมังกร #จีบตอนรับแถมฟรีตอนรุก | CUT : https://t.co/Ujyq4HyNjw",23470,ฮืออออ ไรท์ทำเราเปียกปอนㅠㅠ ไอ้ความรู้สึกจะร้องไห้แต่ร้องไม่ออกนี้ เศร้าาา¡-¡ #หายใจสิเจซ, /หายใจสิเจซ,1,2,inoeyyy13,รักฉันเรียกว่าบังทันโซยอนดัน
25,62,2021-01-27 11:59:06,#หายใจสิเจซ,Do_notobtrusive,"ส้มก็หยุด แต่ทำไมอูจียังน่ารักไม่ยอมหยุด
@pledis_17",14,"อัพ #หายใจสิเจซ #นิยายวาย #นิยายวายแนะนำ

""มีหลายผัวก็มันส์ดี""

RAW : https://t.co/Pq4P1Xu4em
FTL : https://t.co/bikTJH7LuD
___
TAKE A DEEP BREATH 15 : MAKE A MISTAKE [100%]
ฝากส่งฟีดแบ็กด้วยน้า https://t.co/Oa8VS2JoTN", /หายใจสิเจซ/นิยายวาย/นิยายวายแนะนำ,17,19,ael_2543,"เขียนเยอะปั่นไว | ไม่ทำงานวันเสาร์ | #ฉลามคลั่งรัก #ฤาฤทธิ์คล้องนาคา #หายใจสิเจซ
NOW : #สิ้นพยัคฆ์แดนมังกร #จีบตอนรับแถมฟรีตอนรุก | CUT : https://t.co/Ujyq4HyNjw"
26,63,2021-01-27 11:55:18,#หายใจสิเจซ,ael_2543,"เขียนเยอะปั่นไว | ไม่ทำงานวันเสาร์ | #ฉลามคลั่งรัก #ฤาฤทธิ์คล้องนาคา #หายใจสิเจซ
NOW : #สิ้นพยัคฆ์แดนมังกร #จีบตอนรับแถมฟรีตอนรุก | CUT : https://t.co/Ujyq4HyNjw",23470,ใครก็ได้เอาอิเพลย์ไปหาหมอที #หายใจสิเจซ, /หายใจสิเจซ,1,0,52Whaline,ขายนิยายแฟนตาซีมือสอง สนใจหนังสือ/ตรวจสอบสภาพ ทักDM ลทบ 50 EMS 80
