,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-09 02:03:18,#อย่าบอกป๊านะม๊า,tgtwzp,☆~ 𝚉𝙴𝙴 𝙿𝚁𝚄𝙺 | 𝚉𝚄𝙽𝚂𝙷𝙸𝙽𝙴 ~☆ •~• 𝙹𝙰𝙼𝙴𝚂𝚂𝚄 •~• ᴢᴇᴇɴᴇᴡ ☕🍪 | ᴢᴇᴇᴊᴀᴍᴇꜱ ☕🧁,266,ช่วงนี้ไม่ได้อ่านฟิคเลยเพราะเข้าจอยไม่ได้ แหะๆ เห็นแนะนำมาเลยลองอ่านดู แกมันดีมากทุกคน ตำเถอะ มันดีแบบที่สุดเราเป็นหลงรัก อ่านแล้วโคตรจะใจฟูๆๆ เป็นบรรยายด้วยเรารู้สึกมีสมาธิมากขึ้นนะ นิ่งขึ้นแบบไม่ได้ออกแอพทุกๆห้านาที 55555 แนะนำเลยฮะะ #นิ่งเฮียก็หาว่าซื่อ #อย่าบอกป๊านะม๊า https://t.co/ZSyF5y2KxC, ,305,181,Rmt024,𝗐𝖺𝗇𝗇𝖺𝖻𝗅𝖾 : 𝗐𝖾𝗋𝗈 & 𝖽𝖺𝗇𝗂𝗍𝗒 : 𝗇𝗂𝖾𝗅𝗈𝗇𝗀 𝗈𝗇𝗅𝗒
1,1,2021-03-08 21:22:10,#อย่าบอกป๊านะม๊า,lanlvlynn,ศาสดา - นักเขียนนิยายวาย,12,"สองแฝดมีเมียซุ่มซ่ามเหมือนกันเลยอ่ะ55555555555
#อย่าบอกป๊านะม๊า , #ไม่รักป๊าหรือม๊า https://t.co/3D6j4F6w7f", /อย่าบอกป๊านะม๊า/ไม่รักป๊าหรือม๊า,3,6,catschacha,"na jaemin 🐱,🐰, mark Lee 🐯






























 나나, 나재민 🥺


ジェミン 🐈

nct ♡"
2,3,2021-03-08 17:35:07,#อย่าบอกป๊านะม๊า,Daniconic_,Exo|Produce101☆•Wannaone••Soshi—#Neilong #Linhoon และผชอีก101คน❤️,25,ทีมอีบุ๊คอย่าลืมแวะมาหวีดความ แค่ก- ของ #อย่าบอกป๊านะม๊า ตอนพิเศษอีกสิบตอนในเล่มกันน้า คิคิ, /อย่าบอกป๊านะม๊า,26,24,wickedwish_,"— malfunction ㋡
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀"
3,4,2021-03-08 17:34:38,#อย่าบอกป๊านะม๊า,Daniconic_,Exo|Produce101☆•Wannaone••Soshi—#Neilong #Linhoon และผชอีก101คน❤️,25,สองเรื่องนี้คือเดอะเบสฟิคโอเมก้าเวิร์สมาก #ไม่รักป๊าหรือม๊า จะเป็นเรื่องที่ไรท์เตอร์แต่งต่อจาก #อย่าบอกป๊านะม๊า คนพี่ว่าร้ายแล้วเจอแฝดคนน้องหน่อยเป็นไง 10/10 ไปเลย #แนะนํานิยายวาย https://t.co/ka59mTJ3zS, /ไม่รักป๊าหรือม๊า/อย่าบอกป๊านะม๊า,20,8,Embracesme,아미 ใช่จ้ะ ร้านฉันเอง @cactusshadow_
4,5,2021-03-08 17:34:26,#อย่าบอกป๊านะม๊า,Daniconic_,Exo|Produce101☆•Wannaone••Soshi—#Neilong #Linhoon และผชอีก101คน❤️,25,โอ้ยยยยย เรื่องนี้คือดีมาก ชั้นไปอยู่ไหนมา ชอบความแพ้ท้องแล้วเค้าดูแลเทคแคร์กันดีมาก ชอบความบอกเกลียดเด็กแต่สุดท้ายก็เห่อลูกแบบเกินเบอร์5555 หวีดพระเอกจนไม่รู้จะหวีดยังไง มันละมุนมากกกก 💗 #แนะนํานิยายวาย #อย่าบอกป๊านะม๊า https://t.co/m4gS4lR8ey, ,15,15,somtimes_g,
5,6,2021-03-08 17:34:08,#อย่าบอกป๊านะม๊า,Daniconic_,Exo|Produce101☆•Wannaone••Soshi—#Neilong #Linhoon และผชอีก101คน❤️,25,119) #อย่าบอกป๊านะม๊า omega นายเอกชอบเล่นหวยมาก วันนึงเจอเด็กโผล่มาบอกว่าเป็นลูก(น้องน่ารักมาก)ให้ไปได้เสียกับพระเอก แลกกับถูกหวยรางวัลที่1 นอถูกจริง ส่วนพระเอกเป็นเจ้าของบ.ที่นอ.ฝึกงาน เกลียดเด็กมาก แต่หลังๆหลงลูกเมียสุดๆ นอ.ตลกมากค่ะ ขำมาก อ่านเพลินสนุกมาก 9/10 #แนะนํานิยายวาย https://t.co/qQc0GgiBRc, /อย่าบอกป๊านะม๊า,243,275,fictionyaoi1,แนะนำนิยายวาย #จบแล้วทุกเรื่อง #แนะนำนิยายวาย #วายล้วนล้วนรีวิว |18.11.2019| รีวิวและคะแนนตามความชอบส่วนบุคคล ถ้าอวยเยอะก็คือชอบมาก ขออภัย | ติดต่องานได้ที่ DM
6,8,2021-03-08 17:33:36,#อย่าบอกป๊านะม๊า,Daniconic_,Exo|Produce101☆•Wannaone••Soshi—#Neilong #Linhoon และผชอีก101คน❤️,25,แนะนำมาก 3 เรื่องนี้คือสายฟีลกู๊ดต้องอ่าน! สนุก ภาษาดี โดยเฉพาะเรื่อง #อย่าบอกป๊านะม๊า พระเอกช่วงแรกจะซึนๆหน่อย แต่นายเอกคือน่ารัก ฮามาก ส่วน #คุณอัยย์ใจหาย เป็นแนวพระเอกแสนดี อบอุ่น อ่านแล้วอยากมีคุณอัยย์เป็นของตัวเอง ปิดท้ายที่ #นิ่งเฮียก็หาว่าซื่อ พระเอกแซ่บๆ #แนะนํานิยายวาย https://t.co/vA5prH0H10, /อย่าบอกป๊านะม๊า,389,387,looookmai,สายรีวิว / ผิวขาวเหลือง ผิวผสม-ผิวมัน / พูดคุย สอบถาม ติดต่องานทาง 𝒹𝓂 / ไม่อนุญาตให้แคปภาพหรือนำรูปไปใช้ / ขอบคุณที่ติดตามกันค่ะ
7,9,2021-03-08 17:33:26,#อย่าบอกป๊านะม๊า,Daniconic_,Exo|Produce101☆•Wannaone••Soshi—#Neilong #Linhoon และผชอีก101คน❤️,25,"[จบ]Midnight fortune #อย่าบอกป๊านะม๊า

มาอ่าน สนุกมากก

นอ.โดนเด็กตัวใส(?)ชื่อเพนกวิ้นตามติด น้องมาจากอนาคตเป็นลูกม๊ากับป๊า คอยบอกว่าม๊าต้องชูวั้บๆกับป๊านะ กวิ้นจะได้เกิด นอ.ไม่เชื่อ จนน้องช่วยให้ถูกหวยเลยยอม แต่ป๊าคือประธานบ.สุดจะดุ ม๊าแค่เด็กฝึกงาน ทำไง๊ https://t.co/0FGRiW8277 https://t.co/Qq9QPCgBfI", /อย่าบอกป๊านะม๊า,195,286,llPetit_Kll,#รีวิวนิยายวาย ตามความว่างค้าบบบบ;^; เรื่องที่เคยรีวิวอยู่ในLikes❤ กับในMoment⚡นะคะ เราไม่ใช่สายดราม่าหนัก นิยมฟีลกู๊ดดดด
8,10,2021-03-08 17:33:16,#อย่าบอกป๊านะม๊า,Daniconic_,Exo|Produce101☆•Wannaone••Soshi—#Neilong #Linhoon และผชอีก101คน❤️,25,"83.midnight fortune #อย่าบอกป๊านะม๊า

จู่ๆก็มีผีเด็กออกมาบอกว่าเป็นลูกชายที่จะเกิดในอนาคต แต่ไม่ท้องก็ไม่มีลูก เขาเลยถูกคะยั้นคะยอให้ท้องกับผู้ชายคนนึง ซึ่งเป็นประธานบริษัทตัวเอง นายเอกไม่น่ารักเท่าลูก ลูกนายเอกน่ารักเท่าโลก

#แนะนำนิยายวาย #รีวิวนิยายวาย https://t.co/cnpTSZ4GMg", /อย่าบอกป๊านะม๊า,67,80,png79206352,ทุกเรื่องอ่านเอง | readawrite 80% | ถ้านิยายคุณอยู่ในนี้ เรา’รัก’ทุกเรื่องจริงๆ | ไม่เน้นกระแส ไม่เน้น nc เน้นภาษาสวย พล็อตดี | #รีวิวนิยายวาย #แนะนำนิยายวาย
9,13,2021-03-08 06:11:20,#อย่าบอกป๊านะม๊า,shiho2nx,คุณแม่ลูก 3 | wonsoon ᛌhoshiᛌ | 2park ᛌjihoonᛌ | choseok ᛌwooseokᛌ และหนุ่ม 2D♡ⴰ,608,ตามหาเล่ม #อย่าบอกป๊านะม๊า ค่าาาา, /อย่าบอกป๊านะม๊า,0,0,shiho2nx,คุณแม่ลูก 3 | wonsoon ᛌhoshiᛌ | 2park ᛌjihoonᛌ | choseok ᛌwooseokᛌ และหนุ่ม 2D♡ⴰ
