,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-13 07:56:30,#อรุณรุ่ง,NuDeaR31,i love sea & sky 🖤Bright & Win🤍 🖤Blackpink💗 #bbrightvc𓃠 #winmetawin𓃹 #ไบร์ทวิน𓃥𓃹,622,"เพิ่งมีโอกาสได้อ่านเรื่องนี้ โอโห้ บอกตัวเองพลาดได้ไง วางไม่ได้เลยแม่จ้า อ่านอย่างต่อเนื่อง จบอย่างรวดเร็วภายใน 2 วันเพราะฉันไม่หลับไม่นอน คือดีย์จริง อยากให้ลองอ่าน 
 #อรุณรุ่ง

https://t.co/lTJTInLUZX", /อรุณรุ่ง,0,0,NuDeaR31,i love sea & sky 🖤Bright & Win🤍 🖤Blackpink💗 #bbrightvc𓃠 #winmetawin𓃹 #ไบร์ทวิน𓃥𓃹
1,1,2021-03-13 04:08:52,#อรุณรุ่ง,amnun_noon,#TeamPeraya #ทีมพีรญา #SingtoPrachaya #สมุนจ้าวป่า 🦁 #KristPerawat #ยูยู่ของคุณพี 🐢#OhmThitiwat #โอห์มไง 🐻 #fluke_natouch #เจ้าแก้มก้อน 🐣 #MyBlue #มายบลู,29,#อรุณรุ่ง พระเอกคลั่งรัก เจ้าหมาป่าลูคัลเกรย์ผู้ยิ่งใหญ่กับนายเอกที่เดินทางเพื่อมาเป็นเมียได้กันตั้งแต่ครั้งแรกที่เจออิหมาป่าคือได้เขาแล้วบอกเขาไสหัวไปไกลๆไม่ทันจะหงส์กลายเป็นหมาครางหงิงๆคลั่งรักเขาไม่ไหวชอบความเอาแต่ท่าหมาแล้วเมียบ่น ผัวก็บั่บกูเป็นหมานี่หว่า5555 #แนะนํานิยายวาย https://t.co/uBbbt2AtnE, /อรุณรุ่ง,347,439,somsomreview,รีวิวแต่นิยายที่ชอบ รับบทลูกอิขายของเก่ง||ความชอบของแต่ละคนไม่เหมือนกันโปรดเข้าใจด้วย||#แนะนำนิยายวาย||คลังวายของผู้สุดแสนจะคลั่งรักนิยายวาย✨🍊📚
2,2,2021-03-13 01:33:24,#อรุณรุ่ง,LaBoonninii,💎คูมแม่ของเด็กสมบัติ💎 บุ๋นเปรม (เมนบุ๋นแม่เปรม)​ 🐣มะมี้ของยัยเจี๊ยบ🐣 { SADURDAYS }​ #คลังคนบาป  *ปิดนิยายหนีเก่งมาก*,206,"[แนะนำ] ทั้ง 4 เรื่องเป็นแนวแฟนตาซีหมดเลย สนุกมากๆต้องไปลองอ่านกันนะ
#ฉลามคลั่งรัก ปกติไม่ค่อยอ่าน 3P แต่เรื่องนี้หลงตัวมาก ชอบความฉลาดของนอ.
#ฉลามร้อนรัก ภาคต่อรุ่นลูกจากเรื่องแรกปมสนุกเหมือนเดิม
#อรุณรุ่ง พอ.ขนฟูคลั่งรัก 
#บุปผาราชสีห์ ถ้าอยากบริหารต่อมน้ำตาต้องอ่าน https://t.co/LAwZXNqrav", /ฉลามคลั่งรัก,39,44,tthekoptitlee,96% = 𝐖𝐎𝐎𝐃𝐙 (조승연) & 𝐇𝐒𝐖 || 농연 = น้งยอน || มะมี๊รักหนูสุดหัวใจ 🐈✨—— @_chowoodz
3,3,2021-03-12 16:18:50,#อรุณรุ่ง,wynx_z,Be as you are. // ป๋อจ้านไม่สลับโพ,92,"เปิดรับหิ้วงานหนังสือแล้วน้า ทางเราขอยอด หิ้วฟรีส่งฟรีค้าบ 
#สวรรค์ประทานพร  #ฮัสกี้หน้าโง่กับอาจารย์เหมียวขาวของเขา #นิยายวาย #แนะนำนิยายวาย #แสนคำนึง #สารบัญชุมปีศาจ #ครองฝัน #ใช่ครับผมเป็นเด็กเสี่ย #อรุณรุ่ง #ยอนิม #รักครั้งนี้ผมไม่พลาด  #เดย์อิฐ #คีย์", /สวรรค์ประทานพร/ฮัสกี้หน้าโง่กับอาจารย์เหมียวขาวของเขา/นิยายวาย,2,3,micxbz,#8822รีวิว | รับหิ้ว | รับจอง | #8822ส่งของ
4,6,2021-03-12 13:24:29,#อรุณรุ่ง,NpwAm27,"💜Cause you're so lovely when you smile.💜
#WayZenNi  #WayV #威神V 
#TEN #李永钦",288,ใครยังไม่เคยอ่าน มาอ่าน #อรุณรุ่ง ของดีและฟรีอยู่ตรงนี้!! ดีมากกกกก ดีมากกจริงๆ ใครจะไปคิดว่าสนุกขนาดนี้!!! ครบทุกอารมณ์ เขียนดีมาก 👏👏  #แนะนํานิยายวาย, /อรุณรุ่ง,5,6,wcarmex,จ้านเก้อตี่ตี่อ้ายหนี่ #Saturdayispurple | #NowReading : 1. #อย่าเล่นกับอนล
5,7,2021-03-12 13:14:18,#อรุณรุ่ง,anfoniakiki,BB. kwon jiyong💛 Taehyung💜ติ่งทุกวง แต่bigbangคือที่1ในใจเสมอ💛,54,ก็คืออ่านตั้งแต่ #อรุณรุ่ง จนมาถึง #มนบุหลัน คือไรด์พัฒนาขึ้นเรื่อยๆจริงๆยิ่งอ่านยิ่งน่าติดตามยิ่งอ่านยิ่งสนุกมีอะไรให้ลุ้นตลอดเลยคาดการณ์ไม่เลยจริงๆ, /อรุณรุ่ง/มนบุหลัน,2,2,19981008pm,"I Got7  💚 Got7 
🐥❤🌴🐊🐢🍑🌙🐍🐜

              »»»🤘 DEFSOUL   🏝««««"
6,8,2021-03-12 13:06:52,#อรุณรุ่ง,anfoniakiki,BB. kwon jiyong💛 Taehyung💜ติ่งทุกวง แต่bigbangคือที่1ในใจเสมอ💛,54,ดีมากเริ่องนี้ ชอบจริงๆ มูฟออนไม่ได้  จะกลับไปอ่านซ้ำแน้ว 🥺 ยกให้เป็นนิยายที่เราชอบที่สุดเลย #อรุณรุ่ง, /อรุณรุ่ง,6,1,pictha_,🥣✨𝐰𝐚𝐧𝐧𝐚𝐨𝐧𝐞 ᴡᴇʟᴏ ᴅᴀɴɪᴛʏ ᴀʙɴᴇᴡ ʟᴏᴠᴇ ᴡɪɴ:ᴅ 🍼˚ ༘🥛🎒יִ꒱·˚ ᴛʀᴇᴀsᴜʀᴇ ( 𝗃𝗂𝗁𝗈𝗈𝗇 𝗃𝖺𝖾𝗁𝗒𝗎𝗄 𝗁𝖺𝗋𝗎𝗍𝗈 𝖽𝗈𝗒𝗈𝗎𝗇𝗀 )
7,17,2021-03-12 06:25:38,#อรุณรุ่ง,J_Jeana,"Success is how well do you do what you do when nobody is looking. If you don’t challenge yourself, you will never know what you can be. ✌🏻🐣",96,"#อรุณรุ่ง จะเป็นสังคมแบบชนชั้นขุนนาง
#มนบุหลัน จะเป็นสังคมที่เป็นมุมหลืบมุมลับ โลกใต้ดินที่ถูกปกปิดไรงี้ 
ส่วน #เรืองรวี สังคมไม่มี โลกนี้มีแค่ชั้ลและเทอว์ 🥺", /อรุณรุ่ง/มนบุหลัน/เรืองรวี,143,199,nottakorn17,❤️ on air #มนบุหลัน #วันดีวิทยา #นัยคราม stop feeling sorry for yourself.
8,19,2021-03-12 05:58:21,#อรุณรุ่ง,wcarmex,จ้านเก้อตี่ตี่อ้ายหนี่ #Saturdayispurple | #NowReading : 1. #อย่าเล่นกับอนล,27,เซรีนคือเหลือบตามองละ ลอร์ดลูคัสเป็นของเซรีนคนเดียว #อรุณรุ่ง https://t.co/9WndHPGpn7 https://t.co/PfN88qVeEZ, /อรุณรุ่ง,42,44,FaCai_Novels,"#สำนักพิมพ์ฟาไฉ #ปิดรับต้นฉบับ

🛒 https://t.co/LpXaD90OFQ"
9,22,2021-03-11 17:30:19,#อรุณรุ่ง,nottakorn17,❤️ on air #มนบุหลัน #วันดีวิทยา #นัยคราม stop feeling sorry for yourself.,13014,"96. #มนบุหลัน โดยนทกร พ่อกษัตริย์หมาป่าโนอา กับรูน เทล พ่อมดตัวจื๊ด เป็นเรื่องราวรุ่นลูก ต่อมากจาก #อรุณรุ่ง 
https://t.co/ADkg9WAmsd", /มนบุหลัน/อรุณรุ่ง,2,0,yayphong,วายจ๋าเข้าสายเลือด
