,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-11 09:02:25,#เขาชื่ออันวาร์,MMPPYW,Positve makes positives,0,2. อยากมีคุณอันวาร์เป็นของตัวเอง he’s so fucking hot 🔥ทัศนคติดี เทสดี โลเคชั่นนิวยอร์ก หลงรักภาษาที่ทำใจเต้นและหน้าร้อนทุกครั้งที่อัพ ตลคค่อยๆพัฒนาความคิด ชอบดีเทลในการเขียนที่เน้นทั้งครส สีหน้า ท่าทาง consent รักเลยค่ะ💖💖💖 #เขาชื่ออันวาร์ https://t.co/kxVQgLHbDJ, ,3,3,fhunlnwza,𝙣𝙨𝙛𝙬 ✧* 𝙧𝙩&𝙛𝙖 (◍•ᴗ•◍)♡ɢɪɴʜɪᴊɪ | ᴀᴛꜱᴜᴋɪᴛᴀ | ɢᴏɢᴇ
1,3,2021-03-11 08:05:28,#เขาชื่ออันวาร์,nychakim09,"Ongseongwoo ,คิมจองอู ,วินวิน ,เซจุน,ซึงอู,welo ,victon ,nct ,woodz , บะเบิ้ลบิว,เจ้าอัส,คูมเจฟ ♡︎ติ่งทุกอย่างในแอคเดียวน้าน้อนขกเล่นหลายอัน♡︎",217,"แจ้งข่าวเรื่องหนังสือ #เขาชื่ออันวาร์ นะคะ สรุปแล้วว่าไม่ทันงานหนังสือที่ไบเทคเดือนเมษานี้ น่าจะไปออกประมาณมิถุนาแทนค่ะ 

ส่วนเรื่องงานหนังสือที่ไบเทค ทางสำนักพิมพ์ชวนให้ซินไปแจกลายเซ็นเล่มเก่าแทนคือ #แอชเรย์ #เดฟฟลอยด์ #รีซเคส ซินเลยมาซาวด์เสียงก่อนว่ามีใครจะเอาไปให้เซ็นมั้ย", /เขาชื่ออันวาร์,35,24,czn505,🍸Do you know what it feels like to fall in love? #เขาชื่ออันวาร์ #ชูก้าเชน Upcoming Books - #แด๊ดของลิน
2,6,2021-03-11 06:45:42,#เขาชื่ออันวาร์,happymelonnn,หวีด bjyx 🦁🐰💚❤️,23,"My favorite 2020

#GAABstory 
#ชื่อของสายลม
#จนมีหัวใจ
#อันน์เป็นนิรันดร์
#ใต้ร่มวันฝนซา
#darachakra
#เขาชื่ออันวาร์ 
#เจ้าชายกับปีศาจของเขา
#ที่รักข้ากลับมาแล้ว
#เพียงพิภพ
#จัวหวะของชัตเตอร์
#รักไม่ร้าย
#รักไม่กั๊ก
#บ๊วยคือที่หนึ่ง
#กวีผู้มีรัก
#เพียงนิรันดร์
#น่านเคียงผา

❤❤", /GAABstory/ชื่อของสายลม/จนมีหัวใจ/อันน์เป็นนิรันดร์/ใต้ร่มวันฝนซา/darachakra/เขาชื่ออันวาร์,163,247,YYonlyyou,นิยายวายคือชีวิต แอคนี้สำหรับหวีดนิยายวายเท่านั้น ความชอบของนิยายแต่ละเรื่องขึ้นอยู่กับตัวบุคคลถ้าเรื่องไหนชอบเยอะจะอวยจนไส้แตก ||รวมรีวิวนิยายวาย||
3,7,2021-03-11 06:16:02,#เขาชื่ออันวาร์,lilnori1,"I know, who I am 😈 
My Yaoi zone 👬
😘😘 พี่ซีและเหล่าเด็กๆของเค้า😘😘 #seegasm
❤Chad+Blake❤",47,เรื่อง #เขาชื่ออันวาร์ จบแล้วจะอัป #ชูก้าเชน เป็นเรื่องหลักต่อนะคะ, /เขาชื่ออันวาร์/ชูก้าเชน,361,187,czn505,🍸Do you know what it feels like to fall in love? #เขาชื่ออันวาร์ #ชูก้าเชน Upcoming Books - #แด๊ดของลิน
4,8,2021-03-11 06:12:24,#เขาชื่ออันวาร์,AAwat,Day6 PSJ ✌🏻| Mark Lee and มัมหมีน้อง...,301,น้องอันวาร์หลังจากโดนน้องบลูดุ #เขาชื่ออันวาร์ https://t.co/pl2C3JfVS4, /เขาชื่ออันวาร์,49,16,spentallmynight,รักไหนก็ไม่สู้ รักน้ำ รักปลา รักซากุระ
5,9,2021-03-11 05:35:55,#เขาชื่ออันวาร์,JMJHONLY,💜 @bts_twt @TXT_members      @ENHYPEN_members #JIMIN #JHOPE #JK #Kookmin #HopeOnStreet,45,3 ล้านวิวแล้ว ขอบคุณทุกคนเลยค่ะ 🍸 #เขาชื่ออันวาร์ https://t.co/kndB6dmdQZ, /เขาชื่ออันวาร์,513,393,czn505,🍸Do you know what it feels like to fall in love? #เขาชื่ออันวาร์ #ชูก้าเชน Upcoming Books - #แด๊ดของลิน
6,12,2021-03-11 03:50:13,#เขาชื่ออันวาร์,mayuta2826,"สาระแน อยากจะพูด อยากจะสื่อ อยากจะมีบทบาท
#nct127 #yerinbaek #victon",1008,"ผมไม่กัดหรอก เว้นแต่คุณจะชอบ
ถ้าคุณอยากสูบ ผมมีกัญชาให้ด้วยนะ

baby, don’t keep me waitin'
there’s so much love we could be making
I’m talking kissing, cuddling 
#เขาชื่ออันวาร์ 
https://t.co/hOdUz9oOyD", ,7,0,cryingroom412,bbh / bjyx / hinata / 夏五
7,13,2021-03-11 03:39:34,#เขาชื่ออันวาร์,chubbyypiglet,࡛ ⷯⷯ ᚆיִ𓊪 ﾟ ᚑ𓎭𓎭 Ⓧ① / 𝙎𝙚𝙪𝙣𝙜𝙮𝙤𝙪𝙣 / 𝙒𝙤𝙤𝙨𝙚𝙤𝙠 🦋◞˚ ꒰🦊🐱꒱ ✦ ☁️ 𓈒 — 𝙊𝙉𝙀 𝙄𝙏 / 𝙉𝙄𝘼 / 𝙈𝙊𝙊𝘿𝙕 𓎭𓎭ᚑ ﾟ 𓊪יִᚆ ⷯⷯ ࡛,169,เวลาอ่านทุกคนใช้อิมเมจใครเป็นอันวาร์มาแชร์กันหน่อย ของเราคนนี้ ยิ่งส่องไอจียิ่งเทสสสส เทสมากกกกกเขาอยู่ลอนดอนและเป็นนายแบบ #เขาชื่ออันวาร์ https://t.co/HmTQ0HFmKv, ,74,40,wishyun_,i jaemin u ⛈ + 🍀 + 💌 = me! / optimusshwang / NCT * 23 / exoplanet🌐
8,16,2021-03-11 03:15:24,#เขาชื่ออันวาร์,hexuncy__61,ʙᴋᴘᴘ|ʟᴏᴇʏ|ᴡᴇɴᴅʏ|ʏɪʙᴏ,147,ภาพในหัวเรา อันวาร์ประมาณนี้อะคั้บ🥺 #เขาชื่ออันวาร์ https://t.co/xmhiqzMISQ https://t.co/oqVh6tuZiJ, /เขาชื่ออันวาร์,23,4,nananaphwn,NCT | Na Jaemin | น้องแจมกินข้าวเยอะๆนะคับ หม่ามี๊ร้ากน้องแจม หยักสปีคอิงลิชกับม้าค เปิดบัญชีไว้เป็นค่าเทอมให้เด็กดือรีม | markmin (ชิปเยอะมากกกกก)
9,18,2021-03-11 03:13:41,#เขาชื่ออันวาร์,hexuncy__61,ʙᴋᴘᴘ|ʟᴏᴇʏ|ᴡᴇɴᴅʏ|ʏɪʙᴏ,147,"เป็นใครไปไม่ได้ นอกซะจาก
#เขาชื่ออันวาร์ https://t.co/AHIUfBScv6 https://t.co/cLLxsRTfZF", /เขาชื่ออันวาร์,3,2,arakzee,"PANWINK 💛💚
2033🍑"
