,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-10 05:59:54,#เจ๋งพัท,amyourfather4,อยากมีซามอยด์เป็นของตัวเอง,5,"มาค่ะ ไหนๆก็ไหนๆแล้วว 
ขออนุญาตแจก sticker line 1 คน
เอาฤกษ์เอาชัยให้แก่ คุณเจ๋ง และ นุ้งพัท ‧⁺◟( ಥ ·̫ ಥ )
ได้เปี่ยนเตตัสจาก พี่บอสเป็นพี่แฟนเร็วๆ💝

ขอแค่เป็นเอ้บซี #เจ๋งพัท ก็พอออต่ะ

₀: *ﾟ✲ฺ٩(ˊᗜˋ*)و ✲ฺﾟ*:₀ https://t.co/ME45WTAQlo", ,29,2,991102k,₊˚✧.* 𝑦𝑜𝑢 𝑎𝑟𝑒 𝑚𝑦 𝒂𝒑𝒑𝒓𝒆𝒄𝒊𝒂𝒕𝒊𝒐𝒏╰💌₊˚✧ ꒰🍪꒱
1,1,2021-03-10 05:59:47,#เจ๋งพัท,doubleSBKPP,🍊 #bbillkin | #ppkritt 🍑 | #บิวกิ้นพีพี 🚙🚗 #แปลรักฉันด้วยใจเธอ 🍵🍧,558,หน่วงไปหม๊ดดดด ต่างคนต่างไม่กล้าไปต่อ #เจ๋งพัท, /เจ๋งพัท,0,0,doubleSBKPP,🍊 #bbillkin | #ppkritt 🍑 | #บิวกิ้นพีพี 🚙🚗 #แปลรักฉันด้วยใจเธอ 🍵🍧
2,2,2021-03-10 05:57:42,#เจ๋งพัท,seong_ongong,#옹성우 osw🤍welo🤍,33,"'ไม่ครับ พัทไม่ง่วง'
'พัทไม่หนาว'
คนที่คอยเทคแคร์เทอก็ ;~;' #เจ๋งพัท https://t.co/NjfIK5Xpke", /เจ๋งพัท,38,15,mysweetmanie,แร้วหม่าม้าจะยังไงไหว ไม่เก่งกับใครเหมือนอีปลาทอง
3,3,2021-03-10 05:57:41,#เจ๋งพัท,oiltm718,คนที่น่ารักกว่าแทมินวันนี้ ก็คงจะมีแต่แทมินในวันพรุ่งนี้นั่นแหละ,1134,งื้อออออคุณเจ๋งงงง #เจ๋งพัท https://t.co/GxlxRScprZ, /เจ๋งพัท,20,0,BogumJB,☯︎ ᴶᵃʸᴮ ᶠᵒʳᵉᵛᵉʳ ¨ ♡🌴ꜱᴜᴘᴇʀ ꜱᴇxʏ 애교 ♥️ ศาสดาคลั่งรักอิมแจบอม | JJP | ᴘᴀʀᴋʙᴏɢᴜᴍ | Follow IG & YT : BogumJB | แท็กรีวิว #RVBOGUMJB เล่นกับเด็กๆได้ที่ @bogumjb_baby
4,4,2021-03-10 05:57:34,#เจ๋งพัท,oiltm718,คนที่น่ารักกว่าแทมินวันนี้ ก็คงจะมีแต่แทมินในวันพรุ่งนี้นั่นแหละ,1134,น้องพัทในตอนที่ 34 ก็จะประมาณนี้ #เจ๋งพัท https://t.co/KXFuoNmCTd, /เจ๋งพัท,17,3,mondaynn,
5,5,2021-03-10 05:56:39,#เจ๋งพัท,soqirl,／／민현&뉴이스트 : 재환 WIN:D / / ♡ tobio : kozume HQ / eijun - kazuya,735,#เจ๋งพัท https://t.co/hDI7fpBn3F https://t.co/uABkhTvmyq, /เจ๋งพัท,1,1,mondaynn,
6,6,2021-03-10 05:56:22,#เจ๋งพัท,soqirl,／／민현&뉴이스트 : 재환 WIN:D / / ♡ tobio : kozume HQ / eijun - kazuya,735,#เจ๋งพัท เป็นเรื่องที่ชั้นอยากแนะนำให้ทุกคนอ่านมาก แบบค่อยๆรักจริงๆอะ ค่อยๆพัฒนาความรู้สึกกันไป จนชั้นที่เป็นคนอ่านลุ้นมากๆ เป็นเรื่องที่แฝงไปด้วยดีเทลต่างๆด้วย อ่านแล้วได้เข้าใจการทำงานเพิ่มขึ้นอีก ชีวิตและความกดดันในออฟฟิศต่างๆ คุณภาพมากๆเรื่องนี้ ตอนล่าสุดก็คือคุณเจ๋งสู้นะ ;-; https://t.co/toSMwBQHMI, /เจ๋งพัท,3,2,koons610,#옹성우 언제나 너의 위로가 되어줄께.✨ 너만 행복하면 너의 행복이 나의 행복.💚#정재현 #NCT 💜#권현빈 🦁🐱 #肖战 #王一博 🌞#曹煜辰
7,7,2021-03-10 05:56:09,#เจ๋งพัท,pizzaxj,"especially you, ♡",54,มาตกตะกอน #เจ๋งพัท มา น้องพัทอะ ไม่มั่นใจในตัวเองมากๆ ยังติดอยู่ตรง ‘คนอย่างคุณเจ๋ง’ ไม่คิดว่าตัวเองก็มีดีและคู่ควรที่คนอย่างคนเจ๋งจะมาชอบ ตอนที่คุณเจ๋งบอกพัทต้องมั่นใจในตัวเองกว่านี้ให้มากๆ แล้วอยากบีบมือน้อง ใช่ลูก ทั้งพี่โชติทั้งคุณเจ๋งก็พยายามให้น้องมั่นใจมาตลอด หนูมีดีนะ, /เจ๋งพัท,2,0,feheeline_JH,"xx ( f a n - a c c o u n t ) ; 180805 from the moment our eyes met , I completely fell for you ♡ 황민현 🦊 | 박지훈 🐰 ー 𝐦𝐚𝐲 𝒊 𝐥𝐨𝐯𝐞 𝒚𝒐𝒖 ✨"
8,8,2021-03-10 05:54:24,#เจ๋งพัท,maruberyym,HQ | mommy's nong kenma🧃🎮🍎 | JJK 七海健人,13,คุณเจ๋งก็คือยื้อ ยื้อสุดความสามารถแล้ว ยื้อสุดแรงเท่าที่ชายวัยสามห้าจะมี #เจ๋งพัท https://t.co/p0vArn9vlA, /เจ๋งพัท,39,6,jtnattha,life is not daijoubu
9,10,2021-03-10 05:53:55,#เจ๋งพัท,chokywing,★ Super Junior ★ Not the End but And ❥@siwonchoi  || GOT7 JAYBDEF ツ ||EXO 백현 첸 준면🐰💕~ #พิออยอ่าน จ้านเกอ 肖战,764,"ค่อยๆ รัก #เจ๋งพัท

ตอนที่ 34
between us

🥑🍗

/ raw https://t.co/SXvXLRBYAt
/ dek-d https://t.co/7XsgdvUoMK

#นิยายวาย ( slice of life / slow burn / pining ) https://t.co/8z1nF8FL3a", /เจ๋งพัท/นิยายวาย,223,74,_summerdecember,"my mind is a mess, that's why i write. ✍🏻 #เจ๋งพัท #จ๊าบเจน / comic #น็อตเจ | #jfamtheseries and more"
10,16,2021-03-10 05:46:31,#เจ๋งพัท,peekajoo_,🤨🤯,24,คุณเจ๋งย้ำบ่อยมากเลยว่าอยากให้พัทมั่นใจในตัวเองเยอะๆ นี่นึกถึงที่พี่โชติบอกเลยว่าการเชื่อว่าเราสามารถถูกชอบหรือเป็นที่รักของใครสักคนได้มันยากขนาดนั้นเลยหนอ เหมือนกับว่าอยากให้พัทมั่นใจๆๆว่าตัวเองสมควรได้รับความรักจากคุณเจ๋งนะมันเมคเซ้นส์แล้วที่คุณเจ๋งจะชอบพัทㅠㅡㅠ💘 #เจ๋งพัท https://t.co/ysA17fP95L, /เจ๋งพัท,0,0,peekajoo_,🤨🤯
11,17,2021-03-10 05:46:27,#เจ๋งพัท,darling_standby,,5,"ปกตินิยายเม่อจะเคลียร์ปมตอนจบ ไม่ก็ก่อนจบ 1 ตอน เพราะเขียนให้ตัวละครรักกันไม่เก่ง🥲

แต่ #เจ๋งพัท จะไม่ทำแบบนั้น จะมีอะไรชุ่มชื้นหัวใจให้อ่านมากกว่านั้นแน่ๆ เพราะคนเขียนก็ทนไม่ไหว55555555 ฮื้อออ จะตอบแทนให้คุ้ม พ่อไม่ต้องห่วงนะคะเม่อจะไม่ทำให้ผิดหวัง แต่ขึ้นเงินเดือนให้หนูด้วยค่ะ https://t.co/HKLmSwx506", /เจ๋งพัท,178,62,_summerdecember,"my mind is a mess, that's why i write. ✍🏻 #เจ๋งพัท #จ๊าบเจน / comic #น็อตเจ | #jfamtheseries and more"
12,20,2021-03-10 05:46:00,#เจ๋งพัท,mmmuk9t,✨🌷🎨💽 for my @BamBam1A #BamBam #GOT7 + ไอโอคุณเจ๋งหม่าม๊าน้องพัท,18,นั่งร้องไห้กับคุณเจ๋ง คุณเจ๋งโคตรแสนดีเลย ตอนนี้อยากเอื้อมมือเข้าไปในโทรศัพท์เพื่อหยิกแก้มยัยน้องพัทแรงๆ เข้าใจความรู้สึกพัทนะ ฮือ เพอร์เฟคต์แบบคุนเจ๋งอะ ลุงกิตอะ จะมาชอบเราได้ไง ;___; #เจ๋งพัท, ,5,1,gracebaekj,☆ #gracebjphoto ♫ 박진영+변백현 ♡ ᴅɪɢɪᴍᴏɴ|ᴋɴʏ @kevinwoo91 @B_hundred_hyun ♪ ≖‿≖ 7824 🍑🔥 ᴋɴʏ ɢᴏᴏᴅs #gracebjxkny #gracebjreview 炎
