,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-05 11:53:19,#เราของเธอ,inkthapaneeya,หลงรักดวงตะวัน💙🐳🌞🐇🐣🦊🌎,101,"TWO SIDES #เราของเธอ 04/03/2020
Page 28 เก็บกด ระบาย

DekD: https://t.co/CPwtLbboFT

RAW: https://t.co/HpyuaOUte4

FTL: https://t.co/a5STeeeEe7

#แนะนำนิยายวาย #นิยายวาย #นิยายวายแนะนํา", /เราของเธอ,12,6,khemmakan,🐢#กว่าจะเข้ากันได้ #เมฆคี #ศมนจาณีน #LOTTOสื่อรัก #WishingYou #ภาคต่อของความรัก #พนักงานดูแลเตียง #พนันท้ารัก #MemoryIsBlue | #เราของเธอ Soon #วางรักไว้ใกล้เธอ
1,5,2021-03-03 11:33:48,#เราของเธอ,Brightty_H,| สิบเจ็ดที่หมายถึงเดือนสิบวันที่เจ็ด | ศาสนาไหนก็คนไทยด้วยกันคับ | นับถือศาสนาองมิน | บิ๊กแบงเอ้บซิกot5และนิวอิ้ด | มิรยอรโพแมวเท่านั้น |,260,"TWO SIDES #เราของเธอ 25/02/2020
Page 27 ปฏิเสธ ยอมรับ

DekD: https://t.co/ENT5G3Jv40

RAW: https://t.co/2fY75trdHq

FTL: https://t.co/bd4ulLJgOz

#แนะนํานิยายวาย #นิยายวาย #นิยายวายแนะนำ #Fictionlog", /เราของเธอ,9,9,khemmakan,🐢#กว่าจะเข้ากันได้ #เมฆคี #ศมนจาณีน #LOTTOสื่อรัก #WishingYou #ภาคต่อของความรัก #พนักงานดูแลเตียง #พนันท้ารัก #MemoryIsBlue | #เราของเธอ Soon #วางรักไว้ใกล้เธอ
2,7,2021-03-03 10:33:56,#เราของเธอ,khemmakan,🐢#กว่าจะเข้ากันได้ #เมฆคี #ศมนจาณีน #LOTTOสื่อรัก #WishingYou #ภาคต่อของความรัก #พนักงานดูแลเตียง #พนันท้ารัก #MemoryIsBlue | #เราของเธอ Soon #วางรักไว้ใกล้เธอ,3836,ผมได้แต่ถอนหายใจ เมื่อไหรหนอจะได้ &gt;&lt; #เราของเธอ https://t.co/JWXdA9Ihnw, /เราของเธอ,3,5,YaoiNovel,ตามนิยายที่ทวิตไป @yaoinovel_2 | นิยายวายจบในFav.นี้✨ | ทวิตเเต่นิยายที่อ่าน | #Thaiboyslove #รีวิวนิยายวาย #แนะนํานิยายวาย
3,8,2021-03-02 01:27:38,#เราของเธอ,khemmakan,🐢#กว่าจะเข้ากันได้ #เมฆคี #ศมนจาณีน #LOTTOสื่อรัก #WishingYou #ภาคต่อของความรัก #พนักงานดูแลเตียง #พนันท้ารัก #MemoryIsBlue | #เราของเธอ Soon #วางรักไว้ใกล้เธอ,3836,"ที่รอคอย ฉันรักวันพฤหัส 🙏
#เราของเธอ 
#นิยายวาย รสกลมกล่อม https://t.co/8GeSB5CHSV", /เราของเธอ/นิยายวาย,2,0,ViiiII82,A woman of few words.
4,0,2021-01-30 06:01:38,#เราของเธอ,khemmakan,🐢#กว่าจะเข้ากันได้ #เมฆคี #ศมนจาณีน #LOTTOสื่อรัก #WishingYou #ภาคต่อของความรัก #พนักงานดูแลเตียง #พนันท้ารัก #MemoryIsBlue | #เราของเธอ Soon #วางรักไว้ใกล้เธอ,3721,"TWO SIDES #เราของเธอ 28/01/2020
Page 23 อยากฝันดี ไร้ฝันร้าย (TW : Dub-Con)

DekD: https://t.co/HT0LTq1VcN

RAW: https://t.co/JBUDPFOZAe

FTL: https://t.co/eQNqqjMskL

#แนะนำนิยายวาย #นิยายวาย #Fictionlog #readAwrite #นิยายวายแนะนํา", /เราของเธอ,16,5,khemmakan,🐢#กว่าจะเข้ากันได้ #เมฆคี #ศมนจาณีน #LOTTOสื่อรัก #WishingYou #ภาคต่อของความรัก #พนักงานดูแลเตียง #พนันท้ารัก #MemoryIsBlue | #เราของเธอ Soon #วางรักไว้ใกล้เธอ
5,1,2021-01-29 00:53:59,#เราของเธอ,Lazy_girL03,,4,"ทรมานกว่ารวินก็คนอ่านนี่แหละ​ ตัดจบได้ค้างมาก​ แงงงง​ อยากให้ถึงพฤหัสเร็วๆจัง​ 😅
#เราของเธอ", /เราของเธอ,0,0,Lazy_girL03,
6,3,2021-01-28 02:28:08,#เราของเธอ,Diaty14,"EXO&EXOL || LOVE❤ 
เปย์บ่อยๆค่อยๆชิน
อ่านวายย
รับ #ผ่อนนิยาย #ผ่อนหนังสือ #หรือผ่อนอะไรก็ได้ค่ะ dmมาถามได้ค่ะ
❌ผ่อนแล้วไม่ยกเลิกทุกกรณี❌",124,"มุแงงงงงใจหายใจคว่ำไปหมดเลยค่ะตอนแรก55555555555555555 ละเจ้าหมาครามดันไม่เชื่ออีก ทีบอกคความจริงล่ะไม่เชื่อน่าทุบจริงๆ หวังว่าจะฝันดีไปอีกหลายๆตอนเลยนะคะ
 #เราของเธอ", /เราของเธอ,0,0,Diaty14,"EXO&EXOL || LOVE❤ 
เปย์บ่อยๆค่อยๆชิน
อ่านวายย
รับ #ผ่อนนิยาย #ผ่อนหนังสือ #หรือผ่อนอะไรก็ได้ค่ะ dmมาถามได้ค่ะ
❌ผ่อนแล้วไม่ยกเลิกทุกกรณี❌"
7,8,2021-01-27 12:29:54,#เราของเธอ,khemmakan,🐢#กว่าจะเข้ากันได้ #เมฆคี #ศมนจาณีน #LOTTOสื่อรัก #WishingYou #ภาคต่อของความรัก #พนักงานดูแลเตียง #พนันท้ารัก #MemoryIsBlue | #เราของเธอ Soon #วางรักไว้ใกล้เธอ,3721,พรุ่งนี้วันพฤหัส มาดูกันว่าเราจะได้ทุบหมาครามมั๊ย จะทุบให้เป็นแบบเป็นกล้วยตาก #เราของเธอ, /เราของเธอ,1,0,littlebit_lit,
8,9,2021-01-27 12:28:40,#เราของเธอ,khemmakan,🐢#กว่าจะเข้ากันได้ #เมฆคี #ศมนจาณีน #LOTTOสื่อรัก #WishingYou #ภาคต่อของความรัก #พนักงานดูแลเตียง #พนันท้ารัก #MemoryIsBlue | #เราของเธอ Soon #วางรักไว้ใกล้เธอ,3721,เจอกันพรุ่งนี้ค่า #เราของเธอ แอบมี Trigger warning ด้วยน้าาาา https://t.co/dnkFhmMTBJ, /เราของเธอ,0,8,khemmakan,🐢#กว่าจะเข้ากันได้ #เมฆคี #ศมนจาณีน #LOTTOสื่อรัก #WishingYou #ภาคต่อของความรัก #พนักงานดูแลเตียง #พนันท้ารัก #MemoryIsBlue | #เราของเธอ Soon #วางรักไว้ใกล้เธอ
9,10,2021-01-27 10:53:04,#เราของเธอ,baabderja,,6,#เราของเธอ ในตอนอันใกล้นี้ จะได้เจอกับ TW : DUB CON แงงงงงง แต่เขมจะแจ้งเตือนไว้ด้วยนะคะ, /เราของเธอ,5,7,khemmakan,🐢#กว่าจะเข้ากันได้ #เมฆคี #ศมนจาณีน #LOTTOสื่อรัก #WishingYou #ภาคต่อของความรัก #พนักงานดูแลเตียง #พนันท้ารัก #MemoryIsBlue | #เราของเธอ Soon #วางรักไว้ใกล้เธอ
